semana,casos,obitos
201001,629,1
201002,895,0
201003,809,1
201004,979,0
201005,1736,0
201006,2036,0
201007,1891,0
201008,2168,1
201009,1956,0
201010,1690,0
201011,1611,2
201012,1162,0
201013,1067,0
201014,840,0
201015,808,0
201016,582,0
201017,538,0
201018,588,0
201019,422,0
201020,313,0
201021,206,0
201022,198,0
201023,269,0
201024,221,0
201025,163,0
201026,185,0
201027,214,0
201028,188,0
201029,186,0
201030,171,0
201031,159,1
201032,99,0
201033,100,0
201034,75,0
201035,91,0
201036,108,0
201037,162,0
201038,161,0
201039,181,0
201040,188,0
201041,166,0
201042,259,0
201043,277,0
201044,392,0
201045,607,0
201046,594,1
201047,917,1
201048,970,0
201049,1072,0
201050,1178,0
201051,1362,0
201052,1726,1
201101,2257,0
201102,1979,0
201103,2103,0
201104,1719,0
201105,1418,0
201106,1582,1
201107,1300,0
201108,1031,0
201109,728,0
201110,654,0
201111,723,1
201112,628,0
201113,614,0
201114,493,0
201115,414,0
201116,221,0
201117,174,0
201118,103,0
201119,105,0
201120,77,0
201121,74,0
201122,46,0
201123,32,0
201124,39,0
201125,21,0
201126,21,0
201127,15,0
201128,13,0
201129,20,0
201130,11,0
201131,12,0
201132,16,0
201133,13,0
201134,10,0
201135,9,0
201136,10,0
201137,12,0
201138,6,0
201139,11,0
201140,7,0
201141,10,0
201142,14,0
201143,10,0
201144,23,0
201145,17,0
201146,32,0
201147,33,0
201148,45,0
201149,48,0
201150,31,0
201151,56,0
201152,49,0
201201,107,0
201202,85,0
201203,94,0
201204,88,0
201205,84,0
201206,78,0
201207,94,0
201208,119,0
201209,84,0
201210,63,0
201211,56,0
201212,44,0
201213,41,0
201214,39,0
201215,49,0
201216,21,0
201217,38,0
201218,14,0
201219,22,0
201220,22,0
201221,27,0
201222,21,0
201223,14,0
201224,13,0
201225,5,0
201226,11,0
201227,17,0
201228,17,0
201229,11,0
201230,6,0
201231,9,0
201232,5,0
201233,7,0
201234,10,0
201235,11,0
201236,9,0
201237,4,0
201238,19,0
201239,9,0
201240,14,0
201241,20,0
201242,38,1
201243,27,0
201244,37,0
201245,65,0
201246,50,0
201247,74,0
201248,89,0
201249,115,0
201250,170,0
201251,173,0
201252,96,0
201301,154,0
201302,162,0
201303,194,0
201304,231,0
201305,223,0
201306,170,0
201307,146,1
201308,182,0
201309,152,0
201310,119,0
201311,114,0
201312,110,0
201313,80,0
201314,67,0
201315,52,0
201316,38,0
201317,44,0
201318,25,0
201319,20,0
201320,29,0
201321,22,0
201322,10,0
201323,16,0
201324,14,0
201325,27,0
201326,27,0
201327,13,0
201328,29,0
201329,15,0
201330,8,0
201331,10,0
201332,9,0
201333,3,0
201334,1,0
201335,7,0
201336,3,0
201337,2,0
201338,11,0
201339,6,0
201340,5,0
201341,3,0
201342,6,0
201343,7,0
201344,3,0
201345,18,0
201346,17,0
201347,24,0
201348,18,0
201349,28,0
201350,23,0
201351,35,0
201352,24,0
201401,34,0
201402,31,0
201403,25,0
201404,35,0
201405,40,0
201406,26,0
201407,32,0
201408,36,0
201409,39,0
201410,28,0
201411,42,0
201412,55,0
201413,54,0
201414,62,0
201415,77,0
201416,56,0
201417,77,0
201418,69,0
201419,105,0
201420,89,0
201421,106,0
201422,109,0
201423,91,0
201424,119,0
201425,74,0
201426,118,0
201427,106,0
201428,104,0
201429,115,0
201430,157,0
201431,179,0
201432,240,0
201433,194,0
201434,407,0
201435,776,0
201436,1054,0
201437,1555,0
201438,1778,0
201439,1847,0
201440,2104,0
201441,1752,0
201442,1823,0
201443,1949,0
201444,1413,1
201445,1424,0
201446,1312,0
201447,1316,1
201448,1397,0
201449,1197,0
201450,960,0
201451,841,0
201452,534,0
201453,497,0
201501,566,1
201502,599,0
201503,655,0
201504,512,0
201505,434,0
201506,403,0
201507,291,0
201508,323,0
201509,252,0
201510,214,0
201511,195,0
201512,194,0
201513,101,0
201514,84,0
201515,67,0
201516,59,0
201517,82,0
201518,68,0
