semana,casos,obitos
201001,60,0
201002,85,0
201003,106,0
201004,150,0
201005,172,1
201006,229,0
201007,292,0
201008,569,0
201009,825,0
201010,1225,0
201011,1516,1
201012,1803,1
201013,1979,0
201014,2437,1
201015,2091,0
201016,1746,0
201017,2199,2
201018,2043,0
201019,2431,0
201020,1891,2
201021,1788,1
201022,1693,0
201023,1917,0
201024,1747,1
201025,1418,1
201026,1425,4
201027,1498,0
201028,1298,1
201029,1189,1
201030,964,1
201031,922,1
201032,753,0
201033,790,0
201034,679,1
201035,657,1
201036,544,1
201037,493,0
201038,469,0
201039,430,0
201040,330,0
201041,303,1
201042,316,1
201043,318,0
201044,275,0
201045,341,0
201046,272,0
201047,243,0
201048,116,0
201049,118,0
201050,168,0
201051,133,0
201052,104,0
201101,107,0
201102,124,0
201103,124,1
201104,128,0
201105,149,0
201106,219,1
201107,259,0
201108,228,0
201109,250,0
201110,195,0
201111,387,1
201112,299,0
201113,408,2
201114,379,1
201115,298,0
201116,242,0
201117,323,1
201118,270,0
201119,293,0
201120,290,0
201121,212,0
201122,196,0
201123,215,0
201124,212,0
201125,144,0
201126,132,0
201127,112,0
201128,132,0
201129,99,0
201130,123,0
201131,94,1
201132,128,0
201133,150,0
201134,100,0
201135,109,0
201136,107,0
201137,132,0
201138,121,0
201139,99,0
201140,116,0
201141,86,1
201142,91,0
201143,110,0
201144,88,0
201145,79,0
201146,62,0
201147,107,0
201148,103,0
201149,128,1
201150,164,0
201151,151,0
201152,169,0
201201,187,0
201202,219,1
201203,266,1
201204,296,0
201205,319,0
201206,328,0
201207,320,0
201208,256,0
201209,432,0
201210,520,0
201211,662,0
201212,917,0
201213,940,0
201214,749,0
201215,1636,0
201216,1200,0
201217,1390,0
201218,1213,0
201219,1372,0
201220,1236,2
201221,1061,2
201222,925,0
201223,747,0
201224,819,0
201225,847,1
201226,675,2
201227,790,1
201228,700,1
201229,737,0
201230,699,0
201231,723,1
201232,552,0
201233,559,1
201234,445,0
201235,500,0
201236,380,0
201237,372,1
201238,357,0
201239,344,0
201240,221,0
201241,167,0
201242,187,0
201243,193,0
201244,149,0
201245,189,0
201246,186,0
201247,183,0
201248,116,0
201249,101,0
201250,88,0
201251,38,0
201252,53,0
201301,50,0
201302,53,0
201303,54,0
201304,78,0
201305,80,0
201306,86,0
201307,68,0
201308,99,1
201309,127,0
201310,119,0
201311,108,0
201312,155,0
201313,128,0
201314,163,0
201315,243,0
201316,309,0
201317,252,0
201318,248,0
201319,394,0
201320,486,1
201321,616,0
201322,452,0
201323,455,0
201324,400,0
201325,407,0
201326,281,0
201327,345,0
201328,287,0
201329,307,0
201330,334,0
201331,305,0
201332,227,0
201333,220,0
201334,179,1
201335,185,0
201336,202,0
201337,219,1
201338,146,0
201339,232,0
201340,238,0
201341,154,0
201342,144,0
201343,196,0
201344,141,0
201345,171,0
201346,162,0
201347,190,0
201348,291,1
201349,149,0
201350,191,0
201351,221,0
201352,88,0
201401,70,0
201402,166,0
201403,198,0
