semana,casos,obitos
201001,172,0
201002,163,0
201003,128,0
201004,67,1
201005,121,0
201006,106,0
201007,62,0
201008,110,0
201009,116,0
201010,123,0
201011,92,0
201012,69,0
201013,41,0
201014,69,0
201015,74,0
201016,68,0
201017,109,0
201018,69,0
201019,98,0
201020,119,1
201021,71,0
201022,81,0
201023,194,0
201024,198,0
201025,117,0
201026,129,0
201027,142,0
201028,241,0
201029,200,1
201030,143,0
201031,135,1
201032,150,0
201033,200,0
201034,123,0
201035,105,0
201036,83,1
201037,96,1
201038,100,0
201039,89,0
201040,147,0
201041,94,0
201042,134,0
201043,92,0
201044,74,0
201045,144,0
201046,169,0
201047,363,0
201048,281,0
201049,316,0
201050,400,0
201051,406,0
201052,443,0
201101,1012,0
201102,1731,2
201103,2063,2
201104,3095,0
201105,3309,7
201106,4164,3
201107,5300,2
201108,6656,1
201109,7053,2
201110,4952,1
201111,5118,1
201112,3757,1
201113,2486,0
201114,2228,0
201115,1473,2
201116,894,0
201117,768,0
201118,585,0
201119,583,0
201120,599,1
201121,369,0
201122,277,0
201123,353,2
201124,302,0
201125,264,0
201126,205,0
201127,153,0
201128,148,0
201129,129,0
201130,118,0
201131,174,0
201132,114,0
201133,108,0
201134,73,0
201135,92,0
201136,68,0
201137,94,0
201138,82,0
201139,66,0
201140,68,0
201141,46,0
201142,75,0
201143,41,1
201144,66,0
201145,93,0
201146,130,0
201147,125,0
201148,159,1
201149,149,0
201150,109,0
201151,100,0
201152,116,0
201201,162,0
201202,211,0
201203,217,0
201204,202,0
201205,277,1
201206,384,0
201207,259,0
201208,244,0
201209,235,0
201210,94,0
201211,104,0
201212,101,1
201213,102,0
201214,43,0
201215,57,0
201216,46,0
201217,46,0
201218,44,0
201219,54,0
201220,23,0
201221,45,0
201222,66,0
201223,64,0
201224,49,0
201225,56,0
201226,69,0
201227,76,0
201228,73,0
201229,64,0
201230,87,0
201231,54,1
201232,41,0
201233,40,0
201234,39,0
201235,49,0
201236,51,0
201237,44,0
201238,62,0
201239,34,0
201240,69,0
201241,38,0
201242,62,0
201243,49,0
201244,77,0
201245,101,0
201246,54,0
201247,101,1
201248,152,0
201249,223,1
201250,166,1
201251,148,0
201252,154,0
201301,289,0
201302,366,0
201303,540,0
201304,875,0
201305,1117,0
201306,947,1
201307,755,0
201308,991,2
201309,899,1
201310,927,1
201311,848,1
201312,904,1
201313,578,0
201314,881,1
201315,782,0
201316,664,1
201317,576,0
201318,379,0
201319,419,0
201320,389,0
201321,307,0
201322,317,1
201323,323,0
201324,266,0
201325,163,0
201326,182,0
201327,230,0
201328,142,0
201329,127,0
201330,111,0
201331,114,0
201332,168,0
201333,80,0
201334,55,0
201335,80,0
201336,70,0
201337,91,0
201338,56,0
201339,62,0
201340,80,0
201341,63,0
201342,55,0
201343,89,0
201344,73,0
201345,58,0
201346,69,0
201347,72,0
201348,94,0
201349,120,0
201350,138,0
201351,108,0
201352,85,2
201401,69,0
201402,217,0
201403,236,0
201404,224,0
201405,217,0
201406,233,0
201407,177,0
201408,284,1
201409,292,1
201410,168,0
201411,280,0
201412,271,1
201413,287,0
201414,334,1
201415,314,0
201416,186,0
201417,220,0
201418,142,1
201419,162,0
201420,130,0
201421,126,1
201422,121,0
201423,89,0
201424,81,1
201425,66,0
201426,104,0
201427,59,1
201428,67,0
201429,49,0
201430,59,0
201431,42,0
201432,33,0
201433,85,0
201434,50,0
201435,52,1
201436,33,0
201437,42,0
201438,59,0
201439,47,0
201440,39,0
201441,42,0
201442,21,0
201443,24,0
201444,27,0
201445,59,0
201446,75,0
201447,34,0
201448,57,0
201449,62,0
201450,69,0
201451,57,0
201452,33,0
201453,53,0
201501,108,0
201502,81,0
201503,88,0
201504,102,0
201505,96,0
201506,112,0
201507,89,0
201508,124,0
201509,95,0
201510,151,0
201511,126,0
201512,167,0
201513,101,0
201514,94,1
201515,142,0
201516,91,0
201517,95,0
201518,99,0
201519,101,0
201520,56,0
201521,98,0
201522,68,0
201523,96,0
201524,59,0
201525,35,1
201526,52,0
201527,48,0
201528,36,0
201529,54,0
201530,57,0
201531,46,1
201532,47,0
201533,45,0
201534,37,0
201535,28,0
201536,38,1
201537,48,0
201538,42,0
201539,35,0
201540,63,1
201541,35,0
201542,21,0
201543,35,0
201544,19,0
201545,35,0
201546,28,1
201547,35,0
201548,33,0
201549,46,0
201550,81,0
201551,90,0
201552,54,0
201601,58,0
201602,85,0
201603,117,0
201604,148,0
201605,194,0
201606,150,0
201607,279,0
201608,239,0
201609,327,0
201610,279,0
201611,215,0
201612,221,0
201613,425,0
201614,398,0
201615,418,0
201616,363,0
201617,455,0
201618,311,0
201619,219,1
201620,226,0
201621,177,0
201622,163,0
201623,187,0
201624,176,0
201625,204,0
201626,130,0
201627,102,0
201628,106,0
201629,70,0
201630,82,0
201631,66,0
201632,50,0
201633,47,1
201634,45,0
201635,36,0
201636,27,0
201637,45,0
201638,40,0
201639,41,0
201640,40,0
201641,40,0
201642,38,0
201643,41,1
201644,43,0
201645,48,0
201646,65,0
201647,41,0
201648,58,1
201649,35,0
201650,54,0
201651,38,0
201652,48,0
201701,72,0
201702,79,0
201703,103,0
201704,148,0
201705,179,0
201706,230,0
201707,174,0
201708,94,0
201709,80,0
201710,105,0
201711,132,1
201712,156,0
201713,150,0
201714,167,0
201715,146,0
201716,115,0
201717,108,0
201718,69,0
201719,59,0
201720,74,0
201721,66,0
201722,42,1
201723,58,0
201724,40,0
201725,57,0
201726,42,0
201727,34,0
201728,38,0
201729,44,0
201730,54,1
201731,51,0
201732,66,0
201733,65,0
201734,47,1
201735,66,0
201736,64,0
201737,77,0
201738,61,0
201739,56,0
201740,51,0
201741,34,0
201742,36,0
201743,27,0
201744,14,0
201745,34,0
201746,27,0
201747,38,0
201748,35,0
201749,36,0
201750,26,0
201751,31,0
201752,42,0
201801,41,0
201802,47,0
201803,61,0
201804,65,0
201805,52,0
201806,74,0
201807,45,0
201808,83,0
201809,92,0
201810,58,0
201811,72,1
201812,91,0
201813,76,0
201814,72,1
201815,95,0
201816,71,0
201817,62,0
201818,48,0
201819,47,0
201820,52,0
201821,57,0
201822,27,0
201823,37,0
201824,55,0
201825,56,0
201826,37,0
201827,23,0
201828,41,0
201829,53,0
201830,39,0
201831,38,0
201832,34,0
201833,28,0
201834,33,0
201835,49,0
201836,24,0
201837,33,0
201838,40,0
201839,22,0
201840,26,0
201841,21,0
201842,32,0
201843,28,0
201844,19,0
201845,34,0
201846,12,0
201847,28,0
201848,16,0
201849,21,0
201850,18,0
201851,27,0
201852,13,0
201901,24,0
201902,53,0
201903,56,0
201904,51,0
201905,46,0
201906,53,0
201907,58,0
201908,52,0
201909,44,0
201910,28,0
201911,36,0
201912,34,0
201913,43,0
201914,33,0
201915,22,0
201916,30,0
201917,43,0
201918,30,0
201919,25,0
201920,34,0
201921,21,0
201922,27,0
201923,24,0
201924,26,0
201925,21,0
201926,24,0
201927,10,0
201928,12,0
201929,14,0
201930,18,0
201931,9,0
201932,8,0
201933,8,0
201934,16,0
201935,11,0
201936,12,0
201937,1,0
201938,24,0
201939,46,0
201940,54,0
201941,71,0
201942,108,0
201943,140,0
201944,130,0
201945,153,0
201946,184,0
201947,235,0
201948,315,0
201949,359,0
201950,320,0
201951,335,0
201952,342,0
202001,315,1
202002,387,0
202003,314,1
202004,231,0
202005,227,0
202006,206,0
202007,189,0
202008,157,0
202009,169,0
202010,252,0
202011,268,1
202012,186,1
202013,106,0
202014,100,1
202015,104,0
202016,101,0
202017,65,0
202018,88,0
202019,80,0
202020,83,1
202021,96,0
202022,76,0
202023,60,0
202024,65,0
202025,87,0
202026,48,0
202027,73,0
202028,58,0
202029,36,0
202030,38,0
202031,33,1
202032,29,0
202033,42,0
202034,46,0
202035,50,0
202036,45,0
202037,36,0
202038,37,0
202039,66,0
202040,61,0
202041,77,0
202042,73,0
202043,93,0
202044,91,0
202045,74,0
202046,71,0
202047,87,0
202048,115,0
202049,106,0
202050,163,0
202051,158,0
202052,104,0
202053,27,1
202101,53,0
202102,163,0
202103,169,1
202104,158,2
202105,193,0
202106,263,0
202107,270,0
202108,328,0
202109,392,0
202110,291,0
202111,378,0
202112,343,0
202113,360,0
202114,370,1
202115,330,0
202116,282,0
202117,255,0
202118,249,0
202119,216,0
202120,208,1
202121,199,0
202122,169,0
202123,169,1
202124,168,0
202125,150,0
202126,147,0
202127,122,0
202128,136,1
202129,118,0
202130,124,1
202131,109,0
202132,91,0
202133,73,0
202134,54,0
202135,68,2
202136,49,0
202137,46,0
202138,41,0
202139,34,0
202140,39,0
202141,26,0
202142,57,0
202143,48,0
202144,37,0
202145,41,0
202146,91,0
202147,129,0
202148,109,0
202149,141,0
202150,90,1
202151,66,0
202152,53,0
202201,25,0
202202,59,0
202203,62,0
202204,42,1
202205,100,0
202206,85,0
202207,115,0
202208,110,0
202209,80,0
202210,124,0
202211,150,0
202212,149,0
202213,114,0
202214,144,0
202215,81,0
202216,110,0
202217,99,0
202218,78,0
202219,110,1
202220,74,2
202221,86,1
202222,78,0
202223,74,0
202224,52,0
202225,57,1
202226,45,0
202227,52,0
202228,55,0
202229,41,1
202230,41,0
202231,44,0
202232,47,0
202233,32,1
202234,37,0
202235,25,0
202236,21,0
202237,104,0
202238,129,1
202239,185,1
202240,218,0
202241,208,1
202242,287,0
202243,182,1
202244,135,0
202245,153,1
202246,148,0
202247,144,1
202248,133,0
202249,142,0
202250,128,1
202251,157,0
202252,150,2
