semana,casos,obitos
201001,11,0
201002,35,1
201003,32,0
201004,35,0
201005,31,0
201006,90,0
201007,30,0
201008,137,0
201009,100,0
201010,68,0
201011,84,0
201012,50,0
201013,34,0
201014,48,0
201015,32,0
201016,35,0
201017,50,1
201018,51,0
201019,64,0
201020,77,0
201021,73,0
201022,56,0
201023,76,0
201024,95,0
201025,42,0
201026,34,0
201027,73,0
201028,44,0
201029,52,0
201030,69,0
201031,81,0
201032,124,0
201033,97,0
201034,119,0
201035,129,0
201036,112,1
201037,76,0
201038,85,0
201039,58,0
201040,82,0
201041,105,0
201042,61,0
201043,60,0
201044,62,0
201045,57,0
201046,28,0
201047,34,0
201048,42,0
201049,21,0
201050,96,0
201051,28,0
201052,17,0
201101,66,0
201102,95,0
201103,145,1
201104,143,0
201105,154,0
201106,198,0
201107,226,0
201108,158,0
201109,112,0
201110,99,1
201111,144,0
201112,129,0
201113,98,0
201114,100,0
201115,86,0
201116,54,1
201117,62,0
201118,44,0
201119,30,0
201120,37,0
201121,35,0
201122,17,0
201123,31,0
201124,19,0
201125,11,0
201126,23,0
201127,11,0
201128,16,0
201129,8,0
201130,6,0
201131,11,0
201132,13,0
201133,19,0
201134,13,0
201135,14,0
201136,3,0
201137,14,0
201138,19,0
201139,6,0
201140,9,0
201141,15,0
201142,13,0
201143,23,0
201144,4,0
201145,7,0
201146,18,0
201147,5,0
201148,5,1
201149,4,0
201150,3,0
201151,2,0
201152,2,0
201201,7,0
201202,6,0
201203,9,0
201204,13,0
201205,8,0
201206,10,0
201207,10,0
201208,2,0
201209,14,0
201210,21,0
201211,10,0
201212,7,0
201213,4,0
201214,4,0
201215,16,0
201216,11,0
201217,9,0
201218,10,0
201219,18,0
201220,10,0
201221,13,0
201222,16,0
201223,5,0
201224,15,0
201225,14,0
201226,18,0
201227,18,0
201228,15,0
201229,20,0
201230,17,0
201231,18,0
201232,35,0
201233,62,0
201234,32,0
201235,97,0
201236,39,0
201237,52,0
201238,127,0
201239,86,1
201240,65,0
201241,64,0
201242,76,0
201243,73,0
201244,43,0
201245,78,1
201246,80,0
201247,48,0
201248,41,0
201249,41,0
201250,34,0
201251,27,0
201252,9,0
201301,20,0
201302,79,0
201303,52,1
201304,79,0
201305,90,0
201306,48,1
201307,37,0
201308,52,0
201309,62,0
201310,60,0
201311,61,0
201312,74,1
201313,79,0
201314,115,0
201315,117,0
201316,149,0
201317,105,0
201318,42,0
201319,80,0
201320,59,0
201321,40,0
201322,20,1
201323,21,0
201324,11,0
201325,12,0
201326,12,0
201327,9,0
201328,7,0
201329,9,0
201330,6,0
201331,8,0
201332,23,0
201333,10,0
201334,12,0
201335,16,0
201336,8,0
201337,8,1
201338,3,0
201339,15,0
201340,7,0
201341,17,0
201342,6,0
201343,6,0
201344,5,0
201345,11,0
201346,6,0
201347,8,0
201348,7,1
201349,4,0
201350,2,0
201351,2,0
201352,2,0
201401,1,0
201402,6,0
201403,6,0
201404,8,0
201405,6,0
201406,6,0
201407,8,0
201408,8,0
201409,5,0
201410,5,0
201411,9,0
201412,3,0
201413,13,0
201414,54,0
201415,61,0
201416,35,0
201417,40,0
201418,42,0
201419,111,0
201420,186,1
201421,102,0
201422,105,0
201423,89,0
201424,52,0
201425,38,0
201426,45,0
201427,19,0
201428,19,0
201429,25,0
201430,18,0
201431,32,0
201432,22,0
201433,8,0
201434,12,0
201435,5,0
201436,4,0
201437,16,0
201438,20,0
201439,56,0
201440,59,0
201441,60,0
201442,121,0
201443,116,0
201444,116,0
201445,104,0
201446,78,0
201447,85,0
201448,34,0
201449,25,0
201450,33,0
201451,38,0
201452,4,0
201453,19,0
201501,58,0
201502,92,0
201503,81,0
201504,114,1
201505,104,0
201506,178,0
201507,69,0
201508,153,0
201509,144,0
201510,220,0
201511,259,0
201512,158,0
201513,124,0
201514,157,1
201515,113,0
201516,60,0
201517,64,0
201518,75,1
201519,68,0
201520,133,1
201521,59,0
201522,38,0
201523,49,0
201524,55,0
201525,41,0
201526,38,0
201527,36,0
201528,36,0
201529,32,0
201530,29,0
201531,37,0
201532,40,0
201533,24,0
201534,26,1
201535,47,0
201536,26,0
201537,34,0
201538,24,0
201539,18,0
201540,22,0
201541,17,0
201542,17,0
201543,11,0
201544,57,0
201545,13,0
201546,61,0
201547,12,0
201548,8,0
201549,21,1
201550,23,0
201551,5,0
201552,14,0
201601,18,0
201602,12,0
201603,11,0
201604,49,0
201605,33,0
201606,37,0
201607,91,0
201608,79,0
201609,94,1
201610,83,0
201611,151,0
201612,54,0
201613,76,0
201614,85,0
201615,95,0
201616,51,0
201617,61,0
201618,45,0
201619,57,1
201620,62,0
201621,22,0
201622,31,0
201623,33,0
201624,16,0
201625,18,0
201626,11,0
201627,17,0
201628,13,0
201629,18,0
201630,18,0
201631,15,0
201632,15,0
201633,33,0
201634,25,0
201635,21,0
201636,15,0
201637,13,0
201638,29,0
201639,29,0
201640,36,0
201641,17,0
201642,25,0
201643,13,0
201644,4,0
201645,10,0
201646,14,0
201647,7,0
201648,28,0
201649,18,0
201650,10,0
201651,8,0
201652,6,0
201701,10,0
201702,12,0
201703,41,0
201704,42,0
201705,58,0
201706,50,0
201707,49,0
201708,43,0
201709,31,1
201710,69,1
201711,52,0
201712,27,0
201713,27,0
201714,22,1
201715,12,0
201716,29,0
201717,18,0
201718,19,0
201719,23,0
201720,28,0
201721,22,0
201722,25,0
201723,16,0
201724,5,0
201725,20,0
201726,8,1
201727,9,0
201728,9,0
201729,9,0
201730,5,0
201731,5,0
201732,5,0
201733,2,0
201734,4,0
201735,2,0
201736,3,0
201737,1,0
201738,5,0
201739,9,0
201740,6,0
201741,4,0
201742,15,0
201743,27,0
201744,4,0
201745,3,1
201746,20,0
201747,2,0
201748,5,0
201749,8,0
201750,10,0
201751,6,0
201752,1,0
201801,3,0
201802,7,0
201803,10,0
201804,19,0
201805,24,0
201806,18,0
201807,10,0
201808,31,0
201809,20,0
201810,24,0
201811,28,0
201812,35,0
201813,30,0
201814,25,0
201815,41,0
201816,38,0
201817,43,0
201818,12,0
201819,28,0
201820,17,0
201821,15,0
201822,6,0
201823,14,0
201824,18,0
201825,6,0
201826,5,0
201827,4,0
201828,12,0
201829,6,0
201830,11,0
201831,10,0
201832,12,0
201833,13,0
201834,18,0
201835,12,0
201836,8,0
201837,10,0
201838,10,0
201839,7,0
201840,5,0
201841,6,0
201842,24,0
201843,15,0
201844,17,0
201845,11,0
201846,2,0
201847,4,0
201848,2,0
201849,6,0
201850,11,0
201851,4,0
201852,8,0
201901,6,0
201902,1,0
201903,6,0
201904,2,0
201905,2,0
201906,3,0
201907,6,0
201908,4,0
201909,7,0
201910,4,0
201911,6,0
201912,12,0
201913,12,0
201914,4,0
201915,16,0
201916,5,0
201917,5,0
201918,3,0
201919,7,0
201920,5,0
201921,0,0
201922,3,0
201923,2,0
201924,2,0
201925,3,1
201926,4,0
201927,4,0
201928,2,0
201929,2,0
201930,1,0
201931,6,0
201932,2,0
201933,5,0
201934,2,0
201935,2,0
201936,3,0
201937,3,0
201938,0,0
201939,3,0
201940,2,0
201941,2,0
201942,4,0
201943,6,0
201944,0,0
201945,3,0
201946,3,0
201947,3,0
201948,4,0
201949,2,0
201950,2,0
201951,1,0
201952,1,0
202001,2,0
202002,1,0
202003,1,0
202004,0,0
202005,3,0
202006,1,0
202007,2,0
202008,1,0
202009,2,0
202010,0,0
202011,5,0
202012,1,0
202013,1,0
202014,2,0
202015,4,0
202016,2,0
202017,6,0
202018,2,0
202019,0,0
202020,2,0
202021,1,0
202022,3,0
202023,0,0
202024,0,0
202025,0,0
202026,1,0
202027,0,0
202028,0,0
202029,2,0
202030,1,0
202031,1,0
202032,0,0
202033,1,0
202034,0,0
202035,2,0
202036,0,0
202037,1,0
202038,1,0
202039,0,0
202040,0,0
202041,1,0
202042,1,0
202043,1,0
202044,0,0
202045,0,0
202046,1,0
202047,2,0
202048,1,0
202049,0,0
202050,2,0
202051,0,0
202052,0,0
202053,1,0
202101,5,0
202102,7,0
202103,5,0
202104,6,0
202105,5,0
202106,6,0
202107,6,0
202108,1,0
202109,3,0
202110,6,0
202111,4,0
202112,1,0
202113,6,0
202114,3,0
202115,4,0
202116,4,0
202117,9,0
202118,2,0
202119,3,0
202120,5,0
202121,8,0
202122,2,0
202123,3,0
202124,8,0
202125,3,0
202126,3,0
202127,2,0
202128,4,0
202129,4,0
202130,2,0
202131,2,0
202132,19,0
202133,9,0
202134,5,0
202135,12,0
202136,18,0
202137,12,0
202138,7,0
202139,5,0
202140,13,0
202141,4,0
202142,5,0
202143,1,0
202144,2,0
202145,7,0
202146,2,0
202147,10,0
202148,3,0
202149,6,0
202150,6,0
202151,5,0
202152,1,0
202201,2,0
202202,5,0
202203,5,0
202204,3,0
202205,5,0
202206,9,0
202207,9,0
202208,12,0
202209,4,0
202210,6,0
202211,9,0
202212,7,0
202213,4,0
202214,10,0
202215,8,0
202216,3,0
202217,4,0
202218,3,0
202219,9,0
202220,2,0
202221,7,0
202222,5,1
202223,2,0
202224,5,0
202225,7,0
202226,4,0
202227,6,0
202228,5,0
202229,5,0
202230,3,0
202231,1,0
202232,4,0
202233,7,0
202234,2,0
202235,3,0
202236,2,0
202237,10,0
202238,3,0
202239,8,0
202240,1,0
202241,5,0
202242,4,0
202243,6,0
202244,1,0
202245,2,0
202246,4,0
202247,4,0
202248,4,0
202249,6,0
202250,7,0
202251,2,0
202252,6,0
