semana,casos,obitos
200952,65,0
201001,559,1
201002,825,1
201003,898,1
201004,865,0
201005,1057,1
201006,1091,1
201007,852,2
201008,1240,3
201009,1694,0
201010,1823,1
201011,2150,2
201012,2353,4
201013,1662,3
201014,2445,4
201015,2707,5
201016,1941,2
201017,2606,4
201018,2697,4
201019,2633,3
201020,2880,2
201021,2941,2
201022,2282,0
201023,2354,4
201024,1836,2
201025,1024,3
201026,1225,3
201027,1360,1
201028,1143,2
201029,1046,1
201030,811,3
201031,788,2
201032,703,2
201033,661,0
201034,555,2
201035,497,1
201036,448,2
201037,406,0
201038,419,2
201039,392,2
201040,373,1
201041,220,0
201042,346,0
201043,341,1
201044,293,1
201045,383,1
201046,470,2
201047,670,3
201048,673,0
201049,748,0
201050,673,2
201051,627,0
201052,410,0
201101,888,0
201102,775,0
201103,1012,0
201104,1052,1
201105,1144,0
201106,1284,3
201107,1545,4
201108,1554,3
201109,1440,3
201110,1395,2
201111,2134,4
201112,2547,1
201113,3006,4
201114,3044,2
201115,2987,3
201116,1970,1
201117,2507,4
201118,2311,3
201119,2269,4
201120,2064,5
201121,1653,0
201122,1755,1
201123,1547,2
201124,1180,1
201125,668,1
201126,977,1
201127,851,1
201128,782,2
201129,666,2
201130,599,1
201131,592,0
201132,515,0
201133,483,0
201134,414,0
201135,415,1
201136,289,0
201137,345,2
201138,355,0
201139,331,0
201140,392,1
201141,369,0
201142,312,0
201143,288,1
201144,354,0
201145,442,0
201146,349,1
201147,468,3
201148,526,1
201149,527,1
201150,615,0
201151,681,2
201152,621,0
201201,752,1
201202,1203,0
201203,1230,2
201204,1409,2
201205,1339,0
201206,1507,0
201207,1754,4
201208,1430,2
201209,2529,1
201210,2946,1
201211,3318,0
201212,3533,4
201213,3581,6
201214,2721,4
201215,3603,4
201216,3998,3
201217,3990,5
201218,3093,7
201219,3279,2
201220,3214,3
201221,2785,1
201222,2494,2
201223,1836,1
201224,1754,2
201225,1331,3
201226,1109,1
201227,962,2
201228,1039,1
201229,962,3
201230,1015,1
201231,770,2
201232,738,0
201233,564,0
201234,462,0
201235,476,0
201236,360,0
201237,399,0
201238,369,2
201239,375,1
201240,283,0
201241,248,1
201242,315,0
201243,239,1
201244,226,1
201245,244,1
201246,263,1
201247,321,0
201248,431,2
201249,534,1
201250,461,3
201251,422,0
201252,340,1
201301,627,1
201302,1208,1
201303,1659,2
201304,1885,2
201305,2364,0
201306,2914,2
201307,2441,0
201308,4461,2
201309,5573,2
201310,5633,2
201311,5800,3
201312,6135,1
201313,4539,0
201314,5369,1
201315,4935,5
201316,4380,2
201317,3803,2
201318,2706,3
201319,2670,2
201320,2143,1
201321,1809,4
201322,1295,2
201323,1292,1
201324,1124,3
201325,950,3
201326,692,4
201327,619,1
201328,647,0
201329,581,2
201330,460,1
201331,475,3
201332,398,0
201333,382,0
201334,289,1
201335,315,3
201336,247,0
201337,252,3
201338,262,0
201339,275,0
201340,297,0
201341,211,2
201342,195,0
201343,225,3
201344,183,2
201345,190,0
201346,169,0
201347,310,0
201348,250,0
201349,249,1
201350,247,0
201351,210,0
201352,130,1
201401,150,1
201402,300,2
201403,315,0
201404,338,0
201405,382,1
201406,421,1
201407,426,1
201408,532,1
201409,407,1
201410,297,0
201411,562,2
201412,674,2
201413,715,2
201414,858,1
201415,1094,2
201416,912,2
201417,1193,3
201418,1018,0
201419,1117,3
201420,833,1
201421,1019,2
201422,1055,2
201423,927,0
201424,700,2
201425,488,1
201426,363,1
201427,466,1
201428,512,0
201429,390,3
201430,355,3
201431,398,0
201432,377,2
201433,371,0
201434,308,1
201435,302,0
201436,304,0
201437,324,2
201438,220,0
201439,272,2
201440,298,0
201441,298,0
201442,310,2
201443,264,1
201444,258,1
201445,251,1
201446,249,0
201447,231,0
201448,237,0
201449,209,1
201450,218,0
201451,208,0
201452,111,0
201453,128,0
201501,286,1
201502,280,0
201503,329,0
201504,461,0
201505,580,0
201506,705,0
201507,609,2
201508,1285,0
201509,1615,1
201510,2117,2
201511,3101,3
201512,4335,1
201513,3612,0
201514,4095,2
201515,4382,2
201516,2979,1
201517,2752,4
201518,3400,2
201519,3156,2
201520,2671,3
201521,3149,4
201522,1950,2
201523,2068,3
201524,2085,0
201525,1101,1
201526,1231,1
201527,1641,1
201528,1956,3
201529,1637,3
201530,1626,2
201531,1235,2
201532,1097,0
201533,858,0
201534,776,1
201535,784,1
201536,706,1
201537,834,1
201538,761,2
201539,709,0
201540,671,0
201541,521,0
201542,497,0
201543,371,0
201544,624,1
201545,784,1
201546,732,1
201547,722,0
201548,1055,0
201549,1417,0
201550,1364,0
201551,755,0
201552,906,1
201601,1729,0
201602,1888,1
201603,1976,1
201604,2601,1
201605,3366,1
201606,3169,3
201607,7475,5
201608,8367,3
201609,7869,4
201610,6834,1
201611,5428,5
201612,4238,3
201613,4407,4
201614,3470,1
201615,3114,0
201616,2001,2
201617,1767,1
201618,1495,0
201619,1413,0
201620,1090,1
201621,655,0
201622,609,0
201623,692,1
201624,502,0
201625,311,0
201626,365,0
201627,295,0
201628,310,1
201629,287,0
201630,262,1
201631,206,0
201632,246,3
201633,211,1
201634,189,1
201635,187,1
201636,169,0
201637,218,1
201638,181,0
201639,153,0
201640,189,0
201641,180,0
201642,268,0
201643,326,0
201644,248,0
201645,270,1
201646,244,1
201647,271,0
201648,341,0
201649,258,0
201650,333,0
201651,275,0
201652,430,0
201701,621,1
201702,632,1
201703,707,0
201704,735,1
201705,737,0
201706,557,0
201707,604,0
201708,588,1
201709,357,0
201710,453,2
201711,416,3
201712,575,0
201713,450,1
201714,460,0
201715,339,0
201716,387,0
201717,345,0
201718,360,1
201719,390,0
201720,363,1
201721,325,0
201722,356,0
201723,309,1
201724,234,1
201725,254,1
201726,214,0
201727,254,1
201728,233,0
201729,180,0
201730,191,0
201731,144,0
201732,155,0
201733,170,0
201734,174,1
201735,163,0
201736,117,0
201737,120,0
201738,100,0
201739,148,2
201740,112,0
201741,110,0
201742,178,0
201743,155,2
201744,100,0
201745,115,0
201746,107,0
201747,125,0
201748,109,1
201749,109,0
201750,103,0
201751,106,0
201752,117,0
201801,153,0
201802,143,0
201803,266,0
201804,266,1
201805,247,0
201806,208,1
201807,167,1
201808,315,0
201809,328,0
201810,406,0
201811,372,0
201812,353,0
201813,302,2
201814,395,0
201815,517,1
201816,617,1
201817,615,2
201818,544,1
201819,584,1
201820,526,0
201821,438,2
201822,366,0
201823,401,0
201824,394,0
201825,283,0
201826,173,2
201827,178,1
201828,227,0
201829,158,1
201830,188,0
201831,190,0
201832,205,0
201833,155,0
201834,226,0
201835,187,0
201836,133,1
201837,162,0
201838,151,1
201839,145,0
201840,203,1
201841,128,0
201842,201,0
201843,189,1
201844,153,0
201845,230,1
201846,189,2
201847,211,0
201848,176,0
201849,161,1
201850,198,0
201851,255,1
201852,173,0
201901,213,2
201902,538,1
201903,616,1
201904,887,0
201905,1023,2
201906,1159,1
201907,1581,3
201908,1620,5
201909,1569,5
201910,1183,0
201911,1487,1
201912,1791,2
201913,2124,5
201914,2319,4
201915,2228,1
201916,1843,3
201917,2720,4
201918,3213,2
201919,3770,1
201920,4099,2
201921,4394,6
201922,4139,3
201923,4102,9
201924,3341,5
201925,2476,5
201926,2162,2
201927,2197,4
201928,2414,3
201929,2215,5
201930,1822,4
201931,1591,1
201932,1545,2
201933,1495,2
201934,1288,3
201935,1150,3
201936,1126,4
201937,1012,3
201938,1046,0
201939,872,1
201940,783,1
201941,744,0
201942,730,3
201943,762,4
201944,639,2
201945,722,1
201946,612,0
201947,643,2
201948,602,1
201949,548,0
201950,577,1
201951,471,2
201952,512,0
202001,539,1
202002,766,1
202003,831,1
202004,1023,1
202005,1290,0
202006,1546,2
202007,1857,1
202008,1999,4
202009,2671,1
202010,3451,0
202011,3464,3
202012,2483,0
202013,2364,2
202014,3224,3
202015,4436,1
202016,5736,4
202017,5711,4
202018,5674,4
202019,6351,1
202020,6143,4
202021,5536,4
202022,5507,6
202023,5087,1
202024,4325,4
202025,3913,3
202026,2857,3
202027,2892,0
202028,2385,2
202029,1927,1
202030,1453,10
202031,1038,3
202032,825,6
202033,780,3
202034,612,2
202035,543,7
202036,482,3
202037,420,4
202038,410,3
202039,334,3
202040,341,2
202041,325,3
202042,280,0
202043,305,3
202044,288,1
202045,239,1
202046,291,0
202047,323,0
202048,327,2
202049,291,1
202050,261,1
202051,221,0
202052,164,0
202053,101,0
202101,198,1
202102,332,1
202103,467,3
202104,666,2
202105,838,0
202106,1137,3
202107,1746,0
202108,1848,1
202109,1592,1
202110,1715,1
202111,1870,1
202112,1568,2
202113,1498,1
202114,1854,2
202115,1802,2
202116,1332,1
202117,1486,6
202118,1449,1
202119,1524,3
202120,1330,0
202121,1104,0
202122,817,0
202123,870,5
202124,718,3
202125,478,2
202126,486,0
202127,432,0
202128,372,0
202129,260,3
202130,227,2
202131,215,1
202132,186,1
202133,156,0
202134,155,1
202135,114,0
202136,119,0
202137,136,0
202138,159,0
202139,146,1
202140,121,1
202141,101,2
202142,122,0
202143,139,1
202144,145,2
202145,168,2
202146,193,1
202147,272,0
202148,358,0
202149,474,0
202150,502,1
202151,415,1
202152,421,0
202201,350,0
202202,633,2
202203,664,1
202204,775,1
202205,738,2
202206,859,0
202207,950,3
202208,1352,4
202209,1250,2
202210,1669,3
202211,1937,1
202212,2419,0
202213,2740,1
202214,3031,6
202215,2412,1
202216,2753,2
202217,3439,6
202218,3123,3
202219,2768,4
202220,2857,3
202221,2353,5
202222,2027,3
202223,1769,0
202224,1272,0
202225,940,1
202226,1053,2
202227,886,1
202228,836,0
202229,676,1
202230,671,4
202231,620,1
202232,594,4
202233,492,0
202234,594,0
202235,450,1
202236,349,1
202237,398,0
202238,353,1
202239,395,1
202240,403,0
202241,363,1
202242,393,0
202243,360,1
202244,309,1
202245,396,1
202246,366,3
202247,479,2
202248,436,1
202249,527,4
202250,540,2
202251,485,2
202252,534,2
