semana,casos,obitos
201001,131,0
201002,155,1
201003,199,0
201004,192,0
201005,281,0
201006,320,0
201007,247,0
201008,422,0
201009,405,0
201010,506,0
201011,394,1
201012,344,0
201013,286,0
201014,377,1
201015,336,1
201016,300,0
201017,413,0
201018,406,0
201019,431,1
201020,570,0
201021,579,0
201022,410,0
201023,555,0
201024,604,0
201025,393,1
201026,405,1
201027,395,1
201028,378,0
201029,388,0
201030,484,0
201031,367,0
201032,364,0
201033,348,1
201034,322,0
201035,323,0
201036,346,1
201037,332,0
201038,329,0
201039,339,3
201040,418,1
201041,447,0
201042,454,3
201043,378,1
201044,284,0
201045,446,0
201046,512,0
201047,587,1
201048,699,0
201049,857,1
201050,765,2
201051,591,3
201052,585,2
201101,969,3
201102,1130,0
201103,1105,1
201104,1401,4
201105,1523,4
201106,1712,6
201107,2075,4
201108,2590,0
201109,2614,6
201110,1937,4
201111,3451,3
201112,3519,4
201113,4154,9
201114,4756,7
201115,4465,2
201116,3559,1
201117,3555,1
201118,2921,1
201119,2590,2
201120,2311,3
201121,1892,1
201122,1422,0
201123,1092,1
201124,820,2
201125,603,0
201126,589,0
201127,365,0
201128,363,2
201129,297,0
201130,297,0
201131,227,0
201132,238,0
201133,158,1
201134,207,1
201135,146,0
201136,147,0
201137,136,0
201138,145,1
201139,141,0
201140,148,0
201141,103,0
201142,150,0
201143,108,0
201144,135,0
201145,134,1
201146,99,0
201147,142,0
201148,165,0
201149,176,1
201150,182,1
201151,163,0
201152,155,0
201201,213,0
201202,334,1
201203,477,0
201204,586,2
201205,467,0
201206,597,1
201207,670,0
201208,420,0
201209,755,0
201210,817,1
201211,1067,2
201212,1092,0
201213,1273,3
201214,1184,1
201215,1687,5
201216,2210,3
201217,3534,2
201218,4022,2
201219,6321,1
201220,7040,2
201221,5671,3
201222,3653,1
201223,2450,2
201224,1934,2
201225,1353,3
201226,943,1
201227,658,1
201228,478,1
201229,394,0
201230,381,1
201231,295,1
201232,214,0
201233,190,0
201234,176,0
201235,130,0
201236,111,0
201237,125,0
201238,86,0
201239,98,0
201240,72,0
201241,72,0
201242,101,0
201243,87,1
201244,73,1
201245,97,0
201246,86,0
201247,123,0
201248,82,1
201249,87,1
201250,107,0
201251,66,0
201252,41,0
201301,68,0
201302,120,0
201303,177,0
201304,226,1
201305,356,0
201306,352,0
201307,225,0
201308,451,0
201309,598,1
201310,565,1
201311,635,1
201312,598,2
201313,447,1
201314,797,4
201315,1134,2
201316,1187,5
201317,1140,2
201318,1125,0
201319,1113,0
201320,1167,1
201321,1273,0
201322,975,1
201323,1050,1
201324,967,1
