semana,casos,obitos
201001,87,1
201002,148,0
201003,207,0
201004,337,0
201005,348,0
201006,514,1
201007,439,1
201008,784,0
201009,1049,1
201010,906,1
201011,905,0
201012,971,0
201013,825,1
201014,969,0
201015,779,0
201016,599,0
201017,615,0
201018,1096,1
201019,951,1
201020,899,0
201021,838,0
201022,436,0
201023,358,0
201024,253,0
201025,175,0
201026,87,0
201027,106,0
201028,76,0
201029,90,0
201030,46,0
201031,48,0
201032,42,0
201033,36,0
201034,29,0
201035,17,0
201036,21,0
201037,18,0
201038,21,0
201039,20,0
201040,43,0
201041,25,0
201042,19,0
201043,17,0
201044,17,0
201045,21,0
201046,11,0
201047,28,0
201048,7,0
201049,27,0
201050,30,1
201051,27,0
201052,39,0
201101,40,0
201102,56,0
201103,76,0
201104,73,0
201105,106,0
201106,103,0
201107,113,0
201108,123,1
201109,119,0
201110,71,0
201111,164,0
201112,128,0
201113,205,0
201114,171,0
201115,180,0
201116,133,0
201117,136,0
201118,144,0
201119,148,0
201120,206,0
201121,128,0
201122,119,0
201123,92,0
201124,76,0
201125,34,1
201126,54,0
201127,32,0
201128,26,1
201129,22,0
201130,39,0
201131,32,0
201132,42,0
201133,21,0
201134,35,0
201135,31,0
201136,19,0
201137,38,1
201138,38,0
201139,30,0
201140,24,0
201141,20,0
201142,37,0
201143,28,0
201144,18,0
201145,26,0
201146,11,0
201147,53,1
201148,17,0
201149,35,1
201150,36,0
201151,17,0
201152,11,0
201201,20,0
201202,39,0
201203,42,0
201204,43,0
201205,28,0
201206,39,0
201207,43,0
201208,21,0
201209,57,0
201210,52,0
201211,55,0
201212,77,0
201213,48,0
201214,45,0
201215,56,0
201216,72,0
201217,63,0
201218,59,0
201219,65,0
201220,58,0
201221,50,0
201222,49,0
201223,38,0
201224,64,0
201225,46,0
201226,31,0
201227,39,0
201228,32,0
201229,35,0
201230,27,0
201231,26,0
201232,29,0
201233,25,0
201234,19,0
201235,23,0
201236,12,0
201237,20,0
201238,16,0
201239,16,1
201240,20,0
201241,11,0
201242,18,1
201243,21,0
201244,7,0
201245,17,0
201246,11,0
201247,18,0
201248,24,0
201249,24,0
201250,24,0
201251,17,0
201252,32,0
201301,64,0
201302,145,0
201303,161,0
201304,146,0
201305,180,1
201306,216,0
201307,162,0
201308,262,1
201309,370,0
