semana,casos,obitos
200952,20,0
201001,373,1
201002,397,2
201003,451,4
201004,477,0
201005,526,0
201006,585,6
201007,516,2
201008,966,1
201009,854,3
201010,797,2
201011,792,3
201012,953,7
201013,895,1
201014,1252,5
201015,1529,2
201016,1058,4
201017,1779,7
201018,2049,2
201019,2054,8
201020,2239,5
201021,1873,3
201022,1309,1
201023,1527,5
201024,1249,3
201025,887,4
201026,1038,2
201027,1052,5
201028,1004,2
201029,764,2
201030,768,5
201031,739,3
201032,724,2
201033,664,3
201034,565,1
201035,707,2
201036,375,1
201037,469,2
201038,334,3
201039,281,0
201040,303,2
201041,180,0
201042,224,4
201043,182,2
201044,236,0
201045,310,3
201046,267,2
201047,414,0
201048,502,2
201049,719,0
201050,915,0
201051,601,1
201052,648,4
201101,906,0
201102,1018,6
201103,1266,2
201104,1815,5
201105,2259,6
201106,3491,12
201107,4996,9
201108,5844,10
201109,5596,4
201110,3827,7
201111,6581,11
201112,9484,20
201113,12279,10
201114,14425,11
201115,14136,21
201116,11319,12
201117,13017,15
201118,12009,20
201119,11293,12
201120,9699,14
201121,8508,8
201122,6704,12
201123,4585,8
201124,3136,6
201125,2365,2
201126,2063,6
201127,1486,5
201128,1267,2
201129,1010,2
201130,826,3
201131,696,1
201132,622,2
201133,575,3
201134,472,2
201135,438,1
201136,359,2
201137,430,3
201138,453,2
201139,465,2
201140,613,1
201141,614,2
201142,716,0
201143,705,3
201144,756,2
201145,768,3
201146,684,1
201147,1038,1
201148,956,6
201149,1201,3
201150,1442,7
201151,1450,5
201152,1969,3
201201,1881,1
201202,2263,3
201203,2446,0
201204,2984,1
201205,3005,4
201206,3504,6
201207,4291,5
201208,3938,1
201209,6517,6
201210,7619,5
201211,8713,5
201212,10111,4
201213,11131,9
201214,10945,7
201215,14513,11
201216,17283,11
201217,18955,3
201218,16332,6
201219,17845,5
201220,15242,3
201221,13344,6
201222,11692,3
201223,7700,3
201224,7427,1
201225,5589,7
201226,4199,5
201227,2887,4
201228,2047,1
201229,1597,5
201230,1234,2
201231,1235,0
201232,999,0
201233,938,2
201234,858,1
201235,705,1
201236,596,3
201237,684,1
201238,587,2
201239,424,0
201240,423,2
201241,411,1
201242,451,0
201243,457,0
201244,475,1
201245,625,0
201246,483,1
201247,567,1
201248,706,1
201249,800,2
201250,974,4
201251,902,0
201252,898,0
201301,2031,4
201302,3036,1
201303,4068,5
201304,5493,4
201305,5847,2
201306,6465,3
201307,6196,3
201308,11124,13
201309,14763,7
201310,16974,5
201311,20336,5
201312,20354,16
201313,17576,11
201314,20720,11
201315,20919,10
201316,18778,3
201317,12228,7
201318,9747,6
201319,8366,2
201320,8509,4
201321,5702,6
201322,3566,4
201323,3084,4
201324,2215,2
201325,1848,3
201326,1415,2
201327,1098,2
201328,960,3
201329,634,1
201330,450,1
201331,308,1
201332,375,1
201333,453,2
201334,365,1
201335,248,2
201336,408,1
201337,269,1
201338,214,0
201339,245,1
201340,157,0
201341,185,1
201342,231,0
201343,342,2
201344,175,0
201345,221,0
201346,243,2
201347,247,3
201348,295,0
201349,300,0
201350,398,0
201351,350,1
201352,293,1
201401,335,4
201402,681,1
201403,689,3
201404,578,2
201405,499,0
201406,529,0
201407,496,2
201408,488,2
201409,410,4
201410,240,0
201411,412,1
201412,483,3
201413,416,2
201414,428,1
201415,423,2
201416,329,2
201417,258,0
201418,337,1
201419,410,3
201420,378,2
201421,387,4
201422,274,1
201423,324,0
201424,292,3
201425,261,1
201426,279,2
201427,233,2
201428,213,0
201429,222,1
201430,213,2
201431,183,1
201432,208,1
201433,233,1
201434,214,0
201435,242,3
201436,203,0
201437,157,0
201438,201,0
201439,200,0
201440,217,1
201441,186,2
201442,233,0
201443,201,3
201444,216,0
201445,137,0
201446,182,0
201447,122,1
201448,142,0
201449,162,1
201450,174,0
201451,190,2
201452,168,0
201453,187,1
201501,517,1
201502,808,0
201503,1105,2
201504,1210,2
201505,1135,2
201506,1194,3
201507,1006,2
201508,1524,2
201509,2155,4
201510,2521,4
201511,3193,3
201512,3576,5
201513,2890,1
201514,3861,9
201515,4869,2
201516,3750,5
201517,4716,6
201518,4956,5
201519,4791,3
201520,4187,2
201521,3443,5
201522,2420,2
201523,2760,2
201524,2276,0
201525,1802,2
201526,1676,0
201527,1021,2
201528,1038,2
201529,946,1
201530,1044,0
201531,836,0
201532,878,1
201533,967,1
201534,641,1
201535,683,1
201536,489,1
201537,433,1
201538,471,1
201539,445,0
201540,424,1
201541,404,1
201542,456,0
201543,489,0
201544,466,0
201545,756,2
201546,741,2
201547,1042,2
201548,1441,2
201549,1863,1
201550,2678,3
201551,2102,0
201552,2466,1
201601,4773,1
201602,4653,2
201603,5208,4
201604,4944,5
201605,4763,0
201606,3629,5
201607,5747,6
201608,6084,6
201609,4925,2
201610,4724,3
201611,5232,0
201612,4521,2
201613,6482,5
201614,6571,1
201615,6475,5
201616,4394,2
201617,5534,3
201618,3915,0
201619,3293,5
201620,3031,1
201621,2036,3
201622,1601,3
201623,1692,4
201624,1219,1
201625,749,0
201626,808,1
201627,754,1
201628,715,1
201629,547,1
201630,424,0
201631,248,2
201632,265,0
201633,283,0
201634,309,1
201635,316,0
201636,131,0
201637,282,0
201638,131,0
201639,188,1
201640,89,1
201641,170,1
201642,260,0
201643,188,0
201644,168,0
201645,173,0
201646,214,2
201647,288,0
201648,326,2
201649,347,2
201650,368,2
201651,362,2
201652,312,0
201701,472,0
201702,465,1
201703,594,1
201704,685,4
201705,686,2
201706,626,1
201707,606,0
201708,517,2
201709,326,0
201710,656,0
201711,559,2
201712,528,2
201713,516,5
201714,509,2
201715,350,0
201716,457,2
201717,490,2
201718,502,1
201719,392,1
201720,381,3
201721,412,2
201722,358,0
201723,411,1
201724,237,0
201725,268,1
201726,239,0
201727,253,0
201728,255,2
201729,224,0
201730,181,1
201731,181,2
201732,173,0
201733,123,0
201734,116,0
201735,180,0
201736,99,1
201737,114,1
201738,160,1
201739,154,0
201740,146,0
201741,118,0
