semana,casos,obitos
201001,3868,1
201002,5135,7
201003,6653,0
201004,7567,8
201005,6923,4
201006,6708,3
201007,4715,4
201008,5704,6
201009,5191,9
201010,4334,1
201011,4220,3
201012,3852,1
201013,2855,1
201014,3445,4
201015,3122,3
201016,2511,2
201017,2649,6
201018,2855,6
201019,2206,3
201020,1700,2
201021,1379,2
201022,837,2
201023,1075,0
201024,771,4
201025,670,3
201026,365,0
201027,385,1
201028,306,3
201029,278,1
201030,248,0
201031,243,0
201032,271,2
201033,309,1
201034,307,0
201035,339,0
201036,278,0
201037,356,0
201038,418,1
201039,527,0
201040,573,3
201041,451,0
201042,533,1
201043,497,0
201044,387,1
201045,617,1
201046,606,1
201047,689,1
201048,717,1
201049,1004,1
201050,1007,0
201051,753,0
201052,552,0
201101,850,0
201102,842,0
201103,1000,0
201104,1141,4
201105,1184,0
201106,1256,0
201107,1257,1
201108,1242,4
201109,1108,1
201110,841,2
201111,1071,3
201112,1228,5
201113,1417,2
201114,1496,1
201115,1458,2
201116,1103,1
201117,1452,0
201118,1262,4
201119,1138,2
201120,1158,1
201121,858,1
201122,696,3
201123,676,1
201124,520,1
201125,248,0
201126,290,1
201127,271,1
201128,221,1
201129,257,2
201130,237,2
201131,202,0
201132,201,2
201133,173,0
201134,210,0
201135,172,0
201136,149,1
201137,155,0
201138,221,0
201139,265,0
201140,275,3
201141,291,2
201142,350,2
201143,368,1
201144,324,1
201145,370,2
201146,333,3
201147,374,1
201148,432,0
201149,535,1
201150,519,0
201151,460,2
201152,346,0
201201,454,0
201202,530,0
201203,520,2
201204,589,1
201205,544,0
201206,637,0
201207,658,1
201208,465,1
201209,622,6
201210,627,4
201211,568,1
201212,613,5
201213,629,1
201214,397,0
201215,582,2
201216,637,1
201217,773,0
201218,572,1
201219,846,1
201220,658,3
201221,594,1
201222,661,2
201223,402,1
201224,610,2
201225,590,1
201226,456,1
201227,373,0
201228,374,0
201229,262,1
201230,227,0
201231,271,0
201232,302,1
201233,201,0
201234,210,1
201235,216,1
201236,194,0
201237,259,3
201238,232,2
201239,217,2
201240,320,0
201241,252,2
201242,299,2
201243,306,3
201244,322,2
201245,340,0
201246,291,2
201247,466,0
201248,578,1
201249,522,1
201250,550,0
201251,911,3
201252,668,3
201301,1826,2
201302,3482,3
201303,4866,6
201304,5166,3
201305,6080,3
201306,6375,3
201307,4708,7
201308,7379,9
201309,8881,3
201310,8312,6
201311,7842,5
201312,7631,5
201313,5639,2
201314,6524,3
201315,6229,2
201316,5965,7
201317,5148,9
201318,3938,4
201319,3466,1
201320,3378,0
201321,2759,2
201322,1743,1
201323,1667,1
201324,1413,0
201325,1208,2
201326,955,1
201327,680,0
201328,530,2
201329,475,2
201330,354,0
201331,333,1
201332,358,1
201333,352,2
201334,341,1
201335,300,1
201336,241,0
201337,285,2
201338,287,2
201339,262,3
201340,282,1
201341,336,0
201342,391,0
201343,376,1
201344,357,2
201345,398,1
201346,422,0
201347,703,1
201348,621,1
201349,698,3
201350,825,1
201351,897,1
201352,661,2
201401,866,1
201402,1521,4
201403,1807,2
201404,2091,1
201405,2542,2
201406,2851,2
201407,2807,3
201408,3286,1
201409,3242,2
201410,1910,2
201411,2886,1
201412,3142,2
201413,3502,1
201414,3569,4
201415,3563,1
201416,3261,5
201417,3894,4
201418,3765,6
201419,4200,1
201420,3831,5
201421,3795,0
201422,3510,3
201423,3276,5
201424,2288,2
201425,1654,7
201426,1470,3
201427,1177,1
201428,906,2
201429,792,0
201430,811,3
201431,649,1
201432,629,3
201433,617,2
201434,635,3
201435,503,1
201436,403,2
201437,492,1
201438,494,3
201439,493,4
201440,485,1
201441,589,1
201442,583,3
201443,596,1
201444,622,0
201445,674,3
201446,612,2
201447,876,2
201448,887,1
201449,828,3
201450,910,2
201451,1043,0
201452,725,2
201453,885,1
201501,1815,3
201502,2214,1
201503,3159,4
201504,3955,2
201505,4540,2
201506,4940,1
