semana,casos,obitos
201001,20,0
201002,20,0
201003,28,0
201004,42,0
201005,24,0
201006,37,0
201007,33,0
201008,41,0
201009,64,0
201010,55,0
201011,74,0
201012,68,0
201013,43,0
201014,75,0
201015,56,0
201016,57,0
201017,95,0
201018,109,0
201019,90,0
201020,116,0
201021,77,0
201022,77,0
201023,112,0
201024,113,1
201025,137,0
201026,80,0
201027,101,0
201028,131,2
201029,158,1
201030,156,0
201031,234,0
201032,281,0
201033,325,0
201034,339,0
201035,280,0
201036,214,0
201037,292,0
201038,214,0
201039,165,0
201040,158,0
201041,103,0
201042,135,0
201043,100,0
201044,47,0
201045,67,0
201046,79,0
201047,128,0
201048,75,0
201049,73,0
201050,63,0
201051,54,0
201052,23,0
201101,140,0
201102,256,0
201103,227,2
201104,289,0
201105,326,0
201106,436,1
201107,502,2
201108,448,0
201109,364,1
201110,214,0
201111,387,0
201112,449,0
201113,406,0
201114,392,0
201115,353,0
201116,221,0
201117,306,3
201118,246,0
201119,311,1
201120,326,0
201121,296,0
201122,355,3
201123,280,0
201124,312,0
201125,326,1
201126,248,0
201127,245,3
201128,255,1
201129,246,0
201130,264,0
201131,261,1
201132,249,1
201133,238,1
201134,287,0
201135,295,0
201136,125,2
201137,113,0
201138,110,1
201139,81,0
201140,63,0
201141,48,0
201142,36,1
201143,44,0
201144,44,0
201145,61,0
201146,46,0
201147,94,0
201148,63,0
201149,52,0
201150,83,0
201151,102,0
201152,54,0
201201,86,0
201202,126,0
201203,156,0
201204,121,0
201205,152,0
201206,168,0
201207,208,2
201208,123,1
201209,232,0
201210,211,1
201211,279,0
201212,319,0
201213,256,0
201214,152,0
201215,187,1
201216,219,1
201217,194,0
201218,137,0
201219,174,0
201220,151,0
201221,142,0
201222,142,0
201223,115,0
201224,103,0
201225,135,1
201226,85,0
201227,66,0
201228,68,0
201229,65,0
201230,68,0
201231,52,0
201232,49,1
201233,74,0
201234,44,0
201235,52,0
201236,40,0
201237,51,0
201238,37,0
201239,31,0
201240,32,2
201241,17,1
201242,23,0
201243,19,0
201244,21,0
201245,12,0
201246,15,1
201247,12,0
201248,15,0
201249,16,0
201250,26,0
201251,16,0
201252,14,0
201301,17,2
201302,49,0
201303,49,0
201304,89,0
201305,83,0
201306,116,0
201307,80,0
201308,166,0
201309,162,1
201310,172,0
201311,141,0
201312,85,1
201313,73,0
201314,122,2
201315,176,1
201316,150,0
201317,162,0
201318,129,0
201319,119,1
201320,123,0
201321,129,1
201322,109,0
201323,85,0
201324,97,0
201325,86,1
201326,58,2
201327,66,0
201328,39,0
201329,28,0
201330,37,0
201331,43,0
201332,51,0
201333,42,0
201334,41,0
201335,40,1
201336,28,0
201337,75,2
201338,37,0
201339,25,0
201340,20,0
201341,16,0
201342,16,0
201343,17,0
201344,16,0
201345,26,0
201346,6,0
201347,17,2
201348,18,0
201349,21,0
201350,26,0
201351,27,1
201352,7,0
201401,8,0
201402,14,1
201403,19,0
201404,30,1
201405,33,0
201406,37,1
201407,62,1
201408,70,2
201409,85,0
201410,38,1
201411,78,1
201412,92,0
201413,95,0
201414,88,3
201415,93,0
201416,60,0
201417,130,0
201418,57,0
201419,107,2
201420,87,0
201421,85,0
201422,70,0
201423,60,1
201424,51,0
201425,41,1
201426,67,0
201427,52,0
201428,53,0
201429,44,0
201430,47,0
201431,47,0
201432,58,1
201433,53,1
201434,41,1
201435,36,1
201436,38,0
201437,35,2
201438,43,0
201439,32,1
201440,12,1
201441,22,0
201442,18,0
201443,11,0
201444,12,0
201445,22,0
201446,28,0
201447,23,0
201448,26,0
201449,34,0
201450,32,0
201451,82,0
201452,61,0
201453,52,0
201501,81,0
201502,67,0
201503,151,0
201504,103,0
201505,98,0
201506,139,0
201507,91,1
201508,239,0
201509,365,0
201510,438,2
201511,552,0
201512,594,2
201513,365,0
201514,453,0
201515,513,2
201516,427,1
201517,270,0
201518,320,1
201519,279,1
201520,150,2
201521,129,0
201522,75,0
201523,162,0
201524,107,0
201525,73,0
201526,68,0
201527,102,0
201528,98,0
201529,67,0
201530,52,0
201531,67,0
201532,55,1
201533,33,0
201534,57,1
201535,30,0
201536,25,1
201537,35,0
201538,31,0
201539,59,0
201540,34,0
201541,30,0
201542,49,0
201543,73,0
201544,52,1
201545,46,1
201546,39,0
201547,65,0
201548,137,0
201549,160,0
201550,154,0
201551,58,0
201552,65,0
