semana,casos,obitos
201001,2288,1
201002,3087,0
201003,4116,3
201004,5422,1
201005,6701,2
201006,7592,5
201007,6379,6
201008,11286,6
201009,12204,5
201010,13794,2
201011,15147,9
201012,16560,13
201013,14256,5
201014,20325,5
201015,18952,9
201016,14958,8
201017,16182,8
201018,17221,6
201019,12809,6
201020,10434,6
201021,8074,3
201022,4891,6
201023,3907,5
201024,2254,2
201025,1744,4
201026,1158,3
201027,1011,2
201028,1063,2
201029,700,2
201030,577,0
201031,517,3
201032,431,0
201033,397,1
201034,462,3
201035,460,1
201036,335,2
201037,481,1
201038,478,1
201039,401,1
201040,436,3
201041,286,1
201042,373,3
201043,368,1
201044,325,1
201045,387,1
201046,415,2
201047,630,0
201048,846,1
201049,878,0
201050,973,1
201051,856,1
201052,776,1
201101,1252,1
201102,1597,1
201103,1798,1
201104,2047,5
201105,2108,3
201106,2233,1
201107,2420,2
201108,2424,6
201109,2070,3
201110,1586,0
201111,2629,1
201112,3330,8
201113,3558,3
201114,3190,3
201115,3203,2
201116,2276,2
201117,3115,8
201118,2902,4
201119,2878,1
201120,2556,1
201121,1941,3
201122,1343,1
201123,1036,3
201124,789,3
201125,514,2
201126,558,0
201127,453,2
201128,337,2
201129,316,0
201130,276,1
201131,340,1
201132,305,2
201133,263,0
201134,275,3
201135,244,0
201136,236,3
201137,342,1
201138,295,1
201139,288,3
201140,363,1
201141,291,1
201142,466,0
201143,407,0
201144,462,1
201145,625,1
201146,471,2
201147,654,0
201148,696,0
201149,801,1
201150,852,1
201151,843,1
201152,818,1
201201,995,2
201202,1154,1
201203,1431,3
201204,1451,1
201205,1306,5
201206,1223,5
201207,1149,2
201208,897,3
201209,1384,3
201210,1421,4
201211,1400,0
201212,1524,2
201213,1534,3
201214,1256,2
201215,1747,2
201216,1849,2
201217,1998,5
201218,1461,0
201219,1731,2
201220,1300,2
201221,1248,3
201222,1164,3
201223,976,3
201224,1159,0
201225,1082,3
201226,870,1
201227,781,1
201228,703,2
201229,533,4
201230,522,1
201231,366,1
201232,349,1
201233,291,0
201234,339,1
201235,281,2
201236,255,0
201237,325,1
201238,364,1
201239,315,0
201240,384,2
201241,210,1
201242,316,1
201243,406,0
201244,314,0
201245,436,2
201246,284,1
201247,587,2
201248,517,1
201249,863,1
201250,1205,2
201251,1864,1
201252,2436,4
201301,4451,1
201302,6571,8
201303,9460,4
201304,9534,3
201305,10592,7
201306,12098,9
201307,11557,6
201308,18725,11
201309,25448,11
201310,30696,8
201311,36288,11
201312,46387,8
201313,37173,12
201314,46747,12
201315,44765,11
201316,42861,15
201317,29827,9
201318,18472,8
201319,12656,12
201320,11029,9
201321,9494,7
201322,5152,2
201323,4633,6
201324,3584,3
201325,2395,2
201326,1592,6
201327,1044,0
201328,733,1
201329,579,1
201330,594,2
201331,394,2
201332,381,0
201333,270,0
201334,313,1
201335,304,1
201336,396,1
201337,418,1
201338,429,5
201339,366,0
201340,354,1
201341,317,1
201342,384,2
201343,438,0
201344,406,1
201345,382,1
201346,402,0
201347,544,3
201348,561,2
201349,708,3
201350,715,2
201351,822,1
201352,540,0
201401,799,2
201402,1537,1
201403,1727,5
201404,2012,2
201405,2571,6
201406,2708,2
201407,3338,5
201408,3515,1
201409,3570,8
201410,2694,3
201411,3591,5
201412,3932,2
201413,4664,7
201414,4380,8
201415,5225,2
201416,4537,5
201417,5457,5
201418,4470,4
201419,4538,8
201420,3464,3
201421,3254,6
201422,2792,4
201423,2388,3
201424,1801,3
201425,1375,3
201426,1284,1
201427,818,2
201428,699,2
201429,542,3
201430,528,2
201431,361,1
201432,395,1
201433,343,0
201434,352,0
201435,374,2
201436,362,3
