semana,casos,obitos
201001,1707,0
201002,2080,2
201003,2657,1
201004,3297,3
201005,3852,1
201006,4266,2
201007,4456,4
201008,4487,4
201009,4408,5
201010,3991,6
201011,4394,6
201012,4280,3
201013,3354,5
201014,3233,2
201015,2534,1
201016,2033,5
201017,2096,2
201018,2007,0
201019,1245,0
201020,771,1
201021,474,0
201022,206,1
201023,198,0
201024,189,1
201025,139,0
201026,133,1
201027,165,0
201028,68,1
201029,52,0
201030,51,0
201031,48,0
201032,50,0
201033,31,0
201034,51,0
201035,60,1
201036,104,0
201037,63,0
201038,78,0
201039,56,0
201040,62,0
201041,55,0
201042,57,0
201043,63,0
201044,48,0
201045,117,0
201046,94,0
201047,116,0
201048,110,0
201049,129,0
201050,131,0
201051,122,0
201052,135,0
201101,189,0
201102,174,0
201103,191,1
201104,302,0
201105,273,0
201106,232,0
201107,308,0
201108,350,0
201109,280,0
201110,295,0
201111,452,0
201112,511,0
201113,505,1
201114,494,1
201115,473,0
201116,354,0
201117,422,1
201118,397,0
201119,250,0
201120,215,0
201121,173,0
201122,117,0
201123,84,1
201124,62,0
201125,38,0
201126,34,0
201127,26,0
201128,22,0
201129,17,0
201130,23,0
201131,15,0
201132,29,0
201133,11,0
201134,19,0
201135,11,0
201136,20,0
201137,19,0
201138,18,0
201139,30,0
201140,34,0
201141,11,0
201142,23,0
201143,41,0
201144,27,0
201145,33,0
201146,44,0
201147,50,0
201148,40,1
201149,61,0
201150,68,1
201151,69,0
201152,65,0
201201,76,0
201202,84,0
201203,130,0
201204,121,0
201205,151,0
201206,130,0
201207,157,0
201208,127,1
201209,145,0
201210,127,0
201211,171,0
201212,229,0
201213,247,0
201214,221,1
201215,355,0
201216,473,0
201217,384,1
201218,193,1
201219,263,0
201220,164,1
201221,178,1
201222,208,0
201223,134,0
201224,111,0
201225,115,1
201226,93,1
201227,73,0
201228,70,0
201229,28,0
201230,32,0
201231,33,0
201232,28,0
201233,33,0
201234,27,0
201235,26,0
201236,25,0
201237,40,0
201238,59,0
201239,62,0
201240,43,0
201241,35,0
201242,44,0
201243,60,0
201244,76,0
201245,161,0
201246,192,0
201247,331,1
201248,315,0
201249,377,1
201250,537,1
201251,640,0
201252,927,0
201301,2142,3
201302,3854,2
201303,5594,2
201304,6849,9
201305,7760,4
201306,6722,2
201307,5473,3
201308,5327,3
201309,4780,2
201310,4766,4
201311,4370,4
201312,3628,0
201313,2820,0
201314,2652,1
201315,2409,1
201316,2315,1
201317,1791,1
201318,1367,0
201319,954,1
201320,1023,1
201321,685,0
201322,488,0
201323,306,0
201324,246,1
201325,207,0
201326,177,0
201327,135,0
201328,132,3
201329,103,0
201330,56,0
201331,71,0
201332,59,0
201333,41,0
201334,44,0
201335,29,0
201336,41,0
201337,45,0
201338,30,0
201339,29,0
201340,40,0
201341,28,0
201342,25,0
201343,41,0
201344,52,0
201345,58,0
201346,59,0
201347,58,0
201348,81,0
201349,78,0
201350,77,0
201351,77,1
201352,38,0
201401,62,0
201402,69,0
201403,91,0
201404,111,0
201405,133,1
201406,153,0
201407,187,0
201408,149,0
201409,131,0
201410,62,1
201411,109,0
201412,100,0
201413,122,0
201414,144,0
201415,107,1
201416,90,0
201417,129,0
201418,106,0
201419,121,0
201420,89,0
