semana,casos,obitos
201001,3542,5
201002,3584,6
201003,3505,3
201004,3434,3
201005,2975,6
201006,2772,3
201007,1941,3
201008,2194,4
201009,1767,7
201010,1491,3
201011,1474,3
201012,987,0
201013,779,1
201014,765,2
201015,574,0
201016,515,1
201017,484,2
201018,518,0
201019,236,1
201020,215,3
201021,208,1
201022,150,0
201023,163,1
201024,141,0
201025,110,0
201026,96,0
201027,121,0
201028,86,0
201029,76,1
201030,74,0
201031,74,0
201032,66,0
201033,65,1
201034,55,0
201035,65,0
201036,45,1
201037,87,0
201038,71,0
201039,68,2
201040,69,0
201041,56,0
201042,70,0
201043,90,0
201044,78,0
201045,129,0
201046,136,0
201047,189,0
201048,266,1
201049,337,0
201050,340,0
201051,219,0
201052,172,0
201101,287,0
201102,267,0
201103,268,2
201104,287,1
201105,262,0
201106,222,0
201107,206,0
201108,182,2
201109,206,0
201110,159,1
201111,203,0
201112,205,1
201113,226,0
201114,226,0
201115,178,0
201116,141,0
201117,90,0
201118,74,0
201119,70,0
201120,63,1
201121,52,0
201122,57,0
201123,46,0
201124,63,0
201125,65,0
201126,55,0
201127,34,0
201128,43,1
201129,50,0
201130,46,0
201131,49,0
201132,35,0
201133,41,0
201134,48,0
201135,46,0
201136,43,0
201137,65,0
201138,79,0
201139,54,0
201140,59,0
201141,42,0
201142,70,0
201143,84,0
201144,61,0
201145,111,0
201146,92,0
201147,177,0
201148,152,0
201149,189,0
201150,193,0
201151,179,1
201152,167,0
201201,228,0
201202,307,0
201203,420,0
201204,464,0
201205,456,0
201206,543,0
201207,672,1
201208,762,1
201209,982,0
201210,1017,1
201211,1065,0
201212,1344,1
201213,1449,1
201214,1082,0
201215,1356,0
201216,1443,2
201217,1756,1
201218,1167,1
201219,1371,0
201220,1233,3
201221,1184,3
201222,1107,1
201223,609,0
201224,719,2
201225,578,0
201226,655,0
201227,580,2
201228,493,1
201229,391,0
201230,338,0
201231,355,0
201232,299,0
201233,307,0
201234,251,0
201235,182,0
201236,124,0
201237,130,0
201238,157,0
201239,133,0
201240,173,0
201241,152,0
201242,216,1
201243,248,1
201244,235,0
201245,279,0
201246,288,0
201247,451,0
201248,606,0
201249,595,0
201250,705,2
201251,716,1
201252,604,0
201301,1081,0
201302,1768,0
201303,1927,1
201304,2248,3
201305,2347,1
201306,2127,2
201307,1633,1
201308,1995,1
201309,2152,2
201310,2007,2
201311,1834,0
201312,1707,1
201313,1178,1
201314,1335,0
201315,1375,0
201316,1052,2
201317,963,0
201318,704,2
201319,668,1
201320,602,2
201321,555,2
201322,328,0
201323,343,2
201324,217,1
201325,266,1
201326,222,1
201327,172,0
201328,185,0
201329,153,0
201330,92,0
201331,112,1
201332,128,0
201333,91,0
201334,89,0
201335,70,0
201336,68,0
201337,71,0
201338,84,0
201339,91,0
201340,93,0
201341,89,0
201342,89,0
201343,132,0
201344,110,0
201345,126,0
201346,154,0
201347,204,0
201348,197,0
201349,241,1
201350,216,0
201351,185,1
201352,97,0
201401,113,1
201402,229,0
201403,228,1
