semana,casos,obitos
201001,107,0
201002,139,0
201003,126,0
201004,182,0
201005,185,0
201006,231,0
201007,147,0
201008,289,0
201009,304,0
201010,397,1
201011,482,0
201012,484,1
201013,330,0
201014,397,0
201015,390,0
201016,272,0
201017,262,0
201018,276,1
201019,266,0
201020,310,2
201021,257,0
201022,221,1
201023,291,1
201024,253,1
201025,262,1
201026,210,1
201027,204,0
201028,175,0
201029,201,0
201030,177,0
201031,195,0
201032,302,1
201033,310,1
201034,317,2
201035,312,0
201036,223,2
201037,271,1
201038,269,1
201039,273,0
201040,288,2
201041,261,0
201042,322,1
201043,291,0
201044,278,0
201045,356,3
201046,445,0
201047,482,0
201048,767,0
201049,564,0
201050,536,0
201051,397,1
201052,367,1
201101,692,1
201102,694,1
201103,723,2
201104,1034,0
201105,1176,3
201106,1209,1
201107,1141,3
201108,1200,1
201109,1026,0
201110,579,1
201111,933,1
201112,854,3
201113,789,2
201114,644,2
201115,608,0
201116,250,1
201117,386,0
201118,253,1
201119,247,0
201120,224,1
201121,160,0
201122,149,0
201123,123,0
201124,105,1
201125,80,0
201126,79,0
201127,105,2
201128,74,0
201129,64,1
201130,68,0
201131,77,0
201132,83,0
201133,82,1
201134,104,1
201135,94,1
201136,94,0
201137,102,0
201138,76,0
201139,111,0
201140,83,1
201141,64,0
201142,109,0
201143,109,1
201144,119,0
201145,175,1
201146,204,0
201147,301,0
201148,253,0
201149,305,0
201150,404,0
201151,335,0
201152,301,0
201201,424,0
201202,495,1
201203,575,2
201204,673,1
201205,710,1
201206,882,1
201207,876,0
201208,470,0
201209,845,0
201210,732,0
201211,841,1
201212,809,0
201213,580,0
201214,452,0
201215,494,0
201216,463,0
201217,377,0
201218,294,0
201219,296,0
201220,297,1
201221,246,2
201222,198,0
201223,140,0
201224,183,0
201225,183,0
201226,149,0
201227,150,0
201228,133,0
201229,160,0
201230,158,0
201231,215,0
201232,214,0
201233,182,0
201234,224,0
201235,176,0
201236,122,0
201237,181,1
201238,141,0
201239,126,0
201240,110,0
201241,93,0
201242,92,0
201243,117,0
201244,78,2
201245,125,0
201246,138,0
201247,228,0
201248,206,1
201249,192,0
201250,170,1
201251,115,0
201252,70,0
201301,120,0
201302,227,0
201303,310,0
201304,463,2
201305,520,0
