semana,casos,obitos
200952,2,0
201001,16,0
201002,17,0
201003,25,0
201004,46,0
201005,50,0
201006,76,0
201007,63,0
201008,108,0
201009,90,0
201010,143,0
201011,129,0
201012,161,0
201013,112,0
201014,103,0
201015,102,0
201016,114,0
201017,157,0
201018,178,0
201019,213,0
201020,319,0
201021,259,0
201022,241,0
201023,353,0
201024,273,3
201025,198,0
201026,308,1
201027,344,1
201028,290,2
201029,302,0
201030,306,0
201031,251,1
201032,237,0
201033,189,0
201034,237,0
201035,219,0
201036,190,0
201037,199,0
201038,193,0
201039,172,0
201040,153,0
201041,146,0
201042,155,0
201043,134,0
201044,114,0
201045,134,0
201046,121,0
201047,140,0
201048,138,0
201049,99,0
201050,152,0
201051,128,0
201052,100,0
201101,190,0
201102,173,1
201103,192,1
201104,253,0
201105,261,1
201106,399,0
201107,493,0
201108,677,0
201109,604,0
201110,516,1
201111,851,0
201112,911,2
201113,1106,0
201114,1033,1
201115,896,0
201116,533,0
201117,742,0
201118,540,0
201119,589,0
201120,687,1
201121,562,1
201122,528,3
201123,476,0
201124,419,0
201125,314,0
201126,331,0
201127,261,2
201128,202,1
201129,172,0
201130,172,1
201131,116,0
201132,121,2
201133,92,0
201134,88,0
201135,76,1
201136,83,0
201137,70,0
201138,67,0
201139,50,0
201140,49,0
201141,48,0
201142,40,1
201143,36,0
201144,36,0
201145,42,0
201146,45,0
201147,47,0
201148,34,1
201149,48,0
201150,51,0
201151,37,0
201152,33,0
201201,34,0
201202,43,0
201203,40,1
201204,67,1
201205,50,0
201206,82,0
201207,70,0
201208,63,0
201209,130,0
201210,156,1
201211,180,1
201212,239,1
201213,312,1
201214,260,0
201215,429,0
201216,620,1
201217,627,0
201218,531,2
201219,727,1
201220,716,0
201221,642,1
201222,435,1
201223,383,1
201224,421,3
201225,360,1
201226,308,1
201227,324,0
201228,305,3
201229,282,2
201230,262,2
201231,288,1
201232,253,0
201233,294,0
201234,232,2
201235,193,0
201236,149,1
201237,115,0
201238,129,0
201239,88,0
201240,94,1
201241,61,0
201242,65,0
201243,62,0
201244,58,1
201245,41,0
201246,57,1
201247,33,1
201248,26,1
201249,35,0
201250,43,0
201251,54,0
201252,32,0
201301,44,1
201302,74,1
201303,147,0
201304,135,0
201305,182,2
201306,207,0
201307,160,1
201308,316,0
201309,399,1
201310,291,0
201311,447,2
201312,341,0
201313,353,2
201314,470,0
201315,599,1
201316,574,0
201317,629,4
201318,671,1
201319,650,1
201320,754,0
201321,736,0
201322,684,1
201323,685,4
201324,725,1
201325,687,1
201326,459,0
201327,536,0
201328,532,2
201329,489,3
201330,506,1
201331,463,0
201332,378,1
201333,445,0
201334,460,1
201335,341,0
201336,355,1
201337,264,0
201338,192,0
201339,222,3
201340,189,0
201341,157,0
201342,184,0
201343,162,0
201344,112,0
201345,99,0
201346,119,0
201347,106,1
201348,93,0
201349,107,1
201350,122,0
201351,93,0
201352,86,0
201401,75,0
201402,124,1
201403,104,0
201404,116,0
201405,139,0
201406,126,1
201407,162,0
201408,169,0
201409,152,0
201410,115,1
201411,171,0
201412,179,1
201413,193,1
201414,209,1
201415,270,2
201416,219,0
201417,256,0
201418,217,3
201419,317,0
201420,368,0
201421,340,1
201422,282,0
201423,318,0
201424,263,0
201425,221,0
201426,163,1
201427,163,0
201428,192,0
201429,171,0
201430,162,1
201431,148,0
201432,117,0
201433,95,0
201434,87,0
201435,88,1
201436,82,1
201437,80,0
201438,78,1
201439,70,0
201440,63,0
201441,75,1
201442,72,0
201443,66,0
201444,68,1
201445,83,0
201446,73,0
201447,48,0
201448,46,2
201449,71,0
201450,62,0
201451,43,0
201452,35,1
201453,30,1
201501,85,0
201502,75,0
201503,88,0
201504,121,1
201505,135,1
201506,175,1
201507,158,0
201508,258,0
201509,375,0
201510,635,1
201511,761,0
201512,1022,0
201513,823,1
201514,1239,2
201515,1442,0
201516,1205,3
201517,1207,1
201518,1513,0
201519,1783,1
201520,1954,0
201521,1916,3
201522,1609,0
201523,1189,0
201524,808,2
201525,578,1
201526,633,0
201527,672,1
201528,616,0
201529,490,1
201530,448,0
201531,341,0
201532,279,1
201533,233,0
201534,211,0
201535,153,0
201536,129,1
201537,157,0
201538,123,1
201539,87,0
201540,83,2
201541,63,0
201542,56,0
201543,59,0
201544,54,0
201545,72,0
201546,119,0
201547,175,0
201548,435,0
201549,856,0
201550,800,0
201551,831,0
201552,955,1
201601,915,1
201602,925,0
201603,1266,3
201604,1551,2
201605,1688,2
201606,1639,2
201607,2484,1
201608,2697,3
201609,2841,3
201610,3045,5
201611,2807,7
201612,2196,2
201613,2495,4
201614,2405,3
201615,1926,0
201616,1518,3
201617,1435,3
201618,1288,2
201619,1206,2
201620,1196,3
201621,923,1
201622,838,1
201623,845,1
201624,711,1
201625,539,1
201626,726,1
201627,572,1
201628,268,0
201629,256,3
201630,201,1
201631,118,0
201632,102,2
201633,120,2
201634,76,0
201635,81,0
201636,73,0
201637,54,0
201638,49,0
201639,23,0
201640,73,0
201641,38,0
201642,148,1
201643,54,0
201644,28,0
201645,74,1
201646,20,1
201647,21,1
201648,17,1
201649,22,0
201650,12,0
201651,18,0
201652,18,0
201701,26,0
201702,32,0
201703,57,0
201704,43,2
201705,73,1
201706,83,0
201707,70,0
201708,97,0
201709,68,1
201710,135,1
201711,117,0
201712,150,1
201713,139,0
201714,97,0
201715,86,0
201716,90,0
201717,98,1
201718,61,0
201719,91,0
201720,68,1
201721,76,0
201722,105,0
201723,107,2
201724,108,1
201725,91,3
201726,80,0
201727,89,0
201728,99,0
201729,84,0
201730,89,0
201731,134,0
201732,104,0
201733,139,4
201734,126,0
201735,141,1
201736,56,1
201737,82,0
201738,82,0
201739,83,1
201740,99,1
201741,85,0
201742,69,0
201743,77,1
201744,93,1
201745,63,0
201746,84,2
201747,82,1
201748,72,0
201749,47,1
201750,65,0
201751,94,0
201752,50,0
201801,36,1
201802,67,1
201803,158,0
201804,107,0
201805,77,1
201806,98,1
201807,72,1
201808,160,0
201809,144,0
201810,126,0
201811,132,1
201812,193,1
201813,168,2
201814,364,1
201815,384,1
201816,551,0
201817,712,2
201818,578,2
201819,729,2
201820,793,2
201821,682,4
201822,547,2
201823,602,2
201824,568,2
201825,446,2
201826,396,2
201827,287,1
201828,321,1
201829,329,2
201830,339,1
201831,278,1
201832,265,0
201833,184,0
201834,198,0
201835,129,1
201836,116,1
201837,81,0
201838,92,0
201839,79,1
201840,76,0
201841,84,0
201842,85,0
201843,75,0
201844,70,0
201845,82,0
201846,47,0
201847,87,1
201848,84,0
201849,101,0
201850,57,0
201851,59,0
201852,41,1
201901,29,1
201902,91,0
201903,89,0
201904,102,0
201905,117,1
201906,122,2
201907,145,2
201908,217,0
201909,177,0
201910,168,0
201911,264,2
201912,348,1
201913,350,2
201914,421,2
201915,518,2
201916,578,2
201917,793,6
201918,796,4
201919,974,1
201920,963,1
201921,874,1
201922,884,1
201923,972,2
201924,766,2
201925,534,2
201926,615,0
201927,672,4
201928,698,2
201929,689,1
201930,652,3
201931,591,0
201932,584,0
201933,613,0
201934,417,0
201935,759,1
201936,380,0
201937,296,0
201938,380,1
201939,270,1
201940,283,1
201941,229,1
201942,187,0
201943,156,0
201944,182,0
201945,146,1
201946,128,0
201947,125,0
201948,139,0
201949,125,0
201950,84,0
201951,117,0
201952,86,0
202001,114,0
202002,124,0
202003,113,2
202004,147,0
202005,167,0
202006,187,1
202007,177,2
202008,168,0
202009,198,1
202010,164,0
202011,177,0
202012,126,1
202013,69,0
202014,69,0
202015,111,0
202016,151,1
202017,218,0
202018,220,0
202019,235,2
202020,280,0
202021,293,1
202022,303,1
202023,295,1
202024,234,1
202025,243,1
202026,221,0
202027,304,1
202028,327,2
202029,292,0
202030,273,0
202031,211,3
202032,197,0
202033,197,1
202034,175,1
202035,155,0
202036,153,0
202037,118,0
202038,114,0
202039,108,0
202040,109,1
202041,132,0
202042,77,1
202043,83,0
202044,82,0
202045,83,2
202046,66,0
202047,83,0
202048,53,0
202049,47,0
202050,58,1
202051,37,2
202052,29,0
202053,11,0
202101,35,0
202102,46,0
202103,56,0
202104,70,0
202105,66,0
202106,117,0
202107,128,1
202108,111,0
202109,122,0
202110,157,0
202111,153,1
202112,188,0
202113,119,0
202114,218,1
202115,265,0
202116,256,0
202117,324,0
202118,354,0
202119,367,2
202120,467,0
202121,548,1
202122,633,0
202123,744,0
202124,665,1
202125,703,0
202126,847,1
202127,844,1
202128,869,0
202129,977,1
202130,820,1
202131,722,0
202132,750,1
202133,707,0
202134,601,0
202135,620,0
202136,508,0
202137,550,0
202138,584,1
202139,616,0
202140,489,0
202141,414,1
202142,371,0
202143,415,1
202144,446,0
202145,438,0
202146,339,1
202147,383,0
202148,378,0
202149,349,0
202150,434,0
202151,437,0
202152,171,0
202201,95,0
202202,195,0
202203,211,1
202204,273,0
202205,290,1
202206,302,0
202207,428,0
202208,567,0
202209,409,0
202210,756,2
202211,834,0
202212,920,1
202213,1021,1
202214,1139,0
202215,923,2
202216,1378,2
202217,1657,1
202218,1877,5
202219,2205,0
202220,2462,5
202221,2087,0
202222,2106,1
202223,2050,3
202224,1716,2
202225,1511,1
202226,1846,0
202227,1679,0
202228,1338,1
202229,1267,3
202230,1324,0
202231,1036,1
202232,847,2
202233,850,2
202234,869,3
202235,698,2
202236,612,1
202237,595,2
202238,524,0
202239,330,0
202240,278,0
202241,281,1
202242,229,1
202243,178,1
202244,185,1
202245,209,1
202246,144,0
202247,146,2
202248,113,1
202249,122,0
202250,70,1
202251,57,1
202252,82,0
