semana,casos,obitos
201001,52,1
201002,62,0
201003,72,0
201004,109,1
201005,165,0
201006,235,0
201007,183,0
201008,404,0
201009,445,0
201010,431,0
201011,623,0
201012,700,0
201013,534,0
201014,625,0
201015,631,1
201016,623,2
201017,767,1
201018,940,2
201019,1178,1
201020,1537,1
201021,1833,1
201022,1887,0
201023,2163,3
201024,1720,1
201025,1166,4
201026,1726,2
201027,1712,6
201028,1419,0
201029,1455,0
201030,1530,1
201031,1094,0
201032,989,0
201033,1098,0
201034,710,0
201035,540,1
201036,357,1
201037,359,1
201038,334,0
201039,235,1
201040,181,0
201041,166,0
201042,128,2
201043,155,0
201044,125,0
201045,168,0
201046,171,0
201047,157,0
201048,216,0
201049,161,0
201050,183,0
201051,116,0
201052,172,0
201101,112,1
201102,153,0
201103,152,0
201104,199,0
201105,250,2
201106,353,2
201107,404,1
201108,379,2
201109,372,1
201110,343,1
201111,617,0
201112,762,1
201113,772,0
201114,846,2
201115,805,1
201116,467,1
201117,716,1
201118,648,2
201119,593,0
201120,729,5
201121,652,3
201122,606,1
201123,551,3
201124,431,3
201125,271,1
201126,421,1
201127,354,1
201128,303,3
201129,300,1
201130,209,4
201131,253,4
201132,260,0
201133,212,1
201134,181,0
201135,149,0
201136,154,2
201137,185,1
201138,155,1
201139,167,0
201140,189,0
201141,169,0
201142,162,0
201143,176,0
201144,205,0
201145,274,1
201146,273,1
201147,327,0
201148,304,0
201149,372,0
201150,526,1
201151,425,0
201152,390,0
201201,573,0
201202,775,0
201203,806,0
201204,803,2
201205,922,1
201206,1175,0
201207,1242,1
201208,1035,0
201209,1633,4
201210,1572,1
201211,1914,1
201212,2113,1
201213,1971,3
201214,1441,0
201215,1865,0
201216,1739,3
201217,1629,0
201218,1034,0
201219,1170,1
201220,875,1
201221,758,0
201222,621,0
201223,567,1
201224,549,0
201225,361,2
201226,352,2
201227,310,1
201228,336,1
201229,335,1
201230,302,3
201231,247,2
201232,216,1
201233,152,0
201234,166,0
201235,105,0
201236,67,1
201237,70,0
201238,98,0
201239,84,1
201240,54,1
201241,69,0
201242,62,0
201243,55,0
201244,55,1
201245,84,0
201246,54,1
201247,61,0
