semana,casos,obitos
201001,272,1
201002,265,1
201003,318,3
201004,313,0
201005,375,0
201006,398,1
201007,379,1
201008,698,0
201009,654,1
201010,589,1
201011,597,0
201012,740,5
201013,700,1
201014,999,1
201015,1254,1
201016,812,2
201017,1427,3
201018,1612,1
201019,1616,4
201020,1734,3
201021,1408,1
201022,1027,1
201023,1205,3
201024,902,0
201025,660,4
201026,673,1
201027,637,2
201028,558,1
201029,441,2
201030,415,2
201031,448,2
201032,442,1
201033,415,0
201034,298,0
201035,416,1
201036,219,0
201037,257,1
201038,175,0
201039,142,0
201040,152,1
201041,99,0
201042,127,0
201043,112,0
201044,154,0
201045,214,1
201046,179,0
201047,242,0
201048,307,1
201049,497,0
201050,627,0
201051,441,0
201052,486,1
201101,647,0
201102,796,0
201103,1000,0
201104,1515,2
201105,1862,1
201106,2889,8
201107,4299,5
201108,5072,8
201109,4836,0
201110,3266,7
201111,5622,5
201112,8023,9
201113,10652,6
201114,12588,9
201115,12558,16
201116,10001,7
201117,11693,7
201118,10771,18
201119,9973,10
201120,8715,10
201121,7486,6
201122,5939,6
201123,3986,5
201124,2712,2
201125,2047,0
201126,1706,3
201127,1266,3
201128,1032,1
201129,827,1
201130,681,0
201131,514,1
201132,441,1
201133,431,3
201134,354,0
201135,311,1
201136,280,1
201137,291,1
201138,338,1
201139,324,1
201140,408,0
201141,427,0
201142,502,0
201143,486,0
201144,525,0
201145,531,0
201146,468,0
201147,745,0
201148,740,2
201149,912,0
201150,1143,4
201151,1153,1
201152,1723,1
201201,1342,1
201202,1533,0
201203,1777,0
201204,2179,0
201205,2283,0
201206,2655,2
201207,3296,0
201208,3228,0
201209,5217,3
201210,6220,3
201211,6819,1
201212,7645,4
201213,8063,5
201214,8300,4
201215,10786,2
201216,12557,6
201217,13373,1
201218,10610,3
201219,11609,2
201220,10019,3
201221,8454,4
201222,7488,3
201223,5351,2
201224,5589,0
201225,4395,2
201226,3396,2
201227,2372,3
201228,1652,0
201229,1329,3
201230,983,0
201231,984,0
201232,806,0
201233,728,0
201234,658,0
201235,526,0
201236,444,1
201237,536,0
201238,458,0
201239,341,0
201240,292,1
201241,294,0
201242,328,0
201243,321,0
201244,361,0
201245,453,0
201246,354,0
201247,419,1
201248,516,0
201249,607,1
201250,692,2
201251,675,0
201252,748,0
201301,1574,3
201302,2451,0
201303,3173,2
201304,4477,0
201305,4772,1
201306,5259,0
201307,5176,1
201308,9468,9
201309,12698,2
201310,14608,2
201311,17487,3
201312,17311,8
201313,15129,7
201314,17434,5
201315,17332,5
201316,15846,1
201317,10229,6
201318,8072,2
201319,6873,1
201320,7230,4
201321,4708,4
201322,2992,2
201323,2420,2
201324,1744,2
201325,1435,1
201326,1092,0
201327,868,2
201328,755,1
201329,485,0
201330,334,1
201331,227,0
201332,280,0
201333,367,1
201334,258,0
201335,173,0
201336,331,0
201337,172,0
201338,144,0
201339,184,1
201340,108,0
201341,125,0
201342,164,0
201343,256,1
201344,114,0
201345,157,0
201346,181,1
201347,170,0
201348,212,0
201349,225,0
201350,281,0
201351,223,1
201352,216,0
201401,201,2
201402,384,0
201403,405,2
201404,309,1
201405,264,0
201406,306,0
201407,271,1
201408,239,1
201409,195,1
201410,116,0
201411,204,0
201412,250,0
201413,204,1
201414,192,1
201415,211,0
201416,156,1
201417,134,0
201418,200,0
201419,218,0
201420,185,0
201421,181,1
201422,135,0
201423,153,0
201424,132,0
201425,128,0
201426,117,0
201427,101,2
201428,98,0
201429,100,1
201430,82,0
201431,64,0
201432,94,0
201433,84,1
201434,84,0
201435,96,0
201436,88,0
201437,79,0
201438,89,0
201439,88,0
201440,93,0
201441,75,1
201442,102,0
201443,108,1
201444,141,0
201445,69,0
201446,84,0
201447,73,0
201448,71,0
201449,84,0
201450,87,0
201451,124,0
201452,89,0
201453,108,1
201501,345,1
201502,549,0
201503,760,1
201504,826,0
201505,718,2
201506,803,1
201507,751,1
201508,1061,0
201509,1578,3
201510,1927,1
201511,2487,1
201512,2600,2
201513,2257,1
201514,3028,3
201515,3867,1
201516,2955,3
201517,3741,2
201518,4123,2
201519,3896,0
201520,3309,1
201521,2791,3
201522,2008,0
201523,2305,0
201524,1892,0
201525,1459,0
201526,1430,0
201527,847,1
201528,846,1
201529,791,0
201530,837,0
201531,709,0
201532,724,0
201533,841,0
201534,534,0
201535,586,0
201536,375,0
201537,358,0
201538,399,1
201539,349,0
201540,351,1
201541,317,0
201542,359,0
201543,373,0
201544,366,0
