semana,casos,obitos
201001,32,0
201002,18,0
201003,30,0
201004,24,0
201005,26,0
201006,26,0
201007,21,0
201008,42,0
201009,40,0
201010,37,0
201011,47,1
201012,59,0
201013,59,0
201014,66,0
201015,91,0
201016,66,0
201017,94,0
201018,116,0
201019,109,0
201020,158,0
201021,190,0
201022,151,1
201023,222,1
201024,236,1
201025,229,0
201026,286,0
201027,287,1
201028,327,1
201029,371,0
201030,281,1
201031,307,0
201032,323,0
201033,272,1
201034,182,0
201035,194,0
201036,190,0
201037,212,0
201038,166,0
201039,165,2
201040,189,0
201041,149,0
201042,183,0
201043,148,0
201044,133,0
201045,161,0
201046,164,0
201047,197,0
201048,171,0
201049,191,0
201050,165,0
201051,152,0
201052,172,0
201101,183,0
201102,166,0
201103,216,0
201104,313,1
201105,448,0
201106,522,0
201107,523,0
201108,640,0
201109,681,3
201110,577,1
201111,1015,1
201112,1210,0
201113,1249,5
201114,1286,0
201115,1261,1
201116,884,2
201117,1136,2
201118,1070,0
201119,947,1
201120,1082,0
201121,802,1
201122,858,5
201123,894,1
201124,722,1
201125,505,1
201126,454,4
201127,433,0
201128,378,0
201129,281,0
201130,241,1
201131,259,1
201132,215,0
201133,171,1
201134,155,0
201135,97,0
201136,88,1
201137,104,0
201138,81,0
201139,89,1
201140,82,0
201141,100,0
201142,79,0
201143,85,0
201144,114,0
201145,103,4
201146,109,0
201147,88,2
201148,90,1
201149,97,0
201150,151,0
201151,186,0
201152,138,1
201201,226,0
201202,315,1
201203,227,0
201204,221,1
201205,327,1
201206,473,0
201207,408,0
201208,278,2
201209,653,2
201210,594,0
201211,812,1
201212,924,3
201213,1191,3
201214,1082,0
201215,1497,0
201216,1457,1
201217,1851,2
201218,1709,1
201219,1569,1
201220,1535,1
201221,1334,1
201222,1017,0
201223,950,1
201224,1061,0
201225,855,1
201226,659,0
201227,747,1
201228,592,0
201229,502,0
201230,559,2
201231,433,0
201232,390,1
201233,394,0
201234,341,0
201235,200,0
201236,202,0
201237,177,0
201238,150,0
201239,119,0
201240,75,0
201241,84,0
201242,108,0
201243,102,1
201244,96,0
201245,76,0
201246,130,0
201247,150,0
201248,100,0
201249,119,0
201250,116,1
201251,129,0
201252,121,0
201301,181,0
201302,290,0
201303,223,0
201304,305,0
201305,247,0
201306,247,1
201307,198,1
201308,344,1
201309,430,0
201310,434,0
201311,373,0
201312,372,0
201313,332,0
201314,460,0
201315,734,3
201316,733,1
201317,597,0
201318,545,0
201319,823,1
201320,713,1
201321,580,0
201322,573,1
201323,660,2
201324,498,1
201325,549,1
201326,638,2
201327,533,1
201328,528,2
201329,515,1
201330,508,1
201331,454,2
201332,507,0
201333,453,0
201334,473,1
201335,385,0
201336,285,0
201337,274,0
201338,247,1
201339,235,0
201340,204,0
201341,231,0
201342,134,1
201343,147,0
201344,145,0
201345,136,0
201346,136,1
201347,222,1
201348,230,0
201349,155,1
201350,169,1
201351,103,0
201352,70,0
201401,48,0
201402,97,0
201403,97,0
201404,122,0
201405,163,0
201406,215,0
201407,266,0
201408,281,0
201409,196,0
201410,157,0
201411,226,0
201412,208,0
201413,252,0
201414,292,1
201415,313,0
201416,270,1
201417,338,2
201418,349,0
201419,461,0
201420,526,1
201421,664,3
201422,517,1
201423,399,1
201424,265,3
201425,310,1
201426,315,0
201427,324,0
201428,321,2
201429,238,0
201430,188,1
201431,194,0
201432,187,0
201433,199,0
201434,184,0
201435,123,1
201436,146,0
201437,114,0
201438,100,0
201439,107,0
201440,138,0
201441,139,0
201442,129,1
201443,144,0
201444,91,0
201445,140,1
201446,162,0
201447,132,1
201448,125,0
201449,147,2
201450,134,1
201451,155,0
201452,132,0
201453,116,0
201501,188,0
201502,317,0
201503,396,1
201504,365,0
201505,408,0
201506,509,0
201507,422,0
201508,855,0
201509,835,0
201510,1201,1
201511,1416,0
201512,1738,0
201513,1319,0
201514,1756,0
201515,1933,0
201516,1307,1
201517,1253,1
201518,1032,1
201519,882,0
201520,621,0
201521,579,0
201522,389,0
201523,342,1
201524,212,0
201525,159,0
201526,148,0
201527,113,0
201528,115,1
201529,91,0
201530,93,1
201531,118,0
201532,65,1
201533,69,0
201534,61,0
201535,39,0
201536,34,0
201537,43,1
201538,55,2
201539,52,0
201540,52,0
201541,60,0
201542,56,1
201543,71,0
201544,37,1
201545,57,0
201546,67,0
201547,85,1
201548,128,1
201549,207,1
201550,202,0
201551,184,1
201552,223,1
201601,329,3
201602,606,0
201603,835,0
201604,1381,0
201605,2021,1
201606,2343,0
201607,4993,5
201608,5114,3
201609,4952,7
201610,5274,3
201611,4654,8
201612,3239,3
201613,3488,10
201614,2174,9
201615,1696,5
201616,1301,1
201617,1336,0
201618,1184,1
201619,1030,1
201620,1144,1
201621,995,0
201622,1101,0
201623,711,0
201624,736,0
201625,485,1
201626,485,0
201627,377,0
201628,496,0
201629,324,0
201630,291,3
201631,157,2
201632,212,0
201633,226,0
201634,156,1
201635,148,2
201636,97,0
201637,75,0
201638,97,0
201639,75,0
201640,48,0
201641,51,1
201642,58,0
201643,47,0
201644,44,0
201645,43,1
201646,62,2
201647,49,0
201648,67,0
201649,74,0
201650,67,0
201651,52,0
201652,56,1
201701,96,0
201702,105,0
201703,126,1
201704,101,2
201705,106,0
201706,135,0
201707,144,0
201708,193,1
201709,175,0
201710,307,0
201711,273,3
201712,245,2
201713,193,0
201714,225,1
201715,228,1
201716,271,0
201717,252,1
201718,216,0
201719,164,1
201720,171,0
201721,115,0
201722,113,0
201723,163,3
201724,193,0
201725,143,1
201726,110,0
201727,112,0
201728,102,0
201729,150,0
201730,120,0
201731,118,0
201732,161,1
201733,183,1
201734,158,0
201735,127,1
201736,97,1
201737,118,3
201738,124,0
201739,80,0
201740,94,0
201741,118,0
201742,119,0
201743,111,0
201744,92,0
201745,148,0
201746,79,0
201747,70,0
201748,92,0
201749,101,0
201750,103,1
201751,69,1
201752,75,0
201801,53,0
201802,67,0
201803,84,1
201804,98,0
201805,113,0
201806,143,0
201807,133,1
201808,189,0
201809,195,0
201810,306,0
201811,342,1
201812,576,1
201813,445,1
201814,693,1
201815,879,1
201816,1117,5
201817,1089,0
201818,1105,1
201819,1151,1
201820,939,1
201821,1000,0
201822,886,2
201823,812,1
201824,959,4
201825,928,2
201826,814,1
201827,734,0
201828,700,6
201829,750,2
201830,681,0
201831,524,1
201832,574,2
201833,471,0
201834,506,0
201835,426,0
201836,391,0
201837,361,1
201838,259,0
201839,245,1
201840,200,0
201841,187,1
201842,206,2
201843,152,0
201844,131,0
201845,186,0
201846,157,0
201847,168,0
201848,191,0
201849,110,0
201850,141,0
201851,105,0
201852,135,1
201901,80,1
201902,121,0
201903,117,0
201904,115,0
201905,104,0
201906,115,0
201907,133,0
201908,130,1
201909,173,0
201910,125,0
201911,234,0
201912,402,1
201913,424,0
201914,563,0
201915,836,1
201916,1002,1
201917,1019,2
201918,1128,1
201919,1191,0
201920,1382,0
201921,1823,0
201922,1619,0
201923,1489,0
201924,1409,0
201925,1362,0
201926,1307,0
201927,1216,1
201928,1302,2
201929,1101,2
201930,1111,1
201931,869,0
201932,936,1
201933,898,1
201934,769,0
201935,870,0
201936,651,0
201937,527,0
201938,502,1
201939,393,0
201940,312,0
