semana,casos,obitos
200952,198,0
201001,2692,2
201002,2864,3
201003,3007,5
201004,2678,4
201005,2530,4
201006,2160,3
201007,1718,2
201008,1570,2
201009,1113,2
201010,883,1
201011,654,0
201012,499,1
201013,356,0
201014,410,1
201015,312,1
201016,235,0
201017,231,0
201018,204,1
201019,168,0
201020,117,0
201021,104,1
201022,51,0
201023,78,2
201024,76,0
201025,84,1
201026,78,0
201027,53,0
201028,46,1
201029,31,0
201030,46,0
201031,60,0
201032,36,0
201033,35,0
201034,34,1
201035,28,0
201036,41,0
201037,31,0
201038,41,1
201039,38,0
201040,39,0
201041,43,0
201042,54,0
201043,58,0
201044,129,0
201045,191,0
201046,193,0
201047,255,0
201048,309,0
201049,417,0
201050,446,0
201051,277,1
201052,203,0
201101,208,0
201102,317,0
201103,309,0
201104,310,0
201105,272,0
201106,249,1
201107,265,0
201108,283,2
201109,233,3
201110,199,0
201111,263,1
201112,285,0
201113,283,2
201114,233,0
201115,252,1
201116,143,1
201117,142,0
201118,110,1
201119,100,0
201120,86,0
201121,69,0
201122,49,0
201123,36,0
201124,31,0
201125,13,0
201126,23,0
201127,18,0
201128,19,0
201129,19,0
201130,25,0
201131,18,0
201132,46,0
201133,42,0
201134,29,0
201135,28,0
201136,15,0
201137,31,0
201138,43,0
201139,38,0
201140,49,0
201141,23,0
201142,37,0
201143,49,0
201144,37,0
201145,55,0
201146,53,0
201147,67,0
201148,63,0
201149,81,0
201150,76,0
201151,92,0
201152,65,0
201201,98,1
201202,128,0
201203,164,0
201204,122,0
201205,124,0
201206,132,0
201207,162,0
201208,123,0
201209,195,0
201210,146,0
201211,187,0
201212,134,0
201213,144,0
201214,124,0
201215,150,1
201216,116,2
201217,118,0
201218,96,0
201219,95,0
201220,112,2
201221,98,0
201222,86,0
201223,94,0
201224,85,0
201225,77,0
201226,112,0
201227,101,0
201228,89,0
201229,55,0
201230,59,0
201231,73,0
201232,76,0
201233,54,0
201234,58,0
201235,57,0
201236,28,0
201237,31,0
201238,33,0
201239,31,2
201240,42,0
201241,30,2
201242,45,0
201243,63,0
201244,47,0
201245,88,0
201246,52,0
201247,120,0
201248,124,0
201249,119,1
201250,185,1
201251,156,1
201252,129,0
201301,197,0
201302,456,0
201303,802,1
201304,932,2
201305,951,0
201306,1139,1
201307,736,1
201308,988,1
201309,826,0
201310,815,1
201311,668,2
201312,608,1
201313,407,0
201314,376,0
201315,316,0
201316,353,0
201317,253,4
201318,217,1
201319,170,2
201320,202,1
201321,146,1
201322,92,1
201323,104,2
201324,96,1
201325,77,0
201326,56,0
201327,97,0
201328,72,0
201329,61,0
201330,42,0
201331,61,0
201332,67,0
201333,41,1
201334,36,0
201335,22,0
201336,28,0
201337,37,0
201338,71,0
201339,52,0
201340,28,0
201341,59,0
201342,48,0
201343,84,0
201344,57,0
201345,105,0
201346,127,0
201347,199,0
201348,243,0
201349,240,0
201350,230,1
201351,234,0
201352,120,0
201401,82,0
201402,114,0
201403,98,0
201404,117,2
201405,122,0
201406,168,0
201407,149,0
201408,190,0
201409,199,0
201410,135,1
201411,192,0
201412,209,1
201413,191,2
201414,184,1
201415,169,1
201416,206,0
201417,112,2
201418,95,0
201419,147,0
201420,118,0
201421,106,1
201422,82,1
201423,113,2
201424,80,1
201425,51,0
201426,65,0
201427,52,0
201428,42,0
201429,41,0
201430,53,0
201431,29,0
201432,31,0
201433,46,0
201434,48,0
201435,36,1
201436,28,0
201437,32,0
201438,29,0
201439,23,0
201440,33,0
201441,52,1
201442,59,0
201443,66,0
201444,88,0
201445,104,1
201446,161,0
201447,142,0
201448,128,0
201449,98,0
201450,110,1
201451,91,0
201452,49,0
201453,56,0
201501,102,1
201502,124,1
201503,147,0
201504,138,1
201505,159,1
201506,176,1
201507,123,0
201508,172,1
201509,198,0
201510,216,1
201511,243,0
201512,233,2
201513,167,0
201514,205,1
201515,233,0
201516,189,0
201517,200,2
201518,178,0
201519,162,0
201520,130,0
201521,98,0
201522,74,0
201523,75,1
201524,63,0
201525,63,0
201526,67,0
201527,36,0
201528,46,0
201529,29,0
201530,30,0
201531,35,0
201532,39,0
201533,36,0
201534,31,0
201535,16,0
201536,33,0
201537,38,0
201538,31,0
201539,25,0
201540,45,0
201541,53,0
201542,74,0
201543,57,1
201544,67,0
201545,72,0
201546,95,0
201547,123,0
201548,168,0
201549,183,0
201550,233,0
201551,137,0
201552,241,1
201601,435,1
201602,683,0
201603,868,0
201604,947,0
201605,907,1
201606,681,0
201607,1072,0
201608,1139,0
201609,979,0
201610,845,1
201611,716,0
201612,573,0
201613,584,0
201614,593,0
201615,528,2
201616,355,0
201617,295,0
201618,215,0
201619,241,1
201620,198,0
201621,152,0
201622,149,0
201623,110,0
201624,82,0
201625,73,0
201626,73,1
201627,78,0
201628,98,0
201629,70,0
201630,74,0
201631,45,1
201632,38,0
201633,30,0
201634,37,0
201635,36,0
201636,22,0
201637,31,0
201638,42,0
201639,29,1
201640,24,0
201641,32,0
201642,43,0
201643,42,0
201644,42,0
201645,81,0
201646,68,0
201647,90,0
201648,164,0
201649,255,1
201650,243,0
201651,175,0
201652,230,0
201701,235,0
201702,273,2
201703,283,1
201704,341,1
201705,340,0
201706,298,0
201707,336,0
