semana,casos,obitos
201001,33,0
201002,32,1
201003,23,0
201004,38,0
201005,45,0
201006,75,0
201007,85,0
201008,104,0
201009,134,0
201010,181,0
201011,111,0
201012,173,1
201013,141,0
201014,163,0
201015,229,0
201016,207,0
201017,210,1
201018,202,0
201019,185,1
201020,300,1
201021,401,0
201022,538,1
201023,496,0
201024,454,0
201025,411,0
201026,380,0
201027,257,0
201028,210,0
201029,210,0
201030,143,0
201031,215,0
201032,217,0
201033,188,0
201034,111,0
201035,104,0
201036,117,0
201037,89,0
201038,79,1
201039,40,0
201040,31,0
201041,13,0
201042,26,0
201043,37,0
201044,11,0
201045,19,0
201046,20,0
201047,27,0
201048,22,0
201049,17,0
201050,21,0
201051,30,0
201052,38,0
201101,28,0
201102,31,0
201103,42,0
201104,38,0
201105,40,0
201106,28,0
201107,39,0
201108,35,0
201109,31,0
201110,22,0
201111,43,0
201112,48,0
201113,43,0
201114,39,0
201115,33,0
201116,19,0
201117,27,0
201118,26,0
201119,20,0
201120,12,0
201121,30,0
201122,25,0
201123,36,0
201124,27,0
201125,22,0
201126,34,0
201127,36,0
201128,36,0
201129,47,0
201130,29,0
201131,23,0
201132,26,0
201133,27,0
201134,29,0
201135,20,0
201136,23,0
201137,13,0
201138,11,0
201139,14,0
201140,13,0
201141,10,0
201142,21,0
201143,16,0
201144,11,0
201145,10,0
201146,13,0
201147,13,0
201148,28,0
201149,19,0
201150,40,0
201151,30,0
201152,20,0
201201,38,0
201202,28,0
201203,38,0
201204,40,0
201205,24,0
201206,18,0
201207,33,0
201208,19,0
201209,24,0
201210,42,0
201211,34,0
201212,87,0
201213,70,0
201214,37,0
201215,50,0
201216,54,0
201217,46,0
201218,31,1
201219,54,0
201220,45,0
201221,87,0
201222,55,0
201223,49,0
201224,46,0
201225,58,0
201226,53,0
201227,58,0
201228,45,0
201229,33,0
201230,33,0
201231,45,0
201232,77,0
201233,59,0
201234,64,0
201235,41,0
201236,29,0
201237,37,0
201238,24,0
201239,32,0
201240,15,0
201241,15,0
201242,12,0
201243,15,0
201244,15,0
201245,19,0
201246,9,0
201247,24,0
201248,14,0
201249,7,0
201250,18,0
201251,12,0
201252,4,0
201301,6,0
201302,7,0
201303,9,0
201304,16,0
201305,21,0
201306,15,0
201307,8,0
201308,11,0
201309,20,0
201310,9,0
201311,14,0
201312,11,0
201313,11,0
201314,11,0
201315,12,0
201316,11,0
201317,20,0
201318,18,0
201319,25,0
201320,42,0
201321,30,0
201322,23,0
201323,23,0
201324,29,0
201325,24,0
201326,35,0
201327,19,0
201328,39,0
201329,28,0
201330,19,0
201331,13,0
201332,24,0
201333,14,0
201334,18,0
201335,13,0
201336,29,0
201337,26,0
201338,34,0
201339,24,0
201340,19,0
201341,18,0
201342,21,0
201343,18,0
201344,25,0
201345,16,0
201346,7,0
201347,21,0
201348,21,0
201349,8,0
201350,3,0
201351,22,0
201352,13,0
201401,11,0
201402,22,0
201403,28,0
201404,14,0
201405,16,0
201406,17,0
201407,15,0
201408,9,0
201409,9,0
201410,9,0
201411,15,0
201412,12,0
201413,23,0
201414,15,0
201415,19,0
201416,7,0
201417,16,0
201418,23,0
201419,20,0
201420,17,0
201421,25,0
201422,30,0
201423,26,0
201424,30,0
201425,29,0
201426,33,0
201427,27,0
201428,24,0
201429,39,0
201430,22,0
201431,44,0
201432,28,0
201433,34,0
201434,36,0
201435,25,0
201436,16,0
201437,43,1
201438,31,0
201439,25,0
201440,30,0
201441,32,0
201442,17,0
201443,14,0
201444,20,0
201445,16,0
201446,16,0
201447,18,0
201448,15,0
201449,23,0
201450,21,0
201451,17,0
201452,16,0
201453,17,0
201501,13,0
201502,32,0
201503,30,0
201504,13,0
201505,25,0
201506,19,0
201507,6,0
201508,13,0
201509,6,0
201510,17,0
201511,20,0
201512,18,0
201513,9,0
201514,34,0
201515,15,0
201516,32,0
201517,11,0
201518,33,0
201519,31,0
201520,23,0
201521,12,0
201522,14,0
201523,41,0
201524,41,0
201525,30,0
201526,25,0
201527,20,0
201528,30,0
201529,49,0
201530,34,0
201531,50,0
201532,33,0
201533,44,0
201534,44,0
201535,43,0
201536,41,0
201537,30,0
201538,38,0
201539,21,0
201540,12,1
201541,12,0
201542,9,0
201543,4,0
201544,3,0
201545,6,0
201546,0,0
201547,3,0
201548,2,0
201549,7,0
201550,9,1
201551,3,0
201552,3,0
201601,4,0
201602,6,0
201603,2,0
201604,4,0
201605,2,0
201606,2,0
201607,7,0
201608,3,0
201609,3,0
201610,17,0
201611,11,0
201612,6,0
201613,14,0
201614,8,0
201615,0,0
201616,2,0
201617,0,0
201618,0,0
201619,4,0
201620,3,0
201621,1,0
201622,2,0
201623,1,0
201624,2,0
201625,3,0
201626,2,0
201627,4,0
201628,4,0
201629,4,0
201630,2,0
201631,11,0
201632,6,0
201633,8,0
201634,6,0
201635,8,0
201636,4,0
201637,6,0
201638,8,0
201639,3,0
201640,4,0
201641,3,0
201642,5,0
201643,2,0
201644,2,0
201645,3,0
201646,6,0
201647,1,0
201648,0,0
201649,0,0
201650,1,0
201651,5,0
201652,2,0
201701,3,0
201702,4,0
201703,4,0
201704,3,0
201705,0,0
201706,1,0
201707,2,0
201708,4,0
201709,4,0
201710,2,0
201711,5,0
201712,11,0
201713,14,0
201714,10,0
201715,4,0
201716,8,0
201717,10,0
201718,12,0
201719,17,0
201720,5,0
201721,13,0
201722,13,0
201723,7,0
201724,16,0
201725,9,0
201726,7,0
201727,11,0
201728,6,0
201729,9,0
201730,11,0
201731,8,0
201732,6,0
201733,5,0
201734,3,0
201735,2,0
201736,3,0
201737,5,0
201738,2,0
201739,3,0
201740,2,0
201741,3,0
201742,3,0
201743,1,0
201744,0,0
201745,3,0
201746,1,0
201747,1,0
201748,2,0
201749,3,0
201750,1,0
201751,1,0
201752,1,0
201801,0,0
201802,0,0
201803,0,0
201804,0,0
201805,1,0
201806,0,0
201807,0,0
201808,0,0
201809,0,0
201810,0,0
201811,1,0
201812,1,0
201813,0,0
201814,0,0
201815,1,0
201816,0,0
201817,0,0
201818,0,0
201819,0,0
201820,0,0
201821,2,0
201822,1,0
201823,1,0
201824,2,0
201825,1,0
201826,0,0
201827,3,0
201828,3,0
201829,4,0
201830,3,0
201831,3,0
201832,9,0
201833,5,0
201834,3,0
201835,9,0
201836,3,0
201837,1,0
201838,2,0
201839,4,0
201840,3,0
201841,9,0
201842,6,0
201843,3,0
201844,3,0
201845,1,0
201846,2,0
201847,6,0
201848,2,0
201849,3,0
201850,4,0
201851,2,0
201852,4,0
201901,2,0
201902,8,0
201903,8,0
201904,6,0
201905,7,0
201906,10,0
201907,7,0
201908,7,0
201909,5,0
201910,14,0
201911,12,0
201912,12,0
201913,18,0
201914,15,0
201915,15,0
201916,11,0
201917,9,0
201918,11,0
201919,5,0
201920,23,0
201921,15,0
201922,25,0
201923,6,0
201924,24,0
201925,18,0
201926,11,0
201927,8,0
201928,11,0
201929,5,0
201930,26,0
201931,13,0
201932,12,0
201933,25,0
201934,17,0
201935,13,0
201936,18,0
201937,39,0
201938,41,0
201939,50,1
201940,46,0
201941,48,0
201942,74,0
201943,57,0
201944,63,0
201945,96,0
201946,90,0
201947,131,0
201948,92,0
201949,80,0
201950,64,0
201951,103,0
201952,65,0
202001,42,0
202002,40,0
202003,35,0
202004,39,1
202005,68,0
202006,73,0
202007,35,0
202008,26,0
202009,27,0
202010,21,0
202011,13,0
202012,1,0
202013,3,0
202014,4,0
202015,1,0
202016,1,0
202017,4,0
202018,0,0
202019,0,0
202020,0,0
202021,2,0
202022,0,0
202023,0,0
202024,1,0
202025,2,0
202026,2,0
202027,2,0
202028,3,0
202029,4,0
202030,0,0
202031,2,0
202032,2,0
202033,1,0
202034,3,0
202035,6,0
202036,2,0
202037,0,0
202038,3,0
202039,2,0
202040,4,0
202041,1,0
202042,1,0
202043,0,0
202044,1,0
202045,1,0
202046,1,0
202047,0,0
202048,2,0
202049,2,0
202050,4,0
202051,0,0
202052,0,0
202053,0,0
202101,0,0
202102,2,0
202103,3,0
202104,3,0
202105,1,0
202106,3,0
202107,4,0
202108,2,0
202109,1,0
202110,4,2
202111,1,0
202112,1,0
202113,4,0
202114,3,0
202115,8,0
202116,4,0
202117,1,0
202118,5,0
202119,2,0
202120,5,0
202121,6,0
202122,2,0
202123,9,0
202124,7,0
202125,4,0
202126,0,0
202127,2,0
202128,1,0
202129,6,0
202130,1,0
202131,1,0
202132,1,0
202133,3,0
202134,1,0
202135,2,0
202136,0,0
202137,0,0
202138,0,0
202139,0,0
202140,0,0
202141,1,0
202142,0,0
202143,1,0
202144,1,0
202145,2,0
202146,2,0
202147,1,0
202148,0,0
202149,0,0
202150,0,0
202151,0,0
202152,0,0
202201,0,0
202202,1,0
202203,1,0
202204,0,0
202205,1,0
202206,0,0
202207,0,0
202208,0,0
202209,0,0
202210,0,0
202211,0,0
202212,1,0
202213,1,0
202214,0,0
202215,0,0
202216,1,1
202217,1,0
202218,0,0
202219,1,0
202220,1,0
202221,1,0
202222,4,0
202223,2,0
202224,0,0
202225,0,0
202226,2,0
202227,2,0
202228,3,0
202229,2,0
202230,1,0
202231,2,0
202232,1,0
202233,2,0
202234,3,0
202235,3,0
202236,0,0
202237,0,0
202238,1,0
202239,2,0
202240,2,0
202241,0,0
202242,3,0
202243,1,0
202244,6,0
202245,1,0
202246,1,0
202247,1,0
202248,3,0
202249,3,0
202250,2,0
202251,1,0
202252,0,0
