semana,casos,obitos
201001,8,0
201002,8,0
201003,16,0
201004,4,0
201005,7,0
201006,8,0
201007,29,0
201008,377,0
201009,674,0
201010,557,0
201011,437,1
201012,452,0
201013,293,0
201014,293,0
201015,206,0
201016,77,0
201017,63,0
201018,36,0
201019,19,0
201020,14,0
201021,8,0
201022,3,0
201023,3,0
201024,5,0
201025,7,0
201026,3,0
201027,2,0
201028,5,0
201029,3,0
201030,3,0
201031,0,0
201032,0,0
201033,7,0
201034,3,0
201035,3,0
201036,3,0
201037,0,0
201038,1,0
201039,3,0
201040,0,0
201041,0,0
201042,0,0
201043,1,0
201044,2,0
201045,1,0
201046,3,0
201047,0,0
201048,2,0
201049,1,0
201050,1,0
201051,2,0
201052,2,0
201101,2,0
201102,3,0
201103,1,0
201104,6,0
201105,8,0
201106,5,0
201107,2,0
201108,15,0
201109,5,0
201110,10,0
201111,8,0
201112,24,0
201113,28,0
201114,33,0
201115,47,0
201116,40,0
201117,31,0
201118,20,0
201119,18,0
201120,4,0
201121,6,0
201122,6,0
201123,3,0
201124,2,0
201125,2,0
201126,0,0
201127,1,0
201128,1,0
201129,1,0
201130,1,0
201131,0,0
201132,2,0
201133,1,0
201134,0,0
201135,1,0
201136,2,0
201137,2,0
201138,1,0
201139,0,0
201140,0,0
201141,0,0
201142,0,0
201143,0,0
201144,0,0
201145,1,0
201146,2,0
201147,0,0
201148,0,0
201149,3,0
201150,5,0
201151,1,0
201152,1,0
201201,3,0
201202,6,0
201203,5,0
201204,5,0
201205,5,0
201206,3,0
201207,4,0
201208,3,0
201209,4,0
201210,8,0
201211,6,0
201212,12,0
201213,10,0
201214,5,0
201215,7,0
201216,10,0
201217,10,0
201218,2,0
201219,10,0
201220,10,0
201221,7,0
201222,3,0
201223,2,0
201224,4,0
201225,3,0
201226,0,0
201227,2,0
201228,0,0
201229,0,0
201230,0,0
201231,1,0
201232,0,0
201233,1,0
201234,1,0
201235,1,0
201236,0,0
201237,0,0
201238,0,0
201239,0,0
201240,0,0
201241,0,0
201242,0,0
201243,0,0
201244,1,0
201245,0,0
201246,1,0
201247,3,0
201248,1,0
201249,1,0
201250,2,0
201251,5,0
201252,1,0
201301,3,0
201302,10,0
201303,4,0
201304,5,0
201305,18,0
201306,10,0
201307,7,0
201308,25,0
201309,42,0
201310,43,0
201311,40,0
201312,34,0
201313,31,0
201314,36,0
201315,41,0
201316,24,0
201317,30,0
201318,14,0
201319,18,0
201320,9,0
201321,8,0
201322,5,0
201323,5,0
201324,1,0
201325,2,0
201326,4,0
201327,3,0
201328,2,0
201329,0,0
201330,1,0
201331,1,0
201332,1,0
201333,2,0
201334,2,0
201335,1,0
201336,1,0
201337,0,0
201338,0,0
201339,0,0
201340,0,0
201341,0,0
201342,1,0
201343,2,0
201344,0,0
201345,0,0
201346,0,0
201347,1,1
201348,3,0
201349,1,0
201350,0,0
201351,0,0
201352,0,0
201401,2,0
201402,5,0
201403,3,0
201404,3,0
201405,6,0
201406,3,0
201407,5,0
201408,22,0
201409,5,0
201410,4,0
201411,13,0
201412,7,0
201413,3,0
201414,8,0
201415,8,0
201416,8,0
201417,2,0
201418,5,0
201419,9,0
201420,6,0
201421,4,0
201422,0,0
201423,1,0
201424,1,0
201425,0,0
201426,3,0
201427,1,0
201428,1,0
201429,0,0
201430,0,0
201431,0,0
201432,2,0
201433,0,0
201434,1,0
201435,0,0
201436,0,0
201437,0,0
201438,0,0
201439,0,0
201440,0,0
201441,1,0
201442,0,0
201443,1,0
201444,0,0
201445,0,0
201446,0,0
201447,0,0
201448,1,0
201449,1,0
201450,1,0
201451,1,0
201452,0,0
201453,4,0
201501,4,0
201502,0,0
201503,3,0
201504,8,0
201505,3,0
201506,5,0
201507,6,0
201508,9,0
201509,8,0
201510,72,0
201511,118,0
201512,114,1
201513,157,0
201514,226,0
201515,221,1
201516,135,0
201517,121,0
201518,131,0
201519,71,0
201520,66,0
201521,28,0
201522,22,0
201523,18,0
201524,12,0
201525,6,0
201526,10,0
201527,5,0
201528,2,0
201529,0,0
201530,4,0
201531,4,0
201532,4,0
201533,5,0
201534,8,0
201535,4,0
201536,2,0
201537,3,0
201538,3,0
201539,2,0
201540,2,0
201541,1,0
201542,0,0
201543,4,0
201544,5,0
201545,2,0
201546,3,0
201547,6,0
201548,12,0
201549,10,0
201550,20,0
201551,17,0
201552,20,0
201601,44,0
201602,29,0
201603,40,0
201604,27,0
201605,52,0
201606,57,0
201607,82,0
201608,117,0
201609,174,0
201610,249,0
201611,234,0
201612,265,0
201613,306,0
201614,255,0
201615,268,0
201616,250,0
201617,239,0
201618,175,0
201619,92,0
201620,47,0
201621,24,0
201622,21,0
201623,11,0
201624,2,0
201625,6,0
201626,2,0
201627,6,0
201628,1,0
201629,2,0
201630,4,0
201631,5,0
201632,3,0
201633,6,0
201634,1,0
201635,2,0
201636,4,0
201637,1,0
201638,1,0
201639,3,0
201640,3,0
201641,6,0
201642,5,0
201643,5,0
201644,5,0
201645,1,0
201646,4,0
201647,9,0
201648,9,0
201649,12,0
201650,10,0
201651,13,0
201652,10,0
201701,12,0
201702,18,0
201703,12,0
201704,11,0
201705,5,0
201706,6,0
201707,4,0
201708,6,0
201709,4,0
201710,4,0
201711,4,0
201712,2,0
201713,5,0
201714,5,0
201715,2,0
201716,2,0
201717,4,0
201718,4,0
201719,3,0
201720,1,0
201721,5,0
201722,1,0
201723,1,0
201724,0,0
201725,1,0
201726,0,0
201727,1,0
201728,0,0
201729,0,0
201730,3,0
201731,5,1
201732,1,0
201733,0,0
201734,0,0
201735,0,0
201736,0,0
201737,3,0
201738,3,0
201739,2,0
201740,0,0
201741,3,0
201742,5,0
201743,3,0
201744,4,0
201745,3,0
201746,1,0
201747,2,0
201748,3,0
201749,7,0
201750,5,0
201751,3,0
201752,4,0
201801,2,0
201802,2,0
201803,6,0
201804,6,0
201805,2,0
201806,13,0
201807,4,0
201808,3,0
201809,3,0
201810,6,0
201811,3,0
201812,7,0
201813,4,0
201814,2,0
201815,3,0
201816,5,0
201817,4,0
201818,0,0
201819,2,0
201820,4,0
201821,1,0
201822,1,0
201823,2,0
201824,2,0
201825,2,1
201826,0,0
201827,0,0
201828,2,0
201829,0,0
201830,2,0
201831,0,0
201832,1,0
201833,1,0
201834,1,0
201835,0,0
201836,0,0
201837,2,0
201838,1,0
201839,1,0
201840,1,0
201841,0,0
201842,3,0
201843,4,0
201844,0,0
201845,1,0
201846,2,0
201847,1,0
201848,4,0
201849,5,0
201850,3,0
201851,1,0
201852,3,0
201901,2,0
201902,12,0
201903,11,0
201904,3,0
201905,9,0
201906,2,0
201907,6,0
201908,5,0
201909,9,0
201910,14,0
201911,15,0
201912,24,0
201913,37,0
201914,62,0
201915,54,0
201916,88,0
201917,157,0
201918,158,0
201919,165,0
201920,172,0
201921,152,0
201922,98,0
201923,51,0
201924,45,0
201925,44,0
201926,57,0
201927,29,0
201928,18,0
201929,7,1
201930,6,0
201931,9,0
201932,10,0
201933,1,0
201934,2,0
201935,8,0
201936,4,0
201937,5,0
201938,7,0
201939,3,0
201940,6,0
201941,5,0
201942,2,0
201943,5,0
201944,2,0
201945,7,0
201946,3,0
201947,4,0
201948,3,0
201949,4,0
201950,8,0
201951,4,0
201952,7,0
202001,8,0
202002,14,0
202003,15,0
202004,8,0
202005,17,0
202006,28,0
202007,50,0
202008,118,0
202009,166,1
202010,185,0
202011,191,0
202012,171,1
202013,326,0
202014,507,2
202015,527,0
202016,324,1
202017,304,0
202018,253,0
202019,228,0
202020,133,1
202021,103,0
202022,49,0
202023,31,0
202024,19,0
202025,24,0
202026,18,0
202027,10,0
202028,7,0
202029,4,0
202030,8,0
202031,9,0
202032,6,0
202033,2,0
202034,7,0
202035,2,0
202036,0,0
202037,8,0
202038,6,0
202039,6,0
202040,3,0
202041,5,1
202042,5,0
202043,8,0
202044,3,0
202045,8,0
202046,9,0
202047,4,0
202048,5,0
202049,5,0
202050,4,0
202051,4,0
202052,2,0
202053,1,0
202101,0,0
202102,11,0
202103,25,0
202104,51,0
202105,29,0
202106,97,0
202107,98,0
202108,140,0
202109,223,0
202110,260,0
202111,326,0
202112,470,1
202113,636,1
202114,1078,2
202115,1310,3
202116,1215,1
202117,1680,1
202118,1287,2
202119,801,0
202120,411,1
202121,234,1
202122,144,0
202123,69,0
202124,49,2
202125,35,0
202126,13,0
202127,15,0
202128,17,0
202129,4,0
202130,8,0
202131,6,0
202132,4,0
202133,7,0
202134,1,0
202135,5,0
202136,5,0
202137,3,0
202138,3,0
202139,6,0
202140,3,0
202141,4,0
202142,6,0
202143,4,0
202144,2,0
202145,4,0
202146,4,0
202147,2,0
202148,4,0
202149,7,0
202150,5,0
202151,8,0
202152,8,0
202201,5,0
202202,21,0
202203,46,0
202204,55,0
202205,82,0
202206,86,0
202207,104,0
202208,352,0
202209,920,2
202210,2176,2
202211,4062,2
202212,5413,7
202213,6132,10
202214,6882,3
202215,6062,4
202216,8126,12
202217,7477,6
202218,6236,7
202219,4421,10
202220,3466,2
202221,2256,4
202222,1305,0
202223,995,1
202224,302,0
202225,278,1
202226,198,0
202227,212,1
202228,165,1
202229,110,0
202230,85,0
202231,68,0
202232,52,0
202233,46,0
202234,40,0
202235,38,0
202236,25,0
202237,15,0
202238,19,0
202239,46,0
202240,24,0
202241,6,0
202242,11,0
202243,12,0
202244,9,0
202245,25,0
202246,18,0
202247,32,0
202248,30,0
202249,35,0
202250,39,0
202251,17,0
202252,31,0
