semana,casos,obitos
201001,6,0
201002,12,0
201003,7,0
201004,10,0
201005,9,0
201006,8,0
201007,8,0
201008,13,0
201009,14,0
201010,9,0
201011,4,0
201012,9,0
201013,3,0
201014,7,0
201015,8,0
201016,9,0
201017,6,0
201018,9,0
201019,6,0
201020,9,0
201021,4,0
201022,1,0
201023,2,0
201024,1,0
201025,2,0
201026,1,0
201027,4,0
201028,0,0
201029,0,0
201030,0,0
201031,1,0
201032,0,0
201033,0,0
201034,1,0
201035,1,0
201036,0,0
201037,1,0
201038,0,0
201039,1,0
201040,1,0
201041,1,0
201042,0,0
201043,1,0
201044,2,0
201045,1,0
201046,1,0
201047,0,0
201048,2,0
201049,3,0
201050,0,0
201051,1,0
201052,1,0
201101,6,0
201102,2,0
201103,7,0
201104,2,0
201105,5,0
201106,11,0
201107,6,0
201108,3,0
201109,3,0
201110,5,0
201111,10,0
201112,8,0
201113,1,0
201114,5,0
201115,8,0
201116,6,0
201117,7,0
201118,8,0
201119,7,0
201120,7,0
201121,2,0
201122,3,0
201123,2,0
201124,0,0
201125,2,0
201126,1,0
201127,1,0
201128,1,0
201129,0,0
201130,2,0
201131,1,0
201132,2,0
201133,0,0
201134,0,0
201135,3,0
201136,0,0
201137,1,0
201138,0,0
201139,0,0
201140,0,0
201141,1,0
201142,0,0
201143,1,0
201144,0,0
201145,0,0
201146,0,0
201147,3,0
201148,3,0
201149,3,0
201150,3,0
201151,1,0
201152,2,0
201201,1,0
201202,4,0
201203,3,0
201204,0,0
201205,5,0
201206,3,0
201207,8,0
201208,4,0
201209,2,0
201210,4,0
201211,4,0
201212,3,0
201213,5,0
201214,2,0
201215,3,0
201216,5,0
201217,4,0
201218,7,0
201219,6,0
201220,2,0
201221,2,0
201222,2,0
201223,0,0
201224,1,0
201225,0,0
201226,2,0
201227,1,0
201228,3,0
201229,0,0
201230,0,0
201231,2,0
201232,0,0
201233,1,0
201234,0,0
201235,0,0
201236,0,0
201237,0,0
201238,0,0
201239,0,0
201240,0,0
201241,0,0
201242,0,0
201243,3,0
201244,0,0
201245,1,0
201246,1,0
201247,0,0
201248,0,0
201249,0,0
201250,1,0
201251,0,0
201252,3,0
201301,3,0
201302,17,0
201303,17,0
201304,12,0
201305,11,0
201306,9,0
201307,14,0
201308,17,0
201309,34,0
201310,9,0
201311,17,0
201312,17,0
201313,13,0
201314,21,0
201315,23,0
201316,28,0
201317,14,0
201318,16,0
201319,6,0
201320,10,0
201321,11,0
201322,1,0
201323,3,0
201324,4,0
201325,4,0
201326,1,0
201327,0,0
201328,1,0
201329,0,0
201330,0,0
201331,0,0
201332,2,0
201333,1,0
201334,0,0
201335,1,0
201336,0,0
201337,0,0
201338,1,0
201339,0,0
201340,0,0
201341,0,0
201342,1,0
201343,0,0
201344,0,0
201345,0,0
201346,0,0
201347,5,0
201348,1,0
201349,2,0
201350,0,0
201351,1,0
201352,2,0
201401,0,0
201402,4,0
201403,3,0
201404,0,0
201405,3,0
201406,1,0
201407,0,0
201408,2,0
