semana,casos,obitos
200952,1,0
201001,20,0
201002,19,0
201003,14,0
201004,14,0
201005,13,0
201006,5,0
201007,6,0
201008,15,0
201009,15,0
201010,14,0
201011,16,0
201012,20,0
201013,25,0
201014,43,0
201015,47,0
201016,61,1
201017,59,1
201018,56,0
201019,64,1
201020,95,0
201021,76,0
201022,66,0
201023,46,0
201024,52,0
201025,41,0
201026,31,0
201027,28,0
201028,38,0
201029,36,0
201030,36,0
201031,42,0
201032,50,1
201033,43,0
201034,38,0
201035,54,1
201036,34,0
201037,39,1
201038,32,0
201039,34,0
201040,36,1
201041,30,0
201042,28,0
201043,34,0
201044,40,0
201045,37,0
201046,36,1
201047,55,0
201048,51,0
201049,49,0
201050,65,0
201051,56,0
201052,60,0
201101,73,0
201102,69,1
201103,68,1
201104,140,2
201105,122,0
201106,90,1
201107,121,0
201108,180,1
201109,120,1
201110,87,2
201111,183,2
201112,188,0
201113,239,1
201114,222,1
201115,239,0
201116,136,1
201117,196,0
201118,168,1
201119,207,1
201120,236,0
201121,209,0
201122,213,0
201123,187,0
201124,157,1
201125,112,1
201126,185,0
201127,143,0
201128,148,2
201129,186,0
201130,166,1
201131,166,0
201132,132,0
201133,142,0
201134,109,1
201135,119,1
201136,122,0
201137,120,0
201138,78,0
201139,92,0
201140,91,0
201141,87,0
201142,103,0
201143,86,1
201144,81,2
201145,89,1
201146,92,0
201147,102,0
201148,103,0
201149,112,0
201150,172,1
201151,126,0
201152,153,0
201201,219,1
201202,266,0
201203,235,1
201204,289,0
201205,245,1
201206,349,2
201207,330,0
201208,243,0
201209,364,1
201210,350,0
201211,395,1
201212,507,0
201213,492,1
201214,407,0
201215,518,0
201216,539,1
201217,464,0
201218,414,0
201219,364,0
201220,359,1
201221,324,0
201222,295,0
201223,307,0
201224,271,1
201225,199,0
201226,181,0
201227,269,0
201228,269,0
201229,189,0
201230,135,0
201231,140,0
201232,139,0
201233,105,0
201234,82,0
201235,76,0
201236,66,0
201237,94,0
201238,87,0
201239,78,0
201240,64,0
201241,64,0
201242,94,0
201243,59,1
201244,49,0
201245,50,0
201246,45,0
201247,32,0
201248,37,0
201249,28,0
201250,24,0
201251,18,1
201252,17,0
201301,24,0
201302,32,0
201303,40,0
201304,36,0
201305,46,0
201306,42,0
201307,25,0
201308,29,0
201309,43,0
201310,39,0
201311,36,0
201312,34,0
201313,36,0
