semana,casos,obitos
201001,1328,4
201002,1944,1
201003,2615,1
201004,3127,0
201005,4773,4
201006,6345,6
201007,8306,9
201008,12575,20
201009,13195,12
201010,13922,4
201011,14395,11
201012,15469,17
201013,13944,12
201014,14462,15
201015,13879,15
201016,10524,10
201017,11659,6
201018,12282,12
201019,8527,8
201020,6536,8
201021,4398,5
201022,2416,2
201023,2203,2
201024,1298,2
201025,908,0
201026,658,0
201027,396,1
201028,367,0
201029,299,0
201030,259,4
201031,261,1
201032,215,0
201033,156,1
201034,129,1
201035,120,1
201036,107,1
201037,114,2
201038,148,1
201039,93,0
201040,86,0
201041,166,0
201042,208,0
201043,369,1
201044,258,0
201045,327,0
201046,307,0
201047,442,1
201048,495,1
201049,485,0
201050,640,1
201051,276,0
201052,315,1
201101,416,2
201102,546,0
201103,727,1
201104,989,3
201105,1322,2
201106,2112,0
201107,2589,1
201108,3270,2
201109,3743,1
201110,3548,3
201111,4564,1
201112,6047,1
201113,6452,5
201114,7414,5
201115,8929,6
201116,6874,12
201117,9532,9
201118,9245,4
201119,7591,8
201120,6183,6
201121,4817,2
201122,3040,1
201123,1813,1
201124,1234,3
201125,554,0
201126,486,0
201127,363,0
201128,238,0
201129,215,0
201130,194,1
201131,141,0
201132,122,1
201133,120,0
201134,94,0
201135,112,0
201136,87,0
201137,130,0
201138,130,0
201139,146,1
201140,155,0
201141,144,0
201142,128,0
201143,150,0
201144,112,0
201145,121,0
201146,118,0
201147,142,1
201148,140,0
201149,221,0
201150,227,1
201151,301,0
201152,227,0
201201,258,0
201202,308,0
201203,362,0
201204,394,1
201205,491,0
201206,589,0
201207,722,0
201208,675,0
201209,974,1
201210,1113,1
201211,1258,1
201212,1326,1
201213,1458,1
201214,1185,2
201215,1448,1
201216,1871,0
201217,2118,0
201218,1481,2
201219,1534,0
201220,1036,1
201221,1032,1
201222,832,2
201223,580,0
201224,643,0
201225,566,0
201226,481,1
201227,325,1
201228,225,0
201229,210,0
201230,156,0
201231,159,0
201232,208,2
201233,110,1
201234,85,0
201235,99,3
201236,61,1
