semana,casos,obitos
201001,241,0
201002,252,1
201003,283,0
201004,407,0
201005,347,0
201006,380,0
201007,253,0
201008,461,0
201009,554,0
201010,450,0
201011,408,0
201012,492,0
201013,288,0
201014,471,0
201015,442,0
201016,428,0
201017,383,1
201018,351,1
201019,304,0
201020,229,0
201021,220,0
201022,167,0
201023,157,0
201024,123,0
201025,117,0
201026,63,0
201027,45,0
201028,44,0
201029,26,2
201030,25,0
201031,35,0
201032,38,0
201033,31,0
201034,20,0
201035,20,0
201036,12,0
201037,15,0
201038,13,0
201039,7,0
201040,12,0
201041,13,0
201042,18,0
201043,22,0
201044,45,0
201045,80,1
201046,89,0
201047,97,0
201048,107,0
201049,99,0
201050,92,0
201051,103,0
201052,99,0
201101,155,0
201102,175,0
201103,185,0
201104,271,0
201105,235,0
201106,272,0
201107,254,0
201108,266,1
201109,260,0
201110,183,1
201111,319,0
201112,331,0
201113,329,0
201114,349,0
201115,305,0
201116,213,0
201117,299,0
201118,345,1
201119,405,0
201120,365,0
201121,411,2
201122,436,1
201123,321,1
201124,371,1
201125,243,0
201126,211,0
201127,204,0
201128,177,0
201129,140,0
201130,88,0
201131,108,0
201132,106,0
201133,110,0
201134,97,0
201135,108,0
201136,74,0
201137,104,0
201138,100,0
201139,110,0
201140,69,0
201141,68,0
201142,89,0
201143,98,1
201144,64,0
201145,74,0
201146,82,0
201147,137,0
201148,136,0
201149,197,0
201150,226,0
201151,167,0
201152,173,0
201201,250,0
201202,316,0
201203,424,0
201204,391,0
201205,503,0
201206,567,0
201207,597,0
201208,418,0
201209,430,1
201210,473,1
201211,523,0
201212,514,1
201213,614,0
201214,344,0
201215,552,0
201216,489,0
201217,479,1
201218,329,0
201219,353,0
201220,349,1
201221,294,0
201222,226,0
201223,161,1
201224,141,0
201225,140,0
201226,137,0
201227,89,0
201228,79,0
201229,71,0
201230,74,0
201231,63,0
201232,34,0
201233,44,0
201234,48,1
201235,35,0
201236,15,0
201237,29,0
201238,33,0
201239,30,0
201240,27,0
201241,26,0
201242,41,0
201243,74,0
201244,74,0
201245,58,0
201246,63,0
201247,94,0
201248,125,0
201249,138,0
201250,175,0
201251,146,0
201252,113,0
201301,184,1
201302,321,0
201303,299,0
201304,363,0
201305,397,0
201306,411,2
201307,343,0
201308,484,0
201309,498,0
201310,432,0
201311,375,0
201312,364,0
201313,314,0
201314,361,1
201315,353,0
201316,331,0
201317,359,1
201318,224,0
201319,274,0
201320,237,0
201321,219,0
201322,143,0
201323,125,1
201324,126,0
201325,126,0
201326,78,0
201327,49,0
201328,44,0
201329,57,0
201330,29,0
201331,25,0
201332,23,0
201333,35,0
201334,46,0
201335,26,0
201336,22,0
201337,16,0
201338,25,0
201339,40,0
201340,21,0
201341,22,0
201342,20,0
201343,34,0
201344,35,0
201345,44,0
201346,61,0
201347,80,0
201348,73,0
201349,90,0
201350,99,0
201351,101,0
201352,77,1
201401,107,0
201402,150,0
201403,122,0
201404,128,0
201405,146,0
201406,125,0
201407,140,0
201408,143,0
201409,115,0
201410,103,0
201411,127,0
201412,140,0
201413,90,0
201414,95,0
201415,81,0
201416,81,0
201417,91,0
201418,102,0
201419,88,0
201420,117,0
201421,84,0
201422,100,0
201423,115,0
201424,86,0
201425,81,0
201426,60,0
201427,39,1
201428,37,0
201429,19,0
201430,22,0
201431,30,0
201432,27,0
201433,30,0
201434,32,0
201435,21,0
201436,26,0
201437,15,0
201438,15,0
201439,23,0
201440,26,0
201441,44,0
201442,26,0
201443,30,0
201444,37,0
201445,34,0
201446,40,0
201447,34,0
201448,48,0
201449,53,0
201450,43,0
201451,64,0
201452,47,0
201453,69,0
201501,61,0
201502,83,0
201503,69,0
201504,77,0
201505,113,0
201506,145,0
201507,148,0
201508,214,0
201509,247,0
201510,277,0
201511,329,0
201512,408,0
201513,287,1
201514,310,0
201515,364,0
201516,279,1
201517,266,0
201518,349,0
201519,257,0
201520,266,0
201521,283,1
201522,178,1
201523,197,0
201524,194,0
201525,184,0
201526,136,0
201527,93,0
201528,107,0
201529,73,0
201530,74,0
201531,76,0
201532,86,1
201533,62,0
201534,46,0
201535,56,0
201536,27,1
201537,31,0
201538,39,0
201539,37,0
201540,35,0
201541,42,0
201542,45,0
201543,37,0
201544,60,0
201545,67,0
201546,83,0
201547,103,0
201548,168,0
201549,223,0
201550,249,0
