semana,casos,obitos
201001,4225,4
201002,5511,10
201003,7115,0
201004,8047,11
201005,7442,5
201006,7298,5
201007,5100,5
201008,6264,8
201009,5757,15
201010,4902,5
201011,4792,5
201012,4317,5
201013,3191,6
201014,3833,6
201015,3485,4
201016,2795,7
201017,2928,9
201018,3180,7
201019,2458,5
201020,1913,3
201021,1557,5
201022,967,6
201023,1236,1
201024,893,7
201025,749,4
201026,447,0
201027,453,1
201028,375,3
201029,344,2
201030,311,1
201031,316,4
201032,335,4
201033,370,2
201034,384,2
201035,413,0
201036,361,0
201037,455,1
201038,526,1
201039,722,1
201040,735,4
201041,561,0
201042,697,2
201043,631,3
201044,471,6
201045,767,3
201046,723,2
201047,844,3
201048,891,3
201049,1205,4
201050,1182,2
201051,889,1
201052,647,0
201101,1023,0
201102,1129,0
201103,1366,2
201104,1548,6
201105,1551,2
201106,1581,2
201107,1578,5
201108,1532,6
201109,1347,3
201110,1058,3
201111,1369,6
201112,1620,9
201113,1833,3
201114,1886,3
201115,1841,5
201116,1334,3
201117,1792,3
201118,1516,6
201119,1381,3
201120,1388,3
201121,1044,2
201122,861,4
201123,832,1
201124,644,3
201125,350,1
201126,406,3
201127,361,1
201128,300,2
201129,324,3
201130,330,5
201131,272,3
201132,304,2
201133,269,2
201134,296,1
201135,243,0
201136,231,4
201137,259,0
201138,361,0
201139,386,2
201140,435,3
201141,437,3
201142,531,5
201143,535,4
201144,490,2
201145,569,2
201146,519,4
201147,615,3
201148,672,1
201149,794,4
201150,771,1
201151,655,2
201152,489,1
201201,721,2
201202,762,2
201203,793,3
201204,934,1
201205,901,3
201206,979,1
201207,933,1
201208,686,1
201209,933,7
201210,890,5
201211,831,2
201212,865,6
201213,869,3
201214,586,0
201215,848,6
201216,906,1
201217,1010,2
201218,735,2
201219,1085,2
201220,835,4
201221,781,3
201222,843,3
201223,519,3
201224,778,2
201225,789,4
201226,603,2
201227,512,1
201228,493,1
201229,379,4
201230,331,1
201231,366,0
201232,405,4
201233,309,1
201234,301,3
201235,299,3
201236,269,0
201237,367,6
201238,320,2
201239,324,3
201240,425,0
201241,342,3
201242,388,2
201243,398,6
201244,417,3
201245,498,0
201246,359,2
201247,635,1
201248,701,2
201249,665,2
201250,704,2
201251,1047,3
201252,784,3
201301,2073,6
201302,3957,5
201303,5478,6
201304,5814,6
201305,6911,5
201306,7302,5
201307,5512,8
201308,8502,12
201309,10054,8
201310,9501,9
201311,9159,6
201312,8915,8
201313,6570,6
201314,7696,7
201315,7495,8
201316,7330,11
201317,6385,9
201318,4839,6
201319,4437,6
201320,4387,2
201321,3554,7
201322,2351,6
201323,2302,3
201324,1915,2
201325,1696,3
201326,1433,1
201327,934,1
201328,781,3
201329,671,4
201330,490,0
201331,455,3
201332,494,3
201333,492,2
201334,497,1
201335,437,2
201336,377,1
201337,393,3
201338,394,3
201339,348,4
201340,382,2
201341,459,0
201342,539,0
201343,510,3
201344,478,2
201345,540,3
201346,603,1
201347,919,2
201348,867,3
201349,950,5
201350,1079,4
201351,1131,2
201352,773,4
201401,1082,2
201402,1904,4
201403,2295,3
201404,2599,1
201405,3287,2
201406,3726,6
201407,3582,4
201408,4071,3
201409,4177,5
201410,2523,3
201411,3884,4
201412,4182,4
201413,4772,8
201414,4988,7
201415,5092,1
201416,4569,7
201417,5307,6
201418,5024,6
201419,5572,5
201420,5000,8
201421,5028,0
201422,4509,3
201423,4247,5
201424,2949,3
201425,2136,8
201426,1926,4
201427,1509,1
201428,1308,3
201429,1089,0
201430,1078,5
201431,837,2
201432,852,4
201433,812,3
201434,794,4
201435,667,1
201436,532,5
201437,617,2
201438,647,4
201439,645,5
201440,624,1
201441,746,1
201442,770,3
201443,763,3
201444,811,0
201445,885,4
201446,841,2
201447,1159,3
201448,1095,1
201449,1065,3
201450,1157,2
201451,1277,2
201452,844,3
201453,1037,7
201501,2152,4
201502,2617,1
201503,3660,6
201504,4562,3
201505,5219,3
201506,5685,2
201507,4302,2
201508,7017,4
201509,7187,5
201510,8274,6
201511,8999,8
201512,8934,4
201513,6799,5
201514,10038,4
201515,8373,9
201516,7165,8
201517,9822,13
201518,11389,21
201519,10539,7
201520,8970,16
201521,7887,6
201522,5418,5
201523,6319,7
201524,4942,5
201525,3366,7
201526,2560,4
201527,1540,3
201528,1486,2
201529,1302,0
201530,1366,9
201531,1290,1
201532,832,1
201533,666,1
201534,629,3
201535,504,3
201536,451,1
201537,518,4
201538,534,2
201539,494,0
201540,550,1
201541,642,5
201542,740,4
201543,691,0
201544,809,3
201545,1056,2
201546,1149,2
201547,1265,3
201548,1621,4
201549,2027,3
201550,2289,1
201551,1816,2
201552,2139,4
201601,3738,4
201602,4783,3
201603,5247,4
201604,5875,2
201605,7194,2
201606,6389,5
201607,9680,6
201608,10410,8
201609,9961,10
201610,9621,7
201611,9025,2
