data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,33.8,21.9,25.356,99.2,86.632,2.989
2010-01-10,34.7,20.6,25.346,27.314,86.506,2.757
2010-01-17,33.6,20.3,25.153,26.457,87.378,2.71
2010-01-24,36.2,21.0,25.43,26.657,85.379,2.67
2010-01-31,34.9,20.5,25.457,29.6,86.377,2.653
2010-02-07,34.6,19.4,25.255,26.771,87.117,2.722
2010-02-14,34.2,21.2,25.625,15.514,86.467,2.68
2010-02-21,33.7,21.6,26.061,50.8,86.508,2.729
2010-02-28,33.3,21.3,25.449,21.343,87.184,2.732
2010-03-07,33.2,21.5,25.903,16.714,85.864,2.797
2010-03-14,34.0,21.2,25.803,17.371,86.345,2.84
2010-03-21,33.7,21.4,25.872,45.486,86.239,2.751
2010-03-28,33.8,21.1,25.447,12.171,87.688,2.912
2010-04-04,33.5,20.8,26.136,27.143,86.074,2.894
2010-04-11,33.9,19.8,25.876,13.6,84.786,2.834
2010-04-18,33.3,19.8,26.255,6.343,85.361,2.885
2010-04-25,33.5,20.2,26.43,7.486,82.739,2.979
2010-05-02,34.0,16.3,25.267,33.057,84.975,3.534
2010-05-09,34.3,19.0,25.77,14.829,83.09,2.956
2010-05-16,33.4,19.6,25.217,16.514,86.403,3.241
2010-05-23,34.3,20.4,25.274,21.943,86.673,2.768
2010-05-30,33.3,19.5,24.723,29.229,86.881,2.948
2010-06-06,32.8,20.4,25.027,12.257,86.634,2.835
2010-06-13,34.3,16.3,24.066,11.314,86.304,3.268
2010-06-20,34.0,13.7,24.697,5.6,83.31,2.762
2010-06-27,34.3,14.5,24.641,7.057,83.151,2.703
2010-07-04,34.1,16.6,24.746,26.771,84.099,2.647
2010-07-11,34.3,12.5,23.638,19.857,85.202,2.719
2010-07-18,34.3,14.6,24.404,16.257,84.318,2.804
2010-07-25,34.3,12.5,24.05,13.286,79.369,2.516
2010-08-01,35.3,14.2,24.612,6.829,79.75,2.406
2010-08-08,35.9,6.0,24.411,5.743,75.192,2.802
2010-08-15,36.1,11.9,24.581,18.8,76.131,2.812
2010-08-22,36.0,6.0,24.77,4.914,75.849,2.659
2010-08-29,36.1,11.9,25.017,12.057,76.104,2.957
2010-09-05,36.8,16.8,25.348,19.171,78.168,2.921
2010-09-12,36.9,17.0,25.636,12.657,79.169,2.964
2010-09-19,37.1,18.4,25.959,27.114,79.448,3.186
2010-09-26,37.2,19.9,26.143,24.029,79.575,3.035
