data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,38.0,21.5,27.7,0.0,67.153,6.343
2010-01-10,38.2,19.8,27.011,17.057,70.554,5.843
2010-01-17,37.6,21.4,27.416,5.657,70.738,6.448
2010-01-24,37.8,21.0,26.8,31.543,75.098,5.788
2010-01-31,37.0,20.3,27.231,12.114,73.008,5.922
2010-02-07,37.4,20.9,27.185,14.486,74.548,5.242
2010-02-14,38.1,20.0,27.482,13.029,72.815,5.88
2010-02-21,37.9,21.0,26.927,14.629,74.807,5.536
2010-02-28,37.5,21.1,27.423,10.143,74.871,5.276
2010-03-07,38.6,20.9,27.766,0.514,70.726,5.627
2010-03-14,37.1,21.2,27.65,10.0,71.471,5.683
2010-03-21,37.9,20.4,27.532,16.429,70.019,5.093
2010-03-28,38.0,21.5,27.59,17.086,73.446,5.106
2010-04-04,38.0,21.1,27.121,22.543,72.014,4.69
2010-04-11,39.7,21.9,27.115,14.514,76.778,4.735
2010-04-18,37.0,20.7,26.63,17.571,78.173,4.792
2010-04-25,38.6,20.8,26.258,13.743,78.154,4.404
2010-05-02,38.1,20.3,26.094,4.914,77.101,4.225
2010-05-09,37.2,18.8,25.815,11.8,76.977,4.166
2010-05-16,36.5,18.8,25.555,8.286,78.804,4.067
2010-05-23,35.5,18.8,25.322,16.914,79.96,4.185
2010-05-30,34.0,20.4,25.115,17.743,81.204,4.061
2010-06-06,33.9,18.8,24.804,39.571,80.328,4.074
2010-06-13,32.9,18.7,24.594,15.143,80.471,4.329
2010-06-20,32.8,18.5,23.899,37.657,78.803,4.636
2010-06-27,30.6,18.0,23.671,38.086,82.21,4.534
2010-07-04,30.1,17.5,23.424,32.057,84.363,4.18
2010-07-11,31.1,18.3,23.529,23.314,83.561,4.03
2010-07-18,30.6,15.9,23.089,17.514,83.488,3.884
2010-07-25,30.5,16.6,22.929,23.914,81.004,4.659
2010-08-01,30.3,16.5,22.777,24.486,82.891,4.586
2010-08-08,31.5,16.9,22.862,10.943,78.584,4.517
2010-08-15,31.1,16.4,23.028,9.771,78.047,4.341
2010-08-22,32.7,16.4,23.183,19.8,80.646,4.78
2010-08-29,34.7,16.2,23.522,12.657,77.072,4.355
2010-09-05,35.7,17.0,23.673,13.029,76.491,4.738
2010-09-12,36.0,17.1,23.985,4.571,73.029,5.067
2010-09-19,35.4,17.3,23.88,18.6,75.105,5.37
2010-09-26,36.0,16.7,24.483,11.429,71.523,5.605
2010-10-03,35.8,19.0,24.947,0.457,70.156,5.503
2010-10-10,37.7,17.4,25.381,2.257,68.121,5.806
2010-10-17,36.8,19.5,25.617,2.2,67.62,6.3
2010-10-24,38.1,19.2,25.929,15.229,68.77,6.004
2010-10-31,37.6,19.2,26.211,3.029,66.425,6.477
2010-11-07,39.3,19.4,26.053,8.057,68.911,6.218
2010-11-14,40.3,20.2,26.096,3.943,67.446,6.367
2010-11-21,40.8,20.3,26.987,0.6,64.287,7.101
2010-11-28,41.9,17.6,26.888,0.343,63.682,6.318
2010-12-05,41.5,20.2,26.924,0.171,63.425,6.421
2010-12-12,40.7,19.6,27.563,0.171,62.109,7.18
2010-12-19,37.8,19.1,26.79,4.886,65.259,6.609
2010-12-26,36.2,20.2,26.65,2.829,66.144,6.441
2011-01-02,39.2,20.0,26.922,0.4,64.717,6.108
2011-01-09,42.8,19.7,27.164,3.286,64.797,5.889
2011-01-16,37.5,20.1,27.13,9.2,65.619,5.996
2011-01-23,36.5,20.2,26.217,21.886,70.355,4.929
2011-01-30,35.8,18.7,26.501,5.429,69.132,5.292
2011-02-06,36.0,20.8,26.978,3.629,68.01,5.869
2011-02-13,38.1,19.6,27.308,1.371,64.997,5.586
2011-02-20,37.5,20.3,26.761,22.486,69.229,5.123
2011-02-27,37.4,19.9,27.046,6.886,68.675,5.298
2011-03-06,37.8,19.4,27.086,3.743,67.036,5.116
2011-03-13,38.5,20.3,27.363,0.6,67.043,5.327
2011-03-20,38.1,20.2,27.044,0.057,67.615,5.38
2011-03-27,38.5,19.9,27.482,1.029,67.349,5.17
2011-04-03,37.4,20.6,27.12,2.743,69.747,5.002
2011-04-10,35.9,20.3,26.567,15.257,72.57,4.509
2011-04-17,36.2,19.4,26.272,9.743,71.407,4.318
2011-04-24,35.6,20.7,26.153,36.0,72.377,4.101
2011-05-01,36.0,18.6,26.011,19.486,70.523,4.42
2011-05-08,36.2,19.3,25.464,13.0,70.217,4.241
2011-05-15,36.0,18.0,25.111,7.229,69.906,3.806
2011-05-22,35.8,19.6,25.627,5.486,69.545,4.054
2011-05-29,34.6,18.9,24.607,32.114,78.978,3.704
2011-06-05,35.2,19.5,24.503,10.057,77.109,3.316
2011-06-12,36.2,18.5,24.572,5.8,74.119,3.481
2011-06-19,34.2,18.1,23.993,8.2,75.933,3.645
2011-06-26,32.1,18.9,23.683,18.543,77.08,4.143
2011-07-03,30.8,16.7,22.94,12.629,78.774,3.797
2011-07-10,30.9,17.0,22.876,5.6,78.739,4.278
2011-07-17,31.3,16.2,22.887,19.171,76.715,4.364
2011-07-24,33.4,15.1,22.635,15.914,75.943,4.055
2011-07-31,32.1,17.0,22.866,26.057,76.075,4.965
2011-08-07,32.2,16.3,22.541,4.914,76.333,3.61
2011-08-14,34.7,16.7,23.019,4.029,72.237,3.729
2011-08-21,35.6,16.4,23.013,10.286,75.681,4.238
2011-08-28,35.0,16.5,23.062,23.771,76.58,4.386
2011-09-04,33.7,16.0,23.164,6.114,73.599,4.099
2011-09-11,33.4,17.9,23.546,2.771,71.269,4.761
2011-09-18,35.6,17.6,23.946,6.114,69.662,5.35
2011-09-25,37.8,16.9,24.23,5.086,68.505,5.346
2011-10-02,36.4,18.4,24.632,6.429,69.482,5.106
2011-10-09,40.6,18.5,25.15,1.114,66.257,5.102
2011-10-16,37.1,18.0,24.492,1.457,68.802,5.582
2011-10-23,36.0,19.1,24.961,2.657,67.451,5.697
2011-10-30,34.4,17.9,24.947,2.829,67.497,5.911
2011-11-06,38.2,19.7,26.212,9.886,62.527,6.447
2011-11-13,36.9,19.2,25.723,4.857,63.255,6.983
2011-11-20,36.9,19.2,26.113,0.143,61.479,6.883
2011-11-27,37.0,19.3,26.3,1.514,61.716,6.665
2011-12-04,36.5,19.1,26.306,1.657,63.417,6.784
2011-12-11,39.2,20.4,26.918,0.8,61.571,7.204
2011-12-18,39.3,20.1,27.149,2.343,62.065,6.834
2011-12-25,36.6,21.0,26.711,6.571,65.398,6.368
2012-01-01,37.5,20.1,26.736,1.086,65.412,6.386
2012-01-08,38.2,19.7,27.008,1.6,64.457,6.336
2012-01-15,37.8,20.2,27.025,2.686,64.396,6.198
2012-01-22,37.6,20.5,26.747,19.714,64.016,5.49
2012-01-29,38.5,20.3,26.878,6.029,62.788,5.624
2012-02-05,38.3,21.3,27.208,0.571,61.843,6.406
2012-02-12,37.9,20.6,27.407,1.143,62.735,6.172
2012-02-19,36.7,20.1,26.946,9.429,65.11,5.596
2012-02-26,37.5,21.3,27.228,6.4,64.54,5.658
2012-03-04,38.7,21.0,26.998,1.657,63.455,5.536
2012-03-11,38.4,21.0,26.868,16.829,65.861,5.199
2012-03-18,38.2,19.2,26.653,1.8,66.628,4.882
2012-03-25,37.7,19.5,26.732,2.114,65.535,5.015
2012-04-01,39.1,19.7,26.667,2.686,64.695,4.543
2012-04-08,38.4,19.4,26.406,4.771,67.85,4.569
2012-04-15,37.6,19.3,26.475,3.543,66.097,4.462
2012-04-22,37.3,18.5,26.243,7.143,68.585,4.188
2012-04-29,37.0,18.4,25.787,15.629,72.573,4.096
2012-05-06,32.6,19.8,25.27,13.543,78.256,3.95
2012-05-13,33.8,19.5,25.277,8.171,74.226,3.865
2012-05-20,39.0,19.0,25.66,5.943,75.925,3.624
2012-05-27,32.3,19.7,24.782,24.486,80.899,3.794
2012-06-03,31.7,18.7,24.707,6.343,78.587,3.579
2012-06-10,31.6,20.1,24.471,9.943,80.11,4.08
2012-06-17,30.8,19.9,24.077,17.286,82.874,3.939
2012-06-24,29.4,19.4,23.99,15.829,83.929,4.038
2012-07-01,29.1,17.3,23.2,18.029,78.277,4.162
2012-07-08,28.7,17.2,22.999,10.8,76.38,4.194
2012-07-15,29.6,16.3,23.232,9.457,72.789,3.789
2012-07-22,29.2,16.0,22.685,17.171,73.794,3.727
2012-07-29,29.8,16.5,22.95,10.0,76.244,4.091
2012-08-05,30.6,15.4,22.577,11.4,74.753,4.309
2012-08-12,32.0,16.6,23.256,4.686,71.18,4.172
2012-08-19,31.9,16.3,23.167,7.0,71.924,4.306
2012-08-26,32.0,17.1,23.189,13.8,73.742,4.658
2012-09-02,32.1,17.1,23.219,10.743,74.744,4.357
2012-09-09,32.1,17.2,23.376,8.743,74.607,4.454
2012-09-16,31.3,16.5,23.567,12.143,72.81,4.437
2012-09-23,32.5,17.9,24.224,11.029,72.596,4.97
2012-09-30,34.1,17.4,24.506,6.029,71.458,5.056
2012-10-07,35.2,18.0,24.99,2.686,69.295,5.345
2012-10-14,35.5,18.6,24.779,13.829,72.207,5.087
2012-10-21,37.1,19.1,25.554,5.314,69.176,6.081
2012-10-28,37.5,18.7,25.837,3.943,69.347,5.796
2012-11-04,38.5,19.0,26.344,5.486,66.964,6.591
2012-11-11,38.1,20.1,26.156,11.2,66.407,6.364
2012-11-18,40.8,19.2,26.339,4.229,66.384,6.37
2012-11-25,38.1,18.5,26.557,1.057,66.809,6.192
2012-12-02,38.4,20.6,26.738,23.371,66.012,6.435
2012-12-09,40.5,19.7,27.244,5.114,62.403,6.348
2012-12-16,38.4,18.4,27.026,0.714,64.189,6.536
2012-12-23,37.3,19.2,26.633,9.057,68.355,5.93
2012-12-30,37.4,19.7,26.703,2.429,66.601,6.061
2013-01-06,40.0,20.3,26.87,4.714,65.457,6.226
2013-01-13,37.0,19.9,26.422,9.543,68.635,5.813
2013-01-20,37.1,20.3,26.613,2.714,69.297,5.756
2013-01-27,37.5,19.6,26.767,2.686,67.608,5.842
2013-02-03,39.0,20.1,26.761,4.171,69.108,5.551
2013-02-10,38.8,20.4,27.093,7.029,68.467,5.685
2013-02-17,37.1,20.3,26.96,7.886,68.911,5.648
2013-02-24,37.6,20.6,27.258,7.057,67.612,5.776
2013-03-03,37.5,20.5,27.494,9.514,66.599,5.835
2013-03-10,40.4,20.7,27.523,12.571,65.856,5.364
2013-03-17,39.1,20.1,27.209,6.086,67.725,5.18
2013-03-24,38.3,20.9,27.269,29.571,68.606,5.191
2013-03-31,36.8,21.4,26.836,16.657,68.907,4.898
2013-04-07,38.6,21.6,27.114,6.686,69.792,4.853
2013-04-14,35.6,20.6,26.689,23.429,71.746,4.483
2013-04-21,36.1,20.7,26.51,17.114,72.624,4.643
2013-04-28,34.7,20.5,25.791,38.257,75.384,4.467
2013-05-05,34.6,19.7,25.305,50.971,79.325,4.157
2013-05-12,34.4,18.6,25.327,23.743,77.16,3.774
2013-05-19,34.9,20.3,25.275,30.0,79.955,3.954
2013-05-26,34.9,19.1,25.075,43.057,77.726,4.147
2013-06-02,33.4,19.3,24.903,23.029,76.08,3.996
2013-06-09,33.2,18.1,24.491,39.886,78.117,4.17
2013-06-16,32.3,18.2,23.828,47.571,80.825,4.279
2013-06-23,32.4,17.5,23.803,27.486,83.882,4.321
2013-06-30,32.4,16.7,23.451,27.829,82.274,4.455
2013-07-07,31.9,16.8,23.189,56.857,83.226,4.821
2013-07-14,33.1,17.1,23.617,29.829,82.435,4.866
2013-07-21,32.0,16.4,23.338,27.971,83.423,4.655
2013-07-28,31.7,17.5,23.217,20.571,82.228,5.002
2013-08-04,33.0,15.5,23.239,28.486,79.876,4.761
2013-08-11,35.3,16.1,23.499,12.686,79.463,4.711
2013-08-18,37.0,16.8,23.672,14.4,79.016,5.224
2013-08-25,33.5,17.0,22.606,14.086,82.595,5.2
2013-09-01,30.0,17.1,23.529,5.943,79.946,5.643
2013-09-08,33.3,15.6,23.193,16.343,80.807,5.438
2013-09-15,29.5,17.6,23.026,21.4,83.217,5.402
2013-09-22,34.8,17.4,24.085,4.314,78.222,5.339
2013-09-29,36.8,16.7,24.811,3.257,75.944,5.751
2013-10-06,36.4,17.9,24.895,15.257,75.783,5.482
2013-10-13,35.7,19.0,25.194,27.2,76.035,6.265
2013-10-20,40.2,17.6,25.699,6.629,73.68,6.123
2013-10-27,39.1,19.6,25.745,23.914,75.149,5.992
2013-11-03,39.7,19.0,26.114,5.629,72.793,6.331
2013-11-10,37.5,17.5,25.818,27.886,74.858,6.171
2013-11-17,38.1,19.2,26.405,7.343,70.802,6.79
2013-11-24,36.9,20.0,26.164,4.286,72.419,6.426
2013-12-01,37.8,18.6,26.239,10.029,72.903,6.694
2013-12-08,38.5,19.6,26.527,18.057,73.265,6.176
2013-12-15,35.9,20.2,26.58,6.314,72.641,6.652
2013-12-22,35.5,19.8,26.338,5.629,72.411,6.44
2013-12-29,37.5,19.9,26.668,4.0,71.919,6.088
2014-01-05,38.0,20.4,27.265,3.143,67.334,6.256
2014-01-12,37.3,19.4,26.86,10.457,68.823,5.958
2014-01-19,37.6,19.8,27.246,1.286,67.261,5.905
2014-01-26,38.2,20.5,27.099,11.514,68.487,5.857
2014-02-02,37.3,20.2,27.073,8.857,69.972,5.774
2014-02-09,37.9,20.8,27.312,14.229,69.968,5.695
2014-02-16,39.0,20.8,27.571,12.886,68.657,5.944
