data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,35.1,21.9,26.281,70.8,81.291,3.087
2010-01-10,35.7,21.3,26.294,76.4,81.737,3.282
2010-01-17,34.9,21.1,26.106,75.114,82.18,3.362
2010-01-24,34.9,20.6,26.105,53.257,81.99,3.266
2010-01-31,34.9,20.3,26.137,94.286,81.807,3.365
2010-02-07,34.5,21.2,26.234,92.514,81.863,3.346
2010-02-14,36.0,21.8,26.179,121.914,82.051,3.369
2010-02-21,34.7,20.4,26.427,79.057,81.313,3.401
2010-02-28,33.9,21.5,26.109,83.629,81.939,3.333
2010-03-07,34.3,21.7,26.654,94.543,80.145,3.429
2010-03-14,34.6,21.3,26.684,79.971,81.289,3.358
2010-03-21,34.0,21.9,26.469,72.914,82.6,3.35
2010-03-28,34.6,21.2,26.615,72.829,81.272,3.439
2010-04-04,34.7,20.7,26.428,77.171,82.42,3.399
2010-04-11,34.8,22.1,26.459,90.314,83.055,3.159
2010-04-18,34.7,21.7,26.333,115.057,82.995,3.182
2010-04-25,34.7,21.4,26.46,117.829,83.282,2.877
2010-05-02,34.2,18.2,26.226,60.8,82.732,3.111
2010-05-09,34.7,17.7,26.272,47.457,81.871,2.984
2010-05-16,34.2,21.1,26.354,56.886,83.014,2.963
2010-05-23,34.1,20.5,26.356,43.114,82.439,2.884
2010-05-30,33.9,19.7,26.494,36.257,81.67,2.992
2010-06-06,33.9,19.6,26.491,34.429,81.349,2.838
2010-06-13,34.4,18.4,25.985,37.429,81.741,3.056
2010-06-20,34.4,19.3,26.304,26.4,79.561,2.677
2010-06-27,34.4,14.5,26.204,32.371,79.33,2.779
2010-07-04,34.2,15.2,26.217,28.629,78.104,2.646
2010-07-11,35.2,14.2,26.286,29.6,77.96,2.914
2010-07-18,35.1,18.3,26.56,15.371,78.784,2.841
2010-07-25,35.4,16.5,26.37,13.286,76.831,2.945
2010-08-01,36.6,18.2,26.766,16.257,74.915,2.771
2010-08-08,37.8,13.8,26.899,8.2,72.56,2.827
2010-08-15,37.8,17.1,27.188,22.686,73.424,2.738
2010-08-22,37.2,12.8,26.956,35.2,73.686,2.639
2010-08-29,37.4,12.7,27.238,14.171,70.668,2.759
2010-09-05,36.9,18.2,27.363,17.686,72.52,2.784
2010-09-12,37.2,18.0,27.318,31.571,73.683,2.94
2010-09-19,37.1,20.4,27.814,17.6,73.408,2.963
2010-09-26,37.1,21.1,27.859,13.686,72.603,2.927
2010-10-03,37.3,20.4,28.089,27.286,71.182,3.27
2010-10-10,38.0,20.7,27.851,43.2,74.16,3.136
2010-10-17,37.1,20.1,27.31,33.629,76.098,3.121
2010-10-24,38.1,21.1,27.339,51.743,76.172,3.218
2010-10-31,37.8,21.1,27.326,47.029,76.619,3.296
2010-11-07,36.3,20.6,27.186,56.686,76.511,3.407
2010-11-14,36.4,21.0,26.856,53.286,79.231,3.342
2010-11-21,36.2,21.1,26.725,59.429,78.984,3.352
2010-11-28,36.0,21.6,26.848,75.371,79.0,3.37
2010-12-05,35.4,21.5,26.974,61.143,78.64,3.212
2010-12-12,34.9,21.0,26.38,89.314,81.164,3.149
2010-12-19,34.4,22.0,26.088,97.886,82.224,3.295
2010-12-26,33.9,20.8,25.932,115.229,82.604,3.08
2011-01-02,34.1,21.0,26.088,95.8,82.461,3.132
2011-01-09,34.4,21.2,26.119,114.857,82.212,3.34
2011-01-16,33.4,19.7,25.89,118.743,82.794,3.369
2011-01-23,34.8,20.9,25.853,119.229,83.467,3.261
2011-01-30,34.9,20.7,26.385,62.029,81.371,3.427
2011-02-06,34.4,21.3,26.053,109.171,82.45,3.434
2011-02-13,35.0,21.8,25.912,111.429,83.222,3.245
2011-02-20,34.3,20.8,26.21,108.114,82.107,3.41
2011-02-27,34.3,20.7,25.873,113.257,84.101,3.289
2011-03-06,43.1,20.9,26.31,124.2,81.786,3.328
2011-03-13,34.7,22.0,26.522,61.029,81.697,3.249
2011-03-20,36.0,21.8,26.757,66.971,80.241,3.395
2011-03-27,34.6,22.2,26.322,92.2,81.272,3.35
2011-04-03,34.2,21.2,26.285,95.171,82.252,3.25
2011-04-10,34.9,22.1,26.61,56.429,83.781,2.986
2011-04-17,34.6,22.1,26.308,75.657,84.153,3.202
2011-04-24,34.3,21.5,26.419,50.057,83.729,2.99
2011-05-01,35.4,17.1,26.228,63.6,84.318,3.253
2011-05-08,34.8,19.0,26.459,43.743,83.817,2.947
2011-05-15,34.1,19.8,26.59,39.771,83.898,2.912
2011-05-22,34.4,21.6,26.414,45.0,83.606,2.781
2011-05-29,34.3,18.4,26.56,44.343,82.477,2.878
2011-06-05,34.4,20.3,26.589,51.886,81.258,2.754
2011-06-12,34.3,15.3,26.464,31.657,78.069,3.047
2011-06-19,34.4,19.4,26.548,28.314,79.233,2.911
2011-06-26,33.8,18.2,26.572,21.571,78.317,2.883
2011-07-03,34.3,18.9,26.493,20.686,77.475,2.895
2011-07-10,35.1,14.6,26.614,28.086,77.449,2.978
2011-07-17,35.0,16.0,26.717,22.971,76.201,3.059
2011-07-24,35.5,13.6,26.617,15.4,73.861,3.317
2011-07-31,36.1,17.2,27.34,6.571,72.775,2.719
2011-08-07,36.6,16.6,27.653,15.229,71.858,3.071
2011-08-14,36.4,17.6,27.602,19.771,73.065,3.086
2011-08-21,36.6,16.5,27.751,12.6,74.026,2.972
2011-08-28,36.5,17.3,27.254,29.943,74.774,3.168
2011-09-04,43.2,14.4,28.009,11.771,72.156,3.055
2011-09-11,37.2,19.5,28.13,24.143,72.694,3.065
2011-09-18,37.4,20.3,28.087,23.371,73.804,3.175
2011-09-25,38.2,21.2,28.276,9.943,72.676,3.41
2011-10-02,38.0,18.9,28.454,26.114,71.17,3.545
2011-10-09,38.5,20.9,27.93,35.6,73.023,3.74
2011-10-16,37.3,20.3,27.34,50.943,76.464,3.582
2011-10-23,38.3,21.4,27.098,44.829,77.91,3.535
