data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,37.4,15.4,25.89,76.4,68.944,5.307
2010-01-10,39.5,14.7,25.558,87.6,70.379,5.354
2010-01-17,36.4,15.2,25.824,80.6,68.709,5.787
2010-01-24,37.1,14.0,25.569,172.8,69.0,5.592
2010-01-31,36.1,15.2,25.701,75.714,69.466,5.606
2010-02-07,37.8,15.6,25.856,88.286,68.964,5.637
2010-02-14,37.1,15.4,25.684,84.371,70.539,5.332
2010-02-21,38.0,14.6,25.901,54.086,69.666,5.543
2010-02-28,37.8,15.0,25.991,70.429,71.002,5.326
2010-03-07,37.6,15.0,26.042,97.514,70.31,5.275
2010-03-14,39.1,15.6,26.22,106.286,70.742,5.079
2010-03-21,39.5,14.4,26.101,60.771,70.625,5.085
2010-03-28,37.4,14.4,25.651,119.057,73.732,5.087
2010-04-04,37.8,14.9,25.614,76.371,72.422,5.046
2010-04-11,37.5,15.5,25.909,61.229,71.067,4.873
2010-04-18,38.0,14.8,25.289,98.914,73.069,5.276
2010-04-25,36.4,15.2,25.006,69.229,73.381,5.168
2010-05-02,38.0,14.1,24.968,56.4,70.193,5.372
2010-05-09,36.6,13.2,24.624,54.314,72.023,5.542
2010-05-16,37.0,11.8,24.426,69.743,71.252,5.178
2010-05-23,36.9,13.0,24.192,69.914,73.367,5.172
2010-05-30,36.9,12.8,24.038,63.771,71.279,5.031
2010-06-06,36.3,12.0,23.912,33.229,69.998,4.98
2010-06-13,37.0,13.7,23.671,61.914,70.533,5.592
2010-06-20,35.6,11.7,22.9,44.886,71.092,5.524
2010-06-27,36.2,10.4,22.958,49.571,69.389,5.589
2010-07-04,34.4,10.7,22.45,97.514,69.297,5.517
2010-07-11,35.8,10.5,22.317,70.943,68.748,5.793
2010-07-18,35.7,11.0,22.722,54.686,67.839,5.591
2010-07-25,36.5,10.0,22.317,48.829,67.109,5.893
2010-08-01,44.1,9.8,22.134,52.714,67.927,6.133
2010-08-08,38.4,8.9,22.473,25.086,66.181,5.999
2010-08-15,37.5,10.3,22.52,42.857,65.025,5.976
2010-08-22,37.5,10.5,22.608,53.571,65.493,6.502
2010-08-29,38.3,10.9,22.728,40.343,65.005,6.316
2010-09-05,38.4,8.7,23.379,22.343,62.077,6.18
2010-09-12,38.6,9.6,23.655,28.657,61.466,6.616
2010-09-19,39.5,12.6,24.12,18.4,60.57,6.533
2010-09-26,40.3,11.7,24.915,21.0,58.936,6.493
2010-10-03,39.5,12.7,25.093,24.171,61.562,6.37
2010-10-10,40.7,12.1,25.597,17.029,59.983,6.728
2010-10-17,40.5,11.4,25.602,18.743,61.539,6.727
2010-10-24,41.0,12.9,25.879,73.943,62.84,6.3
2010-10-31,40.5,13.6,26.248,49.743,62.643,6.211
2010-11-07,40.3,13.4,25.678,105.4,66.058,6.186
2010-11-14,40.3,13.8,25.547,94.171,67.788,5.937
2010-11-21,38.6,14.9,25.363,110.086,70.594,5.87
2010-11-28,38.5,15.7,25.362,146.771,71.141,5.582
2010-12-05,38.9,14.8,25.167,104.629,71.294,5.217
2010-12-12,37.7,14.2,25.621,148.086,71.179,5.351
2010-12-19,37.2,14.4,25.213,158.257,73.276,5.063
2010-12-26,38.3,14.9,25.435,104.143,69.599,5.112
2011-01-02,37.7,15.6,25.757,41.514,68.775,5.189
2011-01-09,38.0,14.0,25.528,105.257,69.834,5.141
2011-01-16,37.8,15.3,25.561,66.714,69.767,5.349
2011-01-23,36.7,15.0,25.534,123.086,69.422,5.298
2011-01-30,37.0,14.9,25.477,122.743,71.208,5.348
2011-02-06,38.7,14.9,25.894,39.429,67.491,5.395
2011-02-13,39.3,15.1,25.779,85.514,69.354,5.299
2011-02-20,39.0,13.8,25.704,60.086,69.359,5.256
2011-02-27,37.8,15.4,25.595,123.829,71.94,5.126
2011-03-06,38.4,15.0,25.841,89.943,70.412,4.892
2011-03-13,39.3,15.5,25.948,102.229,70.807,5.14
2011-03-20,38.9,16.1,26.006,69.257,69.598,5.116
2011-03-27,39.9,15.3,25.793,145.914,72.494,5.099
2011-04-03,36.8,15.5,25.593,56.286,72.003,4.972
2011-04-10,39.0,15.2,25.971,88.543,70.411,4.81
2011-04-17,37.7,14.0,25.171,119.057,74.055,4.921
2011-04-24,35.4,13.5,24.727,144.114,74.655,5.156
2011-05-01,37.1,11.6,24.542,208.114,73.284,5.286
2011-05-08,36.7,13.9,24.435,75.971,72.471,5.071
2011-05-15,37.6,13.1,24.258,76.314,71.707,5.144
2011-05-22,38.1,14.3,24.056,81.429,74.147,5.151
2011-05-29,36.6,11.2,23.846,57.743,72.951,5.092
2011-06-05,37.0,12.2,23.739,49.314,70.968,4.822
2011-06-12,36.4,10.8,23.466,84.514,71.528,5.381
2011-06-19,36.5,10.3,22.745,61.857,72.555,5.346
