data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,37.2,19.4,27.259,46.4,66.438,6.293
2010-01-10,38.0,17.0,27.37,20.314,64.659,6.398
2010-01-17,37.4,18.0,27.257,22.543,65.275,6.31
2010-01-24,37.1,18.0,26.513,80.314,70.243,5.815
2010-01-31,37.3,17.1,26.684,35.743,68.852,6.048
2010-02-07,38.1,18.7,27.412,17.029,65.39,6.452
2010-02-14,37.9,18.8,27.187,34.543,67.444,6.047
2010-02-21,37.5,17.4,26.616,72.514,72.405,5.451
2010-02-28,37.6,19.2,27.242,40.629,70.349,5.357
2010-03-07,37.8,17.2,27.266,24.286,69.656,5.203
2010-03-14,38.5,18.4,27.137,40.543,71.872,5.061
2010-03-21,38.3,17.3,26.934,22.657,72.279,4.904
2010-03-28,37.6,18.4,26.448,48.771,75.648,4.583
2010-04-04,35.9,18.0,26.433,47.857,76.131,4.573
2010-04-11,36.6,18.4,26.202,24.457,77.387,4.269
2010-04-18,36.6,18.8,26.141,36.257,76.503,4.624
2010-04-25,35.3,18.1,25.846,19.8,76.349,4.295
2010-05-02,35.2,18.2,25.937,24.743,74.465,4.146
2010-05-09,34.9,17.9,25.97,23.371,72.067,4.687
2010-05-16,35.2,19.0,25.856,28.457,73.061,4.507
2010-05-23,36.2,18.2,26.058,31.914,70.6,4.454
2010-05-30,36.0,18.0,26.032,22.114,69.474,5.111
2010-06-06,36.6,15.8,26.016,12.857,69.88,4.754
2010-06-13,36.1,16.9,25.967,27.457,67.422,4.92
2010-06-20,36.5,17.8,26.044,17.086,66.735,5.394
2010-06-27,36.6,18.3,25.958,10.686,65.076,5.699
2010-07-04,36.1,17.2,25.934,16.286,65.053,5.862
2010-07-11,36.0,17.6,25.971,17.086,63.951,6.022
2010-07-18,35.3,16.3,26.112,15.0,61.412,6.037
2010-07-25,36.2,15.2,26.45,3.086,57.598,6.429
2010-08-01,36.6,16.0,26.361,4.771,57.726,6.761
2010-08-08,37.0,16.5,26.55,3.971,57.102,6.436
2010-08-15,37.1,16.4,26.911,3.029,54.935,6.412
2010-08-22,37.8,16.2,27.009,0.343,54.324,6.591
2010-08-29,38.5,16.4,27.268,7.171,53.752,7.046
2010-09-05,37.9,16.4,27.301,1.829,54.473,6.853
2010-09-12,38.3,16.3,27.535,0.086,53.549,7.343
2010-09-19,38.1,16.7,27.779,1.4,53.426,7.555
2010-09-26,37.9,16.7,27.906,5.114,53.664,7.416
2010-10-03,38.7,11.8,28.097,0.6,54.545,7.419
2010-10-10,38.6,17.0,28.33,3.971,53.105,7.51
2010-10-17,38.1,18.1,28.282,5.343,54.566,7.643
2010-10-24,39.2,17.9,28.194,11.0,56.191,7.274
2010-10-31,41.3,17.4,27.91,4.114,57.005,7.374
2010-11-07,38.9,18.1,27.819,19.714,57.644,7.45
2010-11-14,38.3,18.0,27.774,15.829,58.639,7.564
2010-11-21,39.1,18.5,27.607,2.629,59.777,7.056
2010-11-28,39.1,18.0,27.651,4.343,59.989,6.989
2010-12-05,38.9,18.1,27.961,5.4,59.283,7.2
2010-12-12,38.4,17.6,27.983,20.086,60.369,6.662
2010-12-19,38.5,18.2,27.405,26.343,62.828,6.903
2010-12-26,37.9,18.6,27.402,19.143,64.353,6.655
2011-01-02,37.5,18.2,27.541,22.343,63.749,6.353
2011-01-09,37.8,18.6,26.955,40.457,67.086,5.858
2011-01-16,36.6,18.2,27.001,29.514,68.419,5.98
2011-01-23,37.0,18.2,26.273,66.571,73.662,5.515
2011-01-30,37.2,18.5,26.363,43.2,73.232,5.372
2011-02-06,36.2,18.0,26.773,34.686,72.555,5.283
2011-02-13,37.0,18.8,27.201,28.629,71.132,5.29
2011-02-20,37.7,17.3,26.214,87.543,77.267,4.706
2011-02-27,37.9,16.9,26.693,58.571,75.015,4.779
2011-03-06,38.1,17.8,26.718,53.857,74.077,4.857
2011-03-13,38.4,18.4,26.73,45.971,75.276,4.658
2011-03-20,38.9,18.5,26.795,44.429,74.412,4.837
2011-03-27,36.4,18.8,26.535,28.371,76.761,4.341
2011-04-03,37.1,18.4,26.18,76.2,78.855,4.266
2011-04-10,35.1,19.0,26.151,44.971,79.415,3.935
2011-04-17,35.3,17.8,26.112,53.857,78.228,3.938
2011-04-24,35.0,19.2,26.041,66.086,79.696,3.963
2011-05-01,35.8,18.6,26.05,52.714,77.425,4.254
2011-05-08,35.2,17.9,26.079,24.743,76.031,4.274
2011-05-15,36.5,18.4,26.162,56.657,75.46,4.135
2011-05-22,36.3,17.9,26.141,39.057,75.106,4.142
2011-05-29,36.9,17.1,26.331,26.257,72.684,4.769
2011-06-05,36.6,17.1,26.132,25.4,72.448,4.755
2011-06-12,37.0,18.2,26.116,17.314,71.562,5.011
2011-06-19,36.9,16.6,26.308,14.943,68.556,5.137
2011-06-26,36.7,17.3,26.673,20.429,65.697,5.066
2011-07-03,37.0,16.3,26.805,4.629,63.161,5.13
2011-07-10,37.0,17.7,26.849,16.229,64.058,5.323
2011-07-17,37.4,17.2,26.116,16.314,66.142,5.657
2011-07-24,37.3,16.7,26.232,8.4,64.605,5.819
2011-07-31,37.2,16.3,26.342,1.829,60.759,6.383
2011-08-07,37.8,16.7,26.595,1.829,60.398,6.327
2011-08-14,38.1,16.5,26.806,0.143,58.118,6.443
2011-08-21,37.7,16.5,26.93,1.2,56.487,6.867
2011-08-28,37.9,15.9,27.032,1.914,56.366,7.112
2011-09-04,37.7,16.6,27.25,0.057,55.33,7.256
2011-09-11,39.4,16.3,27.398,2.029,55.448,7.208
2011-09-18,39.5,17.1,27.656,0.457,55.529,7.381
2011-09-25,38.5,17.4,27.645,0.743,55.885,7.396
2011-10-02,39.6,16.8,27.873,0.257,56.599,7.432
2011-10-09,39.8,16.6,28.011,0.343,56.247,7.438
2011-10-16,39.0,17.2,28.161,1.657,55.974,7.35
2011-10-23,39.4,17.4,27.912,11.0,58.84,7.173
2011-10-30,38.9,17.7,27.969,15.4,58.344,7.12
2011-11-06,39.3,17.7,27.899,12.543,57.443,6.768
2011-11-13,38.4,17.8,27.785,7.914,58.386,7.045
2011-11-20,38.1,18.1,27.985,12.257,57.473,6.738
2011-11-27,39.2,18.6,28.187,9.8,58.089,6.917
2011-12-04,38.9,18.3,28.054,14.857,58.479,6.989
2011-12-11,39.0,18.4,27.826,21.686,60.219,6.646
2011-12-18,38.2,18.9,27.861,14.029,59.79,6.649
2011-12-25,38.3,18.8,27.465,22.086,62.873,6.519
2012-01-01,38.5,18.9,27.99,4.543,60.038,6.232
2012-01-08,38.5,18.5,27.549,35.657,63.25,5.599
2012-01-15,37.6,17.8,27.069,44.543,66.431,5.818
2012-01-22,37.0,18.7,27.098,48.343,67.217,5.419
2012-01-29,37.3,19.0,26.877,28.686,68.703,5.459
2012-02-05,36.9,18.7,27.291,23.714,65.572,5.977
2012-02-12,37.4,19.0,27.461,21.229,65.741,5.719
2012-02-19,36.9,18.5,26.812,33.571,70.378,5.5
2012-02-26,36.9,18.9,26.495,25.429,72.745,5.279
2012-03-04,37.7,19.0,26.818,20.857,70.181,5.307
2012-03-11,37.8,18.6,26.711,69.486,72.291,5.152
2012-03-18,37.6,18.9,26.717,54.457,72.857,5.281
2012-03-25,36.4,19.2,26.049,73.514,77.524,4.46
2012-04-01,36.2,18.7,25.831,96.6,79.35,4.338
2012-04-08,35.6,18.5,26.126,39.4,78.075,4.43
2012-04-15,35.9,18.6,26.024,45.829,77.394,4.351
2012-04-22,35.1,18.4,26.179,45.029,75.995,4.254
2012-04-29,36.9,18.0,26.271,53.314,72.87,4.537
2012-05-06,37.1,18.5,26.35,45.229,72.0,4.825
2012-05-13,37.0,18.3,26.417,24.543,70.692,4.672
2012-05-20,37.5,17.9,26.422,45.971,71.062,4.738
2012-05-27,36.7,18.3,26.499,27.2,68.488,5.027
2012-06-03,37.8,16.6,26.344,21.886,68.196,4.991
2012-06-10,36.9,16.7,26.22,20.229,67.435,5.027
2012-06-17,36.7,16.3,26.25,14.943,64.423,5.475
2012-06-24,37.2,17.6,26.14,34.514,65.57,5.403
2012-07-01,36.6,16.3,25.86,13.343,63.645,5.387
2012-07-08,36.5,16.5,25.858,18.943,61.535,5.877
2012-07-15,36.9,16.5,26.092,17.371,61.813,6.137
2012-07-22,37.0,16.5,26.027,17.743,60.605,6.11
2012-07-29,36.4,17.2,26.052,5.371,57.49,6.456
2012-08-05,36.9,15.8,26.214,0.857,56.191,6.378
2012-08-12,37.2,16.4,26.403,0.371,56.356,6.676
2012-08-19,42.8,17.3,26.732,2.914,54.439,6.864
2012-08-26,37.6,17.5,27.128,1.0,52.961,7.105
2012-09-02,38.5,16.7,27.169,0.8,53.833,6.949
2012-09-09,37.9,17.5,27.232,1.486,53.558,7.258
2012-09-16,38.0,16.8,27.676,1.629,52.372,7.411
2012-09-23,38.3,17.1,27.819,1.114,53.081,7.39
2012-09-30,38.0,17.2,28.025,1.286,53.546,7.372
2012-10-07,38.8,17.8,28.154,7.143,53.859,7.742
2012-10-14,38.3,17.0,28.286,1.457,53.278,7.915
2012-10-21,38.5,17.7,28.238,7.029,53.878,7.424
2012-10-28,38.9,18.1,28.286,2.886,55.004,7.469
2012-11-04,38.7,13.3,27.845,3.657,56.548,6.965
2012-11-11,38.9,15.5,27.958,7.343,56.077,7.225
2012-11-18,38.7,16.1,27.88,11.571,55.945,7.162
2012-11-25,38.2,17.4,27.847,12.6,57.751,6.891
2012-12-02,38.3,15.8,27.866,5.829,56.925,7.124
2012-12-09,38.6,17.2,27.842,12.971,58.242,7.067
2012-12-16,37.9,17.6,27.626,13.857,59.596,6.882
2012-12-23,37.9,17.1,27.464,17.371,61.527,6.787
2012-12-30,38.6,17.0,27.568,17.343,60.208,6.517
2013-01-06,38.7,18.0,27.351,60.514,64.66,6.012
2013-01-13,37.9,18.3,27.312,26.257,64.638,6.053
2013-01-20,38.3,18.6,27.331,26.143,65.751,5.588
2013-01-27,37.8,18.4,26.987,49.857,67.399,5.5
2013-02-03,38.1,18.3,27.158,32.114,66.851,5.588
2013-02-10,38.8,18.5,27.193,37.914,67.009,5.486
2013-02-17,38.3,18.4,26.751,59.4,69.011,5.136
2013-02-24,36.9,18.4,26.413,81.371,72.02,5.039
2013-03-03,37.9,18.6,26.747,80.886,71.102,4.937
2013-03-10,37.5,18.9,26.715,62.486,72.29,4.745
2013-03-17,38.2,18.3,26.847,68.171,71.769,4.648
2013-03-24,35.7,18.4,26.436,81.914,75.377,4.434
2013-03-31,35.7,18.7,26.177,75.943,77.904,4.185
2013-04-07,35.9,18.9,26.258,54.4,77.684,3.956
2013-04-14,36.3,19.3,26.215,76.771,77.117,4.104
2013-04-21,37.0,17.9,26.174,43.314,77.466,3.942
2013-04-28,36.6,19.5,26.216,52.086,76.618,4.11
2013-05-05,36.6,17.8,26.244,73.6,75.577,4.455
2013-05-12,36.7,18.0,26.116,26.4,75.404,4.202
2013-05-19,37.2,18.5,26.209,36.943,74.496,4.362
2013-05-26,36.3,17.1,26.13,41.686,73.066,4.487
2013-06-02,37.0,18.2,25.89,48.543,72.699,4.318
2013-06-09,36.9,17.3,25.869,14.543,68.939,4.873
2013-06-16,36.1,16.8,26.039,17.029,66.346,5.402
2013-06-23,36.9,16.4,26.0,12.8,66.835,5.233
2013-06-30,36.6,16.1,25.697,38.114,65.701,5.213
2013-07-07,36.4,16.1,25.809,21.743,64.14,5.208
2013-07-14,36.8,16.1,26.0,13.0,64.315,5.493
2013-07-21,37.8,16.3,26.02,4.086,61.314,5.808
2013-07-28,37.8,16.5,26.061,6.886,58.573,6.236
2013-08-04,37.4,16.6,26.299,10.286,56.731,6.359
2013-08-11,37.4,16.3,26.603,0.571,54.993,6.71
2013-08-18,38.2,16.2,26.79,1.086,54.294,6.951
2013-08-25,38.2,16.7,27.055,0.286,53.087,6.881
2013-09-01,38.7,17.1,27.154,0.686,53.949,6.918
2013-09-08,38.3,17.3,27.378,1.714,53.304,7.14
2013-09-15,38.9,17.0,27.581,4.514,53.61,7.336
2013-09-22,38.9,17.4,27.699,4.686,51.98,7.603
2013-09-29,39.5,17.7,28.174,1.286,52.528,7.378
2013-10-06,38.5,18.0,28.321,2.943,51.769,7.393
2013-10-13,39.7,17.1,28.416,4.229,51.274,7.507
2013-10-20,44.1,17.3,28.352,3.2,52.379,7.561
2013-10-27,39.4,17.6,28.105,5.314,55.669,7.257
2013-11-03,38.7,17.8,28.132,0.457,53.857,7.303
2013-11-10,39.0,17.9,28.05,4.857,55.262,7.108
2013-11-17,39.1,18.5,28.285,3.114,53.601,7.301
2013-11-24,39.1,17.8,28.281,4.171,54.842,7.065
2013-12-01,38.4,17.8,28.219,10.2,57.388,7.008
2013-12-08,38.6,18.4,28.306,6.371,56.637,6.887
2013-12-15,38.6,18.1,27.887,31.314,60.18,6.75
2013-12-22,38.5,18.5,27.833,7.314,60.476,6.599
2013-12-29,37.7,18.7,27.859,13.543,61.159,6.689
2014-01-05,37.6,17.9,27.567,20.457,63.472,6.138
2014-01-12,37.3,18.3,27.268,16.2,65.349,6.063
2014-01-19,37.7,18.4,27.345,18.257,65.138,6.015
2014-01-26,37.2,18.4,26.888,21.314,68.546,5.344
2014-02-02,37.3,18.2,26.883,38.286,69.093,5.408
2014-02-09,37.9,18.5,27.184,30.429,68.356,5.448
2014-02-16,38.2,19.2,26.791,44.486,71.744,5.101
2014-02-23,36.5,17.7,26.232,58.8,76.0,4.562
2014-03-02,37.7,18.8,27.103,22.771,69.165,4.942
2014-03-09,39.6,18.7,27.054,25.686,70.025,4.87
2014-03-16,40.4,18.7,26.554,56.971,75.693,4.515
