data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,28.1,14.9,20.173,0.2,74.562,7.396
2010-01-10,29.5,9.9,20.503,3.8,69.457,5.172
2010-01-17,29.0,11.2,20.738,5.686,68.4,4.512
2010-01-24,29.5,11.1,20.964,2.629,63.845,4.433
2010-01-31,29.2,11.0,20.869,1.343,63.545,4.889
2010-02-07,30.8,11.5,21.224,2.057,59.622,6.02
2010-02-14,28.9,11.5,20.703,0.371,62.653,5.675
2010-02-21,30.4,11.4,20.228,0.171,53.614,7.233
2010-02-28,30.1,11.3,20.587,0.943,59.8,6.054
2010-03-07,31.7,13.7,22.504,6.886,63.741,5.135
2010-03-14,31.3,8.9,21.67,2.429,65.548,5.322
2010-03-21,30.5,11.5,22.287,10.914,55.607,5.874
2010-03-28,30.2,14.0,22.498,4.286,58.464,5.572
2010-04-04,31.1,15.3,22.226,31.771,59.092,5.126
2010-04-11,33.7,13.1,21.769,11.257,59.438,4.664
2010-04-18,33.8,13.7,23.026,0.0,53.845,5.81
2010-04-25,35.2,15.6,25.059,0.0,45.467,5.083
2010-05-02,36.5,16.1,23.682,0.914,57.196,4.747
2010-05-09,32.2,13.4,22.23,11.086,64.92,4.878
2010-05-16,29.5,12.1,21.07,7.657,74.098,4.95
2010-05-23,29.7,12.4,21.155,17.514,71.11,4.288
2010-05-30,30.1,13.1,21.804,5.343,67.304,4.8
2010-06-06,29.4,13.7,20.57,11.257,77.182,4.381
2010-06-13,28.8,12.1,20.463,6.257,70.729,5.409
2010-06-20,30.4,8.9,20.709,0.0,56.039,5.153
2010-06-27,31.5,11.6,21.421,3.543,61.714,5.193
2010-07-04,30.5,12.5,20.511,2.857,64.679,4.468
2010-07-11,30.9,12.8,20.964,8.629,63.839,4.542
2010-07-18,29.8,14.9,21.396,7.057,67.716,5.806
2010-07-25,30.3,12.7,20.878,7.371,61.336,5.637
2010-08-01,30.3,12.4,20.949,8.829,65.098,5.435
2010-08-08,28.6,12.7,20.907,2.257,60.386,4.859
2010-08-15,28.9,11.7,21.671,18.914,51.86,5.765
2010-08-22,30.5,10.7,20.811,3.914,56.021,5.984
2010-08-29,30.9,12.3,21.624,26.286,59.414,5.487
2010-09-05,30.9,14.2,21.456,25.714,61.899,5.405
2010-09-12,30.8,15.0,21.831,13.171,60.732,5.973
2010-09-19,31.6,15.1,22.383,8.057,56.312,5.769
2010-09-26,32.1,15.7,23.049,8.8,55.283,5.531
2010-10-03,32.2,16.9,22.127,17.343,72.324,4.686
2010-10-10,32.9,15.2,23.096,4.2,62.789,5.384
2010-10-17,32.3,13.8,23.102,2.371,60.048,4.859
2010-10-24,30.0,16.8,21.482,18.314,79.03,4.664
2010-10-31,30.7,13.7,21.286,5.829,72.494,5.213
2010-11-07,27.3,14.3,20.405,16.143,77.318,4.353
2010-11-14,28.5,12.9,20.699,6.0,75.661,4.03
2010-11-21,29.4,12.5,20.26,3.486,75.173,5.174
2010-11-28,29.2,11.6,20.629,13.029,73.515,5.039
2010-12-05,30.0,12.1,20.625,8.743,70.53,4.172
2010-12-12,29.0,12.8,21.533,7.229,73.863,4.147
2010-12-19,28.9,13.4,21.024,11.943,71.827,4.473
2010-12-26,29.8,13.2,20.856,8.143,68.167,4.827
2011-01-02,27.7,13.3,20.012,21.057,78.479,5.671
2011-01-09,27.8,11.5,19.907,6.971,71.021,4.858
2011-01-16,28.1,8.2,19.325,2.657,70.25,5.859
2011-01-23,29.1,7.6,19.929,0.886,64.509,4.751
2011-01-30,29.2,9.3,20.321,0.543,59.312,5.101
2011-02-06,30.6,8.9,21.649,0.943,55.22,4.413
2011-02-13,29.8,10.4,20.302,5.829,63.503,5.179
2011-02-20,27.9,8.8,19.934,6.6,62.946,5.158
2011-02-27,29.1,11.3,19.743,9.314,68.609,4.907
2011-03-06,29.1,13.2,21.549,6.257,60.152,5.525
2011-03-13,30.4,11.9,21.484,9.057,61.084,5.581
2011-03-20,31.1,14.8,21.824,12.943,64.271,5.657
2011-03-27,33.3,13.8,22.742,3.029,58.235,5.21
2011-04-03,33.8,16.6,24.12,2.543,50.891,4.469
2011-04-10,35.4,14.1,23.537,7.971,54.229,5.176
2011-04-17,32.3,15.0,22.93,2.0,61.821,5.729
2011-04-24,33.9,14.8,22.924,1.257,61.372,5.134
2011-05-01,33.4,14.2,22.318,11.343,63.667,5.38
2011-05-08,31.6,15.0,22.025,4.171,71.074,5.247
2011-05-15,30.0,12.3,21.264,2.914,68.274,5.299
2011-05-22,30.1,14.1,20.804,4.6,71.321,5.552
2011-05-29,30.5,12.1,20.102,11.771,72.699,4.812
2011-06-05,27.9,12.8,20.134,13.914,72.134,4.749
2011-06-12,29.6,13.9,20.533,16.143,76.113,4.598
2011-06-19,29.6,10.4,20.332,12.886,67.298,5.707
2011-06-26,29.5,11.7,20.435,16.543,69.845,4.556
2011-07-03,27.8,10.7,20.469,8.257,72.068,5.032
2011-07-10,28.6,11.4,20.615,16.543,68.357,4.404
2011-07-17,28.1,10.0,20.245,3.629,64.923,5.241
2011-07-24,28.4,11.5,20.211,11.971,67.878,6.213
2011-07-31,28.1,11.9,19.595,11.057,72.256,6.641
2011-08-07,30.2,12.0,22.079,0.314,55.39,5.46
2011-08-14,31.0,13.7,22.795,0.714,53.256,5.0
2011-08-21,29.8,12.6,21.451,0.571,55.507,5.833
2011-08-28,29.4,13.7,21.652,12.886,60.685,5.511
2011-09-04,32.1,14.7,22.168,5.771,58.396,5.713
2011-09-11,33.3,12.4,22.238,15.029,52.714,4.831
2011-09-18,32.8,14.5,22.736,7.457,54.125,6.458
2011-09-25,33.0,14.0,22.453,0.686,52.69,5.424
2011-10-02,31.2,13.9,22.418,9.4,62.351,4.975
2011-10-09,29.7,15.0,21.203,10.171,73.842,5.453
2011-10-16,30.3,16.5,22.23,11.0,72.878,4.615
2011-10-23,29.9,13.6,20.62,10.029,71.586,5.625
2011-10-30,31.3,16.3,22.123,8.6,73.292,4.609
2011-11-06,29.2,15.2,21.301,2.743,70.333,5.36
2011-11-13,29.7,13.5,21.13,6.029,68.741,5.445
2011-11-20,31.3,13.3,21.778,15.486,66.307,5.615
2011-11-27,28.5,13.0,20.893,20.171,76.679,5.065
2011-12-04,28.2,8.9,19.985,12.657,75.351,4.783
2011-12-11,29.2,5.1,19.179,6.086,64.054,5.222
2011-12-18,28.7,9.9,19.902,11.314,70.006,5.45
2011-12-25,28.7,11.1,20.046,12.514,70.036,4.514
2012-01-01,28.1,12.7,20.454,3.857,70.896,5.16
2012-01-08,27.6,11.1,19.825,11.943,69.887,5.514
2012-01-15,26.4,10.4,19.063,13.114,71.211,4.986
2012-01-22,28.1,11.2,19.642,6.943,66.548,5.059
2012-01-29,28.6,10.2,20.148,2.6,65.622,4.897
2012-02-05,28.8,11.1,20.361,1.457,63.152,5.903
2012-02-12,30.9,10.4,20.533,5.657,61.693,5.185
2012-02-19,28.9,12.1,20.61,5.086,61.196,5.01
2012-02-26,31.2,12.2,21.759,2.971,58.384,4.462
2012-03-04,30.2,10.0,22.045,0.0,49.699,5.07
2012-03-11,29.9,13.3,21.066,9.114,55.848,6.157
2012-03-18,30.0,13.1,21.099,9.771,61.673,5.443
2012-03-25,31.1,12.3,21.134,6.2,60.298,5.318
2012-04-01,33.5,13.9,23.412,1.029,49.036,5.018
2012-04-08,31.7,16.3,22.65,12.486,65.336,4.866
2012-04-15,31.5,16.1,21.978,4.743,69.461,5.11
2012-04-22,31.5,14.4,22.9,1.571,62.476,5.052
2012-04-29,32.0,17.3,23.117,2.686,63.137,5.184
2012-05-06,32.5,14.7,22.703,0.0,51.262,6.36
2012-05-13,32.0,12.9,21.58,0.857,63.744,5.044
2012-05-20,30.4,14.0,20.062,11.114,76.262,5.44
2012-05-27,29.8,13.3,19.336,8.143,76.318,5.259
2012-06-03,29.3,14.8,20.854,33.514,74.707,4.371
2012-06-10,29.5,15.2,20.954,8.486,72.497,5.185
2012-06-17,27.5,12.0,20.079,10.171,72.074,5.146
2012-06-24,27.7,13.6,20.79,10.743,73.561,4.621
2012-07-01,29.2,13.4,20.591,9.486,68.997,5.707
2012-07-08,26.7,11.4,19.541,9.686,71.818,5.953
2012-07-15,28.4,12.6,20.16,14.686,70.824,5.191
2012-07-22,28.2,11.9,20.148,1.629,59.507,4.835
2012-07-29,28.2,11.4,19.333,0.0,43.598,6.706
2012-08-05,28.1,10.2,19.346,0.0,47.807,6.603
2012-08-12,30.5,13.3,21.605,0.0,43.287,6.494
2012-08-19,31.3,13.5,21.626,0.0,40.753,7.314
2012-08-26,31.4,13.7,20.427,0.0,50.199,7.953
2012-09-02,32.5,12.4,23.273,0.0,31.484,6.288
2012-09-09,30.8,13.6,22.462,0.0,33.879,7.003
2012-09-16,33.4,15.3,24.482,0.0,33.801,6.455
2012-09-23,31.6,15.8,23.066,3.8,44.718,6.485
2012-09-30,32.0,15.2,21.937,1.171,53.769,7.42
2012-10-07,32.0,13.8,23.392,2.886,44.654,6.775
2012-10-14,34.1,14.8,24.675,1.6,43.851,6.251
2012-10-21,36.0,15.8,24.423,12.171,48.807,6.385
2012-10-28,34.2,16.7,25.271,1.229,46.113,6.215
2012-11-04,33.9,17.0,22.96,19.429,66.104,5.799
2012-11-11,29.4,16.4,20.807,25.257,83.353,5.452
2012-11-18,30.6,17.2,21.812,6.571,74.376,5.671
2012-11-25,28.9,17.1,21.662,17.629,78.491,4.825
2012-12-02,29.2,17.5,21.083,30.771,83.272,5.796
2012-12-09,30.5,16.2,21.874,8.171,76.007,4.711
2012-12-16,28.5,16.4,20.584,24.2,85.587,4.618
2012-12-23,31.8,16.0,22.892,13.429,68.538,5.353
2012-12-30,30.8,17.1,22.709,9.543,72.258,4.862
2013-01-06,30.6,17.1,22.562,14.2,70.143,4.688
2013-01-13,29.3,15.6,20.762,25.6,78.628,5.946
2013-01-20,30.1,16.3,21.244,21.343,74.054,4.98
2013-01-27,31.0,16.9,21.578,22.771,78.002,5.335
2013-02-03,28.1,17.8,21.276,18.343,84.496,5.144
2013-02-10,29.8,16.7,21.16,4.514,79.607,5.316
2013-02-17,31.1,15.5,23.582,0.0,59.211,5.388
2013-02-24,30.5,17.0,22.399,5.371,72.159,5.237
2013-03-03,29.2,16.6,21.807,30.514,77.685,4.894
2013-03-10,31.0,17.2,22.716,21.6,76.048,4.263
2013-03-17,30.6,16.2,22.179,13.943,79.622,4.698
2013-03-24,29.5,16.7,21.334,16.486,81.753,4.807
2013-03-31,27.6,16.4,21.426,6.514,78.065,5.653
2013-04-07,28.9,17.2,21.614,9.571,80.443,4.531
2013-04-14,28.8,15.6,20.746,11.343,83.286,5.002
2013-04-21,27.9,15.3,20.43,6.286,77.857,5.394
2013-04-28,27.6,14.5,20.359,0.857,70.441,5.692
2013-05-05,28.1,13.1,21.218,0.0,61.881,5.296
2013-05-12,28.0,12.6,20.746,0.0,61.515,5.478
2013-05-19,28.1,14.5,21.103,8.143,63.473,5.638
2013-05-26,28.7,11.6,19.926,0.314,66.465,5.031
2013-06-02,28.4,14.1,19.307,2.857,72.933,5.83
2013-06-09,28.4,15.2,20.199,0.857,71.707,5.587
2013-06-16,27.6,12.4,20.351,0.0,61.461,5.207
2013-06-23,27.4,13.0,19.927,0.0,61.302,5.313
