data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,35.1,18.6,25.726,23.0,79.573,5.879
2010-01-10,37.1,15.2,25.89,23.971,76.037,5.986
2010-01-17,37.8,16.1,26.301,14.6,74.765,5.914
2010-01-24,35.3,16.2,25.462,35.2,76.717,5.578
2010-01-31,35.6,16.0,26.03,22.886,75.353,5.425
2010-02-07,36.3,16.6,26.08,27.943,74.925,5.436
2010-02-14,37.9,16.8,25.883,31.514,75.751,5.449
2010-02-21,37.6,16.5,26.324,33.343,76.362,5.271
2010-02-28,37.8,16.8,26.379,28.2,76.058,5.587
2010-03-07,36.2,16.5,25.361,58.943,79.408,5.074
2010-03-14,37.1,17.8,25.829,51.229,78.846,5.196
2010-03-21,36.7,16.8,25.29,43.0,80.167,4.769
2010-03-28,35.4,14.9,25.307,20.486,76.992,5.215
2010-04-04,37.0,15.9,25.627,10.229,77.099,4.736
2010-04-11,36.3,14.1,24.322,24.943,77.464,5.312
2010-04-18,34.9,14.2,24.346,12.943,77.33,4.642
2010-04-25,34.6,16.3,24.527,5.886,77.305,4.709
2010-05-02,38.4,13.8,23.783,10.057,78.591,4.975
2010-05-09,32.9,12.9,22.856,12.0,77.821,5.079
2010-05-16,34.9,12.0,22.249,12.286,78.821,4.779
2010-05-23,34.1,13.0,21.975,51.943,82.011,4.557
2010-05-30,34.8,14.2,22.304,20.6,79.988,4.485
2010-06-06,34.7,12.5,22.376,8.8,78.875,4.763
2010-06-13,31.5,13.4,21.424,10.686,80.945,4.29
2010-06-20,32.2,12.8,20.741,13.143,80.354,4.709
2010-06-27,32.3,11.1,21.032,16.514,82.196,4.632
2010-07-04,33.4,12.0,20.82,13.829,83.23,4.455
2010-07-11,33.2,13.1,20.745,11.829,78.591,4.828
2010-07-18,35.5,12.1,21.284,22.686,79.074,4.736
2010-07-25,30.4,12.1,20.333,20.8,82.45,4.332
2010-08-01,32.0,13.5,20.667,12.2,80.235,4.396
2010-08-08,33.6,12.9,20.669,15.457,79.184,5.138
2010-08-15,31.9,11.7,20.4,21.143,81.339,4.955
2010-08-22,34.5,12.0,21.066,20.971,78.423,5.38
2010-08-29,31.2,12.9,20.736,16.343,78.947,5.409
2010-09-05,33.7,12.1,21.878,11.343,75.89,5.879
2010-09-12,34.1,14.8,22.391,14.286,77.752,5.683
2010-09-19,37.1,14.5,22.854,6.429,76.199,5.914
2010-09-26,35.3,14.8,22.53,11.743,75.309,6.166
2010-10-03,33.5,14.6,22.521,21.114,77.931,5.491
2010-10-10,35.4,12.8,23.119,19.371,79.142,5.572
2010-10-17,34.3,16.5,23.559,30.486,75.921,6.064
2010-10-24,36.2,15.9,23.478,27.771,76.535,5.785
2010-10-31,36.4,17.0,24.586,40.143,77.238,5.904
2010-11-07,37.6,16.0,23.671,53.771,77.161,5.408
2010-11-14,35.2,16.8,24.233,74.429,78.444,5.742
2010-11-21,35.0,16.1,23.526,78.629,83.066,5.3
2010-11-28,34.1,16.0,23.882,48.086,80.977,5.429
2010-12-05,34.3,17.2,24.628,30.543,81.052,5.496
2010-12-12,35.2,17.3,24.908,68.829,78.718,5.416
2010-12-19,34.9,16.4,25.664,36.086,76.307,6.201
2010-12-26,35.4,16.7,25.52,32.829,75.68,5.691
2011-01-02,37.3,16.9,25.911,42.657,75.759,5.81
2011-01-09,37.2,14.7,25.883,43.171,75.893,6.079
2011-01-16,37.7,18.2,26.125,22.486,75.381,6.329
2011-01-23,35.5,15.4,25.26,59.086,77.389,5.446
2011-01-30,38.2,16.6,25.731,26.657,77.232,5.592
2011-02-06,35.4,17.7,26.278,10.629,75.081,5.381
2011-02-13,35.9,16.5,25.681,22.857,76.748,5.043
2011-02-20,35.5,17.5,25.745,22.629,76.782,5.391
2011-02-27,36.2,17.7,25.798,19.714,76.382,4.957
2011-03-06,37.2,17.9,25.609,32.257,76.789,4.89
2011-03-13,36.5,17.2,25.492,44.886,78.047,4.927
2011-03-20,37.7,17.4,25.245,36.743,79.497,4.716
2011-03-27,36.5,16.7,24.917,17.486,78.736,4.867
2011-04-03,34.5,17.1,25.091,17.371,77.616,4.568
2011-04-10,37.2,16.2,24.944,26.343,78.206,4.521
2011-04-17,34.6,16.5,24.707,14.657,78.369,4.573
2011-04-24,34.3,16.4,23.578,16.314,78.999,4.877
2011-05-01,33.6,14.7,23.388,37.429,80.614,4.828
2011-05-08,33.3,12.6,22.822,3.029,79.731,5.051
2011-05-15,33.0,14.1,22.037,5.514,79.401,5.063
2011-05-22,32.1,10.8,21.568,15.657,79.737,4.863
2011-05-29,34.3,11.7,21.401,5.914,80.492,4.643
2011-06-05,33.0,14.6,22.971,1.457,78.007,4.84
2011-06-12,32.3,11.0,21.863,17.6,81.132,4.771
2011-06-19,29.8,9.3,20.275,2.257,80.361,4.351
2011-06-26,30.5,12.5,21.165,5.229,81.75,4.748
2011-07-03,30.7,11.9,20.386,12.2,83.086,4.668
2011-07-10,29.7,11.1,20.13,12.057,81.099,4.804
2011-07-17,32.8,12.4,20.807,13.143,78.937,4.924
