data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,35.8,14.1,23.928,82.0,73.962,4.302
2010-01-10,36.4,-7.0,23.737,101.4,73.097,4.076
2010-01-17,35.9,10.9,23.628,103.371,74.04,4.062
2010-01-24,35.8,11.8,23.877,78.743,70.446,4.364
2010-01-31,35.3,11.7,23.499,105.743,72.798,4.304
2010-02-07,36.4,11.4,24.099,76.457,67.8,4.403
2010-02-14,35.4,-0.2,23.125,137.086,74.794,4.048
2010-02-21,35.3,-8.1,23.438,121.971,72.47,4.112
2010-02-28,36.4,12.1,23.897,63.543,70.637,4.171
2010-03-07,36.9,9.6,23.494,80.771,71.509,4.229
2010-03-14,37.3,9.5,23.646,107.114,70.846,4.027
2010-03-21,34.6,6.5,23.306,85.657,72.141,3.993
2010-03-28,35.4,10.2,23.747,69.4,70.798,4.198
2010-04-04,35.4,11.3,24.241,54.257,66.843,4.16
2010-04-11,36.2,5.0,23.866,80.686,68.534,3.908
2010-04-18,36.4,6.2,23.975,55.371,65.801,4.043
2010-04-25,36.6,-9.5,24.26,25.886,63.091,3.967
2010-05-02,38.3,-9.7,24.289,21.486,61.126,4.051
2010-05-09,37.3,3.1,24.122,11.4,59.807,3.854
2010-05-16,37.4,7.1,23.847,22.543,61.657,3.86
2010-05-23,36.5,-8.2,23.152,36.371,65.386,4.114
2010-05-30,36.7,-9.0,23.44,34.286,64.097,3.942
2010-06-06,37.0,3.6,23.513,20.857,62.447,3.947
2010-06-13,36.5,-0.2,23.053,13.886,63.983,4.313
2010-06-20,36.2,1.8,22.709,16.714,60.212,4.04
2010-06-27,38.3,10.2,23.134,8.143,57.252,4.371
2010-07-04,39.0,7.0,22.501,25.771,57.64,4.392
2010-07-11,35.4,5.8,22.367,29.286,56.95,4.525
2010-07-18,35.0,8.8,23.054,36.314,56.393,4.262
2010-07-25,35.4,6.6,22.428,36.857,57.136,4.886
2010-08-01,36.0,8.9,22.698,25.314,54.771,4.705
2010-08-08,36.6,9.6,23.116,21.829,53.426,4.698
2010-08-15,37.8,8.0,23.389,41.543,52.57,4.866
2010-08-22,38.1,9.8,23.643,49.029,53.642,5.322
2010-08-29,38.6,8.9,24.318,23.743,50.616,5.099
2010-09-05,39.9,13.6,24.995,15.057,50.788,5.255
2010-09-12,40.2,12.8,25.253,21.086,49.863,5.185
2010-09-19,40.3,13.9,26.15,27.057,46.371,5.092
2010-09-26,39.5,12.4,25.963,44.514,52.202,5.091
2010-10-03,39.7,15.1,25.31,94.057,60.263,4.94
2010-10-10,39.8,12.6,25.655,56.857,58.643,4.654
2010-10-17,41.1,15.4,26.149,65.086,56.429,4.784
2010-10-24,39.7,16.7,25.514,85.371,63.526,4.283
2010-10-31,39.3,13.3,24.934,81.114,67.418,4.501
2010-11-07,36.3,16.5,24.202,122.486,72.649,4.23
2010-11-14,37.9,14.0,24.548,132.943,71.282,4.211
2010-11-21,35.8,14.4,23.987,112.571,72.344,4.151
2010-11-28,35.0,15.6,24.202,112.2,73.079,4.062
2010-12-05,35.6,13.2,23.976,135.114,75.166,4.143
2010-12-12,34.4,8.8,23.74,121.486,74.884,3.844
2010-12-19,35.1,7.5,23.594,103.829,72.859,3.88
2010-12-26,35.8,12.7,23.978,100.0,69.842,4.028
2011-01-02,35.7,14.3,23.891,92.971,72.061,4.042
2011-01-09,36.9,9.4,23.628,73.4,72.916,4.125
2011-01-16,35.8,9.7,22.933,79.314,72.082,3.949
2011-01-23,36.3,13.0,23.896,84.657,70.311,3.713
2011-01-30,36.5,8.6,23.155,130.486,72.573,3.903
2011-02-06,38.4,9.8,23.685,51.114,66.806,3.867
2011-02-13,34.7,1.2,22.957,52.886,70.476,4.233
2011-02-20,36.5,1.4,22.99,72.343,69.546,3.977
2011-02-27,35.2,7.0,22.835,85.6,68.813,3.63
2011-03-06,36.5,3.8,22.598,81.086,69.444,3.673
2011-03-13,35.6,7.3,23.443,79.457,67.341,3.944
2011-03-20,35.0,4.1,23.319,51.543,66.808,4.1
2011-03-27,34.7,9.6,23.307,71.914,67.714,3.82
2011-04-03,35.8,7.1,24.183,58.571,65.371,3.85
2011-04-10,35.8,10.9,24.398,46.343,66.144,4.074
2011-04-17,35.9,10.3,23.972,44.171,65.67,3.84
2011-04-24,38.4,12.9,24.22,55.771,62.621,3.959
2011-05-01,37.6,11.7,24.335,18.543,59.499,3.963
2011-05-08,39.7,9.4,24.201,19.114,61.411,3.913
2011-05-15,38.0,11.6,23.585,31.743,61.587,3.937
2011-05-22,39.3,4.4,23.588,29.629,62.039,4.022
2011-05-29,39.5,7.6,23.618,7.743,60.008,4.027
2011-06-05,37.2,10.5,23.069,38.686,61.614,3.77
2011-06-12,36.2,9.0,23.197,38.543,62.934,4.153
2011-06-19,38.9,10.6,22.774,28.314,61.562,4.464
2011-06-26,35.5,10.4,22.66,26.657,59.865,4.278
2011-07-03,36.0,9.5,22.27,43.4,61.768,4.141
2011-07-10,35.6,10.0,22.488,28.057,58.938,4.1
2011-07-17,35.6,8.7,22.911,29.457,56.137,4.207
2011-07-24,36.3,7.7,22.907,20.743,56.456,4.409
2011-07-31,35.4,9.6,22.622,28.4,57.595,4.496
2011-08-07,36.6,9.6,23.241,41.743,52.859,4.487
2011-08-14,37.7,9.8,23.842,17.543,51.139,4.526
2011-08-21,37.9,8.9,24.075,37.714,52.94,4.887
2011-08-28,39.2,10.1,24.499,66.714,51.538,4.847
2011-09-04,38.4,9.8,24.925,28.314,50.052,4.913
2011-09-11,39.4,11.7,25.015,37.029,49.925,4.787
2011-09-18,40.0,14.4,25.529,28.743,50.391,5.008
2011-09-25,40.7,13.2,25.698,34.857,54.422,4.478
2011-10-02,39.8,12.3,25.242,45.029,59.1,4.635
2011-10-09,40.5,15.5,25.324,68.429,60.869,4.659
2011-10-16,40.9,14.7,25.558,74.114,60.511,4.414
2011-10-23,39.9,15.3,25.294,58.114,63.139,4.491
2011-10-30,38.8,15.0,24.712,84.486,68.871,4.382
2011-11-06,36.7,14.5,23.91,81.029,71.956,4.224
2011-11-13,37.8,16.3,24.064,109.829,70.801,4.17
2011-11-20,36.6,15.7,23.979,100.171,73.503,4.239
2011-11-27,35.5,14.3,23.835,127.257,73.437,4.297
2011-12-04,36.3,10.3,23.829,81.229,72.332,3.941
2011-12-11,37.2,13.4,23.975,131.543,72.793,3.96
