data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,36.4,22.2,27.113,37.6,77.064,5.592
2010-01-10,35.9,20.9,26.718,38.743,76.978,5.355
2010-01-17,36.1,20.7,26.826,56.343,76.974,4.943
2010-01-24,34.5,20.7,26.777,27.829,78.114,5.148
2010-01-31,34.7,20.6,26.709,47.229,77.483,5.008
2010-02-07,35.2,20.5,27.049,59.314,76.985,5.618
2010-02-14,34.8,21.0,26.66,62.257,79.66,4.89
2010-02-21,34.8,20.8,26.319,91.571,80.714,4.58
2010-02-28,34.7,21.1,26.762,58.829,80.457,4.746
2010-03-07,34.3,20.3,26.537,95.8,80.709,4.675
2010-03-14,35.5,21.2,26.719,76.343,80.869,4.505
2010-03-21,34.5,20.9,26.442,108.629,81.548,4.254
2010-03-28,33.8,20.3,26.192,137.057,83.263,3.824
2010-04-04,35.2,20.8,26.384,119.6,83.028,3.788
2010-04-11,34.7,21.1,26.312,115.743,83.605,3.667
2010-04-18,34.9,20.7,26.447,134.286,82.283,3.648
2010-04-25,34.5,20.9,26.416,80.743,83.186,3.561
2010-05-02,34.6,21.3,26.854,51.943,80.117,3.6
2010-05-09,34.9,20.4,26.725,71.629,80.045,3.656
2010-05-16,35.9,20.3,27.028,48.086,78.701,3.73
2010-05-23,34.6,19.8,27.061,57.943,78.814,4.123
2010-05-30,42.9,19.1,27.004,39.571,78.427,4.04
2010-06-06,34.7,19.9,26.913,34.457,77.034,4.061
2010-06-13,35.2,17.3,26.843,27.314,74.809,4.333
2010-06-20,35.6,17.4,26.79,31.143,72.481,4.481
2010-06-27,35.8,16.6,26.709,11.629,71.43,4.309
2010-07-04,36.9,17.7,26.832,24.057,70.404,4.277
2010-07-11,36.1,16.9,26.802,35.371,70.254,4.312
2010-07-18,36.1,16.3,26.946,32.771,68.912,4.616
2010-07-25,37.1,16.1,26.893,8.114,67.519,4.643
2010-08-01,37.4,16.3,27.121,2.4,64.079,4.897
2010-08-08,37.0,15.0,27.172,2.686,63.288,5.243
2010-08-15,38.0,13.5,27.324,1.114,60.777,5.437
2010-08-22,38.9,15.7,27.713,0.657,59.195,5.57
2010-08-29,38.2,18.0,28.196,3.771,60.872,5.528
2010-09-05,39.3,17.6,28.324,2.857,58.644,5.635
2010-09-12,39.5,18.2,28.536,5.286,58.301,5.824
2010-09-19,39.3,19.6,28.74,0.343,57.717,5.787
2010-09-26,40.1,19.4,28.745,1.829,59.481,5.757
2010-10-03,40.2,20.2,28.555,5.029,61.249,5.631
2010-10-10,39.8,20.3,28.771,5.686,61.94,5.45
2010-10-17,40.7,19.5,28.768,6.971,61.442,5.36
2010-10-24,40.6,20.3,28.538,16.629,64.003,5.359
2010-10-31,38.6,21.1,28.238,34.4,66.84,5.481
2010-11-07,39.6,20.5,28.206,34.086,66.512,5.654
2010-11-14,38.9,21.0,28.302,35.143,66.492,5.681
2010-11-21,39.3,20.2,27.783,54.514,69.487,5.533
2010-11-28,39.5,20.5,28.03,17.686,69.399,5.415
2010-12-05,40.7,21.4,28.162,38.086,68.42,5.736
2010-12-12,39.4,21.1,27.887,40.543,70.049,5.379
2010-12-19,38.5,21.3,27.418,51.743,73.36,5.173
2010-12-26,37.6,20.3,27.338,36.257,74.351,5.49
