data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,36.7,13.0,23.386,582.4,76.094,4.778
2010-01-10,39.4,13.1,23.288,391.457,76.356,4.6
2010-01-17,37.1,12.3,23.483,324.514,74.777,4.418
2010-01-24,37.2,13.6,23.637,213.371,72.842,4.461
2010-01-31,36.6,11.9,23.468,219.229,73.615,4.517
2010-02-07,37.8,10.8,23.543,317.743,72.74,4.395
2010-02-14,37.7,12.2,23.189,300.257,74.706,4.334
2010-02-21,37.9,11.1,23.332,299.543,74.799,4.283
2010-02-28,38.6,12.3,23.356,234.457,75.159,4.206
2010-03-07,39.1,13.5,22.787,378.0,78.28,4.09
2010-03-14,39.2,9.8,23.25,346.2,76.524,4.025
2010-03-21,37.0,12.2,23.223,268.971,75.84,4.083
2010-03-28,36.7,7.7,22.503,199.914,76.479,4.048
2010-04-04,38.1,8.1,22.549,153.343,75.925,3.903
2010-04-11,36.6,7.7,22.49,156.314,76.242,3.854
2010-04-18,36.7,6.4,21.815,134.314,76.104,3.766
2010-04-25,36.5,7.5,21.407,56.743,74.146,3.591
2010-05-02,37.0,5.0,20.889,59.943,73.817,3.76
2010-05-09,36.1,4.0,20.348,69.343,72.739,3.393
2010-05-16,35.5,1.5,19.659,55.943,73.744,3.75
2010-05-23,37.2,2.7,19.126,97.571,76.623,3.753
2010-05-30,37.5,3.0,18.948,48.171,74.6,3.444
2010-06-06,35.5,1.9,19.046,67.829,74.152,3.554
2010-06-13,36.4,0.2,18.911,39.8,74.404,3.6
2010-06-20,35.5,1.5,18.519,25.171,72.583,3.527
2010-06-27,35.6,1.9,18.712,10.114,71.46,3.743
2010-07-04,33.3,2.8,18.34,15.086,70.465,3.692
2010-07-11,33.3,-2.0,18.087,12.971,68.375,3.947
2010-07-18,35.3,1.2,18.559,18.8,67.22,3.75
2010-07-25,36.5,0.2,18.585,14.971,66.389,4.007
2010-08-01,36.5,0.2,18.544,36.0,66.091,4.039
2010-08-08,35.2,1.3,18.849,31.114,64.257,4.225
2010-08-15,35.8,0.1,19.237,10.2,62.226,4.368
2010-08-22,35.6,0.0,19.413,35.343,63.22,4.703
2010-08-29,35.6,2.6,19.483,27.229,62.18,4.609
2010-09-05,36.6,1.8,20.775,19.514,58.941,4.708
2010-09-12,39.7,4.2,20.932,64.314,59.063,4.899
2010-09-19,40.1,5.9,22.289,24.743,57.067,5.068
2010-09-26,42.4,5.7,22.298,72.486,60.282,5.006
2010-10-03,40.4,6.6,22.565,99.257,61.801,4.97
2010-10-10,40.9,5.3,22.615,121.857,64.557,5.1
2010-10-17,41.4,5.5,22.967,147.6,63.117,4.998
2010-10-24,40.5,7.5,23.032,172.171,66.476,5.117
2010-10-31,40.1,6.7,23.086,187.429,68.974,4.89
2010-11-07,40.2,8.6,22.249,342.4,72.566,4.941
2010-11-14,40.8,4.8,22.459,288.171,73.275,4.785
2010-11-21,39.9,5.1,22.287,385.743,75.747,4.707
2010-11-28,37.2,8.0,22.276,411.8,76.724,4.554
2010-12-05,35.7,8.5,22.623,405.229,77.796,4.538
2010-12-12,37.4,8.6,22.836,434.257,78.506,4.395
2010-12-19,36.8,10.7,23.024,364.971,77.289,4.365
2010-12-26,37.4,12.3,23.3,397.943,75.461,4.301
2011-01-02,37.9,11.3,23.145,347.914,76.442,4.372
2011-01-09,39.3,10.8,23.509,349.171,75.445,4.39
2011-01-16,37.5,12.2,23.628,353.914,74.993,4.512
2011-01-23,37.7,13.3,23.581,337.2,74.362,4.336
2011-01-30,37.9,9.5,23.421,294.857,73.872,4.344
2011-02-06,38.0,10.0,23.95,192.086,70.857,4.429
2011-02-13,37.7,8.4,23.312,284.829,74.876,4.35
2011-02-20,37.9,11.9,23.545,224.914,73.727,4.412
2011-02-27,36.5,11.8,23.534,287.114,74.264,4.252
2011-03-06,38.4,12.0,23.048,392.114,76.695,4.12
2011-03-13,39.3,8.6,23.174,320.429,76.147,4.024
2011-03-20,38.9,10.7,23.505,209.343,74.857,4.079
2011-03-27,35.9,9.9,22.749,184.771,75.986,3.942
2011-04-03,37.2,6.6,22.831,182.571,75.698,3.643
2011-04-10,37.4,8.1,22.617,185.229,75.758,3.826
2011-04-17,37.0,8.6,22.05,106.486,73.883,3.758
2011-04-24,36.2,4.3,21.633,64.714,74.348,3.507
2011-05-01,38.3,7.3,21.26,79.6,75.105,3.542
2011-05-08,36.0,5.0,20.475,64.171,73.411,3.493
2011-05-15,35.8,4.1,19.998,52.371,73.248,3.548
2011-05-22,35.4,-1.6,19.25,86.143,76.26,3.677
2011-05-29,34.2,0.9,19.313,40.371,74.249,3.516
2011-06-05,34.3,-1.0,19.292,54.229,73.961,3.371
2011-06-12,35.5,0.1,19.062,60.086,73.754,3.6
2011-06-19,34.6,1.2,18.544,18.829,73.041,3.515
2011-06-26,35.4,3.2,18.697,25.857,70.948,3.551
2011-07-03,35.5,-2.6,18.347,9.886,70.232,3.721
2011-07-10,36.2,1.4,18.24,15.286,68.406,3.89
2011-07-17,33.0,-2.3,18.385,20.514,67.307,3.663
2011-07-24,35.2,0.8,18.696,13.771,66.562,3.992
2011-07-31,35.6,3.2,18.78,46.571,65.796,4.054
2011-08-07,35.5,1.9,18.662,36.771,64.681,4.249
2011-08-14,35.8,-0.7,19.424,18.914,62.225,4.37
2011-08-21,36.2,0.8,19.747,22.857,62.707,4.766
2011-08-28,37.1,1.7,19.803,29.257,61.796,4.877
2011-09-04,37.1,-1.7,20.833,20.2,58.529,4.659
2011-09-11,39.6,0.1,21.359,62.143,57.389,4.872
2011-09-18,39.9,5.8,22.369,34.057,56.428,4.956
2011-09-25,38.9,5.9,22.97,40.943,57.276,5.101
2011-10-02,39.8,4.4,22.381,124.6,62.267,5.112
2011-10-09,41.4,8.2,22.998,128.257,63.473,5.197
2011-10-16,40.4,6.7,22.922,123.857,62.877,5.336
2011-10-23,41.3,5.8,23.238,160.914,64.074,5.102
2011-10-30,40.8,6.7,23.197,205.886,68.128,5.059
2011-11-06,38.5,3.7,22.482,268.229,70.969,5.058
2011-11-13,40.9,5.9,22.644,271.171,72.063,4.826
2011-11-20,41.5,8.9,22.436,383.886,74.834,4.975
2011-11-27,38.1,8.2,22.334,375.571,75.527,4.728
2011-12-04,37.5,9.9,22.547,459.343,77.866,4.614
2011-12-11,38.3,5.7,22.844,456.2,78.461,4.454
2011-12-18,40.3,8.8,23.016,406.0,77.393,4.496
2011-12-25,39.3,10.8,23.287,331.429,74.725,4.479
2012-01-01,37.9,9.5,23.283,359.114,75.049,4.226
2012-01-08,39.1,10.8,23.153,483.0,76.707,4.553
2012-01-15,36.3,11.7,23.233,292.971,75.163,4.561
2012-01-22,37.8,13.3,23.403,328.0,73.941,4.409
2012-01-29,36.7,11.5,23.384,286.8,72.799,4.556
2012-02-05,35.6,9.5,23.524,214.286,72.953,4.471
2012-02-12,37.2,8.5,22.96,309.143,75.015,4.518
2012-02-19,36.3,10.7,23.266,203.743,73.402,4.348
2012-02-26,35.2,12.4,23.264,195.571,73.839,4.226
