data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,35.9,19.9,26.144,58.0,76.734,4.833
2010-01-10,38.9,19.3,26.557,102.714,75.599,4.578
2010-01-17,39.3,19.3,26.417,105.8,75.147,4.84
2010-01-24,40.4,18.7,26.785,84.543,71.997,4.347
2010-01-31,39.3,18.2,26.219,87.371,74.913,4.55
2010-02-07,38.7,18.3,27.072,50.686,71.434,4.387
2010-02-14,38.3,17.1,26.387,116.429,75.932,4.241
2010-02-21,38.6,17.0,25.884,117.771,77.554,4.419
2010-02-28,36.2,18.1,25.696,124.8,78.648,4.103
2010-03-07,37.8,16.9,25.761,109.857,76.939,4.049
2010-03-14,39.1,15.1,26.138,43.743,73.427,3.747
2010-03-21,38.5,17.5,25.954,73.8,76.16,4.182
2010-03-28,36.4,14.1,25.411,51.657,74.899,4.116
2010-04-04,37.5,6.8,25.213,94.229,75.314,3.639
2010-04-11,36.5,12.9,24.885,61.886,73.096,4.041
2010-04-18,35.9,11.5,24.912,46.457,72.833,3.668
2010-04-25,36.1,14.0,24.774,61.629,73.725,3.446
2010-05-02,35.8,7.1,22.878,48.886,74.95,3.94
2010-05-09,35.9,4.8,22.507,55.514,74.045,3.621
2010-05-16,34.1,6.4,21.586,26.543,76.652,3.945
2010-05-23,34.7,6.4,21.222,27.0,78.645,3.794
2010-05-30,34.1,7.5,20.846,41.171,78.327,4.048
2010-06-06,33.2,8.0,20.569,21.343,78.643,3.983
2010-06-13,35.1,5.0,20.389,21.086,73.825,4.163
2010-06-20,34.6,5.8,21.457,23.514,70.226,4.121
2010-06-27,34.2,5.2,21.104,29.0,71.76,4.536
2010-07-04,33.6,8.3,20.205,22.886,70.047,4.167
2010-07-11,34.4,2.8,19.664,23.771,66.628,4.243
2010-07-18,35.3,2.4,20.317,16.943,67.534,4.357
2010-07-25,35.3,0.6,19.22,3.914,65.387,4.575
2010-08-01,35.3,1.6,21.162,0.629,61.105,4.243
2010-08-08,36.3,6.6,21.778,0.686,56.544,5.037
2010-08-15,37.3,6.6,23.17,1.657,52.189,4.852
2010-08-22,38.2,4.2,22.811,44.886,58.783,4.999
2010-08-29,39.0,3.3,23.513,24.514,52.62,4.774
2010-09-05,40.3,5.4,24.236,13.657,55.841,4.813
2010-09-12,40.0,8.3,24.76,42.486,52.817,5.049
2010-09-19,41.1,7.2,26.034,21.571,51.535,5.239
2010-09-26,40.0,7.3,25.052,53.886,58.258,5.494
2010-10-03,43.4,8.0,24.949,84.4,62.358,5.146
2010-10-10,42.5,10.9,25.033,42.657,63.239,5.125
2010-10-17,42.7,11.7,25.623,62.714,65.839,5.234
2010-10-24,40.6,14.7,26.039,65.8,65.293,4.87
2010-10-31,40.3,11.1,26.305,72.2,67.005,4.778
2010-11-07,40.0,10.2,25.081,99.2,67.29,4.866
2010-11-14,40.9,15.0,26.196,65.543,67.617,4.964
2010-11-21,39.3,12.7,25.585,93.543,66.043,4.935
2010-11-28,40.2,15.4,26.68,60.857,67.564,4.485
2010-12-05,40.1,12.4,26.341,89.571,72.343,4.262
2010-12-12,39.9,15.1,26.448,136.971,72.023,4.529
2010-12-19,38.4,13.8,26.568,83.057,69.722,4.696
2010-12-26,38.8,7.8,26.347,47.286,71.697,4.331
