data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,34.8,17.0,25.193,142.2,79.446,3.456
2010-01-10,36.2,3.1,24.699,143.486,80.474,3.772
2010-01-17,36.0,10.4,24.629,200.971,80.352,3.636
2010-01-24,36.1,11.6,24.773,159.543,79.8,3.51
2010-01-31,36.2,8.9,24.825,178.257,79.575,3.506
2010-02-07,37.3,7.6,25.101,136.029,77.114,3.695
2010-02-14,36.0,9.9,24.767,160.343,79.187,3.468
2010-02-21,37.8,14.1,25.059,200.829,78.408,3.65
2010-02-28,38.6,12.9,25.133,154.429,77.987,3.467
2010-03-07,39.7,13.5,25.197,136.343,77.355,3.603
2010-03-14,38.7,14.1,25.185,86.114,77.283,3.538
2010-03-21,42.0,8.5,25.173,78.114,76.761,3.708
2010-03-28,40.3,9.9,24.888,109.571,78.004,3.629
2010-04-04,42.7,12.0,25.297,87.114,75.961,3.546
2010-04-11,40.2,12.3,25.012,91.886,75.354,3.56
2010-04-18,39.0,11.4,24.808,71.229,74.955,3.581
2010-04-25,40.9,12.0,25.072,45.457,72.94,3.39
2010-05-02,40.8,10.0,24.795,46.686,71.682,3.648
2010-05-09,38.6,10.0,24.33,14.829,70.84,3.412
2010-05-16,38.4,8.7,24.036,41.6,70.873,3.613
2010-05-23,39.7,8.4,24.129,45.171,70.584,3.586
2010-05-30,39.1,9.2,24.053,32.057,68.276,3.674
2010-06-06,38.2,11.9,24.485,12.514,65.566,3.534
2010-06-13,39.8,11.8,24.459,16.171,65.647,4.059
2010-06-20,41.0,10.0,24.787,13.914,62.574,3.958
2010-06-27,38.9,11.5,24.665,32.429,61.82,4.001
2010-07-04,39.6,9.0,24.541,30.829,64.066,4.017
2010-07-11,39.0,11.0,24.888,14.714,61.587,3.872
2010-07-18,38.4,8.7,24.788,39.429,63.583,4.017
2010-07-25,38.9,8.4,24.412,19.686,63.527,3.981
2010-08-01,38.6,9.7,25.108,35.086,60.649,4.078
2010-08-08,38.7,10.3,24.852,29.857,59.026,4.202
2010-08-15,39.4,11.7,25.665,65.086,58.161,4.129
2010-08-22,39.2,10.2,25.686,59.229,61.486,4.317
2010-08-29,40.3,7.9,25.312,66.914,63.255,4.212
2010-09-05,40.3,9.8,25.943,79.514,64.812,4.151
2010-09-12,41.3,8.3,25.961,132.571,64.362,4.126
2010-09-19,42.5,14.9,26.649,83.886,66.523,3.982
2010-09-26,41.4,15.7,26.223,109.257,71.221,4.132
2010-10-03,40.8,14.2,25.922,153.371,73.544,4.204
2010-10-10,42.4,15.2,25.652,131.943,75.094,4.075
2010-10-17,40.7,14.8,25.687,142.429,75.811,4.104
2010-10-24,39.2,17.6,25.505,161.314,76.758,3.968
2010-10-31,39.2,15.6,25.657,136.0,76.716,4.084
2010-11-07,38.6,15.2,25.21,217.771,78.099,3.986
2010-11-14,37.5,10.4,25.196,135.771,77.989,3.767
2010-11-21,37.0,11.9,25.081,155.6,78.686,3.808
2010-11-28,37.2,4.9,25.096,200.743,78.255,3.781
2010-12-05,36.0,7.4,25.018,178.2,78.762,3.735
2010-12-12,36.3,16.1,24.961,153.057,80.585,3.83
2010-12-19,37.2,15.7,24.788,223.743,81.54,3.816
2010-12-26,36.3,8.1,24.819,172.486,80.377,3.746
2011-01-02,38.7,13.9,24.989,166.543,80.234,3.75
2011-01-09,36.7,12.9,25.184,128.0,78.608,3.883
2011-01-16,37.4,11.8,24.924,178.286,79.986,3.802
2011-01-23,37.3,11.9,24.662,216.371,79.539,3.671
2011-01-30,36.7,13.1,25.056,145.829,78.844,3.647
2011-02-06,36.4,13.2,24.932,130.486,78.632,3.547
2011-02-13,37.5,13.6,25.059,141.0,77.456,3.507
2011-02-20,38.0,7.3,24.539,142.314,79.98,3.568
2011-02-27,37.7,11.5,24.902,120.229,78.34,3.4
2011-03-06,36.9,10.6,24.877,154.257,78.474,3.39
2011-03-13,38.0,15.2,25.048,123.571,76.973,3.525
2011-03-20,39.7,13.0,24.833,126.314,77.215,3.431
2011-03-27,39.6,13.2,24.937,92.543,78.075,3.287
2011-04-03,39.7,8.2,24.705,97.657,76.674,3.457
2011-04-10,37.9,6.6,24.839,93.343,75.591,3.371
