data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,34.9,21.0,26.014,203.4,80.472,3.457
2010-01-10,34.6,20.8,26.395,89.343,78.04,4.007
2010-01-17,35.6,20.6,26.342,80.314,79.053,3.899
2010-01-24,34.9,20.0,26.518,97.114,78.841,4.083
2010-01-31,35.6,20.7,26.436,121.714,79.971,3.846
2010-02-07,34.9,21.1,26.558,79.114,79.023,4.137
2010-02-14,35.3,20.5,26.5,94.257,79.352,3.926
2010-02-21,34.9,20.4,26.58,82.143,79.203,4.041
2010-02-28,35.6,21.3,26.25,111.0,81.406,3.404
2010-03-07,35.1,21.0,26.136,161.714,81.771,3.447
2010-03-14,35.3,21.1,26.305,135.257,81.336,3.399
2010-03-21,34.7,20.9,26.241,117.743,81.928,3.407
2010-03-28,34.7,20.9,26.277,131.714,81.708,3.258
2010-04-04,35.3,20.2,26.248,111.286,82.236,3.205
2010-04-11,35.2,18.6,26.381,103.114,80.316,3.517
2010-04-18,34.8,18.9,26.244,126.114,80.731,3.332
2010-04-25,35.1,19.6,26.562,85.543,79.297,3.565
2010-05-02,35.8,19.2,26.752,91.886,77.953,4.044
2010-05-09,36.1,20.0,26.858,78.343,78.662,3.764
2010-05-16,34.9,19.9,26.815,91.971,79.51,3.96
2010-05-23,35.1,18.8,26.759,92.457,79.603,3.684
2010-05-30,34.4,19.0,26.952,62.286,78.692,4.171
2010-06-06,35.5,18.2,26.609,88.457,78.555,4.198
2010-06-13,35.8,16.5,26.668,75.2,77.638,4.225
2010-06-20,36.0,18.5,26.842,77.286,77.558,4.339
2010-06-27,36.8,17.7,26.7,47.914,76.59,4.331
2010-07-04,37.0,18.5,26.896,41.086,75.602,4.252
2010-07-11,37.8,19.2,27.006,40.4,75.215,4.213
2010-07-18,36.2,18.2,26.411,91.371,77.237,3.766
2010-07-25,36.6,17.8,26.861,40.429,74.348,4.093
2010-08-01,36.2,18.2,27.134,55.2,71.033,3.986
2010-08-08,37.5,17.2,27.204,68.771,71.404,4.011
2010-08-15,37.2,19.9,27.449,40.2,72.479,4.043
2010-08-22,37.2,18.3,27.365,42.343,73.485,4.023
2010-08-29,36.7,17.9,27.278,62.0,74.56,3.962
2010-09-05,36.8,20.7,27.438,52.714,72.537,3.993
2010-09-12,37.0,20.2,27.57,55.829,73.372,4.523
2010-09-19,36.5,20.3,27.572,67.829,74.517,4.697
2010-09-26,36.6,21.0,27.677,54.657,73.824,4.811
2010-10-03,37.0,21.1,27.18,39.743,76.651,4.308
2010-10-10,36.4,21.4,27.291,87.143,77.253,4.236
2010-10-17,37.5,20.3,27.042,108.943,77.498,4.201
2010-10-24,36.1,19.9,27.244,68.4,76.585,4.027
2010-10-31,35.9,20.9,27.333,78.8,76.794,3.965
2010-11-07,36.8,20.8,27.302,66.514,76.591,4.116
2010-11-14,35.9,21.0,27.37,80.686,76.041,4.336
2010-11-21,36.5,21.3,27.394,56.0,76.103,3.956
2010-11-28,37.6,21.4,27.466,70.886,75.309,4.021
2010-12-05,37.6,20.6,27.074,115.486,77.357,4.118
2010-12-12,36.4,20.4,27.027,88.8,77.579,3.812
2010-12-19,37.2,20.4,26.854,99.629,77.546,3.937
2010-12-26,37.1,19.7,26.703,137.143,78.054,4.078
2011-01-02,37.4,19.2,26.364,126.6,78.768,4.126
2011-01-09,38.4,19.5,26.359,123.571,78.989,4.211
2011-01-16,37.2,19.2,26.334,111.8,79.452,4.037
2011-01-23,39.8,9.6,26.424,100.543,78.507,4.077
2011-01-30,38.8,19.3,26.365,149.8,78.632,3.942
2011-02-06,36.8,19.0,26.354,147.971,79.147,3.995
2011-02-13,37.9,18.9,26.331,149.971,79.157,3.855
2011-02-20,37.5,19.0,26.271,154.714,79.231,3.889
2011-02-27,36.3,18.1,26.233,101.686,79.561,4.184
2011-03-06,35.4,18.8,26.299,99.086,79.398,4.226
2011-03-13,35.7,-5.0,26.134,152.257,80.385,3.887
2011-03-20,35.0,19.3,26.33,106.229,79.5,4.24
2011-03-27,36.1,18.9,26.569,78.314,77.647,4.301
2011-04-03,35.9,19.0,26.57,98.629,78.087,4.283
2011-04-10,35.5,19.1,26.575,106.914,79.122,4.099
2011-04-17,35.4,19.2,26.57,115.686,78.745,3.925
2011-04-24,34.8,16.9,26.501,117.714,78.17,3.867
2011-05-01,35.3,17.6,26.442,82.543,78.815,3.624
2011-05-08,36.4,18.1,26.593,116.886,77.336,3.698
2011-05-15,36.6,18.0,26.604,129.314,77.57,3.799
2011-05-22,36.8,18.3,26.563,101.629,77.072,3.849
2011-05-29,37.1,16.5,26.595,78.029,77.295,3.746
2011-06-05,37.9,18.0,26.779,74.457,76.931,3.817
2011-06-12,37.7,17.2,26.848,89.914,75.75,4.008
2011-06-19,37.6,17.4,26.71,68.857,75.136,3.89
2011-06-26,36.1,17.3,26.522,97.057,76.752,3.826
2011-07-03,37.7,18.3,26.872,47.429,75.308,3.676
2011-07-10,36.7,16.8,26.377,111.429,76.903,3.754
2011-07-17,36.5,17.1,26.456,86.657,77.135,3.846
2011-07-24,36.9,18.4,26.532,105.057,75.886,3.893
2011-07-31,37.6,18.3,26.848,72.829,75.892,3.828
2011-08-07,36.2,19.6,26.956,89.629,74.933,3.777
2011-08-14,36.7,20.1,26.737,89.743,77.52,3.622
2011-08-21,36.8,19.4,26.72,83.714,76.464,3.794
2011-08-28,36.9,20.5,26.62,66.029,77.463,3.773
2011-09-04,37.0,19.6,26.799,55.057,77.956,3.761
2011-09-11,37.4,19.5,26.859,67.314,76.592,3.925
2011-09-18,37.2,20.1,26.876,65.629,77.012,3.801
2011-09-25,38.4,17.0,27.131,60.686,75.557,4.012
2011-10-02,36.4,17.8,26.93,101.0,76.168,3.87
2011-10-09,36.5,15.7,27.099,90.686,75.406,3.97
2011-10-16,36.8,16.6,26.875,129.629,76.685,3.829
2011-10-23,37.9,17.2,26.81,125.343,77.151,3.72
2011-10-30,36.9,16.5,26.976,67.8,76.795,3.699
2011-11-06,41.1,15.5,27.043,94.714,74.886,3.833
2011-11-13,39.6,16.2,27.227,122.743,74.649,3.732
