data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,38.4,19.1,26.246,17.6,68.863,5.992
2010-01-10,37.1,19.8,26.407,10.971,67.835,6.596
2010-01-17,36.6,19.5,26.489,8.8,67.517,6.453
2010-01-24,35.9,19.0,25.836,44.086,73.77,5.969
2010-01-31,35.5,19.3,26.03,21.029,72.417,6.105
2010-02-07,37.4,18.3,26.285,20.714,70.844,6.191
2010-02-14,36.9,19.5,26.551,32.829,70.004,6.056
2010-02-21,36.5,19.6,25.954,40.4,75.191,5.695
2010-02-28,36.8,19.3,26.35,32.6,74.156,5.415
2010-03-07,37.6,18.4,26.05,34.114,74.701,5.262
2010-03-14,38.4,18.3,26.259,16.971,74.128,5.497
2010-03-21,37.6,19.5,26.195,27.171,73.981,5.151
2010-03-28,36.5,19.5,26.079,45.743,75.755,4.788
2010-04-04,37.8,19.7,25.982,60.286,76.46,4.846
2010-04-11,34.8,19.6,26.096,31.771,76.176,4.713
2010-04-18,36.5,19.4,25.693,57.857,76.39,5.061
2010-04-25,35.2,20.2,25.408,49.486,78.104,5.12
2010-05-02,36.1,17.8,25.748,20.6,73.908,5.47
2010-05-09,35.6,19.2,25.444,33.4,72.218,6.076
2010-05-16,35.8,17.4,25.427,37.714,73.821,5.685
2010-05-23,37.2,18.9,25.599,29.829,73.878,5.593
2010-05-30,36.1,18.0,25.216,40.371,73.068,6.148
2010-06-06,37.1,17.3,25.104,22.343,73.637,5.502
2010-06-13,36.3,17.4,25.045,34.2,71.182,5.916
2010-06-20,35.6,17.6,24.487,32.229,70.989,6.178
2010-06-27,36.3,17.0,24.378,21.714,71.287,6.102
2010-07-04,34.8,15.6,23.76,35.829,74.264,6.229
2010-07-11,37.0,17.7,24.294,23.029,70.468,6.328
2010-07-18,35.5,17.3,24.073,42.6,71.501,6.294
2010-07-25,36.6,16.3,23.874,47.657,69.792,7.071
2010-08-01,36.9,16.2,23.705,28.0,69.623,7.369
2010-08-08,35.2,15.5,23.775,20.086,68.085,7.24
2010-08-15,36.8,16.7,24.06,11.571,66.653,7.233
2010-08-22,36.5,16.7,24.251,12.6,64.804,7.801
2010-08-29,37.1,16.6,24.483,8.914,65.557,7.487
2010-09-05,36.7,16.8,24.717,5.457,64.731,7.8
2010-09-12,37.6,14.6,24.795,6.257,62.945,7.999
2010-09-19,36.8,16.4,25.036,7.743,64.177,7.953
2010-09-26,39.3,17.5,25.374,6.343,64.671,7.649
2010-10-03,37.9,18.3,26.033,3.8,63.134,7.478
2010-10-10,38.3,17.7,26.12,0.714,62.233,7.602
2010-10-17,37.1,18.6,25.859,7.143,63.303,7.931
2010-10-24,38.6,18.8,26.019,5.686,65.081,7.027
2010-10-31,38.3,18.0,25.985,1.371,63.775,7.189
2010-11-07,37.6,19.3,25.958,0.886,65.955,7.331
2010-11-14,38.8,18.6,25.917,4.457,65.239,7.721
2010-11-21,37.9,19.3,26.313,2.457,64.499,7.114
2010-11-28,38.2,19.3,26.613,2.8,64.714,6.758
2010-12-05,38.6,19.7,26.707,0.6,64.226,6.926
2010-12-12,36.7,20.3,26.523,5.829,66.482,6.559
2010-12-19,37.8,19.3,26.597,7.771,63.068,7.351
2010-12-26,37.5,18.7,26.546,8.343,64.001,7.453
2011-01-02,38.0,19.6,26.489,25.829,66.065,6.493
2011-01-09,38.2,20.0,26.479,20.429,68.114,6.15
2011-01-16,38.3,19.7,26.261,28.4,68.094,6.526
2011-01-23,38.1,19.7,25.892,39.429,71.188,5.473
2011-01-30,37.8,18.9,26.138,29.429,69.855,6.072
2011-02-06,38.0,19.9,26.578,8.629,67.434,6.401
2011-02-13,38.2,19.6,26.513,16.2,67.674,6.203
