data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,34.9,20.1,26.931,9.4,62.34,6.809
2010-01-10,35.0,18.7,26.395,13.2,65.165,6.715
2010-01-17,36.7,17.4,26.463,15.6,65.4,6.585
2010-01-24,36.6,19.3,25.986,34.914,68.637,6.464
2010-01-31,36.4,15.9,26.274,12.486,66.661,6.698
2010-02-07,36.8,18.0,26.271,22.886,68.313,6.1
2010-02-14,36.4,17.0,26.445,10.257,66.301,6.416
2010-02-21,36.7,17.9,25.971,26.8,69.394,6.391
2010-02-28,36.5,17.5,26.217,11.829,69.311,5.829
2010-03-07,36.2,18.3,26.129,24.6,69.058,5.825
2010-03-14,36.6,17.9,26.559,16.457,67.555,6.026
2010-03-21,36.5,17.4,26.17,35.429,69.54,5.605
2010-03-28,37.2,18.5,26.295,43.486,71.068,5.581
2010-04-04,36.3,17.9,26.194,37.829,71.557,5.152
2010-04-11,35.1,18.5,26.022,34.2,72.48,5.602
2010-04-18,35.8,18.0,25.557,33.629,73.413,5.74
2010-04-25,35.3,17.9,25.275,40.886,75.307,5.488
2010-05-02,35.2,17.0,25.113,27.829,75.117,5.906
2010-05-09,34.5,17.0,24.493,16.657,76.289,5.816
2010-05-16,36.2,15.4,24.489,19.086,76.624,5.857
2010-05-23,37.1,16.6,24.33,20.6,77.698,5.846
2010-05-30,32.9,17.4,23.999,23.114,79.181,5.527
2010-06-06,32.5,16.2,23.489,22.571,80.425,5.41
2010-06-13,33.0,16.5,23.304,42.457,78.602,5.887
2010-06-20,33.9,15.5,22.658,90.829,80.641,6.062
2010-06-27,31.1,14.9,22.231,32.743,80.88,6.372
2010-07-04,30.7,14.3,21.954,40.8,81.761,6.283
2010-07-11,32.1,14.9,22.012,37.314,81.013,6.272
2010-07-18,31.8,14.5,21.81,38.086,80.158,6.329
2010-07-25,31.1,14.6,21.702,57.686,79.195,6.779
2010-08-01,32.2,14.7,21.676,29.8,79.157,6.775
2010-08-08,33.5,13.3,21.743,33.429,77.143,6.652
2010-08-15,37.5,13.4,22.445,11.286,73.095,6.51
2010-08-22,35.4,14.0,22.666,18.686,73.624,6.949
2010-08-29,36.2,13.0,22.682,28.771,73.597,6.895
2010-09-05,36.7,14.9,23.009,19.171,72.246,7.457
2010-09-12,36.8,13.8,23.285,12.686,70.038,7.083
2010-09-19,37.4,14.0,23.748,6.057,68.668,7.418
2010-09-26,36.8,14.3,24.148,4.971,67.49,7.512
2010-10-03,36.0,14.9,24.453,10.857,67.668,7.346
2010-10-10,37.6,14.5,24.763,18.314,66.236,7.467
2010-10-17,36.5,15.7,25.158,12.971,66.421,7.696
2010-10-24,37.5,16.0,25.59,2.943,65.375,7.323
2010-10-31,36.4,17.2,26.101,2.686,63.037,7.233
2010-11-07,38.5,16.5,26.035,9.429,64.783,7.057
2010-11-14,39.1,17.5,26.108,2.514,63.535,7.128
2010-11-21,38.5,16.0,26.483,1.257,61.843,7.183
2010-11-28,38.6,16.7,26.763,6.8,61.522,7.142
2010-12-05,38.4,17.7,26.838,1.429,60.794,7.208
2010-12-12,39.3,15.8,26.943,2.971,61.36,7.11
2010-12-19,37.6,17.2,26.362,12.571,63.721,7.596
2010-12-26,36.9,17.5,26.03,4.486,66.009,6.878
2011-01-02,37.9,16.8,26.474,2.343,62.997,6.701
2011-01-09,38.5,17.0,25.872,29.886,67.027,6.299
2011-01-16,34.8,16.2,26.028,11.286,66.975,6.38
2011-01-23,35.5,15.4,25.521,43.886,69.979,5.969
2011-01-30,35.1,14.4,25.733,27.057,68.108,6.269
2011-02-06,36.8,14.7,25.952,20.057,66.853,6.629
2011-02-13,35.5,15.3,25.962,33.257,66.919,6.152
2011-02-20,36.0,16.9,25.407,39.629,70.472,6.073
2011-02-27,35.2,14.9,25.844,25.543,68.099,6.034
2011-03-06,36.1,14.6,26.24,13.114,66.06,5.811
2011-03-13,37.8,16.5,26.484,9.429,66.116,5.807
2011-03-20,37.6,15.8,26.577,23.457,63.911,5.833
2011-03-27,37.4,17.6,26.567,6.571,65.912,5.565
2011-04-03,36.2,17.1,26.244,18.371,67.28,6.274
2011-04-10,36.9,16.0,25.991,41.457,70.02,5.758
2011-04-17,36.4,17.3,25.732,53.914,70.531,5.754
2011-04-24,35.2,17.6,25.401,48.514,71.392,6.01
2011-05-01,36.7,15.0,25.398,56.686,70.23,5.791
2011-05-08,35.7,16.6,25.052,52.286,72.804,5.944
2011-05-15,36.3,16.0,25.222,15.657,70.399,5.655
2011-05-22,35.1,17.2,25.338,36.543,70.264,6.057
