data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,38.5,20.8,27.61,75.4,66.08,4.679
2010-01-10,39.0,18.8,27.509,39.057,66.552,4.528
2010-01-17,37.3,19.0,27.564,35.571,67.965,4.505
2010-01-24,38.4,18.7,27.216,52.543,69.677,4.49
2010-01-31,38.4,19.6,27.385,61.2,68.946,4.644
2010-02-07,39.2,18.6,27.608,65.486,68.473,4.83
2010-02-14,38.0,19.4,26.758,72.543,74.37,4.138
2010-02-21,39.7,18.4,26.623,83.114,74.285,4.398
2010-02-28,38.7,19.1,27.024,68.371,73.057,4.411
2010-03-07,38.2,18.7,27.068,75.143,72.162,4.32
2010-03-14,39.0,18.3,27.192,56.114,72.728,4.265
2010-03-21,39.0,17.4,26.949,77.629,73.135,4.107
2010-03-28,37.2,19.2,26.34,94.514,77.223,3.771
2010-04-04,36.8,18.7,26.771,84.543,74.651,4.004
2010-04-11,37.8,18.5,27.099,50.743,71.91,4.204
2010-04-18,37.7,18.5,27.048,57.257,72.004,4.134
2010-04-25,37.7,18.8,26.801,73.714,73.14,3.8
2010-05-02,37.9,17.5,27.181,21.8,68.582,4.17
2010-05-09,37.2,16.6,27.086,44.029,67.062,4.399
2010-05-16,38.1,17.5,27.372,14.029,64.817,4.416
2010-05-23,38.1,16.8,27.043,25.686,66.588,4.478
2010-05-30,37.6,16.2,27.415,2.886,61.325,4.913
2010-06-06,37.6,16.7,27.402,8.171,60.3,4.642
2010-06-13,37.7,16.6,27.14,14.0,59.951,4.852
2010-06-20,37.1,15.6,27.0,17.8,59.227,5.116
2010-06-27,36.7,14.7,26.841,2.343,57.263,5.234
2010-07-04,36.5,14.3,26.859,15.343,57.804,5.418
2010-07-11,38.6,16.0,26.88,21.6,57.974,5.419
2010-07-18,37.5,14.6,26.845,22.514,56.012,5.774
2010-07-25,37.3,14.3,26.903,19.714,54.31,5.579
2010-08-01,37.5,15.3,26.94,9.886,53.762,6.007
2010-08-08,38.3,13.5,27.404,1.543,50.797,5.85
2010-08-15,38.7,13.2,27.717,11.2,48.637,6.1
2010-08-22,39.9,15.1,27.807,22.743,49.069,6.029
2010-08-29,39.9,16.7,28.211,7.0,49.308,6.227
2010-09-05,40.4,14.4,28.521,7.686,46.275,6.418
2010-09-12,40.1,14.0,28.784,0.314,45.868,6.717
2010-09-19,40.3,17.3,29.161,0.257,44.587,6.782
2010-09-26,41.7,17.1,29.195,41.914,46.019,6.463
2010-10-03,40.8,16.9,29.377,14.743,46.989,6.363
2010-10-10,40.7,17.1,29.669,5.2,46.983,6.566
2010-10-17,40.9,20.1,29.834,3.829,47.007,6.808
2010-10-24,41.8,16.7,29.7,21.886,50.11,6.079
2010-10-31,40.4,19.2,29.957,13.8,49.799,5.992
2010-11-07,40.5,19.6,29.258,37.857,53.769,5.752
2010-11-14,41.1,17.8,29.214,12.8,54.915,5.578
2010-11-21,40.1,18.8,28.965,33.457,56.54,5.386
2010-11-28,40.2,19.1,28.772,38.343,59.369,5.116
2010-12-05,41.7,17.9,28.793,33.943,58.225,4.944
2010-12-12,40.5,17.7,28.403,30.343,62.006,4.61
2010-12-19,40.5,17.6,28.051,61.0,63.279,4.617
2010-12-26,39.9,17.6,28.604,32.029,59.99,5.044
2011-01-02,40.2,17.5,28.471,30.857,60.453,4.948
2011-01-09,39.8,16.3,26.885,56.914,68.866,4.101
2011-01-16,37.6,17.3,26.998,40.8,68.749,4.299
2011-01-23,38.5,17.3,26.98,36.743,68.556,4.092
2011-01-30,38.5,19.6,26.692,36.829,71.255,3.939
2011-02-06,38.5,18.6,27.04,51.486,69.15,4.077
2011-02-13,37.9,17.3,26.663,67.829,70.892,4.005
2011-02-20,37.4,17.5,26.215,70.829,73.79,3.794
2011-02-27,37.8,19.0,26.639,64.429,72.166,3.839
2011-03-06,38.8,18.6,26.878,79.629,72.174,3.872
2011-03-13,40.1,19.4,26.878,69.686,73.2,3.688
2011-03-20,39.6,18.7,26.777,99.857,73.344,3.741
2011-03-27,39.6,18.8,26.432,118.914,76.729,3.679
2011-04-03,39.4,18.7,26.681,64.086,74.07,3.708
2011-04-10,37.9,18.1,26.707,62.8,75.281,3.599
2011-04-17,38.2,18.3,26.541,106.429,76.09,3.413
2011-04-24,37.1,17.4,26.502,82.714,74.601,3.745
2011-05-01,38.4,17.8,26.625,83.143,72.852,3.802
2011-05-08,38.2,16.3,26.837,25.229,70.178,3.872
2011-05-15,37.9,16.0,27.053,37.229,67.588,3.864
2011-05-22,37.9,16.9,27.064,37.029,68.885,3.859
2011-05-29,37.8,13.8,27.223,17.229,64.864,4.218
2011-06-05,37.9,15.6,27.092,23.0,64.928,4.054
2011-06-12,38.1,15.8,27.234,25.686,62.343,4.28
2011-06-19,37.1,15.0,26.943,21.743,61.26,4.593
2011-06-26,36.7,14.6,26.708,18.914,61.8,4.713
2011-07-03,35.7,15.3,26.685,7.171,59.415,4.752
2011-07-10,38.0,14.6,26.725,7.057,57.68,5.195
2011-07-17,37.4,14.4,26.982,9.314,57.005,4.848
2011-07-24,37.6,13.9,27.085,9.171,54.959,4.962
2011-07-31,37.7,13.5,27.168,8.829,52.603,5.485
2011-08-07,38.5,14.2,27.286,12.629,52.563,5.412
2011-08-14,39.1,13.8,27.807,0.629,49.154,5.189
2011-08-21,39.7,13.5,27.996,0.571,48.144,5.705
2011-08-28,39.9,16.4,28.302,1.2,47.923,6.242
2011-09-04,39.1,15.5,28.615,0.057,46.703,6.099
2011-09-11,40.4,16.9,28.704,3.457,47.8,6.353
2011-09-18,40.7,15.6,29.202,5.743,45.884,6.231
2011-09-25,40.3,15.2,29.645,0.143,45.286,6.003
2011-10-02,40.3,18.9,29.622,17.086,47.425,5.963
2011-10-09,41.1,18.5,29.965,3.029,46.121,6.176
2011-10-16,40.7,17.5,29.83,3.457,47.354,6.399
2011-10-23,40.4,17.0,29.709,18.229,51.555,5.991
2011-10-30,41.6,18.9,30.259,11.6,47.124,5.919
2011-11-06,40.5,20.1,29.4,31.429,53.264,5.831
2011-11-13,39.8,18.8,29.168,31.771,57.087,5.459
2011-11-20,40.0,20.0,28.592,20.686,61.632,5.054
2011-11-27,40.7,19.6,29.136,14.486,58.653,5.225
2011-12-04,40.7,18.3,28.557,46.143,61.869,4.985
2011-12-11,39.7,19.3,28.267,45.486,64.286,4.988
2011-12-18,38.8,18.8,27.989,36.829,64.353,4.716
2011-12-25,40.0,18.7,27.985,29.086,63.043,4.779
2012-01-01,38.5,18.9,28.44,28.057,61.451,4.914
2012-01-08,38.7,18.1,27.512,70.629,64.908,4.503
2012-01-15,39.5,19.0,27.189,43.943,66.899,4.396
2012-01-22,38.7,18.0,27.376,40.971,66.437,4.264
2012-01-29,38.5,20.0,27.083,49.886,68.018,4.174
2012-02-05,40.2,20.0,27.891,21.714,63.657,4.597
2012-02-12,40.3,20.0,27.227,57.286,70.004,4.345
2012-02-19,38.2,19.9,26.614,67.2,71.802,3.877
2012-02-26,38.3,20.4,26.826,34.343,72.169,3.77
2012-03-04,38.1,19.2,26.345,54.057,75.271,3.685
2012-03-11,38.2,18.5,26.535,67.6,74.411,3.743
2012-03-18,38.3,18.6,26.974,28.229,71.011,4.026
2012-03-25,36.8,19.2,26.103,91.086,76.947,3.667
2012-04-01,37.1,19.8,26.454,78.086,75.08,3.746
2012-04-08,38.4,18.5,26.364,78.286,76.345,3.699
2012-04-15,37.9,18.6,26.547,42.371,74.319,3.675
2012-04-22,37.9,19.2,26.858,61.543,72.016,3.613
2012-04-29,39.4,17.9,27.067,50.114,69.106,4.063
2012-05-06,38.1,17.8,26.982,44.171,67.527,4.152
2012-05-13,38.0,17.7,27.267,26.114,64.564,3.942
2012-05-20,38.2,17.4,27.274,63.2,66.257,4.22
2012-05-27,38.2,18.4,27.437,14.0,62.589,4.271
2012-06-03,37.8,16.0,27.336,17.229,59.992,4.282
2012-06-10,37.6,16.0,27.333,15.886,58.083,4.897
2012-06-17,37.2,15.9,27.093,7.257,56.166,5.083
2012-06-24,37.8,15.3,27.084,11.2,55.949,5.25
2012-07-01,36.2,15.1,26.767,11.971,54.472,5.372
2012-07-08,37.7,13.9,26.918,8.714,53.627,5.338
2012-07-15,37.3,14.3,27.156,7.743,50.706,5.759
2012-07-22,37.6,14.3,26.891,2.514,50.448,5.772
2012-07-29,37.1,13.8,27.238,0.457,49.218,5.899
2012-08-05,39.1,14.7,27.264,1.857,48.214,5.649
2012-08-12,38.4,12.8,27.568,0.057,46.662,5.842
2012-08-19,38.6,14.9,27.767,1.943,46.691,5.85
2012-08-26,39.0,16.7,28.09,0.343,45.343,6.053
2012-09-02,39.6,14.5,28.525,0.486,43.704,6.21
2012-09-09,39.8,16.3,28.745,2.971,43.795,6.319
2012-09-16,40.1,18.1,29.228,2.371,43.216,6.664
2012-09-23,40.7,17.3,29.555,1.286,41.466,6.57
2012-09-30,40.8,17.1,29.866,2.4,42.143,6.128
2012-10-07,41.0,17.7,30.043,3.914,41.863,6.182
2012-10-14,40.9,18.7,30.127,3.686,42.458,6.562
2012-10-21,40.2,17.7,29.929,16.971,45.557,6.221
2012-10-28,41.7,18.5,29.719,4.6,47.966,6.083
2012-11-04,41.2,20.0,29.395,37.114,49.497,5.464
2012-11-11,40.4,19.5,29.543,30.0,49.445,5.47
2012-11-18,40.1,18.5,29.069,22.343,52.336,5.191
2012-11-25,40.6,19.4,29.001,44.8,54.571,5.077
2012-12-02,40.2,18.9,28.339,26.657,58.9,5.03
2012-12-09,40.3,18.7,28.338,18.0,58.564,4.806
2012-12-16,39.1,18.5,28.129,24.8,60.721,4.835
2012-12-23,40.0,18.1,28.244,21.886,58.861,4.895
2012-12-30,39.6,19.8,28.764,27.543,56.888,5.051
2013-01-06,39.3,19.8,26.924,60.743,68.835,4.4
2013-01-13,37.9,18.4,27.065,28.886,66.492,4.508
2013-01-20,37.8,15.4,27.183,49.086,65.518,4.218
2013-01-27,38.3,19.0,26.313,43.714,70.961,3.697
2013-02-03,37.8,18.9,26.883,39.457,68.808,3.892
2013-02-10,38.1,16.9,26.519,56.571,71.073,3.856
2013-02-17,38.7,19.1,26.539,60.114,69.996,4.112
2013-02-24,39.2,18.5,26.605,37.086,70.399,4.056
2013-03-03,39.5,19.7,26.911,51.743,70.687,4.226
2013-03-10,39.5,20.0,26.754,36.257,73.17,4.079
2013-03-17,40.6,20.1,26.995,66.886,71.963,4.063
2013-03-24,37.7,19.6,26.733,56.371,74.596,3.734
2013-03-31,38.2,18.2,26.402,54.6,74.678,3.708
2013-04-07,38.2,19.1,26.506,37.343,77.052,3.483
2013-04-14,37.1,18.9,26.464,27.229,76.865,3.777
2013-04-21,36.9,17.2,26.432,38.829,75.57,3.799
2013-04-28,36.3,17.2,26.593,22.829,72.926,3.687
2013-05-05,36.0,16.6,26.696,27.2,70.947,3.958
2013-05-12,37.0,16.5,26.527,35.914,69.841,3.788
2013-05-19,37.0,16.4,26.848,35.057,69.037,4.04
2013-05-26,37.6,16.2,26.737,24.371,67.896,4.222
2013-06-02,36.9,14.9,26.632,9.457,66.285,4.119
2013-06-09,37.4,14.8,26.665,14.714,64.247,4.262
2013-06-16,36.3,15.5,26.682,9.971,61.262,4.854
2013-06-23,37.1,13.9,26.747,10.543,60.521,4.905
2013-06-30,37.1,12.9,26.517,6.429,59.014,5.123
2013-07-07,37.0,14.6,26.511,9.343,57.726,4.916
2013-07-14,36.4,13.1,26.709,5.343,57.256,4.895
2013-07-21,38.5,13.7,26.648,4.829,54.606,5.268
2013-07-28,38.6,14.4,26.879,8.429,52.799,5.805
2013-08-04,39.0,14.4,27.133,0.686,50.944,5.488
2013-08-11,38.1,13.3,27.332,14.657,49.862,5.65
2013-08-18,38.6,15.7,27.858,2.114,47.384,5.753
2013-08-25,38.6,15.0,28.236,1.629,45.59,5.817
2013-09-01,39.8,16.5,28.486,10.2,44.607,5.964
2013-09-08,39.3,15.1,28.682,9.657,45.297,6.015
2013-09-15,40.2,17.1,29.324,0.971,43.128,6.236
2013-09-22,41.0,15.9,29.497,5.429,43.26,6.071
2013-09-29,41.1,17.6,29.74,4.857,44.787,5.894
