data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,32.3,7.6,22.04,251.2,81.546,5.328
2010-01-10,34.7,1.9,22.285,139.514,75.884,5.149
2010-01-17,36.3,3.7,22.97,106.686,76.713,5.182
2010-01-24,36.3,6.9,22.824,87.571,76.802,5.232
2010-01-31,35.4,11.0,23.204,51.429,74.113,5.131
2010-02-07,35.8,4.0,22.768,94.457,74.327,4.964
2010-02-14,38.8,4.2,22.723,116.2,74.93,4.948
2010-02-21,37.3,3.4,22.725,107.886,75.113,4.78
2010-02-28,37.0,10.4,23.114,124.143,74.052,4.871
2010-03-07,35.2,10.7,22.76,75.429,74.456,5.178
2010-03-14,36.1,6.4,23.211,76.0,71.636,4.663
2010-03-21,36.3,13.2,23.031,57.114,74.459,5.56
2010-03-28,36.7,8.5,22.234,65.143,73.04,5.134
2010-04-04,34.8,9.1,21.704,76.143,74.514,4.854
2010-04-11,35.2,5.1,21.441,65.514,71.926,4.853
2010-04-18,35.9,3.1,21.347,53.829,72.591,4.783
2010-04-25,34.1,7.7,20.836,66.886,72.073,4.898
2010-05-02,33.6,7.0,20.086,34.143,71.597,5.025
2010-05-09,34.2,2.3,19.707,37.4,72.736,4.711
2010-05-16,37.0,1.9,19.489,58.571,74.309,4.958
2010-05-23,37.8,2.9,18.875,100.457,75.332,4.889
2010-05-30,34.1,-0.6,18.418,102.971,76.401,4.827
2010-06-06,35.1,1.2,18.027,85.686,78.685,4.307
2010-06-13,35.2,0.5,18.001,73.771,78.315,4.595
2010-06-20,35.3,-0.8,18.374,18.114,73.31,4.925
2010-06-27,37.4,-1.5,18.789,129.0,76.321,5.035
2010-07-04,34.6,-3.6,17.724,77.714,76.639,5.223
2010-07-11,35.9,-0.8,17.782,35.657,71.828,4.826
2010-07-18,34.1,4.0,19.067,54.8,68.079,5.002
2010-07-25,34.8,-1.5,18.179,55.086,71.158,4.944
2010-08-01,35.6,-1.8,18.102,65.771,69.123,4.711
2010-08-08,35.4,-0.2,18.394,39.314,67.254,4.885
2010-08-15,34.8,2.9,19.217,22.171,65.669,5.032
2010-08-22,34.9,1.3,18.009,77.686,70.894,5.663
2010-08-29,35.5,0.4,18.794,33.257,66.134,5.364
2010-09-05,35.3,-0.6,19.867,49.314,64.168,5.539
2010-09-12,36.4,5.1,20.851,50.171,64.123,5.344
2010-09-19,37.0,0.4,21.143,46.286,64.275,5.346
2010-09-26,38.1,3.4,20.465,78.743,67.087,5.41
2010-10-03,35.4,5.9,20.136,87.4,71.904,5.395
2010-10-10,37.3,9.2,20.44,129.514,73.927,5.712
2010-10-17,37.4,7.9,21.014,142.057,75.689,5.563
2010-10-24,38.2,5.6,20.944,82.914,71.838,5.669
2010-10-31,37.1,8.2,21.206,116.514,72.007,5.791
2010-11-07,38.9,1.1,20.482,81.657,71.741,6.144
2010-11-14,34.6,2.1,21.662,69.171,69.816,5.8
2010-11-21,35.6,10.0,21.587,82.857,68.174,5.706
2010-11-28,34.9,4.5,21.677,88.286,71.0,5.469
2010-12-05,34.5,4.8,21.933,97.114,72.966,5.246
2010-12-12,36.2,0.7,22.341,66.286,71.942,4.893
2010-12-19,37.1,7.4,22.625,105.743,72.128,5.457
2010-12-26,37.0,11.6,23.172,99.457,72.587,5.425
2011-01-02,37.1,7.8,22.762,125.2,76.941,4.715
2011-01-09,36.4,4.8,23.043,116.171,77.029,4.823
2011-01-16,34.6,9.0,22.475,159.857,79.78,5.001
2011-01-23,35.8,7.9,22.354,125.686,78.028,4.807
2011-01-30,37.0,10.0,23.402,73.514,75.37,4.782
2011-02-06,37.7,11.5,23.999,70.143,71.494,5.029
2011-02-13,37.8,8.0,23.959,87.629,70.452,5.07
2011-02-20,35.8,0.3,22.435,106.343,75.302,5.216
2011-02-27,38.4,-0.1,22.797,110.657,74.858,4.774
2011-03-06,36.3,10.4,22.544,80.629,73.898,4.76
2011-03-13,36.0,5.6,23.035,76.057,71.027,4.37
2011-03-20,35.6,1.7,22.604,120.343,76.422,4.489
2011-03-27,36.0,4.7,21.893,117.914,77.195,4.525
2011-04-03,35.6,0.6,21.815,73.429,73.645,4.253
2011-04-10,35.1,9.1,21.979,39.714,73.808,4.076
2011-04-17,38.2,7.6,21.774,90.829,75.182,4.225
2011-04-24,35.7,4.7,21.54,91.486,72.645,4.151
2011-05-01,36.5,0.5,20.343,88.314,75.973,4.286
2011-05-08,36.4,-0.2,19.96,38.286,73.584,4.0
2011-05-15,38.0,6.9,19.522,44.486,76.516,4.226
2011-05-22,37.5,4.3,18.753,49.686,76.524,4.354
2011-05-29,38.9,3.8,18.451,77.514,76.528,4.298
2011-06-05,34.9,3.9,18.192,124.086,79.659,4.599
2011-06-12,35.9,-1.4,17.253,81.257,77.382,4.358
2011-06-19,36.6,-2.4,18.497,44.8,75.164,4.29
2011-06-26,34.8,5.3,18.373,88.2,78.796,4.14
2011-07-03,35.4,-0.8,18.747,74.886,76.329,3.957
2011-07-10,34.4,-1.0,18.476,21.486,71.625,4.041
2011-07-17,36.7,-0.2,18.389,34.171,70.705,4.547
2011-07-24,36.4,-2.2,17.711,37.571,71.903,4.212
2011-07-31,34.9,1.3,18.046,53.286,73.187,4.369
2011-08-07,35.7,1.3,18.538,74.257,70.517,4.413
2011-08-14,35.9,0.4,18.562,30.629,70.572,4.538
2011-08-21,37.5,2.5,18.576,45.886,68.584,5.122
2011-08-28,40.0,1.9,19.692,34.114,64.688,4.533
2011-09-04,35.9,3.5,20.213,42.714,65.933,4.595
2011-09-11,38.3,2.2,19.877,34.657,66.498,4.762
2011-09-18,38.0,4.1,21.155,24.714,64.05,4.899
2011-09-25,38.3,3.2,19.713,115.171,72.356,4.894
2011-10-02,36.5,2.0,20.287,86.371,71.951,4.677
2011-10-09,37.7,8.2,20.813,86.0,72.678,4.377
2011-10-16,38.5,7.1,21.552,61.886,70.347,4.225
2011-10-23,37.8,7.9,21.834,89.829,73.01,4.55
2011-10-30,37.6,4.0,21.793,77.343,71.429,4.383
2011-11-06,39.4,6.7,21.825,69.257,69.64,4.609
2011-11-13,35.7,8.5,21.676,77.0,70.691,4.98
2011-11-20,35.8,7.4,21.839,53.143,67.513,4.928
2011-11-27,35.9,7.0,22.479,65.4,70.577,4.628
2011-12-04,34.9,9.7,22.691,96.6,72.791,4.761
2011-12-11,35.5,8.5,22.828,82.943,70.299,4.611
2011-12-18,36.7,6.3,22.816,77.943,72.212,4.93
2011-12-25,36.5,6.4,22.67,63.171,72.35,5.048
2012-01-01,37.0,5.8,22.987,57.2,74.377,4.759
2012-01-08,36.7,7.7,22.908,100.229,78.454,5.258
2012-01-15,35.8,5.9,23.265,83.229,78.117,5.242
2012-01-22,37.9,7.8,23.123,61.486,73.311,5.095
2012-01-29,38.8,4.0,23.345,55.257,72.306,4.7
2012-02-05,38.6,8.6,24.106,52.114,71.33,5.02
2012-02-12,37.1,6.2,23.578,42.543,71.389,4.965
2012-02-19,36.4,5.6,23.125,125.657,75.759,4.88
2012-02-26,35.3,6.1,23.487,96.829,73.738,4.738
2012-03-04,35.7,7.5,22.694,96.686,72.886,4.776
2012-03-11,34.7,5.0,22.802,77.657,74.28,4.423
