data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,39.1,10.3,24.721,41.0,75.956,4.994
2010-01-10,39.3,10.6,24.838,77.429,75.957,5.416
2010-01-17,40.1,11.7,24.799,100.229,77.977,5.395
2010-01-24,40.4,11.3,24.497,52.771,78.482,5.971
2010-01-31,39.6,7.9,24.958,91.029,75.076,5.844
2010-02-07,39.1,10.9,24.422,90.0,77.657,5.373
2010-02-14,38.8,11.4,24.823,51.743,75.743,5.127
2010-02-21,38.2,11.6,24.838,73.057,78.272,5.036
2010-02-28,37.9,12.7,24.754,76.4,78.837,5.25
2010-03-07,38.8,10.0,23.791,104.8,81.229,5.233
2010-03-14,38.7,12.9,24.626,69.057,79.564,4.487
2010-03-21,36.6,13.5,24.478,68.686,80.353,4.887
2010-03-28,35.3,8.9,23.702,51.229,80.663,4.305
2010-04-04,36.5,11.0,23.761,87.857,80.11,4.372
2010-04-11,36.7,8.7,23.247,84.314,78.798,4.552
2010-04-18,36.4,12.0,23.081,31.657,79.451,4.56
2010-04-25,35.6,11.7,22.884,28.8,78.446,4.424
2010-05-02,35.9,3.1,21.964,63.314,79.829,4.168
2010-05-09,35.1,10.0,22.05,37.543,78.588,3.993
2010-05-16,33.6,4.0,20.939,59.314,79.57,3.998
2010-05-23,34.4,7.4,20.441,41.229,79.994,4.283
2010-05-30,33.1,7.5,20.743,21.8,79.737,4.299
2010-06-06,34.2,6.5,20.205,34.257,81.298,4.179
2010-06-13,33.6,8.3,20.394,43.886,79.65,4.374
2010-06-20,34.2,8.5,19.722,40.743,79.313,4.256
2010-06-27,32.9,7.6,20.263,11.6,78.323,4.607
2010-07-04,33.6,8.4,20.333,16.886,76.379,4.877
2010-07-11,32.8,8.5,19.481,22.486,77.775,4.497
2010-07-18,34.2,5.5,20.132,29.971,78.349,4.728
2010-07-25,35.1,6.4,20.332,16.457,75.382,5.201
2010-08-01,34.1,5.3,20.064,34.771,77.449,4.979
2010-08-08,35.4,1.9,19.867,23.143,76.464,4.889
2010-08-15,34.4,4.3,20.269,15.257,75.023,5.885
2010-08-22,34.9,6.5,20.202,16.543,75.195,5.765
2010-08-29,35.8,8.1,20.565,19.4,73.464,5.454
2010-09-05,37.2,7.0,21.319,23.829,72.259,5.843
2010-09-12,40.4,4.2,21.13,33.629,74.093,5.942
2010-09-19,39.2,10.3,22.177,16.771,72.815,5.711
2010-09-26,40.4,4.4,21.982,41.971,75.379,5.85
2010-10-03,41.1,8.2,22.376,39.629,77.883,5.543
2010-10-10,37.5,1.6,22.015,30.229,77.922,6.015
2010-10-17,42.4,10.6,22.976,38.514,73.675,5.766
2010-10-24,37.4,4.2,22.713,43.171,76.218,5.639
2010-10-31,37.6,4.1,23.037,57.829,77.085,5.771
2010-11-07,41.1,12.5,22.517,72.0,78.685,5.451
2010-11-14,39.7,6.8,22.92,80.4,79.964,5.012
2010-11-21,37.3,5.4,22.601,105.514,79.081,5.407
2010-11-28,35.4,12.0,23.114,79.171,80.566,5.544
2010-12-05,37.0,11.4,23.66,134.886,80.232,5.423
2010-12-12,37.7,11.4,23.565,95.143,80.82,5.092
2010-12-19,38.7,5.4,24.105,86.457,79.082,5.136
2010-12-26,37.8,12.5,24.385,112.2,79.165,5.236
2011-01-02,40.4,11.0,24.821,62.629,77.774,4.976
2011-01-09,37.5,14.7,25.027,69.857,77.863,5.159
2011-01-16,38.8,15.5,25.431,65.257,77.361,4.538
2011-01-23,37.5,15.2,25.232,57.457,76.776,4.807
2011-01-30,38.7,14.4,25.578,44.314,73.396,4.786
2011-02-06,39.0,13.4,25.568,43.057,74.896,4.551
2011-02-13,39.7,11.5,25.003,39.4,74.67,4.791
2011-02-20,38.7,11.1,25.081,41.314,75.316,4.726
2011-02-27,39.4,10.9,25.065,30.514,75.966,4.777
2011-03-06,38.5,14.7,24.307,90.571,80.45,4.456
2011-03-13,38.6,13.1,24.526,57.086,79.113,4.674
2011-03-20,37.6,13.3,24.895,42.4,77.765,5.008
2011-03-27,39.0,6.7,23.898,43.314,78.156,4.557
2011-04-03,36.7,7.0,23.876,63.771,79.188,4.098
2011-04-10,35.5,7.9,23.721,39.771,78.667,4.481
2011-04-17,37.4,10.2,23.68,33.943,78.194,4.363
2011-04-24,40.9,12.7,23.271,10.371,76.106,4.025
2011-05-01,37.0,9.0,22.452,37.314,77.746,4.237
2011-05-08,33.2,7.3,21.576,17.857,79.177,4.381
2011-05-15,36.2,7.0,20.737,50.114,79.842,4.544
2011-05-22,33.6,7.0,20.58,29.6,80.33,4.661
2011-05-29,35.6,9.0,20.769,15.943,77.983,4.787
2011-06-05,38.2,8.7,21.093,13.686,79.135,4.675
2011-06-12,36.4,8.1,20.566,30.4,78.584,4.709
2011-06-19,35.2,7.0,19.824,12.857,79.578,4.552
2011-06-26,33.4,6.9,20.307,34.943,78.59,4.785
2011-07-03,34.4,5.1,20.179,10.371,78.91,4.672
2011-07-10,35.4,3.6,19.919,7.943,77.45,5.347
2011-07-17,35.6,6.7,20.655,39.0,76.318,5.203
2011-07-24,37.6,7.9,20.127,6.171,77.727,4.958
2011-07-31,36.7,9.4,20.393,24.0,75.465,5.27
2011-08-07,35.4,7.5,19.894,22.257,76.424,4.848
2011-08-14,35.8,7.9,20.196,10.829,74.876,5.295
2011-08-21,36.5,7.0,20.074,21.771,76.054,5.702
2011-08-28,35.3,7.2,19.978,27.4,76.402,5.395
2011-09-04,36.6,8.2,21.12,21.0,72.185,5.493
2011-09-11,37.2,7.9,21.225,42.114,74.571,5.594
2011-09-18,39.1,8.5,22.162,15.943,73.273,5.733
2011-09-25,39.7,11.6,22.214,62.0,72.701,5.662
2011-10-02,40.3,9.4,22.017,48.829,75.55,5.797
2011-10-09,39.9,8.6,22.577,36.914,74.419,5.571
2011-10-16,39.3,12.5,23.071,59.943,73.476,6.038
2011-10-23,37.4,10.8,22.165,51.714,77.799,5.642
2011-10-30,39.7,11.1,23.156,47.714,76.396,5.809
2011-11-06,37.5,11.3,22.695,53.171,76.448,5.783
2011-11-13,36.4,13.8,22.957,62.714,79.861,4.796
2011-11-20,37.2,12.8,22.514,74.714,79.105,5.276
2011-11-27,38.2,13.5,23.074,88.486,79.827,5.291
2011-12-04,37.3,12.7,23.894,102.8,79.724,5.83
2011-12-11,38.4,12.9,23.678,80.171,80.967,5.112
2011-12-18,38.5,15.0,24.842,73.943,77.902,5.295
2011-12-25,37.6,15.8,25.194,82.971,77.056,5.017
2012-01-01,40.1,15.2,25.016,54.514,78.79,4.977
2012-01-08,38.2,14.0,25.355,168.943,79.095,5.156
2012-01-15,38.3,15.1,25.408,99.343,78.58,5.497
2012-01-22,37.8,15.8,25.787,43.257,76.471,5.176
2012-01-29,38.7,17.5,25.954,44.4,74.079,5.623
2012-02-05,39.7,11.4,25.622,63.829,76.21,5.482
2012-02-12,37.7,12.7,25.171,79.771,77.725,5.197
2012-02-19,39.0,13.6,25.64,47.657,75.835,5.094
2012-02-26,40.5,10.5,25.465,42.629,76.736,5.044
2012-03-04,38.5,10.3,24.908,49.2,78.475,4.535
2012-03-11,37.5,13.9,25.16,40.143,79.008,4.654
2012-03-18,37.9,11.0,25.058,80.229,79.978,4.882
2012-03-25,37.5,14.9,24.255,53.571,80.068,4.444
2012-04-01,37.6,11.0,24.215,54.514,80.42,4.368
2012-04-08,37.6,14.3,24.136,44.457,80.391,4.286
2012-04-15,35.6,14.2,23.563,49.457,79.833,4.32
2012-04-22,36.2,13.4,22.782,21.229,79.52,4.208
2012-04-29,36.4,8.9,22.373,25.657,79.721,4.802
2012-05-06,35.0,3.8,21.479,45.286,81.473,4.126
2012-05-13,34.6,10.0,20.766,14.486,81.404,4.329
2012-05-20,34.2,7.1,20.395,67.943,83.799,4.088
2012-05-27,33.1,3.2,20.46,16.714,80.613,4.541
2012-06-03,33.6,6.4,20.594,33.543,80.906,4.4
2012-06-10,34.0,4.8,20.457,34.143,82.213,4.743
2012-06-17,34.9,1.3,19.766,21.371,80.662,4.405
2012-06-24,35.4,8.0,20.163,57.0,80.255,4.304
2012-07-01,32.8,6.0,19.957,23.6,81.196,4.435
2012-07-08,36.5,9.6,19.781,15.257,78.603,4.904
2012-07-15,34.2,4.6,19.66,45.229,78.179,4.489
2012-07-22,34.3,2.5,19.714,14.514,78.889,5.054
2012-07-29,33.6,5.4,20.048,17.686,78.217,4.755
2012-08-05,37.8,6.8,20.121,17.657,77.638,4.905
2012-08-12,36.4,2.3,20.41,15.0,75.419,5.312
2012-08-19,34.8,5.5,20.224,25.6,76.504,5.34
2012-08-26,35.9,4.7,20.66,14.829,75.429,5.574
2012-09-02,36.4,7.2,20.642,19.286,75.698,5.174
2012-09-09,37.7,7.5,21.378,17.571,73.616,5.859
2012-09-16,38.9,11.2,22.447,54.971,74.45,5.595
2012-09-23,41.1,9.0,22.904,25.486,75.358,5.422
2012-09-30,37.7,7.4,22.208,59.029,76.809,5.17
2012-10-07,38.1,11.9,23.409,40.229,74.146,5.436
2012-10-14,36.2,10.6,23.555,24.2,74.266,5.778
2012-10-21,38.2,12.3,23.213,52.371,76.508,5.41
2012-10-28,36.9,15.1,23.589,62.057,77.143,5.143
2012-11-04,37.3,8.8,23.217,76.143,78.682,5.644
2012-11-11,40.0,13.2,23.315,71.429,79.487,4.9
2012-11-18,40.5,14.0,23.166,102.629,79.804,4.966
