data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,37.5,22.7,28.512,0.4,66.538,8.089
2010-01-10,38.0,22.0,28.33,15.486,66.514,7.744
2010-01-17,38.4,22.5,28.443,9.914,65.738,7.701
2010-01-24,38.2,22.5,28.404,21.057,67.387,7.729
2010-01-31,38.8,21.2,28.458,17.257,65.326,7.519
2010-02-07,38.4,21.6,28.738,13.257,64.495,7.979
2010-02-14,38.4,22.7,28.648,8.943,67.244,7.692
2010-02-21,37.2,22.1,27.854,15.114,72.668,6.863
2010-02-28,38.8,20.9,28.271,9.543,67.764,7.424
2010-03-07,38.8,22.9,28.364,12.371,69.632,7.229
2010-03-14,39.1,23.1,28.579,10.371,69.61,6.904
2010-03-21,38.1,22.1,28.601,24.971,70.62,6.641
2010-03-28,37.5,21.9,28.399,23.943,70.957,6.742
2010-04-04,37.5,22.5,28.306,15.714,72.301,6.268
2010-04-11,37.9,22.2,28.262,15.771,73.507,6.21
2010-04-18,38.3,22.8,28.814,7.686,71.636,6.492
2010-04-25,37.1,22.4,28.142,30.514,75.621,6.225
2010-05-02,35.0,21.7,27.742,26.514,76.107,6.196
2010-05-09,35.5,20.8,27.828,13.029,71.15,6.002
2010-05-16,35.2,22.1,27.862,15.829,71.753,5.757
2010-05-23,34.9,20.5,27.782,9.629,73.015,5.46
2010-05-30,35.9,20.7,27.419,11.971,70.611,6.041
2010-06-06,35.9,19.9,27.178,13.743,70.465,6.16
2010-06-13,35.1,20.3,27.321,7.086,68.931,6.937
2010-06-20,35.2,20.2,26.788,6.257,70.628,6.481
2010-06-27,34.5,20.0,26.636,15.457,68.27,6.907
2010-07-04,35.7,20.0,26.761,21.057,68.58,6.718
2010-07-11,35.1,18.9,26.395,27.914,66.603,7.733
2010-07-18,34.5,18.6,26.441,7.857,65.89,7.634
2010-07-25,34.5,18.2,26.478,7.457,65.134,7.649
2010-08-01,35.7,18.7,26.505,9.8,63.972,8.131
2010-08-08,35.6,19.6,26.826,0.743,63.467,8.257
2010-08-15,35.6,19.7,26.96,0.029,61.197,8.236
2010-08-22,36.2,18.6,27.02,6.514,61.117,8.225
2010-08-29,37.0,19.4,27.248,1.571,60.766,8.311
2010-09-05,36.7,19.2,27.29,7.914,61.325,8.6
2010-09-12,36.9,18.7,27.262,7.143,62.569,8.363
2010-09-19,37.9,20.3,27.467,10.343,61.452,8.839
2010-09-26,38.8,20.7,27.689,3.714,61.324,8.661
2010-10-03,37.8,21.0,27.709,5.714,62.863,8.587
2010-10-10,38.7,21.9,28.066,5.314,61.299,8.57
2010-10-17,37.8,22.1,28.015,3.314,61.34,8.753
2010-10-24,38.6,21.0,28.146,6.971,64.703,8.722
2010-10-31,38.3,21.3,28.201,14.086,63.519,8.795
2010-11-07,38.4,22.0,28.034,10.6,66.259,7.981
2010-11-14,37.8,21.9,28.221,6.8,64.103,8.193
2010-11-21,37.5,21.7,28.061,29.971,63.623,8.216
2010-11-28,37.6,22.6,28.389,19.086,66.126,8.078
2010-12-05,38.8,21.3,28.472,10.371,64.194,7.696
2010-12-12,38.0,22.9,28.474,8.0,66.047,6.901
2010-12-19,37.9,22.3,28.281,12.6,65.898,7.527
2010-12-26,38.8,21.2,27.977,10.8,68.196,7.544
2011-01-02,36.6,22.1,28.308,10.029,67.058,7.041
2011-01-09,37.6,22.2,28.323,7.4,66.511,6.938
2011-01-16,37.2,21.9,28.338,10.771,68.958,7.085
2011-01-23,39.0,21.8,28.343,9.914,71.645,7.058
2011-01-30,38.6,21.8,28.522,7.114,66.254,7.741
2011-02-06,37.7,21.5,28.525,7.029,72.138,7.509
2011-02-13,37.8,20.4,28.367,5.829,71.447,7.386
2011-02-20,36.9,21.3,27.842,52.171,73.145,6.905
2011-02-27,37.5,22.0,28.252,20.629,69.615,7.14
2011-03-06,38.0,22.0,28.176,25.143,71.76,6.558
2011-03-13,35.8,21.3,27.886,27.886,72.862,6.624
2011-03-20,36.0,21.5,28.001,13.457,72.856,7.085
2011-03-27,35.5,21.7,27.695,28.171,73.956,6.105
2011-04-03,36.2,20.9,27.854,28.086,76.593,6.355
2011-04-10,36.0,21.3,27.919,18.371,74.726,6.071
2011-04-17,36.4,21.9,27.821,6.514,79.36,6.372
2011-04-24,35.7,21.6,27.576,13.943,76.289,6.556
2011-05-01,36.7,21.5,27.861,7.314,73.828,6.879
2011-05-08,36.0,21.5,27.706,2.029,78.427,6.783
2011-05-15,35.4,21.5,27.876,0.657,76.853,6.906
2011-05-22,37.9,21.7,27.823,0.029,72.581,6.793
2011-05-29,37.9,21.1,28.151,5.543,69.207,7.574
2011-06-05,37.5,20.0,27.442,1.771,69.593,6.893
2011-06-12,36.3,19.2,27.459,1.371,68.57,6.989
2011-06-19,37.0,19.7,27.028,1.657,68.436,7.092
2011-06-26,38.0,20.0,27.178,4.314,67.018,7.549
2011-07-03,37.7,18.7,26.99,2.086,66.668,7.27
2011-07-10,37.6,19.5,27.174,15.429,65.368,7.799
2011-07-17,38.1,20.0,26.948,16.657,65.171,7.745
2011-07-24,37.7,19.5,26.906,2.514,64.256,8.009
2011-07-31,36.3,19.0,26.419,9.486,69.121,7.494
2011-08-07,35.9,18.9,26.776,3.257,67.183,8.033
2011-08-14,36.2,19.5,26.929,3.229,64.65,7.922
2011-08-21,36.9,20.4,27.128,0.771,62.315,8.312
2011-08-28,37.5,19.4,26.994,6.857,68.335,8.821
2011-09-04,37.2,20.5,27.222,0.714,65.1,8.55
2011-09-11,37.1,19.7,26.571,17.286,69.772,8.213
2011-09-18,36.9,20.4,27.215,6.457,65.673,8.791
2011-09-25,37.2,21.3,27.415,5.6,67.106,9.082
2011-10-02,37.6,21.2,27.338,7.429,65.183,9.005
2011-10-09,36.8,21.3,27.173,9.343,69.889,8.296
2011-10-16,37.1,20.9,27.52,23.114,69.734,8.869
2011-10-23,37.5,20.9,27.529,5.0,70.262,7.975
2011-10-30,37.8,21.2,27.478,5.514,70.975,7.97
2011-11-06,36.9,21.5,27.706,0.114,69.885,8.191
2011-11-13,38.6,20.8,27.956,5.571,70.211,8.475
2011-11-20,38.5,22.0,27.839,8.257,71.433,8.001
2011-11-27,37.7,21.2,27.689,8.429,72.48,8.061
2011-12-04,37.6,20.9,27.715,8.314,73.063,7.989
2011-12-11,37.2,20.7,27.696,7.343,73.345,7.113
2011-12-18,36.8,21.8,27.891,22.971,71.636,7.849
