data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,34.1,18.4,24.427,32.4,84.667,4.072
2010-01-10,35.6,19.9,25.013,78.657,83.17,3.925
2010-01-17,33.9,20.4,25.076,58.829,82.788,3.914
2010-01-24,33.7,19.8,25.038,83.286,81.87,3.974
2010-01-31,33.6,19.2,25.118,56.314,82.298,4.169
2010-02-07,34.3,20.6,25.288,76.114,81.962,3.806
2010-02-14,33.4,20.2,25.208,69.886,82.89,3.862
2010-02-21,33.2,19.9,25.163,88.543,83.222,3.9
2010-02-28,34.0,19.6,24.935,95.229,84.045,3.703
2010-03-07,34.0,20.6,25.477,83.771,81.783,3.905
2010-03-14,34.4,19.6,25.289,65.8,82.659,3.852
2010-03-21,34.5,19.6,25.383,116.571,82.578,3.695
2010-03-28,34.1,19.9,25.355,90.143,82.945,3.712
2010-04-04,34.4,20.5,25.516,68.686,82.715,3.624
2010-04-11,35.0,20.3,25.744,55.571,79.931,3.638
2010-04-18,34.4,17.4,25.894,35.286,79.88,3.764
2010-04-25,35.2,18.5,26.186,24.686,78.563,3.545
2010-05-02,33.7,14.4,25.809,29.629,78.266,4.206
2010-05-09,34.2,15.2,25.348,23.8,77.943,3.856
2010-05-16,33.9,15.3,25.115,16.0,74.364,3.943
2010-05-23,34.4,15.2,25.939,3.886,76.141,3.692
2010-05-30,34.7,11.0,25.031,18.4,75.144,3.986
2010-06-06,34.5,17.7,25.652,8.057,73.341,3.403
2010-06-13,35.0,12.4,24.963,1.543,74.482,4.011
2010-06-20,34.6,14.6,25.549,3.714,69.1,4.061
2010-06-27,35.1,9.6,25.487,1.971,67.13,4.203
2010-07-04,35.1,12.4,24.982,0.543,65.742,4.304
2010-07-11,35.4,11.9,25.197,1.257,63.817,3.991
2010-07-18,35.9,13.1,25.582,0.143,62.409,4.02
2010-07-25,36.3,13.7,25.596,1.371,59.041,4.062
2010-08-01,37.2,15.5,26.468,0.0,53.779,4.372
2010-08-08,36.7,10.6,26.024,2.257,48.912,4.627
2010-08-15,37.3,16.8,27.522,0.286,49.764,4.097
2010-08-22,37.9,9.2,26.67,6.857,55.858,4.966
2010-08-29,38.1,8.1,26.647,2.029,52.399,4.483
2010-09-05,39.0,11.4,26.489,13.029,61.586,4.422
2010-09-12,39.3,11.9,27.848,1.457,55.006,4.401
