data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-08-29,35.1,23.2,29.137,1.35,68.206,4.737
2010-09-05,35.5,21.4,28.838,2.486,68.018,4.229
2010-09-12,34.6,21.6,27.052,10.171,75.476,3.768
2010-09-19,36.2,22.5,28.813,2.686,68.786,3.856
2010-09-26,35.9,22.7,27.77,4.943,73.857,3.936
2010-10-03,35.9,23.0,28.276,0.171,71.363,4.239
2010-10-10,36.7,23.5,30.055,0.0,62.077,4.158
2010-10-17,37.0,23.7,29.621,0.0,62.548,4.73
2010-10-24,35.8,22.8,28.457,2.114,70.643,4.504
2010-10-31,35.9,22.6,27.279,4.229,77.107,3.768
2010-11-07,36.3,23.6,27.912,1.914,75.196,3.73
2010-11-14,35.1,22.6,27.442,5.914,75.911,3.895
2010-11-21,34.4,22.2,27.086,4.857,76.81,4.263
2010-11-28,35.0,21.8,27.023,9.286,76.863,3.958
2010-12-05,34.9,22.3,27.667,1.971,74.173,4.101
2010-12-12,34.9,23.0,28.049,0.486,71.839,4.585
2010-12-19,34.6,21.9,26.764,4.086,76.548,4.546
2010-12-26,34.6,22.5,26.615,7.4,78.024,4.233
2011-01-02,34.0,21.9,27.349,0.371,68.917,5.429
2011-01-09,33.4,22.5,26.385,4.314,78.226,4.823
2011-01-16,33.1,23.0,27.364,0.029,66.464,6.838
2011-01-23,34.0,21.4,27.475,0.029,60.095,6.255
2011-01-30,34.5,23.0,27.82,0.114,60.744,6.318
2011-02-06,36.0,23.4,27.968,0.171,63.935,5.953
2011-02-13,35.3,24.0,28.521,0.0,62.423,6.435
2011-02-20,35.5,23.1,27.816,4.486,68.327,5.278
2011-02-27,35.5,23.0,27.816,4.6,68.315,5.583
2011-03-06,35.2,22.2,27.971,5.029,63.143,6.055
2011-03-13,33.9,21.5,25.786,10.486,79.412,4.264
2011-03-20,33.4,22.4,26.846,5.686,72.917,5.282
2011-03-27,33.2,22.6,27.159,2.657,71.976,5.333
2011-04-03,33.7,23.2,27.617,0.0,67.241,6.168
2011-04-10,35.1,22.8,27.835,0.0,64.613,6.038
2011-04-17,35.1,20.8,27.777,1.886,69.655,4.866
2011-04-24,34.4,22.1,27.134,1.343,74.452,4.607
2011-05-01,35.9,22.9,28.877,0.714,67.101,4.384
2011-05-08,34.0,21.9,26.251,13.2,83.351,3.601
2011-05-15,33.4,22.6,26.145,22.714,83.714,3.59
2011-05-22,32.8,22.0,25.615,2.229,83.28,3.368
2011-05-29,32.5,21.5,25.115,37.286,86.607,2.899
2011-06-05,32.2,22.4,24.913,32.114,88.071,2.969
2011-06-12,33.5,22.9,26.37,9.8,83.286,3.549
2011-06-19,33.2,22.2,26.213,15.171,81.744,3.661
2011-06-26,32.9,22.4,26.692,11.086,80.714,3.955
2011-07-03,33.4,21.8,26.134,13.629,80.667,3.546
2011-07-10,33.3,22.4,26.115,3.714,81.685,3.517
2011-07-17,33.3,22.0,26.096,2.486,81.202,3.396
2011-07-24,34.5,21.6,26.635,8.2,79.827,3.82
2011-07-31,33.3,21.7,25.779,24.429,82.845,3.778
2011-08-07,34.9,22.3,27.027,1.171,76.702,3.806
2011-08-14,34.2,21.7,26.912,0.257,77.22,4.003
2011-08-21,36.1,20.8,27.23,10.457,76.476,3.771
2011-08-28,34.7,21.3,25.869,5.771,81.226,3.726
2011-09-04,36.0,22.1,28.46,0.0,67.137,3.851
2011-09-11,35.1,22.9,27.91,4.343,73.762,3.907
2011-09-18,35.1,21.1,27.533,2.971,74.06,3.839
2011-09-25,35.7,22.7,27.376,1.543,74.964,3.717
2011-10-02,36.2,22.2,28.143,1.629,70.655,4.603
2011-10-09,36.4,22.7,28.429,0.457,68.798,4.897
2011-10-16,36.3,22.8,28.09,0.571,71.756,4.639
2011-10-23,35.5,21.5,27.268,9.029,73.714,4.583
2011-10-30,34.8,22.0,27.016,5.029,75.387,4.205
2011-11-06,34.5,21.9,26.699,3.686,77.536,4.02
2011-11-13,35.5,23.1,28.362,0.857,70.994,4.603
2011-11-20,34.9,23.0,27.465,0.886,74.286,4.051
2011-11-27,35.9,22.8,28.23,2.0,71.631,4.405
2011-12-04,36.4,22.0,27.72,11.771,73.494,4.232
2011-12-11,34.7,21.5,28.182,0.029,68.702,4.51
2011-12-18,35.4,24.4,28.789,0.0,65.643,5.52
2011-12-25,35.2,21.8,27.542,1.257,69.429,5.629
2012-01-01,34.5,22.4,27.816,0.2,64.851,6.511
2012-01-08,35.6,23.5,28.035,0.057,65.768,6.02
2012-01-15,34.9,22.3,27.897,0.029,64.494,6.648
2012-01-22,35.5,21.8,27.85,0.171,61.851,6.176
2012-01-29,35.7,22.5,27.876,2.143,65.03,6.311
2012-02-05,34.8,23.1,27.774,0.286,65.714,7.012
2012-02-12,35.7,21.4,27.648,0.029,64.875,6.19
2012-02-19,35.1,21.7,27.517,0.743,63.738,5.881
2012-02-26,35.1,22.2,27.418,1.257,64.429,7.054
2012-03-04,35.3,21.6,27.249,3.143,66.077,6.663
2012-03-11,34.5,22.9,27.78,0.257,62.125,6.888
2012-03-18,35.8,23.4,28.46,0.029,58.845,6.715
2012-03-25,36.3,22.9,27.949,3.857,68.03,5.029
2012-04-01,35.6,23.2,27.818,0.857,68.19,5.487
2012-04-08,37.1,22.0,26.639,16.2,76.94,4.693
