data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,39.6,12.6,23.749,99.8,72.726,6.979
2010-01-10,38.9,12.2,23.983,202.686,72.585,6.424
2010-01-17,41.8,10.7,24.3,220.829,73.837,6.332
2010-01-24,42.1,10.3,24.02,187.771,74.039,6.312
2010-01-31,42.2,6.8,24.226,130.943,73.233,6.117
2010-02-07,40.9,10.9,24.811,81.514,71.489,6.287
2010-02-14,39.0,10.1,24.086,149.171,72.504,6.044
2010-02-21,38.0,9.4,23.647,158.171,73.834,6.406
2010-02-28,42.9,8.6,23.085,152.286,75.09,5.648
2010-03-07,40.0,11.0,22.795,95.457,73.006,5.818
2010-03-14,38.7,8.5,22.459,118.257,74.894,5.665
2010-03-21,40.4,5.1,21.816,118.571,74.326,5.905
2010-03-28,34.6,7.9,20.837,168.114,76.25,5.942
2010-04-04,35.0,3.4,21.038,56.343,76.439,5.611
2010-04-11,33.7,6.5,20.094,114.457,75.483,5.458
2010-04-18,33.8,5.7,19.657,99.886,76.646,5.629
2010-04-25,36.1,6.3,19.587,109.629,76.313,5.234
2010-05-02,36.1,0.7,18.014,136.543,76.849,5.475
2010-05-09,38.7,1.5,17.065,120.143,79.881,5.089
2010-05-16,31.5,3.3,16.493,133.886,81.392,5.424
2010-05-23,34.3,1.8,16.028,131.8,80.78,5.415
2010-05-30,33.4,0.1,15.809,191.629,83.505,5.35
2010-06-06,29.3,-1.1,14.067,113.343,81.729,5.042
2010-06-13,30.6,-3.1,13.978,135.0,81.888,4.888
2010-06-20,33.0,-2.4,15.021,94.714,79.483,5.242
2010-06-27,30.7,-4.4,14.417,122.886,82.353,5.578
2010-07-04,30.3,-2.5,13.913,126.343,81.406,5.654
2010-07-11,31.1,-3.0,13.49,122.457,79.449,5.718
2010-07-18,30.5,-1.8,13.588,162.229,80.451,5.613
2010-07-25,30.5,-4.0,13.761,205.286,78.83,5.651
2010-08-01,30.3,-3.0,13.674,108.371,78.979,5.428
2010-08-08,33.3,-0.6,14.629,95.943,77.159,5.853
2010-08-15,33.0,0.3,14.768,69.943,77.549,6.035
2010-08-22,32.3,-0.9,14.998,58.343,74.261,5.943
2010-08-29,33.0,-2.5,15.244,83.114,73.063,6.223
2010-09-05,32.6,-2.8,15.609,140.943,75.191,6.26
2010-09-12,36.6,2.5,16.057,88.857,76.586,6.258
2010-09-19,35.7,2.4,16.303,212.257,77.243,6.398
2010-09-26,35.6,-1.1,16.007,165.371,75.109,6.035
2010-10-03,36.9,-0.4,17.116,145.8,74.111,6.552
2010-10-10,34.2,-1.8,17.122,212.571,75.831,6.607
2010-10-17,38.2,3.4,18.017,191.229,75.313,6.427
2010-10-24,35.9,4.2,18.778,157.429,72.969,6.654
2010-10-31,37.1,1.5,19.007,171.686,73.243,6.55
2010-11-07,33.9,4.7,19.364,151.943,70.513,6.723
2010-11-14,36.1,2.1,20.648,96.371,70.278,6.68
2010-11-21,37.2,2.8,20.473,59.314,67.243,6.139
2010-11-28,38.7,1.5,21.213,107.171,69.132,6.446
2010-12-05,36.7,1.7,21.806,81.457,68.436,6.279
2010-12-12,40.0,6.6,22.943,76.371,64.853,6.222
2010-12-19,37.6,7.4,22.62,105.057,66.904,6.355
2010-12-26,38.8,6.1,23.205,193.343,70.64,6.502
2011-01-02,40.3,10.4,24.135,132.171,72.375,6.194
2011-01-09,38.7,7.8,23.493,158.914,73.392,6.376
2011-01-16,38.3,10.5,23.842,183.4,74.51,5.968
2011-01-23,38.7,7.7,23.799,135.771,73.349,6.162
2011-01-30,39.4,7.3,23.828,126.629,73.304,6.087
2011-02-06,38.8,9.2,24.328,184.6,74.224,5.876
2011-02-13,40.1,9.2,23.381,138.714,75.322,5.901
2011-02-20,39.7,7.8,23.571,159.114,74.82,5.922
2011-02-27,36.9,9.2,23.363,129.971,77.149,5.453
2011-03-06,37.2,7.5,22.631,121.857,73.736,5.649
2011-03-13,37.3,8.0,22.692,106.914,74.809,5.355
2011-03-20,38.4,7.7,21.857,109.714,74.838,5.553
2011-03-27,35.6,7.6,20.93,161.343,76.41,5.678
2011-04-03,34.3,5.8,20.936,112.486,76.13,5.471
2011-04-10,34.9,7.0,20.869,141.371,74.299,5.497
2011-04-17,34.5,6.4,19.519,185.743,77.138,5.656
2011-04-24,34.4,5.9,19.425,120.486,76.705,5.14
2011-05-01,33.9,2.8,17.757,133.857,75.159,5.202
2011-05-08,33.7,2.1,17.277,100.314,78.422,4.783
2011-05-15,39.6,2.9,16.417,146.886,79.827,5.226
2011-05-22,38.0,1.0,15.666,119.714,80.5,5.185
2011-05-29,36.7,1.4,15.401,177.314,83.209,5.174
2011-06-05,31.0,0.8,14.113,153.314,81.324,4.938
2011-06-12,33.4,-3.8,13.478,147.143,81.553,5.084
2011-06-19,32.9,-2.7,14.596,68.657,78.393,5.242
2011-06-26,34.1,-1.5,14.375,128.4,82.477,5.544
2011-07-03,34.0,-1.1,13.929,135.571,82.127,5.532
2011-07-10,30.1,-5.0,13.136,96.257,77.894,5.438
2011-07-17,33.4,-1.8,14.237,156.543,79.162,5.41
2011-07-24,33.2,-2.8,12.734,134.029,78.632,5.129
2011-07-31,31.4,-1.9,13.394,128.571,77.851,5.287
2011-08-07,34.5,-1.6,14.517,107.543,77.831,5.491
2011-08-14,33.9,-0.5,15.21,124.457,77.697,6.097
2011-08-21,35.6,-2.8,14.789,89.086,76.401,5.902
2011-08-28,32.8,-2.7,14.577,151.771,74.322,6.132
2011-09-04,34.5,0.4,15.801,133.543,76.44,5.785
2011-09-11,34.7,0.7,15.876,188.571,79.194,6.472
2011-09-18,35.5,0.3,16.617,184.143,76.187,6.144
2011-09-25,32.5,0.0,15.663,174.829,77.591,5.931
2011-10-02,36.7,1.9,16.889,128.057,75.949,5.856
2011-10-09,37.1,2.6,16.819,178.857,77.139,6.687
2011-10-16,37.6,-0.8,17.599,189.857,78.102,6.518
2011-10-23,36.0,3.2,18.471,191.457,75.217,6.325
2011-10-30,36.8,3.4,19.195,173.0,73.42,6.322
2011-11-06,36.0,3.3,19.239,117.8,72.93,6.61
