data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,39.7,6.5,21.045,141.6,80.899,6.026
2010-01-10,36.1,6.0,21.567,117.257,81.99,6.023
2010-01-17,38.4,6.1,21.7,130.857,80.647,5.652
2010-01-24,34.4,8.0,21.524,159.657,80.879,5.513
2010-01-31,37.5,6.8,21.742,95.257,80.454,5.592
2010-02-07,35.9,5.7,22.121,97.4,80.012,5.678
2010-02-14,36.2,3.1,21.076,107.657,81.145,5.544
2010-02-21,36.1,3.8,20.803,131.457,81.387,5.514
2010-02-28,38.3,4.5,20.768,114.029,81.916,5.277
2010-03-07,35.8,7.3,20.734,92.943,79.979,5.244
2010-03-14,36.8,2.4,20.403,59.286,80.143,5.127
2010-03-21,37.0,3.5,20.072,77.886,81.315,5.013
2010-03-28,34.0,2.9,18.929,129.2,82.725,5.302
2010-04-04,32.0,-0.8,18.712,52.171,81.542,4.961
2010-04-11,32.3,-1.6,17.747,38.914,79.652,5.095
2010-04-18,31.1,2.1,18.237,59.4,80.814,5.112
2010-04-25,30.3,1.9,18.024,72.371,80.595,5.372
2010-05-02,28.4,1.8,16.693,69.0,80.443,5.054
2010-05-09,31.7,-3.5,15.773,68.429,80.658,5.047
2010-05-16,27.4,-2.2,14.906,78.743,81.826,5.351
2010-05-23,31.6,-2.9,14.97,114.057,82.688,5.389
2010-05-30,29.9,-1.4,14.863,113.486,83.672,6.038
2010-06-06,30.6,-3.4,13.219,100.086,82.584,5.349
2010-06-13,32.1,-3.0,13.547,48.429,80.181,5.918
2010-06-20,29.3,-1.1,14.514,87.314,80.19,5.747
2010-06-27,29.7,-3.2,14.701,95.771,82.691,6.054
2010-07-04,29.6,-5.8,14.047,90.057,80.537,6.184
2010-07-11,29.8,-3.8,13.846,73.829,76.356,5.947
2010-07-18,29.4,-1.0,14.513,124.143,78.891,6.524
2010-07-25,31.8,-7.8,14.189,98.686,80.428,6.32
2010-08-01,31.9,-1.7,14.665,68.886,77.858,5.878
2010-08-08,35.0,-3.3,15.023,63.543,72.695,6.509
2010-08-15,34.5,-2.3,15.598,76.2,75.978,6.475
2010-08-22,32.7,-6.4,14.746,79.0,78.096,6.522
2010-08-29,31.9,-2.7,15.584,73.286,73.017,6.473
2010-09-05,33.3,-2.1,15.838,96.086,74.574,6.192
2010-09-12,34.2,1.0,16.069,78.229,74.903,5.662
2010-09-19,36.4,-2.0,16.588,71.771,75.228,6.506
2010-09-26,34.4,-2.2,16.162,105.2,76.914,6.572
2010-10-03,34.3,-0.8,16.98,95.8,75.398,6.015
2010-10-10,30.6,-0.1,16.477,84.8,78.412,6.687
2010-10-17,35.0,0.5,17.32,110.743,80.642,6.271
2010-10-24,33.2,4.2,17.746,70.229,78.061,6.259
2010-10-31,34.5,0.5,18.07,105.657,77.36,6.378
2010-11-07,33.9,-1.2,17.267,72.8,78.453,6.256
2010-11-14,35.8,3.0,18.97,75.571,77.428,6.452
2010-11-21,34.6,0.0,18.379,40.371,74.3,6.204
2010-11-28,32.2,1.9,19.258,139.457,78.923,6.232
2010-12-05,35.7,4.0,19.384,132.143,79.935,6.337
2010-12-12,37.5,1.8,20.173,80.543,76.607,5.628
2010-12-19,38.2,5.1,19.831,107.857,78.03,5.818
2010-12-26,38.7,1.1,20.366,81.514,80.575,5.575
2011-01-02,38.2,7.0,21.219,97.4,80.501,5.589
2011-01-09,36.8,5.4,21.309,73.943,80.22,5.797
2011-01-16,35.7,6.7,21.787,90.257,79.288,5.67
2011-01-23,34.2,6.1,21.467,105.971,77.179,5.21
2011-01-30,38.1,8.7,21.547,60.086,77.942,5.346
2011-02-06,34.9,3.1,21.312,136.971,78.549,5.294
2011-02-13,35.8,7.5,21.473,87.029,78.646,5.203
2011-02-20,34.5,7.5,21.377,93.8,80.887,5.867
2011-02-27,35.5,5.7,20.861,110.286,79.932,5.436
2011-03-06,33.2,3.2,19.935,93.429,79.271,5.371
2011-03-13,32.6,-0.8,20.458,87.543,78.405,4.948
2011-03-20,34.8,0.9,20.208,67.486,78.492,5.195
2011-03-27,31.9,1.5,19.281,98.086,80.343,4.957
2011-04-03,33.6,1.4,18.91,72.429,80.532,5.091
2011-04-10,35.9,3.5,19.054,73.971,78.612,4.872
2011-04-17,37.2,-1.0,18.406,41.629,78.691,5.044
2011-04-24,36.0,1.8,18.787,87.314,79.435,4.931
2011-05-01,35.4,1.5,16.773,84.514,81.231,4.966
2011-05-08,32.2,-2.0,16.522,90.771,79.125,4.827
2011-05-15,33.7,1.6,15.7,77.429,83.176,5.053
2011-05-22,33.1,-0.8,14.878,88.286,81.287,4.717
2011-05-29,29.5,-3.1,15.244,75.429,81.165,4.663
2011-06-05,32.3,-3.1,14.793,82.543,82.334,4.386
2011-06-12,32.4,-3.3,13.349,57.371,80.129,4.501
2011-06-19,33.2,-1.0,15.536,35.429,76.963,4.704
2011-06-26,33.0,2.0,15.308,105.257,82.192,5.147
2011-07-03,31.0,-4.1,15.317,49.343,78.009,5.225
2011-07-10,30.8,-1.9,13.996,23.029,76.405,5.477
2011-07-17,30.1,-2.5,14.919,60.114,77.889,5.684
2011-07-24,31.3,-2.7,13.518,94.171,77.515,5.425
2011-07-31,31.3,-5.3,14.815,69.771,77.534,5.907
2011-08-07,30.3,-1.4,14.235,36.943,76.158,6.126
2011-08-14,33.5,1.1,16.2,60.857,77.054,5.667
2011-08-21,28.9,1.1,15.66,62.686,76.693,6.11
2011-08-28,33.2,0.9,15.534,57.457,72.707,5.611
2011-09-04,31.1,4.2,16.838,59.6,74.594,5.412
2011-09-11,33.0,3.3,17.171,96.743,73.223,5.66
2011-09-18,34.1,4.1,18.071,61.8,72.507,5.927
2011-09-25,32.0,0.0,16.336,96.971,75.317,6.351
2011-10-02,33.3,-3.1,17.117,67.4,74.6,5.816
2011-10-09,31.2,1.7,17.114,93.914,77.954,5.642
2011-10-16,33.7,-5.3,18.355,115.2,76.488,5.582
2011-10-23,36.7,-7.7,18.501,87.286,76.041,5.452
2011-10-30,32.0,-4.7,18.964,87.714,73.746,5.532
2011-11-06,33.8,-5.3,18.996,110.686,73.165,5.531
2011-11-13,34.2,-6.2,19.768,70.171,74.939,5.153
2011-11-20,34.3,-6.2,18.786,78.0,72.552,5.192
2011-11-27,33.4,-5.3,20.351,75.4,73.706,5.228
2011-12-04,35.2,-5.3,20.597,105.029,75.688,5.523
2011-12-11,33.4,-7.1,20.601,131.571,75.873,5.132
2011-12-18,35.4,7.3,20.914,111.514,76.387,5.378
2011-12-25,36.5,1.2,21.195,136.371,78.784,5.227
2012-01-01,38.8,8.7,22.263,98.457,77.976,5.359
2012-01-08,37.3,8.4,21.666,117.086,78.244,5.614
2012-01-15,35.1,8.1,22.029,137.943,79.523,5.414
2012-01-22,34.8,9.5,21.614,130.657,80.094,5.426
2012-01-29,37.3,7.0,21.213,123.0,79.638,5.457
2012-02-05,38.3,5.6,22.009,102.286,77.712,5.5
2012-02-12,40.5,9.2,21.563,87.629,77.708,5.378
2012-02-19,38.1,2.5,21.39,131.743,79.562,5.171
2012-02-26,34.9,2.5,21.524,99.543,77.896,4.915
2012-03-04,36.0,6.5,21.086,99.4,78.914,5.088
2012-03-11,33.3,8.0,21.383,84.6,77.829,4.696
2012-03-18,35.7,-0.2,20.762,80.743,76.064,4.778
2012-03-25,31.6,1.6,19.629,84.8,80.589,4.959
2012-04-01,33.2,4.0,19.239,64.086,79.141,4.5
2012-04-08,33.3,0.6,19.346,71.657,78.57,4.547
2012-04-15,34.8,2.3,19.01,45.686,78.55,4.755
2012-04-22,31.8,0.1,18.336,54.771,78.88,4.498
2012-04-29,32.9,-1.3,17.228,100.086,79.308,4.534
2012-05-06,30.8,2.5,17.009,77.714,79.759,4.034
2012-05-13,31.2,-2.0,16.092,75.257,80.085,4.677
2012-05-20,30.1,-0.8,15.222,93.429,82.702,4.714
2012-05-27,32.6,0.8,15.415,105.771,82.09,4.877
2012-06-03,31.0,-4.2,14.618,116.2,80.375,4.747
2012-06-10,30.7,-1.6,13.882,102.314,81.88,5.109
2012-06-17,29.9,-3.9,14.151,52.943,79.398,5.082
2012-06-24,32.1,-4.5,14.165,104.571,82.845,5.756
2012-07-01,30.5,0.9,14.61,67.8,82.125,5.634
2012-07-08,32.1,-1.2,14.251,32.029,77.234,5.268
2012-07-15,32.1,-3.4,14.822,30.371,77.264,5.767
2012-07-22,29.7,-2.4,13.857,80.514,77.077,5.842
2012-07-29,27.5,-3.8,15.078,65.229,75.542,5.713
2012-08-05,31.4,-1.0,14.35,52.771,76.183,5.229
2012-08-12,30.8,0.6,15.979,31.029,74.712,5.662
2012-08-19,31.1,-3.7,15.49,65.257,76.974,5.974
2012-08-26,31.2,-2.7,15.784,67.286,75.297,6.356
2012-09-02,32.3,-3.5,16.502,47.057,72.12,5.764
2012-09-09,35.2,-2.5,16.916,48.171,74.365,5.847
2012-09-16,36.0,-2.6,17.837,34.457,70.569,6.019
2012-09-23,35.0,-1.1,16.851,88.314,75.672,6.287
2012-09-30,33.1,-0.4,16.817,44.971,74.389,5.776
2012-10-07,36.9,1.5,17.247,104.6,78.302,5.947
2012-10-14,36.9,2.0,18.117,102.371,78.394,5.878
2012-10-21,33.0,3.4,18.302,70.371,77.666,5.704
2012-10-28,31.9,2.3,18.448,89.6,76.801,5.556
2012-11-04,34.4,-0.3,18.839,97.886,75.19,5.585
2012-11-11,32.7,0.1,19.135,66.114,75.167,5.397
2012-11-18,36.0,3.4,19.569,99.343,73.56,5.604
2012-11-25,33.6,4.5,19.682,69.4,75.036,5.23
2012-12-02,33.5,3.6,20.244,89.943,77.321,5.31
2012-12-09,38.7,3.2,20.519,88.029,76.179,5.108
2012-12-16,36.8,5.2,21.265,98.343,75.262,5.061
2012-12-23,39.0,7.4,21.43,113.543,77.313,5.443
2012-12-30,38.1,9.7,22.135,94.057,77.989,5.156
2013-01-06,36.0,10.2,22.058,72.171,78.875,5.805
2013-01-13,37.3,11.0,22.22,101.829,78.912,5.788
2013-01-20,37.5,9.4,22.537,70.886,76.261,5.793
2013-01-27,38.8,4.7,22.38,67.714,76.442,5.779
2013-02-03,34.2,9.7,22.479,77.229,76.384,5.729
2013-02-10,35.2,12.2,22.291,65.743,76.881,5.428
2013-02-17,36.6,8.1,21.322,77.086,78.98,5.312
2013-02-24,33.8,2.8,21.661,76.486,76.547,5.3
2013-03-03,35.6,6.8,21.13,112.829,78.587,5.348
2013-03-10,34.3,6.2,20.738,93.543,78.911,5.078
2013-03-17,34.6,4.4,20.362,81.086,77.825,4.807
2013-03-24,35.5,3.4,19.656,83.829,81.259,5.128
2013-03-31,32.6,3.5,19.324,123.2,81.528,4.999
2013-04-07,32.1,3.9,18.767,56.486,79.9,4.549
2013-04-14,34.1,-0.5,18.854,75.829,80.319,4.602
2013-04-21,34.6,1.7,18.459,45.771,78.493,4.64
2013-04-28,35.0,-1.9,18.204,106.857,80.411,4.895
2013-05-05,34.0,-3.6,17.109,79.171,79.787,4.907
2013-05-12,31.3,2.2,16.474,67.114,81.055,4.51
2013-05-19,32.5,0.1,15.315,78.6,82.566,4.867
2013-05-26,31.3,-2.1,14.696,91.171,82.519,4.604
2013-06-02,33.3,1.2,14.812,81.171,82.795,5.214
2013-06-09,32.3,-1.7,14.185,73.486,82.16,4.747
2013-06-16,34.3,-4.9,14.207,63.6,78.935,5.389
2013-06-23,31.7,-3.8,14.242,90.4,81.871,4.893
2013-06-30,31.5,-4.6,15.156,101.571,83.537,5.45
2013-07-07,31.2,-2.2,15.163,52.0,77.579,5.671
2013-07-14,29.3,-2.5,15.037,46.543,77.669,5.91
2013-07-21,32.5,-5.6,14.622,82.314,78.487,6.069
2013-07-28,30.4,-0.9,14.608,61.057,77.71,5.915
2013-08-04,30.7,-1.1,14.916,66.086,77.382,5.856
2013-08-11,30.0,-1.1,15.17,94.829,77.643,5.888
2013-08-18,31.8,-2.7,15.486,51.943,75.459,6.005
2013-08-25,31.0,-5.3,16.073,92.914,72.665,5.927
2013-09-01,32.4,-1.6,16.236,50.657,71.71,5.901
2013-09-08,31.9,-1.4,16.882,96.8,75.231,6.001
2013-09-15,34.3,1.6,18.404,57.457,72.425,6.101
2013-09-22,34.6,0.8,17.19,104.086,77.223,5.892
2013-09-29,34.5,1.3,17.276,92.714,74.189,5.567
2013-10-06,36.8,2.4,17.493,121.429,79.798,5.898
2013-10-13,33.5,2.7,18.593,141.257,77.813,5.732
2013-10-20,33.4,7.5,18.882,152.886,79.352,5.908
2013-10-27,32.3,5.0,19.046,116.829,76.855,5.889
2013-11-03,33.6,0.1,18.849,107.714,74.564,6.236
2013-11-10,34.4,0.0,19.226,69.143,74.582,5.32
2013-11-17,34.5,1.0,20.019,64.229,73.616,5.486
2013-11-24,34.0,1.8,20.222,79.314,74.151,5.553
2013-12-01,35.2,0.3,20.209,131.4,77.937,5.508
2013-12-08,32.6,0.0,20.181,129.514,75.977,5.643
2013-12-15,37.4,0.8,21.164,97.543,74.626,5.57
2013-12-22,37.6,2.3,21.099,168.171,78.558,5.591
2013-12-29,34.1,7.4,21.885,93.943,74.973,5.455
2014-01-05,36.8,8.0,21.677,119.714,77.579,5.657
2014-01-12,36.5,8.9,22.404,148.857,76.73,5.682
2014-01-19,37.4,6.8,22.217,125.343,76.868,5.274
2014-01-26,36.2,7.0,21.691,107.714,78.23,5.099
2014-02-02,37.0,8.9,22.127,86.143,76.835,5.377
2014-02-09,44.3,9.3,22.385,67.029,72.011,5.478
2014-02-16,35.6,0.3,21.339,100.2,75.01,5.536
2014-02-23,40.5,10.0,21.514,57.4,75.693,5.218
2014-03-02,34.4,9.0,20.862,91.743,77.554,5.105
2014-03-09,33.4,-0.6,20.678,79.4,75.569,4.874
2014-03-16,34.2,6.5,20.145,53.171,77.229,5.108
2014-03-23,33.5,5.4,19.703,81.343,77.508,5.11
2014-03-30,32.3,4.9,19.152,126.343,79.415,4.737
2014-04-06,35.2,2.0,18.658,69.229,78.616,5.109
2014-04-13,35.6,0.5,18.106,66.029,78.825,5.006
2014-04-20,34.3,0.8,18.208,53.543,78.75,4.928
2014-04-27,34.3,-1.6,17.264,122.457,83.052,5.289
2014-05-04,29.4,-1.1,15.719,114.4,82.672,4.649
2014-05-11,32.3,0.6,15.684,88.4,83.755,4.559
2014-05-18,30.5,0.0,14.559,78.771,85.278,4.914
2014-05-25,28.6,4.3,15.654,114.714,83.938,5.372
2014-06-01,33.9,1.1,14.447,119.229,85.7,4.907
2014-06-08,31.3,1.0,14.087,106.829,81.568,4.855
2014-06-15,31.2,-2.6,14.441,51.886,78.597,5.096
2014-06-22,29.4,-3.7,14.564,86.543,82.182,5.681
2014-06-29,27.3,-1.2,14.429,115.686,82.123,5.961
2014-07-06,28.8,-1.1,14.582,50.8,79.872,5.545
2014-07-13,31.4,-1.7,14.727,36.143,73.171,5.818
2014-07-20,30.5,-7.4,13.746,66.829,75.686,6.08
2014-07-27,30.9,-1.1,14.873,62.429,76.805,6.048
2014-08-03,32.3,1.8,15.489,68.4,75.862,5.879
2014-08-10,29.2,-0.2,14.94,60.171,76.053,6.014
2014-08-17,28.5,0.3,14.775,50.086,73.88,6.307
2014-08-24,35.7,-3.8,15.419,87.114,74.479,6.237
2014-08-31,31.3,0.1,16.613,49.057,71.135,6.214
2014-09-07,30.5,2.8,16.501,54.257,75.522,6.101
2014-09-14,33.1,-1.9,17.647,53.543,73.072,6.426
2014-09-21,33.8,0.4,17.574,112.543,75.88,6.318
2014-09-28,32.4,0.9,16.749,74.257,76.744,5.677
2014-10-05,41.6,2.1,17.63,128.286,77.893,5.797
2014-10-12,39.1,4.3,18.001,122.914,77.538,5.952
2014-10-19,40.2,2.7,19.078,120.657,79.737,5.737
2014-10-26,32.8,-0.8,18.774,92.2,75.482,5.695
2014-11-02,33.3,0.4,19.217,78.743,74.932,6.245
2014-11-09,38.3,2.4,19.306,90.429,73.905,5.682
2014-11-16,33.4,0.2,19.803,79.371,73.911,6.15
2014-11-23,37.0,3.2,20.31,120.743,71.503,5.668
2014-11-30,36.2,4.0,20.448,96.229,74.518,5.564
2014-12-07,34.5,7.5,20.283,126.314,77.383,5.26
2014-12-14,36.8,5.5,21.476,126.743,75.45,5.428
2014-12-21,35.5,0.2,21.245,113.486,76.415,5.452
2014-12-28,39.6,7.3,22.202,91.229,74.456,5.408
2015-01-04,38.5,6.5,21.71,144.857,78.783,5.429
2015-01-11,36.6,7.1,22.117,128.714,78.401,5.375
2015-01-18,37.5,10.6,22.186,132.2,77.598,5.271
2015-01-25,36.8,9.4,22.04,159.743,76.858,5.236
2015-02-01,36.6,4.2,21.413,129.771,78.22,5.621
2015-02-08,34.8,3.9,21.565,60.314,76.353,5.322
2015-02-15,35.5,1.6,21.295,86.543,77.803,5.289
2015-02-22,38.1,0.9,21.494,119.8,77.789,5.158
2015-03-01,35.3,6.4,21.129,104.771,80.445,4.931
2015-03-08,35.1,-0.7,20.055,119.343,78.756,4.939
2015-03-15,37.3,1.3,20.641,81.371,77.347,4.667
2015-03-22,33.3,1.5,20.407,85.914,79.389,4.735
2015-03-29,34.4,0.5,19.328,115.771,79.994,4.862
2015-04-05,32.5,0.1,19.272,83.8,79.675,4.444
2015-04-12,32.7,1.6,18.889,77.086,79.459,4.463
2015-04-19,32.1,-3.1,18.095,94.2,81.108,4.271
2015-04-26,31.6,-3.8,18.479,69.686,81.168,4.46
2015-05-03,34.2,-1.4,16.59,93.6,80.499,4.77
2015-05-10,32.4,-0.2,16.538,54.829,79.376,4.161
2015-05-17,31.3,-0.3,16.373,76.771,82.198,4.605
2015-05-24,29.9,-0.5,15.8,118.2,81.621,4.779
2015-05-31,29.9,-3.3,14.918,134.257,84.175,4.503
2015-06-07,31.3,-0.1,14.136,126.171,83.938,4.274
2015-06-14,32.2,-5.6,14.679,82.571,80.395,4.718
2015-06-21,33.4,-0.6,15.122,68.743,80.66,4.658
2015-06-28,32.5,-0.3,15.126,151.943,83.315,5.069
2015-07-05,30.2,-0.5,14.614,67.771,80.21,4.575
2015-07-12,31.0,-0.2,14.868,69.743,80.014,5.036
2015-07-19,31.9,-4.4,15.391,129.943,81.326,5.593
2015-07-26,31.8,-2.7,15.446,94.486,78.562,5.037
2015-08-02,28.6,-0.8,15.249,56.457,78.115,5.197
2015-08-09,34.8,1.5,16.654,70.429,72.658,5.516
2015-08-16,34.4,-0.9,16.533,63.514,74.883,5.536
2015-08-23,31.9,-1.3,15.589,88.343,76.979,5.496
2015-08-30,32.6,-0.7,16.608,69.657,74.132,4.904
2015-09-06,32.9,2.8,16.835,68.257,77.116,4.987
2015-09-13,31.2,1.5,17.223,65.971,76.556,4.959
2015-09-20,32.2,0.9,17.932,91.657,75.463,5.372
2015-09-27,32.9,0.2,16.347,76.257,75.067,4.842
2015-10-04,34.7,4.1,18.208,120.4,76.417,5.375
2015-10-11,32.7,2.9,18.423,127.286,76.873,5.29
2015-10-18,33.5,5.9,18.981,116.714,78.9,5.027
2015-10-25,33.2,7.4,19.745,106.771,76.207,5.27
2015-11-01,36.0,0.4,19.148,136.543,77.946,5.369
2015-11-08,35.0,3.4,19.112,96.543,75.959,4.942
2015-11-15,33.9,3.3,20.158,114.571,77.627,5.058
2015-11-22,38.4,0.1,19.713,83.943,73.91,5.0
2015-11-29,35.2,0.0,20.634,104.629,75.771,5.073
2015-12-06,37.0,3.8,19.959,115.6,79.242,5.3
2015-12-13,35.6,1.2,20.943,86.457,78.123,5.074
2015-12-20,36.2,5.1,20.848,137.029,78.001,5.319
2015-12-27,36.1,8.4,21.654,104.686,78.443,5.206
2016-01-03,35.8,8.1,21.612,147.629,81.09,5.028
2016-01-10,34.4,6.8,21.762,199.686,79.877,5.518
2016-01-17,35.2,8.1,22.091,148.514,79.483,5.311
2016-01-24,36.4,9.4,21.562,141.743,77.361,5.317
2016-01-31,34.5,10.4,21.587,123.057,79.988,5.303
2016-02-07,38.3,6.0,21.445,138.371,79.186,5.265
2016-02-14,34.5,6.4,21.425,133.829,78.972,5.365
2016-02-21,38.7,5.0,21.147,141.143,78.925,5.456
2016-02-28,36.4,3.7,20.857,89.6,79.889,4.957
2016-03-06,35.0,0.1,20.211,121.229,79.96,4.915
2016-03-13,37.7,3.7,20.405,133.057,78.503,5.314
2016-03-20,35.5,0.8,19.673,74.914,80.521,4.91
2016-03-27,34.3,1.5,18.964,103.886,81.896,5.016
2016-04-03,32.7,0.1,18.783,74.0,80.107,4.517
2016-04-10,34.5,1.6,19.066,101.486,79.948,5.352
2016-04-17,35.0,4.7,18.416,50.829,82.644,4.862
2016-04-24,33.9,0.2,17.89,44.429,80.939,4.591
2016-05-01,33.8,-0.3,16.326,118.029,80.046,4.724
2016-05-08,34.8,0.9,16.567,67.343,82.257,4.662
2016-05-15,32.2,1.5,15.666,100.029,83.204,5.265
2016-05-22,35.3,1.3,15.219,109.686,82.646,5.046
2016-05-29,34.8,-1.2,14.805,133.971,82.247,5.002
2016-06-05,31.3,-0.6,13.786,119.114,84.911,4.863
2016-06-12,30.8,-0.5,13.125,92.114,81.268,4.936
2016-06-19,33.6,0.9,14.404,74.143,82.112,5.025
2016-06-26,32.5,-2.2,14.223,98.057,83.36,5.094
2016-07-03,31.2,-1.8,14.341,83.429,79.882,5.625
2016-07-10,30.3,-5.9,14.473,40.629,77.036,6.09
2016-07-17,29.5,-2.7,14.251,62.0,78.467,5.615
2016-07-24,31.6,-4.8,13.289,74.2,77.605,5.816
2016-07-31,31.4,-1.7,14.235,91.829,77.035,5.957
2016-08-07,31.7,-5.0,14.825,62.2,76.765,5.783
2016-08-14,31.7,-4.3,14.541,72.8,77.044,6.7
2016-08-21,36.1,-3.7,15.938,71.114,76.142,6.236
2016-08-28,33.4,-1.4,15.774,48.086,74.861,6.332
2016-09-04,31.5,2.9,16.846,78.857,76.185,5.821
2016-09-11,31.5,0.6,17.251,73.029,74.426,6.281
2016-09-18,35.5,0.1,17.902,58.143,73.468,6.658
2016-09-25,32.6,-1.0,17.141,79.086,73.456,6.25
2016-10-02,33.2,1.4,16.832,105.743,79.177,5.726
2016-10-09,34.5,-1.2,17.459,114.314,79.06,6.142
2016-10-16,34.7,-0.1,18.172,206.086,80.464,6.006
2016-10-23,34.2,-0.3,18.806,81.0,77.356,5.855
2016-10-30,35.0,2.4,19.11,104.029,75.673,6.233
2016-11-06,34.8,3.5,19.127,106.8,76.556,5.605
2016-11-13,33.7,0.9,19.424,109.257,77.108,5.621
2016-11-20,34.1,3.7,19.281,144.114,74.708,5.557
2016-11-27,33.9,2.5,20.173,104.371,77.832,5.371
2016-12-04,35.7,4.1,20.529,134.629,78.503,5.5
2016-12-11,38.6,6.3,20.989,91.686,76.28,5.293
2016-12-18,39.1,1.1,21.098,120.486,77.83,5.734
2016-12-25,42.1,2.8,21.099,136.0,78.72,5.636
2017-01-01,39.4,7.5,21.47,171.514,79.365,5.281
2017-01-08,38.2,9.3,21.688,163.257,81.96,5.201
2017-01-15,36.8,9.9,21.678,157.057,80.445,5.059
2017-01-22,38.0,5.3,21.759,168.4,79.661,5.002
2017-01-29,39.0,2.2,21.203,139.486,79.501,5.323
2017-02-05,40.2,6.0,21.446,136.714,79.707,4.606
2017-02-12,38.6,7.1,20.963,127.4,81.083,5.155
2017-02-19,35.4,1.9,20.69,103.486,81.478,5.007
2017-02-26,37.8,3.3,20.674,103.143,81.744,4.869
2017-03-05,37.0,2.8,19.987,143.514,81.559,4.704
2017-03-12,37.1,4.8,19.952,155.6,82.615,4.352
2017-03-19,34.2,3.9,19.325,106.486,81.364,4.818
2017-03-26,32.5,0.9,18.361,114.914,83.91,4.791
2017-04-02,31.8,0.1,18.119,114.029,82.83,4.192
2017-04-09,33.4,0.7,18.416,113.143,81.389,4.734
2017-04-16,31.7,-0.1,17.428,98.686,82.26,4.754
2017-04-23,31.5,0.7,17.6,67.857,80.122,4.456
2017-04-30,35.4,2.6,17.116,97.486,80.553,4.57
2017-05-07,33.4,1.9,17.025,134.6,82.49,4.682
2017-05-14,29.2,0.9,16.161,57.086,81.964,4.787
2017-05-21,29.7,-2.5,14.701,108.543,84.168,5.135
2017-05-28,29.3,-0.4,15.122,81.771,84.211,5.256
2017-06-04,33.8,-0.7,14.564,96.6,81.551,4.401
2017-06-11,34.7,-0.9,13.988,88.714,82.221,4.816
2017-06-18,31.3,-2.3,14.241,92.2,81.969,4.814
2017-06-25,30.8,0.0,14.121,126.629,84.223,5.621
2017-07-02,30.9,-5.7,14.561,107.886,82.534,5.225
2017-07-09,32.3,-6.2,14.455,77.686,78.189,5.604
2017-07-16,30.3,-1.2,15.007,67.943,78.064,5.714
2017-07-23,31.5,-0.6,14.093,118.4,80.005,5.283
2017-07-30,33.7,-0.4,14.999,74.629,79.05,5.356
2017-08-06,35.5,-5.4,14.844,74.6,76.527,5.226
2017-08-13,31.9,-0.1,15.354,129.0,76.378,5.6
2017-08-20,34.0,-2.0,15.335,102.714,78.933,5.647
2017-08-27,34.1,-8.6,15.133,134.571,77.914,5.729
2017-09-03,33.4,-2.2,16.871,87.171,76.082,5.662
2017-09-10,33.0,0.1,16.305,96.457,78.321,5.572
2017-09-17,37.1,-0.2,17.629,58.4,75.175,6.279
2017-09-24,35.9,0.8,17.184,118.429,77.786,5.821
2017-10-01,30.5,1.2,17.168,159.914,79.501,5.355
2017-10-08,32.9,0.2,17.219,101.0,79.628,5.717
