data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,35.5,21.6,27.131,5.6,69.017,5.596
2010-01-10,36.5,18.6,26.869,6.857,69.764,5.726
2010-01-17,36.9,19.5,27.246,1.857,68.333,5.762
2010-01-24,36.3,18.7,26.776,6.571,70.906,5.425
2010-01-31,37.1,18.4,26.979,7.486,71.139,5.393
2010-02-07,34.3,19.1,26.889,18.886,73.756,5.578
2010-02-14,35.2,20.7,27.197,7.257,71.38,5.543
2010-02-21,34.8,20.3,27.094,7.6,73.504,5.809
2010-02-28,36.5,20.5,27.571,8.4,73.491,5.593
2010-03-07,35.9,18.7,27.731,3.8,71.197,6.127
2010-03-14,36.4,20.9,27.522,14.343,72.15,6.118
2010-03-21,36.9,20.9,27.752,9.486,71.613,5.564
2010-03-28,35.1,20.3,27.057,15.943,76.668,5.092
2010-04-04,35.1,20.0,27.132,14.429,75.019,5.031
2010-04-11,38.6,20.2,27.106,49.286,75.626,5.404
2010-04-18,34.3,20.0,26.386,30.571,76.62,4.727
2010-04-25,33.0,20.0,26.391,13.971,79.589,4.807
2010-05-02,32.9,18.1,26.108,8.971,79.504,4.66
2010-05-09,32.4,18.8,25.96,18.114,78.546,4.818
2010-05-16,32.4,18.8,25.412,12.829,81.393,4.159
2010-05-23,32.1,18.0,24.759,52.2,84.548,4.283
2010-05-30,31.8,18.2,25.04,18.857,80.532,3.907
2010-06-06,31.8,16.5,24.254,26.886,82.943,3.993
2010-06-13,30.7,16.4,23.755,50.4,85.354,3.981
2010-06-20,30.8,16.2,23.699,10.2,81.808,3.87
2010-06-27,30.4,15.4,23.457,23.971,83.138,4.014
2010-07-04,30.6,15.3,23.543,10.371,80.76,3.95
2010-07-11,30.1,14.1,23.348,49.114,83.574,4.271
2010-07-18,30.0,13.0,23.013,20.543,83.936,4.187
2010-07-25,30.2,13.0,22.874,13.457,83.198,4.366
2010-08-01,29.6,14.9,22.488,15.943,83.519,3.983
2010-08-08,30.3,14.9,22.844,15.657,81.99,4.228
2010-08-15,29.7,13.8,22.468,20.2,82.933,4.328
2010-08-22,29.7,14.7,23.177,6.8,80.842,4.339
2010-08-29,29.9,14.3,23.439,7.914,79.875,4.309
2010-09-05,31.7,14.5,23.619,5.686,78.496,4.536
2010-09-12,30.9,13.3,23.647,11.429,78.841,4.655
2010-09-19,31.1,13.9,23.615,12.857,79.871,4.919
2010-09-26,31.7,14.0,24.074,6.286,76.531,4.681
2010-10-03,31.9,16.4,24.849,11.457,73.315,5.598
2010-10-10,35.6,15.9,25.19,4.343,72.719,5.799
2010-10-17,38.0,18.3,25.661,2.0,70.531,5.52
2010-10-24,34.6,17.8,25.36,15.286,74.67,5.79
2010-10-31,35.7,19.8,25.505,2.914,75.095,5.351
2010-11-07,33.5,18.5,24.843,3.743,79.778,5.423
2010-11-14,35.8,18.7,25.768,2.286,73.146,4.898
2010-11-21,35.4,21.3,26.967,0.6,65.14,5.657
2010-11-28,38.4,18.5,26.655,1.057,66.442,4.977
2010-12-05,37.7,17.5,26.607,0.543,65.687,5.197
2010-12-12,37.3,19.4,27.025,0.8,66.192,5.839
2010-12-19,34.8,17.4,26.428,1.771,67.138,5.846
2010-12-26,34.6,20.2,26.69,2.914,66.76,6.154
2011-01-02,36.1,17.8,26.655,1.371,66.937,5.991
2011-01-09,38.8,18.2,26.872,10.029,68.17,5.832
2011-01-16,36.4,19.4,26.973,8.114,68.355,5.826
2011-01-23,33.9,18.1,26.237,21.829,69.957,5.254
2011-01-30,33.7,19.0,26.396,6.686,71.019,5.5
2011-02-06,35.8,20.3,26.63,17.057,71.594,5.462
2011-02-13,36.9,19.4,27.045,5.486,67.75,5.578
2011-02-20,36.3,19.2,26.634,10.143,69.227,5.188
2011-02-27,35.8,18.5,27.042,0.571,67.955,5.148
2011-03-06,34.5,18.8,26.958,6.857,68.992,5.283
2011-03-13,37.5,18.1,27.323,2.229,67.381,5.386
2011-03-20,35.3,17.8,26.943,6.771,67.733,5.264
2011-03-27,35.2,18.7,26.745,11.886,70.677,5.155
2011-04-03,35.2,18.4,26.616,16.771,71.795,4.745
2011-04-10,34.1,19.0,26.72,8.429,71.413,4.916
2011-04-17,34.3,17.9,26.625,12.371,70.58,5.026
2011-04-24,33.7,18.7,25.939,33.086,74.212,4.9
2011-05-01,33.5,17.5,25.806,32.6,73.783,4.945
2011-05-08,34.1,16.8,25.326,10.543,75.038,4.65
2011-05-15,34.2,16.3,24.836,11.2,76.304,4.488
