data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,34.4,9.0,23.329,306.0,78.461,4.882
2010-01-10,37.1,5.3,23.751,181.914,76.034,4.661
2010-01-17,37.6,8.6,23.638,176.914,76.085,4.768
2010-01-24,38.2,4.6,23.55,205.057,75.169,4.892
2010-01-31,38.5,7.4,23.722,222.143,74.71,4.707
2010-02-07,39.2,1.8,24.094,153.229,70.602,4.734
2010-02-14,37.6,9.1,23.997,108.629,71.998,4.563
2010-02-21,37.2,10.6,23.658,158.914,75.212,4.545
2010-02-28,36.5,11.4,23.809,170.514,74.984,4.541
2010-03-07,36.9,9.0,23.093,169.571,77.389,4.75
2010-03-14,36.0,9.4,23.467,157.686,75.699,4.551
2010-03-21,35.9,11.1,23.24,135.0,76.118,4.831
2010-03-28,35.7,6.5,22.9,81.543,75.324,4.534
2010-04-04,36.4,9.3,22.65,139.086,75.269,4.434
2010-04-11,36.4,7.0,22.147,86.343,73.713,4.594
2010-04-18,36.8,7.4,22.079,64.229,72.441,4.515
2010-04-25,35.7,7.5,21.697,45.971,71.0,4.176
2010-05-02,35.9,4.8,20.403,63.771,73.322,4.463
2010-05-09,34.1,4.9,20.503,37.943,70.991,4.068
2010-05-16,39.4,3.9,19.263,33.429,74.325,4.186
2010-05-23,34.2,4.2,18.582,100.4,75.569,4.118
2010-05-30,33.3,-0.4,18.568,46.629,75.31,3.914
2010-06-06,35.2,-0.3,18.484,90.629,77.055,4.179
2010-06-13,35.3,0.1,18.235,74.8,75.73,3.83
2010-06-20,34.4,2.1,18.277,28.029,72.216,3.804
2010-06-27,34.3,3.3,18.653,64.771,72.562,4.115
2010-07-04,33.5,-3.3,18.305,48.6,69.004,3.85
2010-07-11,35.5,-0.9,17.59,31.543,68.237,4.157
2010-07-18,36.9,1.4,18.326,24.657,65.367,4.28
2010-07-25,36.9,-2.8,18.053,28.543,65.513,4.299
2010-08-01,33.7,-4.3,18.55,17.286,63.788,4.502
2010-08-08,34.6,-1.0,18.476,37.771,65.253,4.691
2010-08-15,43.9,4.0,19.262,33.914,63.638,4.754
2010-08-22,36.3,0.6,19.13,45.286,65.142,5.262
2010-08-29,38.4,3.7,19.988,31.971,61.782,4.86
2010-09-05,37.4,0.0,20.425,57.743,62.56,4.932
2010-09-12,38.6,6.9,21.128,69.143,62.312,5.0
2010-09-19,39.5,4.0,22.361,44.943,59.225,5.129
2010-09-26,40.2,4.9,21.612,106.171,65.521,5.297
2010-10-03,38.5,5.8,21.182,108.486,68.116,5.206
2010-10-10,38.6,7.4,21.418,86.543,68.772,5.505
2010-10-17,38.8,7.6,22.484,97.971,67.948,5.408
2010-10-24,38.7,5.3,22.067,60.571,69.348,5.573
2010-10-31,37.1,5.4,22.038,140.629,69.443,5.38
2010-11-07,38.9,4.7,21.831,138.314,70.271,5.608
