data,temp_max,temp_min,temp_media,prec,umid_media,vento
2010-01-03,37.4,19.7,26.03,112.2,78.792,3.525
2010-01-10,36.5,20.1,26.097,79.486,77.598,3.657
2010-01-17,36.9,20.2,26.082,47.571,77.987,3.224
2010-01-24,37.3,19.1,25.522,106.4,79.498,3.472
2010-01-31,38.9,16.2,25.66,41.486,75.119,3.451
2010-02-07,37.2,18.2,25.911,50.486,73.563,3.805
2010-02-14,37.1,16.9,26.022,76.2,73.76,3.209
2010-02-21,36.2,19.3,25.848,63.257,74.715,3.538
2010-02-28,36.3,19.1,25.973,67.143,74.761,3.432
2010-03-07,37.3,17.0,25.617,76.629,75.863,3.539
2010-03-14,34.6,18.1,25.796,60.486,76.629,3.035
2010-03-21,36.7,17.2,25.894,51.029,76.309,3.091
2010-03-28,35.2,19.2,26.098,74.057,75.502,2.922
2010-04-04,36.0,20.9,27.009,31.2,73.177,2.637
2010-04-11,36.3,19.5,26.673,31.571,76.418,2.637
2010-04-18,36.6,20.5,26.898,45.143,71.987,2.986
2010-04-25,37.8,19.0,26.568,32.943,74.002,2.503
2010-05-02,38.7,19.7,26.836,24.0,69.511,2.729
2010-05-09,37.6,18.7,27.041,7.886,69.163,2.64
2010-05-16,37.0,18.8,26.44,14.771,70.754,2.574
2010-05-23,37.6,17.7,26.314,8.857,71.756,2.644
2010-05-30,37.7,16.2,26.299,22.971,68.635,2.408
2010-06-06,37.5,16.8,26.276,6.4,67.075,2.414
2010-06-13,37.9,16.8,26.435,16.143,65.218,3.112
2010-06-20,36.0,14.3,25.933,8.657,61.984,3.404
2010-06-27,36.8,14.6,25.835,1.343,59.642,3.607
2010-07-04,35.7,13.9,25.416,9.314,59.436,3.588
2010-07-11,36.9,14.1,25.604,7.2,58.851,3.455
2010-07-18,37.8,15.5,26.308,3.8,56.163,3.414
2010-07-25,38.6,13.6,26.511,3.343,51.234,4.219
2010-08-01,38.3,12.9,26.486,0.771,49.602,4.204
2010-08-08,38.5,12.5,26.611,2.629,47.055,4.178
2010-08-15,38.9,12.8,27.024,3.257,45.58,4.29
2010-08-22,39.4,14.6,27.835,1.886,45.78,4.092
2010-08-29,39.2,16.5,28.495,1.886,43.604,4.295
2010-09-05,40.4,14.9,28.809,0.857,41.891,3.976
2010-09-12,39.9,15.2,29.061,0.429,41.06,4.227
2010-09-19,40.8,16.4,29.687,0.057,39.084,4.088
2010-09-26,40.6,16.7,29.687,2.229,45.37,3.815
2010-10-03,40.8,19.5,28.676,16.571,55.252,3.398
2010-10-10,41.1,19.6,28.91,15.029,55.794,3.301
2010-10-17,41.3,18.3,28.52,31.857,58.292,3.312
2010-10-24,41.3,19.4,28.007,33.029,63.596,3.505
2010-10-31,37.3,20.2,27.528,32.0,68.583,3.243
2010-11-07,38.9,20.7,27.344,31.171,68.932,3.355
2010-11-14,38.2,19.1,27.183,54.429,69.083,3.429
2010-11-21,36.2,19.6,26.655,36.486,73.512,3.184
2010-11-28,36.8,18.4,26.713,37.486,73.67,3.071
2010-12-05,38.7,19.2,27.51,27.457,69.889,2.998
2010-12-12,38.5,18.6,27.129,32.314,70.724,3.205
2010-12-19,37.8,19.0,26.449,35.057,72.262,3.261
2010-12-26,37.5,18.4,26.865,13.771,70.029,3.377
2011-01-02,37.2,15.6,26.145,40.371,71.422,3.57
2011-01-09,37.2,15.6,26.191,58.857,72.964,3.622
2011-01-16,35.0,16.8,25.734,74.029,75.45,3.805
2011-01-23,35.6,17.9,25.522,96.629,75.715,3.481
2011-01-30,36.5,18.6,25.974,63.971,75.499,3.313
2011-02-06,35.7,19.2,26.419,42.714,71.711,3.677
2011-02-13,36.4,18.5,25.97,61.0,73.079,3.526
2011-02-20,36.5,17.5,25.827,41.486,73.174,3.307
2011-02-27,36.9,17.6,26.101,42.486,72.46,3.278
2011-03-06,37.5,17.1,26.422,36.2,71.999,3.422
2011-03-13,38.7,19.0,26.588,38.971,72.25,3.264
