semana,casos,obitos
201001,230,0
201002,195,0
201003,145,0
201004,85,1
201005,136,0
201006,120,0
201007,82,0
201008,139,0
201009,152,0
201010,157,0
201011,133,0
201012,107,0
201013,62,0
201014,106,1
201015,104,0
201016,94,0
201017,128,0
201018,99,0
201019,134,0
201020,152,1
201021,118,0
201022,102,0
201023,241,0
201024,248,0
201025,140,0
201026,144,0
201027,167,0
201028,292,0
201029,312,1
201030,189,0
201031,175,2
201032,200,0
201033,250,1
201034,165,1
201035,141,0
201036,117,3
201037,121,1
201038,151,0
201039,143,0
201040,211,0
201041,132,0
201042,167,0
201043,127,0
201044,92,0
201045,178,0
201046,198,0
201047,430,0
201048,370,0
201049,372,0
201050,515,0
201051,473,0
201052,504,0
201101,1197,1
201102,1971,3
201103,2502,4
201104,3492,0
201105,3625,8
201106,4490,4
201107,5692,3
201108,7046,7
201109,7373,3
201110,5144,1
201111,5363,1
201112,3992,1
201113,2624,1
201114,2372,2
201115,1602,2
201116,970,0
201117,829,0
201118,647,0
201119,648,0
201120,652,1
201121,431,0
201122,333,0
201123,417,2
201124,354,0
201125,298,0
201126,247,0
201127,211,0
201128,190,0
201129,181,0
201130,145,1
201131,200,0
201132,161,0
201133,153,0
201134,97,0
201135,127,0
201136,92,0
201137,128,0
201138,118,0
201139,83,0
201140,95,0
201141,67,1
201142,120,0
201143,77,1
201144,109,0
201145,150,0
201146,165,0
201147,165,0
201148,216,1
201149,223,0
201150,182,0
201151,180,2
201152,180,0
201201,230,1
201202,282,0
201203,348,0
201204,341,1
201205,461,3
201206,564,0
201207,464,0
201208,378,0
201209,355,1
201210,182,0
201211,182,0
201212,187,1
201213,166,0
201214,127,0
201215,135,0
201216,97,1
201217,89,0
201218,89,0
201219,113,1
201220,72,1
201221,92,0
201222,116,0
201223,104,0
201224,86,0
201225,117,0
201226,119,0
201227,142,0
201228,114,0
201229,130,0
201230,126,0
201231,101,1
201232,89,0
201233,94,0
201234,89,0
201235,92,0
201236,76,0
201237,83,0
201238,118,0
201239,63,0
201240,107,0
201241,61,0
201242,94,0
201243,85,0
201244,109,0
201245,127,0
201246,76,0
201247,134,1
201248,206,0
201249,280,1
201250,215,1
201251,202,0
201252,193,0
201301,361,0
201302,497,0
201303,737,1
201304,1309,1
201305,1627,0
201306,1439,1
201307,1058,0
201308,1415,2
201309,1408,1
201310,1257,1
201311,1134,1
201312,1181,5
201313,772,0
201314,1064,2
201315,945,0
201316,816,2
201317,709,0
201318,479,0
201319,480,2
201320,432,0
201321,378,1
201322,344,1
201323,379,0
201324,345,0
201325,207,0
