semana,casos,obitos
201001,16,0
201002,45,1
201003,35,0
201004,41,0
201005,43,0
201006,113,0
201007,37,0
201008,153,0
201009,116,0
201010,83,0
201011,128,0
201012,89,0
201013,49,0
201014,74,0
201015,53,0
201016,56,0
201017,83,1
201018,73,0
201019,99,0
201020,136,0
201021,145,0
201022,86,0
201023,98,0
201024,131,0
201025,61,0
201026,60,0
201027,112,0
201028,70,0
201029,69,0
201030,98,0
201031,108,0
201032,145,0
201033,139,0
201034,148,0
201035,167,0
201036,133,1
201037,93,0
201038,107,1
201039,83,0
201040,111,0
201041,124,0
201042,88,0
201043,71,0
201044,81,0
201045,75,0
201046,44,0
201047,52,0
201048,52,0
201049,31,0
201050,107,0
201051,33,0
201052,23,0
201101,110,0
201102,150,0
201103,210,1
201104,227,0
201105,238,0
201106,281,0
201107,298,0
201108,236,0
201109,163,0
201110,148,1
201111,241,0
201112,212,0
201113,163,0
201114,178,0
201115,153,0
201116,110,1
201117,123,1
201118,87,0
201119,70,1
201120,74,0
201121,72,0
201122,45,0
201123,56,0
201124,32,0
201125,19,0
201126,51,0
201127,17,0
201128,23,0
201129,15,0
201130,12,0
201131,20,0
201132,23,0
201133,28,0
201134,27,0
201135,26,0
201136,14,0
201137,25,2
201138,31,0
201139,18,0
201140,30,0
201141,27,0
201142,21,0
201143,28,0
201144,10,0
201145,26,0
201146,38,0
201147,14,0
201148,12,2
201149,8,0
201150,4,0
201151,4,0
201152,2,0
201201,13,0
201202,15,0
201203,23,0
201204,33,0
201205,18,0
201206,25,0
201207,21,0
201208,8,0
201209,42,0
201210,37,0
201211,30,0
201212,20,0
201213,13,0
201214,23,0
201215,35,0
201216,26,0
201217,27,0
201218,17,1
201219,28,0
201220,21,0
201221,20,0
201222,31,0
201223,9,0
201224,30,0
201225,34,0
201226,29,0
201227,29,0
201228,30,0
201229,24,0
201230,27,0
201231,32,2
201232,56,0
201233,90,0
201234,55,0
201235,128,0
201236,68,0
201237,72,0
201238,156,0
201239,101,1
201240,90,0
201241,73,1
201242,99,0
201243,88,0
201244,63,0
201245,95,1
201246,95,0
201247,59,0
201248,53,0
201249,59,0
201250,51,0
201251,33,0
201252,10,0
201301,26,0
201302,113,0
201303,82,1
201304,96,0
201305,103,0
201306,61,1
201307,50,0
201308,65,0
201309,73,0
201310,75,0
201311,80,0
201312,88,1
201313,96,0
201314,137,0
201315,135,0
201316,173,0
201317,140,0
201318,63,0
201319,109,0
201320,79,0
201321,53,0
201322,29,1
201323,37,1
201324,22,0
201325,22,0
201326,16,0
201327,17,0
201328,12,0
201329,12,0
201330,8,0
201331,16,0
201332,28,0
201333,13,0
201334,17,0
201335,24,0
201336,14,0
201337,15,1
201338,13,0
201339,26,0
201340,17,0
201341,26,0
201342,10,0
201343,13,0
201344,11,0
201345,15,0
201346,13,0
201347,17,0
201348,14,1
201349,6,0
201350,4,0
201351,3,0
201352,4,0
201401,3,0
201402,7,0
201403,6,0
201404,11,1
201405,10,0
201406,10,0
201407,11,0
201408,14,0
201409,11,0
201410,6,0
201411,17,1
201412,12,1
201413,20,1
201414,66,1
201415,69,0
201416,50,0
201417,59,0
201418,48,0
201419,131,0
201420,194,1
201421,123,0
201422,122,0
201423,93,0
201424,52,0
201425,39,0
201426,49,0
201427,21,0
201428,26,1
201429,28,0
201430,20,0
201431,40,0
201432,29,0
201433,10,0
201434,19,0
201435,12,0
201436,14,0
201437,19,0
201438,33,0
201439,82,0
201440,71,0
201441,67,0
201442,134,0
201443,134,0
201444,127,0
201445,112,0
201446,91,0
201447,94,0
201448,45,0
201449,37,0
201450,44,0
201451,49,0
201452,4,0
201453,25,1
201501,70,0
201502,102,0
201503,101,0
201504,133,1
201505,123,0
201506,217,0
201507,94,1
201508,199,0
201509,187,0
201510,266,2
201511,297,0
201512,220,0
201513,148,0
201514,200,2
201515,153,0
201516,95,0
201517,80,0
201518,94,1
201519,101,1
201520,179,1
201521,91,0
201522,54,0
201523,67,0
201524,66,0
201525,61,0
201526,45,0
201527,59,2
201528,49,0
201529,45,0
201530,55,0
201531,54,0
201532,59,0
201533,36,0
201534,37,1
201535,64,0
201536,39,1
201537,45,0
201538,40,1
201539,32,0
201540,30,0
201541,25,1
201542,24,0
201543,21,0
201544,61,0
201545,21,0
201546,68,0
201547,19,0
201548,13,0
201549,29,1
201550,30,1
201551,10,0
201552,18,0
201601,26,0
201602,24,1
201603,22,0
201604,71,1
201605,48,0
201606,56,0
201607,136,0
201608,137,0
201609,158,1
201610,144,1
201611,223,0
201612,89,0
201613,151,1
201614,162,0
201615,161,1
201616,79,0
201617,103,0
201618,80,0
201619,99,1
201620,92,0
201621,48,0
201622,54,0
201623,79,1
201624,47,0
201625,54,0
201626,53,0
201627,60,0
201628,52,0
201629,47,0
201630,56,0
201631,61,0
201632,64,0
201633,99,0
201634,83,0
201635,70,1
201636,45,1
201637,33,0
201638,66,0
201639,41,0
201640,58,0
201641,33,0
201642,43,0
201643,27,0
201644,12,0
201645,33,0
201646,39,0
201647,24,0
201648,37,0
201649,29,0
201650,17,0
201651,13,0
201652,10,0
201701,16,0
201702,21,0
201703,52,0
201704,73,1
201705,71,0
201706,60,0
201707,65,0
201708,59,0
201709,39,2
201710,77,1
201711,70,1
201712,42,0
201713,37,0
201714,28,1
201715,18,0
201716,34,0
201717,27,0
201718,26,0
201719,39,0
201720,36,0
201721,34,0
201722,34,0
201723,26,0
201724,9,0
201725,36,0
201726,26,1
201727,25,0
201728,20,0
201729,22,0
201730,10,0
201731,20,0
201732,16,0
201733,10,0
201734,14,0
201735,17,0
201736,15,0
201737,18,0
201738,15,0
201739,17,0
201740,15,0
201741,13,1
201742,26,0
201743,33,0
201744,10,0
201745,12,1
201746,27,0
201747,7,0
201748,7,0
201749,12,0
201750,14,0
201751,14,0
201752,5,0
201801,6,0
201802,18,0
201803,21,0
201804,30,0
201805,41,1
201806,37,0
201807,19,0
201808,49,0
201809,41,0
201810,51,0
201811,47,0
201812,62,1
201813,47,1
201814,41,1
201815,61,0
201816,70,0
201817,73,2
201818,26,0
201819,44,1
201820,28,0
201821,38,0
201822,15,1
201823,27,0
201824,27,0
201825,17,0
201826,15,0
201827,8,0
201828,19,0
201829,14,1
201830,20,0
201831,14,0
201832,22,0
201833,19,0
201834,29,0
201835,17,0
201836,18,0
201837,16,0
201838,21,0
201839,22,0
201840,14,0
201841,15,0
201842,34,0
201843,30,0
201844,28,0
201845,25,0
201846,12,0
201847,18,0
201848,7,0
201849,9,0
201850,23,0
201851,8,0
201852,9,0
201901,10,0
201902,12,0
201903,25,0
201904,13,0
201905,22,0
201906,22,0
201907,21,0
201908,17,0
201909,30,0
201910,19,0
201911,35,0
201912,35,0
201913,49,0
201914,47,1
201915,48,0
201916,18,0
201917,35,0
201918,16,0
201919,23,0
201920,18,0
201921,13,0
201922,20,1
201923,23,1
201924,20,0
201925,7,1
201926,17,0
201927,15,0
201928,12,0
201929,3,0
201930,3,0
201931,10,0
201932,13,0
201933,15,0
201934,12,0
201935,6,0
201936,11,0
201937,18,0
201938,6,0
201939,13,0
201940,8,0
201941,6,0
201942,15,0
201943,16,0
201944,11,0
201945,15,0
201946,11,0
201947,17,0
201948,19,0
201949,11,0
201950,16,0
201951,8,0
201952,5,0
202001,7,0
202002,6,0
202003,7,0
202004,10,0
202005,6,0
202006,11,0
202007,11,1
202008,7,0
202009,5,0
202010,1,0
202011,11,0
202012,4,0
202013,2,0
202014,4,0
202015,6,0
202016,5,0
202017,10,0
202018,7,0
202019,4,0
202020,4,0
202021,4,0
202022,4,0
202023,0,0
202024,2,0
202025,0,0
202026,1,0
202027,0,0
202028,1,0
202029,5,0
202030,3,0
202031,6,0
202032,1,0
202033,4,0
202034,0,0
202035,3,0
202036,4,0
202037,2,0
202038,3,0
202039,2,0
202040,4,0
202041,5,0
202042,5,0
202043,3,0
202044,1,0
202045,0,0
202046,5,0
202047,3,0
202048,6,0
202049,6,0
202050,5,0
202051,3,0
202052,0,0
202053,2,0
202101,8,0
202102,16,0
202103,11,0
202104,14,0
202105,12,0
202106,11,0
202107,14,0
202108,14,0
202109,21,1
202110,28,0
202111,17,0
202112,20,0
202113,14,0
202114,11,0
202115,17,0
202116,13,0
202117,20,0
202118,16,0
202119,17,0
202120,12,0
202121,19,0
202122,10,0
202123,8,0
202124,14,0
202125,15,0
202126,12,0
202127,23,0
202128,15,0
202129,7,0
202130,14,0
202131,17,0
202132,33,0
202133,113,0
202134,24,0
202135,25,0
202136,40,0
202137,33,0
202138,41,0
202139,20,0
202140,44,0
202141,16,0
202142,23,0
202143,13,0
202144,11,0
202145,29,0
202146,9,0
202147,27,0
202148,28,0
202149,28,0
202150,20,0
202151,17,0
202152,7,0
202201,4,0
202202,17,0
202203,14,0
202204,9,0
202205,9,0
202206,14,0
202207,16,0
202208,25,0
202209,14,0
202210,19,0
202211,27,0
202212,21,1
202213,16,0
202214,24,0
202215,31,0
202216,12,0
202217,23,0
202218,12,0
202219,32,0
202220,21,0
202221,33,0
202222,21,1
202223,23,0
202224,26,0
202225,37,0
202226,28,0
202227,18,0
202228,17,0
202229,29,0
202230,21,0
202231,18,0
202232,27,0
202233,25,0
202234,11,0
202235,6,0
202236,12,0
202237,18,0
202238,12,0
202239,23,0
202240,9,0
202241,20,0
202242,23,0
202243,20,0
202244,19,0
202245,22,0
202246,15,0
202247,15,0
202248,16,0
202249,11,0
202250,27,0
202251,17,0
202252,29,0
