semana,casos,obitos
201001,119,1
201002,189,0
201003,272,0
201004,421,0
201005,443,0
201006,606,2
201007,525,1
201008,978,0
201009,1238,2
201010,1141,2
201011,1189,1
201012,1224,0
201013,962,1
201014,1155,0
201015,915,0
201016,755,1
201017,756,1
201018,1262,1
201019,1071,2
201020,1000,1
201021,940,0
201022,485,0
201023,424,0
201024,299,1
201025,222,0
201026,122,0
201027,149,1
201028,116,0
201029,129,0
201030,83,0
201031,83,0
201032,76,0
201033,68,0
201034,69,0
201035,41,0
201036,35,0
201037,57,0
201038,94,0
201039,83,1
201040,106,0
201041,60,0
201042,83,0
201043,48,0
201044,47,0
201045,55,0
201046,34,0
201047,60,0
201048,25,0
201049,54,1
201050,54,1
201051,44,0
201052,53,1
201101,63,0
201102,100,0
201103,115,1
201104,125,0
201105,157,2
201106,194,0
201107,182,0
201108,238,1
201109,208,0
201110,142,0
201111,317,0
201112,247,1
201113,354,1
201114,292,0
201115,315,1
201116,236,0
201117,262,0
201118,251,0
201119,242,0
201120,291,0
201121,199,0
201122,180,0
201123,128,1
201124,117,0
201125,51,1
201126,90,0
201127,56,0
201128,58,2
201129,49,0
201130,73,0
201131,71,0
201132,76,1
201133,48,2
201134,66,0
201135,75,0
201136,52,0
201137,82,1
201138,90,1
201139,81,0
201140,83,2
201141,74,2
201142,85,0
201143,80,0
201144,72,1
201145,72,0
201146,54,0
201147,91,1
201148,62,1
201149,96,1
201150,83,2
201151,68,0
201152,56,0
201201,77,1
201202,85,0
201203,107,0
201204,95,0
201205,86,0
201206,108,1
201207,93,0
201208,58,0
201209,130,0
201210,112,0
201211,117,0
201212,140,0
201213,102,1
201214,101,0
201215,119,1
201216,128,0
201217,123,0
201218,94,1
201219,101,2
201220,117,0
201221,97,0
201222,90,0
201223,60,0
201224,99,0
201225,93,0
201226,62,0
201227,65,0
201228,49,0
201229,65,0
201230,44,0
201231,47,0
201232,49,0
201233,44,0
201234,47,0
201235,50,0
201236,24,0
201237,52,0
201238,50,0
201239,49,1
201240,55,0
201241,35,1
201242,49,3
201243,60,1
201244,27,0
201245,37,0
201246,32,0
201247,43,0
201248,48,1
201249,57,0
201250,50,0
201251,42,0
201252,47,0
201301,86,0
201302,193,0
201303,197,0
201304,191,0
201305,248,2
201306,330,1
201307,226,2
201308,375,1
201309,477,3
201310,535,2
201311,775,3
