semana,casos,obitos
201001,2302,0
201002,2683,2
201003,3540,1
201004,4455,4
201005,5117,1
201006,5492,2
201007,5562,4
201008,5923,6
201009,5802,6
201010,5415,7
201011,5720,7
201012,5513,4
201013,4315,6
201014,4125,4
201015,3363,1
201016,2701,6
201017,2658,3
201018,2484,1
201019,1512,1
201020,978,1
201021,603,1
201022,277,1
201023,279,1
201024,268,1
201025,206,0
201026,187,1
201027,241,0
201028,118,1
201029,91,0
201030,96,1
201031,96,1
201032,112,1
201033,97,0
201034,146,0
201035,138,1
201036,207,0
201037,179,1
201038,193,1
201039,125,0
201040,142,0
201041,159,0
201042,172,0
201043,174,0
201044,169,1
201045,254,0
201046,212,0
201047,310,0
201048,262,1
201049,317,1
201050,329,0
201051,276,1
201052,322,0
201101,434,1
201102,435,1
201103,498,1
201104,784,2
201105,638,1
201106,639,0
201107,661,0
201108,734,0
201109,495,1
201110,517,0
201111,838,1
201112,859,0
201113,927,3
201114,837,3
201115,779,1
201116,509,0
201117,592,1
201118,518,1
201119,391,1
201120,344,0
201121,290,0
201122,224,0
201123,154,1
201124,114,0
201125,109,0
201126,67,0
201127,52,0
201128,81,0
201129,57,1
201130,70,0
201131,39,0
201132,88,0
201133,70,0
201134,62,0
201135,72,1
201136,62,0
201137,64,0
201138,67,0
201139,113,0
201140,104,0
201141,76,0
201142,122,0
201143,167,0
201144,111,0
201145,146,0
201146,138,0
201147,166,0
201148,167,1
201149,163,0
201150,221,1
201151,276,0
201152,237,1
201201,250,0
201202,245,0
201203,326,0
201204,371,0
201205,384,0
201206,395,0
201207,380,0
201208,299,1
201209,355,1
201210,357,1
201211,444,0
201212,522,1
201213,515,1
201214,432,1
201215,677,0
201216,839,1
201217,684,1
201218,356,2
201219,518,0
201220,364,2
201221,385,1
201222,443,0
201223,295,0
201224,308,0
201225,297,1
201226,248,2
201227,158,0
201228,138,0
201229,61,0
201230,83,0
201231,79,0
201232,83,0
201233,93,0
201234,82,1
201235,72,0
201236,75,0
201237,107,2
201238,126,0
201239,111,0
201240,114,0
201241,91,0
201242,105,1
201243,139,0
201244,158,3
201245,250,1
201246,270,1
201247,471,1
201248,482,0
201249,573,1
201250,794,2
201251,916,1
201252,1214,0
201301,2567,3
201302,4618,2
201303,6568,2
201304,7947,9
201305,8964,8
201306,7636,2
201307,6461,6
201308,6546,3
201309,5975,5
201310,6029,4
201311,5625,5
201312,4677,0
201313,3695,0
201314,3612,3
201315,3240,1
201316,3129,2
201317,2409,1
201318,1801,0
201319,1241,1
201320,1355,1
201321,987,1
201322,668,1
201323,523,0
201324,416,2
201325,363,1
201326,272,0
201327,265,0
201328,254,5
201329,198,0
201330,95,0
201331,110,0
201332,114,0
201333,72,0
201334,82,0
201335,69,0
201336,78,0
201337,93,0
201338,73,0
201339,69,0
201340,75,0
201341,54,0
201342,47,0
201343,81,0
201344,93,0
201345,101,0
201346,108,0
201347,113,0
201348,206,0
201349,215,0
201350,181,0
201351,207,1
201352,122,0
201401,160,0
201402,197,0
201403,256,0
201404,294,1
201405,349,2
201406,347,1
201407,435,2
201408,349,1
201409,340,0
201410,214,1
201411,288,0
201412,305,0
201413,343,0
201414,368,1
201415,320,1
201416,232,0
201417,326,0
201418,280,0
201419,311,0
201420,264,0
201421,244,1
201422,131,0
201423,149,0
201424,147,0
201425,132,0
201426,153,0
201427,102,0
201428,95,1
201429,107,1
201430,96,1
201431,81,0
201432,118,0
201433,70,0
201434,82,0
201435,52,1
201436,72,0
201437,55,0
201438,66,1
201439,79,0
201440,78,0
201441,80,0
201442,109,1
201443,143,0
201444,107,0
201445,125,0
201446,125,0
201447,126,1
201448,131,0
201449,127,0
201450,182,0
201451,142,0
201452,90,1
201453,165,1
201501,274,0
201502,385,1
201503,566,3
201504,660,1
201505,799,3
201506,829,2
201507,908,2
201508,1199,1
201509,1090,1
201510,1395,2
201511,1515,2
201512,1991,3
201513,1652,2
201514,2121,1
201515,2182,3
201516,1825,4
201517,2068,3
201518,1843,3
201519,1388,1
201520,1121,0
201521,1004,0
201522,680,1
201523,712,1
201524,643,0
201525,455,1
201526,295,1
201527,195,0
201528,214,0
201529,199,0
201530,269,0
201531,179,1
201532,182,1
201533,166,0
201534,155,1
201535,186,0
201536,157,0
201537,171,0
201538,168,0
201539,201,1
201540,221,1
201541,223,0
201542,290,0
201543,382,0
201544,449,0
201545,779,2
201546,909,0
201547,1346,2
201548,2068,2
201549,2500,1
201550,2398,0
201551,2257,0
201552,2284,2
201601,4283,0
201602,4994,4
201603,5115,3
201604,5331,0
201605,5034,3
201606,4299,0
201607,4408,7
201608,3831,5
201609,3405,1
201610,3038,2
201611,2513,1
201612,1914,1
201613,2424,1
201614,1845,1
201615,1684,2
201616,1293,0
201617,962,1
201618,729,1
201619,444,0
201620,343,0
201621,202,1
201622,175,0
201623,112,0
201624,75,0
201625,83,0
201626,105,0
201627,59,0
201628,61,0
201629,34,0
201630,45,0
201631,51,0
201632,51,0
201633,60,1
201634,55,0
201635,62,0
201636,44,0
201637,63,0
201638,60,0
201639,76,0
201640,65,0
201641,48,0
201642,76,0
201643,61,0
201644,58,0
201645,64,0
201646,66,0
201647,85,0
201648,93,0
201649,105,0
201650,104,0
201651,103,2
201652,108,1
201701,131,2
201702,203,0
201703,208,0
201704,250,1
201705,240,0
201706,231,0
201707,223,0
201708,209,0
201709,186,2
201710,206,0
201711,209,1
201712,211,1
201713,235,1
201714,202,1
201715,175,1
201716,163,1
201717,108,0
201718,105,0
201719,137,0
201720,120,0
201721,124,0
201722,109,0
201723,122,1
201724,55,0
201725,86,1
201726,92,1
201727,48,0
201728,68,0
201729,36,0
201730,53,1
201731,73,0
201732,93,0
201733,64,0
201734,73,0
201735,105,0
201736,102,0
201737,96,0
201738,148,0
201739,148,1
201740,149,1
201741,76,0
201742,135,0
201743,126,0
201744,118,0
201745,138,0
201746,151,0
201747,154,0
201748,146,0
201749,144,0
201750,191,0
201751,144,0
201752,89,0
201801,119,0
201802,176,2
201803,212,1
201804,244,1
201805,188,0
201806,175,1
201807,121,0
201808,157,0
201809,169,0
201810,164,0
201811,187,0
201812,171,0
201813,147,0
201814,149,1
201815,149,1
201816,152,1
201817,148,1
201818,106,0
201819,188,0
201820,175,0
201821,104,0
201822,82,0
201823,87,0
201824,82,0
201825,51,0
201826,111,0
201827,71,0
201828,67,0
201829,92,1
201830,66,0
201831,64,0
201832,58,0
201833,63,0
201834,38,0
201835,56,0
201836,31,0
201837,57,0
201838,53,1
201839,72,0
201840,83,1
201841,48,1
201842,99,0
201843,110,0
201844,105,0
201845,150,0
201846,222,0
201847,343,0
201848,624,1
201849,1024,0
201850,970,2
201851,1166,2
201852,1083,3
201901,437,0
201902,877,0
201903,864,0
201904,1382,2
201905,1690,1
201906,1902,1
201907,2266,1
201908,2535,2
201909,3303,3
201910,3923,2
201911,4912,2
201912,4814,5
201913,5593,3
201914,4278,8
201915,5570,6
201916,4887,1
201917,4615,6
201918,4195,6
201919,4619,3
201920,3560,2
201921,2754,1
201922,2288,5
201923,1728,1
201924,1758,4
201925,1448,1
201926,1253,0
201927,767,4
201928,534,1
201929,348,1
201930,338,0
201931,283,0
201932,202,3
201933,193,0
201934,204,0
201935,203,1
201936,150,0
201937,152,0
201938,155,0
201939,150,1
201940,168,0
201941,140,2
201942,161,0
201943,165,1
201944,186,0
201945,239,2
201946,280,0
201947,290,0
201948,347,0
201949,431,1
201950,503,1
201951,509,2
201952,544,2
202001,1041,3
202002,1886,4
202003,2950,4
202004,4093,7
202005,4322,2
202006,5020,8
202007,5568,4
202008,5162,0
202009,5096,7
202010,5321,5
202011,4691,3
202012,3492,7
202013,2933,2
202014,2663,3
202015,2039,1
202016,1818,8
202017,1606,0
202018,1566,1
202019,1270,2
202020,915,0
202021,739,1
202022,596,3
202023,448,3
202024,528,0
202025,522,0
202026,409,1
202027,365,3
202028,358,1
202029,366,1
202030,346,0
202031,272,1
202032,252,1
202033,259,2
202034,169,0
202035,217,0
202036,164,0
202037,203,0
202038,185,1
202039,168,0
202040,180,1
202041,149,3
202042,121,0
202043,122,0
202044,123,0
202045,182,0
202046,225,1
202047,328,1
202048,285,2
202049,343,4
202050,305,0
202051,217,1
202052,169,0
202053,117,0
202101,183,0
202102,383,3
202103,499,0
202104,591,1
202105,716,1
202106,1052,0
202107,1187,0
202108,1314,2
202109,1268,5
202110,1405,3
202111,1295,6
202112,1190,1
202113,1062,1
202114,1315,1
202115,1243,1
202116,1161,3
202117,998,0
202118,806,1
202119,763,1
202120,757,2
202121,512,1
202122,379,0
202123,363,2
202124,295,3
202125,248,0
202126,145,0
202127,147,1
202128,154,1
202129,137,0
202130,134,0
202131,107,0
202132,129,0
202133,140,0
202134,155,3
202135,118,1
202136,105,1
202137,156,1
202138,159,1
202139,149,1
202140,138,1
202141,124,1
202142,156,2
202143,143,2
202144,143,1
202145,185,1
202146,170,0
202147,237,1
202148,214,0
202149,240,0
202150,227,3
202151,210,1
202152,218,0
202201,225,1
202202,384,0
202203,480,0
202204,368,0
202205,346,0
202206,403,1
202207,403,0
202208,440,0
202209,518,1
202210,724,5
202211,906,5
202212,1108,1
202213,1477,2
202214,1724,1
202215,1825,5
202216,2356,2
202217,3373,2
202218,3631,3
202219,4044,2
202220,2396,8
202221,2341,6
202222,1883,6
202223,2086,5
202224,1184,2
202225,1433,5
202226,1083,3
202227,1076,3
202228,894,0
202229,814,0
202230,733,3
202231,820,1
202232,585,0
202233,531,1
202234,548,0
202235,517,0
202236,379,2
202237,438,2
202238,450,1
202239,466,0
202240,614,2
202241,412,2
202242,703,0
202243,926,1
202244,776,1
202245,1250,2
