semana,casos,obitos
201001,4009,7
201002,4172,6
201003,4000,3
201004,3895,4
201005,3378,10
201006,3172,3
201007,2176,5
201008,2526,6
201009,2073,11
201010,1790,4
201011,1730,3
201012,1226,2
201013,973,2
201014,943,4
201015,733,0
201016,636,1
201017,597,3
201018,642,1
201019,308,1
201020,284,4
201021,282,1
201022,191,1
201023,226,1
201024,194,0
201025,140,1
201026,128,1
201027,172,0
201028,130,2
201029,102,1
201030,108,1
201031,110,0
201032,102,1
201033,93,1
201034,98,0
201035,133,1
201036,81,1
201037,129,0
201038,128,0
201039,115,3
201040,118,2
201041,87,0
201042,124,0
201043,139,1
201044,148,0
201045,218,0
201046,219,0
201047,312,1
201048,406,1
201049,526,1
201050,492,1
201051,314,0
201052,257,1
201101,489,0
201102,447,1
201103,504,2
201104,539,1
201105,488,0
201106,377,0
201107,369,3
201108,323,2
201109,329,1
201110,242,3
201111,312,0
201112,332,1
201113,382,0
201114,345,2
201115,267,0
201116,202,0
201117,168,1
201118,114,0
201119,126,0
201120,109,1
201121,91,0
201122,98,1
201123,81,0
201124,100,0
201125,103,0
201126,92,0
201127,62,0
201128,73,2
201129,127,1
201130,99,1
201131,87,1
201132,86,0
201133,79,0
201134,88,1
201135,87,0
201136,80,0
201137,96,0
201138,121,1
201139,88,0
201140,105,1
201141,86,0
201142,132,1
201143,159,0
201144,129,1
201145,195,0
201146,175,1
201147,323,0
201148,272,0
201149,296,0
201150,298,0
201151,260,1
201152,223,0
201201,348,1
201202,457,2
201203,578,0
201204,653,0
201205,644,2
201206,742,0
201207,861,2
201208,1003,2
201209,1269,1
201210,1347,2
201211,1342,0
201212,1643,4
201213,1722,2
201214,1328,1
201215,1742,1
201216,1799,3
201217,2136,4
201218,1428,1
201219,1696,0
201220,1562,3
201221,1528,4
201222,1472,1
201223,804,0
201224,984,2
201225,796,0
201226,928,0
201227,747,2
201228,695,1
201229,544,0
201230,474,1
201231,530,0
201232,400,0
201233,430,0
201234,354,0
201235,265,0
201236,174,0
201237,195,0
201238,231,0
201239,207,0
201240,249,0
201241,238,0
201242,323,1
201243,373,2
201244,368,0
201245,410,1
201246,419,0
201247,615,0
201248,815,0
201249,808,0
201250,951,3
201251,943,1
201252,757,1
201301,1318,1
201302,2123,0
201303,2278,1
201304,2658,4
201305,2796,3
201306,2522,2
201307,1989,2
201308,2485,2
201309,2687,2
201310,2406,3
201311,2392,0
201312,2112,1
201313,1493,1
201314,1770,1
201315,1782,1
201316,1484,3
201317,1288,1
201318,956,4
201319,935,1
201320,806,2
201321,780,3
201322,542,0
201323,542,3
201324,347,1
201325,394,2
201326,380,1
201327,269,0
201328,251,1
201329,210,1
201330,148,0
201331,176,3
201332,177,2
201333,136,0
201334,124,0
201335,99,2
201336,99,0
201337,105,0
201338,128,1
201339,140,0
201340,154,0
201341,133,0
201342,144,0
201343,196,0
201344,186,0
201345,227,2
201346,253,0
201347,312,0
201348,295,0
201349,355,2
201350,304,0
201351,298,1
201352,152,0
201401,176,1
201402,365,2
201403,370,1
201404,344,0
201405,429,1
201406,363,1
201407,515,1
201408,527,0
201409,440,1
201410,370,2
201411,481,2
201412,518,1
201413,441,2
201414,453,0
201415,476,1
201416,390,0
201417,404,1
201418,344,2
201419,314,1
201420,265,0
201421,255,0
201422,204,0
201423,189,0
201424,154,0
201425,133,0
201426,163,1
201427,98,0
201428,100,1
201429,103,0
201430,87,2
201431,90,0
201432,90,2
201433,82,0
201434,91,1
201435,82,1
201436,77,0
201437,111,0
201438,102,2
201439,97,0
201440,102,1
201441,118,0
201442,106,1
201443,106,0
201444,96,0
201445,117,0
201446,116,0
201447,97,0
201448,153,1
201449,171,0
201450,181,1
201451,157,0
201452,86,1
201453,86,1
201501,159,0
201502,239,0
201503,290,0
201504,302,0
201505,329,0
201506,371,1
201507,338,1
201508,566,3
201509,542,3
201510,653,0
201511,841,2
201512,750,0
201513,810,0
201514,1045,0
201515,1191,0
201516,1142,0
201517,1247,0
201518,1400,2
201519,1315,0
201520,1395,0
201521,1174,0
201522,894,2
201523,777,0
201524,812,1
201525,679,1
201526,590,1
201527,474,0
201528,363,1
201529,382,0
201530,303,1
201531,280,0
201532,329,0
201533,367,0
201534,294,0
201535,280,1
201536,219,0
201537,260,0
201538,257,0
201539,257,1
201540,254,0
201541,268,0
201542,310,1
201543,273,1
201544,332,0
201545,390,2
201546,459,2
201547,633,0
201548,1135,0
201549,1360,1
201550,1298,1
201551,810,1
201552,865,0
201601,1962,1
201602,2148,1
201603,2419,2
201604,2318,0
201605,2566,2
201606,2029,0
201607,2625,0
201608,2370,1
201609,1976,0
201610,1433,1
201611,1201,1
201612,891,1
201613,823,1
201614,669,0
201615,591,0
201616,404,0
201617,383,1
201618,258,0
201619,238,1
201620,187,0
201621,163,1
201622,136,3
201623,108,0
201624,86,0
201625,66,0
201626,74,1
201627,79,0
201628,68,0
201629,56,0
201630,64,0
201631,81,0
201632,81,0
201633,81,1
201634,75,0
201635,59,1
201636,55,0
201637,73,0
201638,84,0
201639,107,0
201640,90,0
201641,89,0
201642,95,0
201643,101,0
201644,113,0
201645,137,0
201646,116,0
201647,192,0
201648,209,0
201649,212,0
201650,246,0
201651,197,1
201652,206,0
201701,355,0
201702,306,1
201703,329,1
201704,398,0
201705,424,1
201706,499,1
201707,494,0
201708,581,3
201709,429,0
201710,524,3
201711,494,3
201712,575,0
201713,602,0
201714,532,1
201715,436,1
201716,390,0
201717,382,0
201718,251,0
201719,264,0
201720,310,0
201721,275,0
201722,224,0
201723,195,0
201724,143,0
201725,154,0
201726,162,0
201727,109,2
201728,108,0
201729,77,0
201730,87,0
201731,87,1
201732,85,0
201733,110,1
201734,103,0
201735,76,0
201736,53,0
201737,77,0
201738,55,0
201739,63,0
201740,63,0
201741,39,0
201742,85,0
201743,84,1
201744,69,0
201745,96,0
201746,107,0
201747,118,0
201748,133,0
201749,155,0
201750,143,0
201751,183,0
201752,192,0
201801,227,0
201802,337,1
201803,357,1
201804,428,1
201805,454,1
201806,482,0
201807,306,0
201808,386,1
201809,416,0
201810,369,0
201811,402,0
201812,422,0
201813,272,1
201814,316,1
201815,376,2
201816,308,2
201817,328,0
201818,253,0
201819,281,2
201820,250,1
201821,229,0
201822,145,0
201823,153,0
201824,159,0
201825,133,0
201826,113,2
201827,99,0
201828,95,0
201829,69,0
201830,59,0
201831,57,0
201832,53,0
201833,67,0
201834,70,0
201835,47,0
201836,43,0
201837,57,1
201838,50,0
201839,42,0
201840,44,0
201841,38,0
201842,67,0
201843,58,0
201844,61,0
201845,119,0
201846,80,0
201847,94,0
201848,131,0
201849,165,1
201850,237,0
201851,202,0
201852,125,0
201901,135,0
201902,264,0
201903,263,0
201904,309,0
201905,316,0
201906,322,1
201907,331,0
201908,361,0
201909,381,0
201910,303,0
201911,389,1
201912,430,0
201913,470,1
201914,541,2
201915,552,0
201916,483,1
201917,718,0
201918,603,1
201919,754,1
201920,696,2
201921,805,0
201922,763,0
201923,566,0
201924,542,2
201925,393,1
201926,401,0
201927,322,0
201928,273,0
201929,213,0
201930,166,0
201931,237,1
201932,153,0
201933,141,1
201934,159,0
201935,143,0
201936,139,0
201937,110,0
201938,122,0
201939,113,1
201940,111,0
201941,143,0
201942,103,0
201943,153,0
201944,153,0
201945,161,0
201946,168,0
201947,252,1
201948,308,0
201949,361,1
201950,538,0
201951,580,0
201952,442,2
202001,913,1
202002,1422,0
202003,1766,1
202004,2176,4
202005,2627,1
202006,2691,1
202007,2454,0
202008,2185,4
202009,2020,5
202010,2300,1
202011,2246,3
202012,1731,3
202013,1309,0
202014,1338,0
202015,1308,2
202016,1446,2
202017,1380,1
202018,1432,2
202019,1331,1
202020,1426,1
202021,1357,0
202022,1149,1
202023,1099,1
202024,1017,2
202025,953,2
202026,697,0
202027,581,1
202028,501,0
202029,394,1
202030,388,0
202031,277,1
202032,236,0
202033,243,1
202034,164,1
202035,138,0
202036,162,1
202037,141,1
202038,135,0
202039,132,0
202040,99,0
202041,112,1
202042,88,0
202043,101,0
202044,89,2
202045,134,0
202046,126,0
202047,143,0
202048,145,1
202049,211,1
202050,217,0
202051,176,0
202052,156,0
202053,83,0
202101,224,1
202102,452,0
202103,550,0
