semana,casos,obitos
201001,108,1
201002,147,0
201003,134,0
201004,207,1
201005,292,0
201006,378,0
201007,352,0
201008,676,1
201009,771,0
201010,835,0
201011,1037,1
201012,1275,0
201013,1074,0
201014,1430,4
201015,1508,2
201016,1399,2
201017,1795,4
201018,1962,2
201019,2233,1
201020,2740,3
201021,2996,2
201022,3019,2
201023,3375,5
201024,2611,3
201025,1805,6
201026,2592,9
201027,2643,9
201028,2144,1
201029,2270,1
201030,2346,2
201031,1719,2
201032,1545,0
201033,1676,1
201034,1156,2
201035,897,2
201036,731,2
201037,655,1
201038,584,0
201039,443,1
201040,395,0
201041,338,0
201042,272,3
201043,297,0
201044,256,0
201045,295,0
201046,333,0
201047,325,0
201048,355,0
201049,308,0
201050,361,0
201051,240,1
201052,283,0
201101,315,2
201102,429,1
201103,380,0
201104,469,0
201105,594,6
201106,773,2
201107,810,1
201108,872,3
201109,880,2
201110,735,2
201111,1477,1
201112,1650,2
201113,1776,1
201114,1784,2
201115,1565,1
201116,923,2
201117,1400,2
201118,1179,4
201119,1205,0
201120,1290,9
201121,1132,4
201122,1080,2
201123,1124,5
201124,855,3
201125,565,1
201126,815,2
201127,696,4
201128,617,3
201129,612,1
201130,503,4
201131,543,7
201132,575,0
201133,501,2
201134,425,3
201135,385,2
201136,371,2
201137,412,1
201138,377,1
201139,393,0
201140,374,1
201141,374,0
201142,406,0
201143,413,0
201144,469,2
201145,565,1
201146,587,1
201147,691,0
201148,680,0
201149,729,0
201150,1040,1
201151,886,0
201152,924,1
201201,1184,0
201202,1530,0
201203,1588,0
201204,1638,2
201205,1783,1
201206,2426,2
201207,2415,1
201208,1829,0
201209,3126,4
201210,3127,3
201211,3829,5
201212,4139,1
201213,3830,7
201214,2682,0
201215,3675,3
201216,3458,6
201217,3043,1
201218,2066,2
201219,2268,2
201220,1831,2
201221,1570,0
201222,1254,2
201223,1009,1
201224,1046,1
201225,713,2
201226,658,4
201227,614,3
201228,598,2
201229,606,2
201230,495,3
201231,422,2
201232,365,1
201233,303,1
201234,336,1
201235,276,0
201236,159,1
201237,174,0
201238,232,1
201239,179,1
201240,125,2
201241,138,1
201242,138,0
201243,130,1
201244,115,1
201245,149,0
201246,97,2
201247,129,0
201248,82,1
201249,101,1
201250,109,0
201251,106,2
201252,55,0
201301,84,1
201302,137,2
201303,169,1
201304,178,1
201305,186,3
201306,194,1
201307,176,0
201308,259,1
201309,328,1
201310,276,2
201311,374,0
201312,435,1
201313,440,2
201314,664,1
201315,743,2
201316,745,1
201317,792,1
201318,680,2
201319,906,2
201320,928,1
201321,883,3
201322,755,3
201323,744,3
201324,525,5
201325,594,1
201326,396,2
201327,364,4
201328,351,2
201329,262,1
201330,284,2
201331,283,3
201332,267,4
201333,252,1
201334,218,4
201335,238,1
201336,234,3
201337,171,2
201338,206,4
201339,177,5
201340,222,0
201341,172,1
201342,203,0
201343,201,0
201344,166,1
201345,157,1
201346,129,0
201347,180,1
201348,157,0
201349,135,1
201350,116,0
201351,117,0
201352,112,1
201401,117,1
201402,167,2
201403,163,2
201404,185,1
201405,266,3
201406,253,4
201407,223,0
201408,302,1
201409,321,2
201410,206,0
201411,330,2
201412,352,0
201413,482,0
201414,568,2
201415,577,1
201416,543,1
201417,630,0
201418,646,1
201419,765,6
201420,860,2
201421,870,3
201422,848,1
201423,805,1
201424,735,1
201425,659,1
201426,396,3
201427,488,0
201428,476,3
201429,511,2
201430,379,0
201431,311,1
201432,283,2
201433,283,0
201434,218,4
201435,198,1
201436,237,0
201437,225,1
201438,186,1
201439,248,3
201440,198,4
201441,199,2
201442,213,2
201443,224,0
201444,242,1
201445,251,0
201446,249,3
201447,262,3
201448,266,1
201449,282,1
201450,299,0
201451,316,1
201452,284,0
201453,272,0
201501,572,0
201502,620,1
201503,760,0
201504,924,0
201505,1123,2
201506,1337,2
201507,977,0
201508,2010,1
201509,2469,2
201510,4134,1
201511,5025,2
201512,6277,1
201513,4575,1
201514,6933,1
201515,7415,2
201516,7064,4
201517,7455,2
201518,8489,2
201519,6863,5
201520,6150,2
201521,4469,6
201522,4016,1
201523,3645,3
201524,3344,3
201525,1981,2
201526,2192,2
201527,2164,1
201528,1412,1
201529,1357,3
201530,1305,3
201531,998,2
201532,818,3
201533,915,3
201534,1186,0
201535,1515,1
201536,1431,1
201537,1353,5
201538,1206,3
201539,1303,1
201540,1475,0
201541,1411,4
201542,1746,1
201543,2316,2
201544,3284,2
201545,4416,3
201546,5958,6
201547,5672,5
201548,7325,7
201549,6631,9
201550,7536,6
201551,4300,4
201552,3663,10
201601,6773,9
201602,6446,5
201603,7681,7
201604,8558,8
201605,8514,13
201606,6126,15
201607,10525,22
201608,9631,24
201609,8331,14
201610,7045,18
201611,5861,16
201612,3839,11
201613,4248,31
201614,3101,25
201615,2494,24
201616,1883,14
201617,1840,8
201618,1644,3
201619,1109,3
201620,1390,6
201621,1070,14
201622,814,1
201623,846,3
201624,964,8
201625,590,8
201626,728,4
201627,568,2
201628,513,9
201629,470,5
201630,397,4
201631,371,1
201632,416,5
201633,476,5
201634,425,0
201635,355,1
201636,380,3
201637,302,3
201638,279,1
201639,246,4
201640,280,2
201641,173,1
201642,187,2
201643,206,1
201644,214,1
201645,215,0
201646,157,1
201647,218,2
201648,162,3
201649,181,1
201650,181,0
201651,158,2
201652,153,6
201701,184,0
201702,210,0
201703,205,0
201704,281,0
201705,264,4
201706,294,3
201707,350,4
201708,293,2
201709,215,0
201710,310,0
201711,362,3
201712,358,0
201713,488,2
201714,342,0
201715,310,3
201716,470,2
201717,494,1
201718,524,3
201719,519,5
201720,596,4
201721,639,2
201722,532,7
201723,672,1
201724,537,3
201725,565,3
201726,499,1
201727,368,4
201728,400,3
201729,334,9
201730,350,3
201731,397,4
201732,386,5
201733,406,3
201734,369,1
201735,369,4
201736,261,0
201737,339,1
201738,301,0
201739,308,0
201740,261,3
201741,198,0
201742,244,0
201743,246,2
201744,221,1
201745,249,0
201746,233,0
201747,198,0
201748,216,4
201749,205,2
201750,272,0
201751,242,1
201752,178,0
201801,204,0
201802,271,1
