semana,casos,obitos
200952,1,0
201001,60,0
201002,63,1
201003,59,0
201004,80,0
201005,71,0
201006,167,0
201007,115,1
201008,190,0
201009,219,0
201010,250,0
201011,235,0
201012,292,0
201013,232,1
201014,253,3
201015,210,0
201016,286,0
201017,328,0
201018,330,1
201019,304,0
201020,294,0
201021,337,0
201022,283,0
201023,324,0
201024,238,2
201025,251,0
201026,294,1
201027,300,0
201028,225,0
201029,237,0
201030,189,0
201031,185,0
201032,177,1
201033,145,0
201034,145,0
201035,131,0
201036,104,1
201037,140,1
201038,115,0
201039,102,0
201040,75,0
201041,53,0
201042,49,0
201043,43,0
201044,53,0
201045,58,0
201046,53,0
201047,61,0
201048,72,0
201049,74,0
201050,84,0
201051,112,0
201052,51,0
201101,151,0
201102,203,0
201103,316,1
201104,221,0
201105,387,0
201106,398,0
201107,410,0
201108,365,0
201109,323,0
201110,249,1
201111,497,3
201112,605,1
201113,674,0
201114,657,1
201115,735,1
201116,424,1
201117,600,0
201118,579,1
201119,586,3
201120,656,0
201121,513,1
201122,476,1
201123,471,0
201124,434,0
201125,307,0
201126,260,0
201127,262,1
201128,244,0
201129,177,0
201130,144,0
201131,149,0
201132,132,1
201133,138,0
201134,152,0
201135,116,0
201136,123,2
201137,92,0
201138,104,0
201139,69,0
201140,62,0
201141,63,0
201142,63,0
201143,64,0
201144,72,0
201145,101,0
201146,92,0
201147,93,1
201148,130,0
201149,126,0
201150,128,1
201151,99,0
201152,80,0
201201,136,0
201202,198,0
201203,202,0
201204,214,1
201205,220,1
201206,305,0
201207,306,0
201208,157,1
201209,301,0
201210,278,0
201211,412,1
201212,445,0
201213,520,1
201214,342,1
201215,654,1
201216,960,1
201217,971,0
201218,956,0
201219,1212,0
201220,1018,1
201221,925,0
201222,925,1
201223,538,0
201224,566,0
201225,483,0
201226,411,1
201227,333,1
201228,276,0
201229,272,0
201230,247,0
201231,192,0
201232,152,0
201233,154,0
201234,148,0
201235,93,1
201236,78,0
201237,75,0
201238,69,0
201239,51,0
201240,37,1
201241,37,0
201242,41,0
201243,29,0
201244,34,0
201245,39,0
201246,37,0
201247,34,0
201248,33,0
201249,31,1
201250,42,0
201251,33,0
201252,17,0
201301,22,1
201302,65,0
201303,77,0
201304,109,0
201305,137,0
201306,124,1
201307,82,1
201308,191,0
201309,223,2
201310,260,0
201311,220,0
201312,281,2
201313,208,0
201314,270,0
201315,325,0
201316,310,0
201317,266,0
201318,190,0
201319,198,0
201320,282,1
201321,276,0
201322,230,0
201323,244,0
201324,276,1
201325,218,0
201326,209,0
201327,176,2
201328,181,0
201329,204,1
201330,101,0
201331,133,0
201332,120,0
201333,69,0
201334,82,0
201335,69,0
201336,61,0
201337,50,0
201338,63,0
201339,55,0
201340,50,0
201341,30,0
201342,40,1
201343,34,0
201344,30,0
201345,22,0
201346,34,0
201347,28,0
201348,34,1
201349,71,0
201350,32,0
201351,41,0
201352,17,0
201401,17,0
201402,78,0
201403,60,1
201404,73,1
201405,128,0
201406,78,0
201407,115,1
201408,117,0
201409,119,0
201410,68,0
201411,111,0
201412,128,1
201413,130,0
201414,216,0
201415,293,0
201416,213,0
201417,255,1
201418,347,0
201419,434,1
201420,496,0
201421,721,2
201422,627,0
201423,522,1
201424,444,0
201425,429,1
201426,374,0
201427,349,1
201428,364,2
201429,335,0
201430,353,1
201431,242,0
201432,157,0
201433,157,0
201434,143,0
201435,128,0
201436,111,0
201437,84,0
201438,105,0
201439,88,0
201440,61,0
201441,81,0
201442,45,0
201443,56,1
201444,51,0
201445,71,0
201446,63,0
201447,62,0
201448,46,0
201449,44,0
201450,47,0
201451,31,0
201452,31,0
201453,22,0
201501,65,0
201502,55,0
201503,61,0
201504,65,0
201505,104,0
201506,109,0
201507,86,0
201508,180,0
201509,269,2
201510,389,0
201511,520,1
201512,798,0
201513,621,0
201514,904,0
201515,988,0
201516,764,2
201517,694,0
201518,624,0
201519,614,1
201520,609,2
201521,465,0
201522,278,0
201523,312,0
201524,227,2
201525,180,1
201526,154,0
201527,107,0
201528,54,0
201529,67,0
201530,67,0
201531,46,0
201532,121,0
201533,56,0
201534,36,0
201535,37,0
201536,28,0
201537,36,0
201538,26,0
201539,22,0
201540,19,0
201541,33,0
201542,18,1
201543,29,0
201544,17,0
201545,20,0
201546,29,0
201547,34,0
201548,46,0
201549,50,0
