semana,casos,obitos
201001,301,0
201002,368,0
201003,419,0
201004,633,1
201005,808,2
201006,1155,4
201007,1414,0
201008,2437,1
201009,3117,0
201010,3691,2
201011,3974,2
201012,4506,2
201013,4418,2
201014,5164,7
201015,5229,0
201016,4242,2
201017,4206,4
201018,4175,4
201019,2857,1
201020,1755,1
201021,990,2
201022,540,2
201023,495,0
201024,503,0
201025,406,3
201026,356,1
201027,389,1
201028,232,0
201029,236,3
201030,242,0
201031,149,0
201032,226,1
201033,178,0
201034,269,3
201035,382,1
201036,237,0
201037,369,0
201038,371,2
201039,259,1
201040,277,0
201041,210,0
201042,328,3
201043,349,1
201044,293,0
201045,349,0
201046,309,0
201047,436,0
201048,391,0
201049,517,0
201050,742,0
201051,647,1
201052,783,1
201101,1002,1
201102,1087,4
201103,1196,1
201104,1600,2
201105,2018,3
201106,2597,2
201107,3579,6
201108,4283,8
201109,4056,6
201110,3521,4
201111,4464,2
201112,4617,4
201113,4555,2
201114,3970,1
201115,3095,2
201116,1970,1
201117,2248,0
201118,1688,0
201119,1651,0
201120,985,0
201121,871,1
201122,523,3
201123,308,1
201124,280,1
201125,260,0
201126,133,0
201127,91,0
201128,148,0
201129,190,1
201130,190,2
201131,101,0
201132,203,1
201133,220,1
201134,152,0
201135,234,2
201136,240,2
201137,237,1
201138,260,2
201139,362,1
201140,436,0
201141,320,1
201142,538,1
201143,615,0
201144,517,1
201145,637,1
201146,586,1
201147,823,1
201148,1013,1
201149,915,1
201150,995,0
201151,746,0
201152,567,0
201201,516,1
201202,514,0
201203,458,3
201204,401,1
201205,456,2
201206,481,0
201207,437,0
201208,375,0
201209,550,0
201210,655,3
201211,720,2
201212,649,1
201213,598,3
201214,583,0
201215,624,0
201216,563,1
201217,575,2
201218,354,0
201219,422,2
201220,409,1
201221,420,1
201222,384,0
201223,212,1
201224,275,0
201225,221,0
201226,215,1
201227,207,1
201228,159,0
201229,95,0
201230,150,0
201231,127,0
201232,138,0
201233,134,0
201234,145,0
201235,106,0
201236,112,0
201237,177,2
201238,167,1
201239,107,1
201240,180,0
201241,175,0
201242,180,0
201243,208,1
201244,171,1
201245,235,0
201246,196,0
201247,259,1
201248,308,0
201249,335,0
201250,501,1
201251,583,0
201252,480,1
201301,837,1
201302,1177,1
201303,1847,4
201304,2430,1
201305,2876,2
201306,3539,2
201307,3445,8
201308,5054,7
201309,6595,9
201310,7084,5
201311,7672,11
201312,7853,6
201313,6908,3
201314,7740,3
201315,7627,6
201316,7039,8
201317,5943,1
201318,4237,6
201319,3220,4
201320,3107,1
201321,2395,8
201322,1353,1
201323,1291,1
201324,1141,1
201325,730,0
201326,525,0
201327,459,0
201328,430,4
201329,328,3
201330,135,1
201331,206,2
201332,251,2
201333,155,0
201334,213,0
201335,181,1
201336,202,1
201337,262,0
201338,212,1
201339,165,1
201340,201,2
201341,224,0
201342,322,1
201343,400,0
201344,421,0
201345,516,0
201346,441,0
201347,563,1
201348,585,0
201349,606,1
201350,661,1
201351,696,0
201352,563,3
201401,566,1
201402,888,0
201403,875,1
201404,1071,1
201405,1257,2
201406,1317,3
201407,1436,2
201408,1616,3
201409,1690,1
201410,1436,1
201411,1964,4
201412,2444,1
201413,2861,2
201414,2724,4
201415,3244,4
201416,2637,5
201417,2823,3
201418,2422,6
201419,2870,3
201420,2388,5
201421,2388,0
201422,1428,2
201423,1082,2
201424,984,1
201425,796,6
201426,909,1
201427,657,2
201428,549,2
201429,565,1
201430,521,0
201431,406,3
201432,407,1
201433,447,0
201434,451,1
201435,351,3
201436,415,2
201437,388,0
201438,348,0
201439,219,0
201440,302,2
201441,346,0
201442,363,1
201443,314,1
201444,360,1
201445,371,0
201446,364,1
201447,368,0
201448,384,0
201449,399,3
201450,369,0
201451,372,0
201452,185,0
201453,260,2
201501,520,2
201502,630,1
201503,845,1
201504,1038,0
201505,1339,2
201506,1479,3
201507,1355,1
201508,2248,1
201509,2961,5
201510,3745,6
201511,5068,1
201512,6010,9
201513,5409,4
201514,6928,4
201515,7684,6
201516,5790,10
201517,5222,5
201518,5049,5
201519,3291,5
201520,2740,6
201521,2304,2
201522,1592,3
201523,1722,2
201524,1203,4
201525,1051,0
201526,739,2
201527,476,3
201528,553,0
201529,601,2
201530,690,2
201531,671,0
201532,680,1
201533,649,1
201534,511,1
201535,524,2
201536,411,0
201537,515,0
201538,559,0
201539,455,1
201540,535,2
201541,519,4
201542,592,2
201543,535,0
201544,525,0
201545,726,0
201546,771,4
201547,913,5
201548,1210,3
201549,1598,1
201550,1953,2
201551,1455,1
201552,1686,4
201601,3006,8
201602,3979,6
201603,5019,11
201604,5297,11
201605,5774,7
201606,6514,16
201607,8221,20
201608,8413,8
201609,8869,5
201610,8712,13
201611,8052,11
201612,7365,10
201613,9330,11
201614,8343,13
201615,7960,10
201616,6193,9
201617,4065,9
201618,2601,7
201619,1694,9
201620,1253,6
201621,661,1
201622,625,1
201623,352,3
201624,353,2
201625,335,2
201626,372,6
201627,313,1
201628,341,1
201629,223,2
201630,310,2
201631,331,1
201632,288,0
201633,318,1
201634,338,1
201635,295,1
201636,229,0
201637,384,1
201638,430,2
201639,462,1
201640,439,1
201641,501,0
201642,671,3
201643,607,0
201644,599,3
201645,649,1
201646,599,1
201647,864,1
201648,771,0
201649,796,4
201650,693,0
201651,641,2
201652,668,0
201701,857,1
201702,1054,1
201703,1070,1
201704,1008,1
201705,866,2
201706,892,4
201707,871,2
201708,940,2
201709,691,1
201710,872,0
201711,869,0
201712,814,0
201713,719,2
201714,646,1
201715,541,4
201716,462,3
201717,384,4
201718,334,0
201719,401,0
201720,372,0
201721,331,0
201722,292,0
201723,282,0
201724,164,1
201725,206,1
201726,210,1
201727,162,2
201728,181,1
201729,143,0
201730,175,0
201731,208,3
201732,211,1
201733,210,1
201734,249,2
201735,323,2
201736,307,0
201737,442,1
201738,501,3
201739,578,2
201740,446,3
201741,413,3
201742,621,1
201743,477,0
201744,461,2
201745,517,1
201746,596,3
201747,658,0
201748,577,0
201749,702,1
201750,699,1
201751,526,0
201752,374,0
201801,454,1
201802,564,3
201803,709,3
201804,754,1
201805,675,4
201806,651,1
201807,465,3
201808,464,0
201809,489,2
201810,506,1
201811,460,2
201812,471,1
201813,368,0
201814,522,1
201815,560,1
201816,435,2
201817,492,0
201818,389,0
201819,382,1
201820,329,0
201821,205,0
201822,156,1
201823,139,1
201824,168,1
201825,184,1
201826,253,0
201827,228,1
201828,189,2
201829,205,0
201830,167,1
201831,164,1
201832,115,2
201833,119,0
201834,155,0
201835,170,1
201836,129,1
201837,183,1
201838,192,1
201839,239,0
201840,275,0
201841,206,0
201842,278,1
201843,289,2
201844,308,0
201845,335,0
201846,316,0
201847,360,3
201848,419,0
201849,488,0
201850,458,0
201851,410,1
201852,315,2
201901,408,3
201902,575,2
201903,601,1
201904,808,0
201905,1006,4
201906,1068,1
201907,1356,1
201908,1594,1
201909,1641,2
201910,1695,2
201911,2263,4
201912,3026,3
201913,3778,2
201914,4043,8
201915,4512,5
201916,4917,7
201917,6279,3
201918,5649,3
201919,7055,7
201920,6361,3
201921,6171,6
201922,4647,7
201923,3232,1
201924,3543,4
201925,2602,3
201926,2600,0
201927,1947,1
201928,1250,3
201929,827,1
201930,872,0
201931,815,2
201932,612,0
201933,616,0
201934,609,0
201935,628,2
201936,534,1
201937,684,0
201938,663,0
201939,602,0
201940,750,0
201941,693,1
201942,863,0
201943,901,1
201944,962,0
201945,1118,2
201946,1201,3
201947,1566,2
201948,1813,3
201949,2106,3
201950,2640,2
201951,2929,1
201952,2773,6
202001,4389,4
202002,6663,6
202003,9259,11
202004,13209,19
202005,15191,13
202006,21600,23
202007,28906,32
202008,25492,29
202009,26637,19
202010,29607,32
202011,27224,26
202012,20535,21
202013,18323,16
202014,17289,20
202015,14990,11
202016,12274,15
202017,10013,15
202018,8493,11
202019,7406,14
202020,5345,9
202021,3722,8
202022,2502,5
202023,1726,6
202024,1687,6
202025,2016,5
202026,1327,3
202027,868,3
202028,919,6
202029,822,5
202030,809,6
202031,677,2
202032,653,0
202033,597,6
202034,401,2
202035,574,1
202036,656,3
202037,748,2
202038,760,2
202039,789,5
202040,862,5
202041,859,6
202042,844,5
202043,993,1
202044,850,7
202045,1034,5
202046,1109,2
202047,1315,6
202048,1367,6
202049,1271,2
202050,1342,4
202051,1119,1
202052,882,3
202053,535,4
202101,1080,1
202102,1708,3
202103,1794,7
202104,2083,3
202105,2293,8
202106,2395,7
202107,2623,9
202108,3252,12
202109,2866,13
202110,3173,4
202111,3114,8
202112,3755,7
202113,3558,8
202114,4905,7
202115,4634,14
202116,4600,7
202117,4611,11
202118,4006,9
202119,3251,12
202120,2852,9
202121,2094,5
202122,1513,3
202123,1336,6
202124,1138,4
202125,938,4
202126,527,2
202127,636,3
202128,699,5
202129,492,1
202130,408,4
202131,487,2
202132,596,3
202133,734,1
202134,667,1
202135,655,0
202136,649,1
202137,714,1
202138,738,3
202139,742,4
202140,534,2
202141,603,2
202142,710,1
202143,673,2
202144,625,3
202145,728,0
202146,618,0
202147,806,1
202148,713,4
202149,662,1
202150,709,3
202151,618,4
202152,751,3
202201,828,2
202202,1220,2
202203,1321,3
202204,1245,6
202205,1162,5
202206,1318,3
202207,1690,0
202208,2423,5
202209,3449,8
202210,6643,9
202211,9906,7
202212,12594,10
202213,15849,11
202214,19237,23
202215,18093,15
202216,22253,28
202217,25768,20
202218,23357,24
202219,23448,29
202220,14718,21
202221,12320,18
202222,7606,20
202223,6981,11
202224,4323,8
202225,4452,7
202226,3625,9
202227,3503,4
202228,2766,9
202229,2317,4
202230,2270,4
202231,2180,4
202232,1537,5
202233,1531,4
202234,1506,5
202235,1394,5
202236,1153,1
202237,1134,1
202238,1123,0
202239,1055,1
202240,1291,2
202241,1088,1
202242,1506,2
202243,1862,6
202244,1331,1
202245,1771,0
202246,1749,6
202247,2241,0
202248,2105,3
202249,2138,1
202250,2214,4
202251,1691,2
202252,1529,2
