semana,casos,obitos
201001,10,0
201002,11,0
201003,20,0
201004,13,0
201005,12,0
201006,15,0
201007,38,0
201008,453,1
201009,791,0
201010,631,1
201011,525,1
201012,513,0
201013,340,0
201014,343,0
201015,258,0
201016,95,0
201017,73,0
201018,48,0
201019,31,1
201020,24,0
201021,18,0
201022,9,0
201023,13,0
201024,12,0
201025,14,0
201026,15,0
201027,23,0
201028,14,0
201029,12,0
201030,19,0
201031,10,0
201032,18,0
201033,29,0
201034,35,0
201035,30,0
201036,20,0
201037,12,0
201038,12,0
201039,23,0
201040,14,0
201041,9,0
201042,15,2
201043,24,0
201044,26,1
201045,28,0
201046,30,0
201047,36,1
201048,49,0
201049,41,0
201050,32,1
201051,28,1
201052,27,0
201101,39,1
201102,46,0
201103,42,0
201104,43,0
201105,49,0
201106,50,1
201107,58,0
201108,79,0
201109,78,1
201110,46,0
201111,69,0
201112,101,0
201113,95,0
201114,98,2
201115,108,0
201116,80,1
201117,91,1
201118,70,0
201119,77,0
201120,37,1
201121,23,0
201122,32,0
201123,12,0
201124,9,0
201125,6,0
201126,7,0
201127,2,0
201128,2,0
201129,5,0
201130,5,0
201131,3,0
201132,6,0
201133,12,0
201134,4,0
201135,1,0
201136,3,0
201137,5,0
201138,5,0
201139,4,0
201140,5,0
201141,8,0
201142,8,0
201143,8,0
201144,7,0
201145,12,0
201146,11,0
201147,17,0
201148,14,1
201149,20,0
201150,26,0
201151,16,0
201152,17,1
201201,18,0
201202,35,0
201203,21,0
201204,28,0
201205,19,0
201206,19,1
201207,17,0
201208,15,0
201209,17,0
201210,22,0
201211,32,0
201212,31,0
201213,22,0
201214,14,0
201215,20,0
201216,33,1
201217,25,0
201218,8,0
201219,20,0
201220,21,0
201221,18,0
201222,16,0
201223,7,1
201224,10,0
201225,6,0
201226,6,0
201227,6,0
201228,1,0
201229,2,1
201230,2,0
201231,2,0
201232,2,0
201233,2,0
201234,3,0
201235,3,0
201236,0,0
201237,0,0
201238,1,0
201239,2,0
201240,1,0
201241,4,0
201242,1,0
201243,4,0
201244,2,0
201245,6,0
201246,6,0
201247,11,1
201248,9,0
201249,7,0
201250,8,0
201251,10,0
201252,4,1
201301,7,0
201302,28,0
201303,18,0
201304,23,0
201305,38,0
201306,34,0
201307,45,0
201308,79,1
201309,158,0
201310,201,1
201311,158,0
201312,162,2
201313,199,0
201314,220,2
201315,178,1
201316,113,0
201317,115,0
201318,101,1
201319,64,0
201320,49,0
201321,33,0
201322,33,0
201323,29,0
201324,20,0
201325,12,0
201326,19,0
201327,14,1
201328,10,0
201329,6,0
201330,3,0
201331,10,0
201332,7,0
201333,10,0
201334,11,0
201335,2,0
201336,4,0
201337,9,0
201338,7,0
201339,6,0
201340,8,0
201341,7,0
201342,8,1
201343,8,1
201344,7,0
201345,3,0
201346,8,0
201347,8,1
201348,29,0
201349,17,0
201350,23,0
201351,21,0
201352,14,0
201401,22,0
201402,32,0
201403,26,0
201404,36,2
201405,30,0
201406,30,0
201407,28,0
201408,53,0
201409,41,1
201410,24,0
201411,33,0
201412,26,0
201413,17,0
201414,27,0
201415,17,0
201416,16,0
201417,16,0
201418,20,0
201419,21,0
201420,23,0
201421,17,0
201422,6,0
201423,7,0
201424,10,0
201425,5,0
201426,8,0
201427,5,0
201428,4,0
201429,7,0
201430,7,0
201431,9,1
201432,6,0
201433,9,0
201434,7,0
201435,4,0
201436,3,0
201437,4,0
201438,3,0
201439,3,0
201440,5,0
201441,6,0
201442,8,0
201443,6,1
201444,7,0
201445,7,1
201446,11,0
201447,19,0
201448,12,0
201449,13,0
201450,10,2
201451,12,0
201452,5,0
201453,11,0
201501,14,0
201502,15,0
201503,33,0
201504,31,1
201505,17,0
201506,26,0
201507,22,0
201508,36,0
201509,30,0
201510,128,2
201511,219,0
201512,202,2
201513,262,0
201514,413,1
201515,473,2
201516,301,1
201517,255,0
201518,270,1
201519,168,1
201520,185,0
201521,109,0
201522,69,1
201523,80,0
201524,36,0
201525,32,0
201526,36,0
201527,22,0
201528,18,0
201529,8,0
201530,21,0
201531,24,0
201532,22,0
201533,18,0
201534,24,1
201535,13,0
201536,10,0
201537,11,0
201538,18,0
201539,16,0
201540,20,0
201541,8,0
201542,11,0
201543,22,0
201544,21,0
201545,10,0
201546,19,0
201547,29,0
201548,52,0
201549,52,0
201550,80,1
201551,55,0
201552,63,0
201601,161,2
201602,155,0
201603,161,0
201604,167,1
201605,198,1
201606,214,0
201607,418,0
201608,429,1
201609,453,0
201610,524,0
201611,559,0
201612,549,0
201613,633,0
201614,630,1
201615,574,0
201616,475,1
201617,392,1
201618,292,0
201619,199,0
201620,100,0
201621,52,0
201622,50,0
201623,24,0
201624,10,0
201625,22,0
201626,20,0
201627,22,1
201628,17,0
201629,18,0
201630,23,0
201631,24,0
201632,32,0
201633,33,0
201634,22,1
201635,20,0
201636,16,0
201637,12,0
201638,21,0
201639,15,0
201640,27,0
201641,29,1
201642,27,0
201643,32,0
201644,35,0
201645,39,0
201646,33,0
201647,57,1
201648,49,0
201649,75,0
201650,55,0
201651,73,0
201652,69,0
201701,93,0
201702,121,1
