semana,casos,obitos
201001,2638,4
201002,3326,2
201003,4406,1
201004,5331,0
201005,7598,5
201006,9398,7
201007,10899,12
201008,16883,22
201009,17103,17
201010,18128,11
201011,18426,19
201012,20022,26
201013,17703,27
201014,18305,23
201015,17877,26
201016,14086,19
201017,15468,17
201018,15993,26
201019,11287,17
201020,9183,16
201021,6766,13
201022,3819,11
201023,3592,8
201024,2377,8
201025,2006,4
201026,1524,1
201027,1253,6
201028,1216,2
201029,1240,5
201030,1149,11
201031,980,13
201032,950,2
201033,757,5
201034,984,4
201035,1153,3
201036,937,3
201037,1274,6
201038,1294,4
201039,902,5
201040,899,2
201041,785,3
201042,1022,5
201043,1211,6
201044,994,5
201045,1249,6
201046,1123,6
201047,1484,8
201048,1669,9
201049,1636,8
201050,1777,7
201051,1342,3
201052,1449,5
201101,2080,12
201102,2486,5
201103,3109,12
201104,3702,13
201105,3957,17
201106,4968,11
201107,5620,8
201108,7045,9
201109,7215,5
201110,6383,11
201111,9433,9
201112,11142,10
201113,12766,13
201114,13870,10
201115,15312,12
201116,11798,22
201117,15472,28
201118,14548,12
201119,12845,18
201120,9974,16
201121,8532,15
201122,5685,7
201123,3577,11
201124,2718,16
201125,1769,4
201126,1539,3
201127,1224,9
201128,1288,15
201129,1171,2
201130,1178,11
201131,983,4
201132,1123,3
201133,1132,9
201134,962,7
201135,1161,9
201136,1087,8
201137,1487,7
201138,1600,8
201139,1839,7
201140,2050,9
201141,1706,9
201142,1812,6
201143,1875,6
201144,1380,4
201145,1632,7
201146,1136,4
201147,1590,5
201148,1540,6
201149,1596,7
201150,1887,6
201151,1655,5
201152,1423,3
201201,1907,10
201202,1988,7
201203,1943,3
201204,1952,9
201205,2253,8
201206,2454,10
201207,2449,9
201208,2178,6
201209,3262,13
201210,3415,9
201211,3568,11
201212,3582,6
201213,3658,4
201214,3033,5
201215,3745,9
201216,4154,6
201217,4500,9
201218,2867,7
201219,3418,8
201220,2452,13
201221,2598,12
201222,2614,10
201223,1771,3
201224,2210,11
201225,1946,7
201226,1840,11
201227,1598,10
201228,1116,6
201229,856,3
201230,978,4
201231,941,7
201232,945,8
201233,805,3
201234,798,6
201235,723,7
201236,625,5
201237,799,14
201238,776,9
201239,690,5
201240,748,6
201241,707,3
201242,858,5
201243,888,8
201244,899,9
201245,1068,3
201246,797,9
201247,1133,4
201248,1191,5
201249,1250,11
201250,1166,4
201251,1255,9
201252,1084,6
201301,1870,14
201302,3312,8
201303,4130,9
201304,6056,9
201305,7505,14
201306,8952,13
201307,8666,14
201308,14126,11
201309,19410,16
201310,23905,22
201311,28250,25
201312,30161,18
201313,25012,22
201314,31141,17
201315,33327,29
201316,31600,27
201317,25672,22
201318,17650,21
201319,14310,15
201320,14383,18
201321,10844,14
201322,5608,13
201323,5697,13
201324,4727,9
201325,3391,11
201326,2453,8
201327,2156,11
201328,1450,11
201329,1508,9
201330,829,3
201331,807,3
201332,1037,6
201333,810,7
201334,771,8
201335,702,9
201336,717,4
201337,749,8
201338,822,6
201339,832,9
201340,738,7
201341,752,9
201342,797,5
201343,945,5
201344,926,7
201345,895,4
201346,996,4
201347,1111,4
201348,1266,10
201349,1265,4
201350,1420,5
201351,1424,9
201352,929,5
201401,867,6
201402,1457,4
201403,1797,10
201404,2191,5
201405,2823,12
201406,3263,15
201407,4458,11
201408,5738,9
201409,6313,10
201410,5657,6
201411,8451,14
201412,11039,9
201413,15758,15
201414,20050,13
201415,27370,24
201416,27944,26
201417,34155,24
201418,29965,26
201419,29227,26
201420,23667,20
201421,20195,23
201422,15033,15
201423,11040,12
201424,8323,18
201425,5743,10
201426,5917,11
201427,4165,12
201428,3069,9
201429,3118,14
201430,2564,3
201431,2138,7
201432,1967,7
201433,1769,10
201434,1726,11
201435,1710,6
201436,1545,12
201437,1718,5
201438,1784,6
201439,1682,6
201440,1843,7
201441,1865,5
201442,1976,13
201443,2057,7
201444,1892,7
201445,1946,4
201446,2092,9
201447,1832,6
201448,2061,8
201449,2121,5
201450,2315,9
201451,2464,4
201452,1715,4
201453,2645,12
201501,6042,9
201502,8150,22
201503,12615,24
201504,20399,28
201505,26552,43
201506,34563,37
201507,32026,43
201508,50001,59
201509,60609,57
201510,71047,66
201511,78386,71
201512,80836,74
201513,61708,73
201514,68275,78
201515,70345,76
201516,56712,65
201517,53037,60
201518,47945,58
201519,35819,52
201520,24307,41
201521,18324,28
201522,10555,16
201523,10639,11
201524,7524,21
201525,5421,16
201526,4302,14
201527,2339,8
201528,2731,14
201529,2392,11
201530,2287,9
201531,1946,6
201532,1751,5
201533,1849,7
201534,1517,10
201535,1524,9
201536,1176,6
201537,1652,8
201538,2072,9
201539,1995,13
201540,2149,9
201541,2198,8
201542,2547,7
201543,2277,5
201544,2428,8
201545,3102,16
201546,3430,10
201547,4059,11
201548,4945,15
201549,5803,18
201550,6991,15
201551,5411,15
201552,6912,15
201601,13163,16
201602,14564,12
201603,17655,20
201604,19356,21
201605,22269,30
201606,21514,31
201607,28595,29
201608,29883,25
201609,30493,29
201610,31504,37
201611,29947,30
201612,26362,30
201613,27846,33
201614,23742,34
201615,20743,35
201616,15861,18
201617,14897,25
201618,11718,13
201619,7658,15
201620,6008,8
201621,3626,8
201622,3360,11
201623,2387,6
201624,1757,7
201625,1404,3
201626,1215,8
201627,1299,5
201628,1045,6
201629,780,7
201630,847,4
201631,870,4
201632,869,5
201633,918,5
201634,753,4
201635,968,6
201636,769,3
201637,1179,11
201638,1053,6
201639,1109,2
201640,1112,9
201641,1118,6
201642,1853,10
201643,1759,3
201644,1647,5
201645,2208,6
201646,1842,8
201647,2198,9
201648,2310,7
201649,2210,6
201650,2150,9
201651,1844,6
201652,2055,11
201701,2254,11
201702,2256,8
201703,2062,7
201704,2447,16
201705,2652,14
201706,2774,14
201707,2964,12
201708,2891,7
201709,2247,12
201710,2814,10
201711,2858,14
201712,2498,16
201713,2390,10
201714,2281,6
201715,1933,8
201716,1898,7
201717,1699,8
201718,1398,4
201719,1428,7
201720,1312,7
201721,1175,6
201722,1260,6
201723,1172,6
201724,695,4
201725,935,8
201726,774,4
201727,538,2
201728,620,2
201729,547,5
201730,613,2
201731,557,1
201732,618,6
201733,632,5
201734,712,5
201735,908,3
201736,839,2
201737,1324,10
201738,1526,9
201739,1633,10
201740,1768,3
201741,1625,7
201742,2109,7
201743,1812,18
201744,1456,4
201745,1777,6
201746,1655,9
201747,1552,7
201748,1637,7
201749,1743,11
201750,1815,5
201751,1618,10
201752,1217,14
201801,1396,12
201802,1780,24
201803,2513,26
201804,2535,28
201805,2569,20
201806,2315,19
201807,1775,11
201808,2270,23
201809,2263,9
201810,2143,23
201811,2174,20
201812,2121,5
201813,1867,17
201814,2033,13
201815,2184,20
201816,1805,11
201817,1928,12
201818,1688,10
201819,1838,11
201820,1839,8
201821,1303,12
201822,1049,7
201823,1057,7
201824,1204,9
201825,990,4
201826,1088,8
201827,890,8
201828,651,6
201829,734,4
201830,672,2
201831,701,5
201832,580,3
201833,624,5
201834,747,5
201835,688,6
201836,577,7
201837,669,4
201838,702,9
201839,908,6
201840,914,8
201841,762,8
201842,1126,5
201843,1073,10
201844,1051,3
201845,1215,2
201846,1245,5
201847,1518,2
201848,1679,3
201849,1982,7
201850,2283,12
201851,2555,5
201852,2244,9
201901,3337,12
201902,4931,12
201903,6067,13
201904,8678,13
201905,12204,28
201906,14637,25
201907,17312,31
201908,20053,38
201909,19878,40
201910,18430,24
201911,22870,27
201912,26062,33
201913,31562,22
201914,35157,37
201915,36892,37
201916,36427,43
201917,46182,43
