semana,casos,obitos
201001,400,0
201002,457,1
201003,437,0
201004,643,0
201005,588,2
201006,621,0
201007,417,2
201008,759,0
201009,913,1
201010,785,0
201011,742,0
201012,836,0
201013,547,0
201014,763,0
201015,752,0
201016,694,1
201017,654,1
201018,598,1
201019,550,0
201020,409,0
201021,381,0
201022,250,0
201023,247,1
201024,192,0
201025,189,0
201026,119,0
201027,99,0
201028,83,0
201029,82,2
201030,91,0
201031,89,0
201032,95,0
201033,81,0
201034,67,0
201035,54,0
201036,48,0
201037,38,0
201038,41,0
201039,44,0
201040,48,1
201041,53,0
201042,53,0
201043,99,1
201044,141,0
201045,244,1
201046,256,0
201047,250,0
201048,292,0
201049,320,0
201050,300,0
201051,251,0
201052,196,0
201101,327,1
201102,441,0
201103,420,0
201104,548,1
201105,518,0
201106,516,0
201107,526,1
201108,498,2
201109,527,0
201110,393,1
201111,725,0
201112,717,1
201113,793,0
201114,748,0
201115,702,0
201116,494,0
201117,654,1
201118,717,1
201119,868,0
201120,710,1
201121,761,2
201122,733,1
201123,614,1
201124,616,2
201125,496,0
201126,389,0
201127,374,0
201128,322,0
201129,245,0
201130,228,0
201131,210,0
201132,208,0
201133,215,0
201134,181,1
201135,195,1
201136,137,0
201137,200,1
201138,212,1
201139,215,0
201140,160,0
201141,167,0
201142,218,0
201143,270,3
201144,247,0
201145,304,0
201146,319,0
201147,380,1
201148,314,0
201149,458,0
201150,485,0
201151,408,0
201152,414,0
201201,521,2
201202,707,0
201203,932,0
201204,900,0
201205,939,0
201206,1149,1
201207,1193,0
201208,926,1
201209,1007,1
201210,1048,1
201211,1159,0
201212,1014,2
201213,1098,0
201214,707,0
201215,990,1
201216,878,1
201217,985,1
201218,786,2
201219,746,1
201220,775,2
201221,699,0
201222,536,0
201223,468,1
201224,447,1
201225,432,2
201226,416,1
201227,254,0
201228,200,1
201229,196,1
201230,185,0
201231,151,0
201232,160,1
201233,144,0
201234,131,1
201235,101,0
201236,65,0
201237,111,0
201238,94,0
201239,91,0
201240,77,0
201241,73,0
201242,101,0
201243,165,0
201244,167,0
201245,151,0
201246,153,0
201247,195,0
201248,281,0
201249,301,0
201250,355,1
201251,311,0
201252,239,0
201301,424,1
201302,628,0
201303,653,0
201304,706,0
201305,853,0
201306,921,2
201307,774,0
201308,1071,0
201309,1032,0
201310,965,1
201311,820,0
201312,851,0
201313,687,0
201314,819,1
201315,921,0
201316,872,0
201317,1008,1
201318,648,1
201319,648,2
201320,589,1
201321,504,0
201322,326,0
201323,314,1
201324,314,2
201325,281,0
201326,197,0
201327,120,0
201328,130,0
201329,120,2
201330,86,0
201331,85,0
201332,95,0
201333,100,0
201334,105,0
201335,67,0
201336,74,0
201337,58,0
201338,95,0
201339,97,0
201340,85,0
201341,91,0
201342,91,0
201343,115,0
201344,108,0
201345,140,0
201346,151,0
201347,235,0
201348,213,0
201349,238,0
201350,251,0
201351,258,0
201352,199,1
201401,246,0
201402,398,1
201403,360,1
201404,346,0
201405,424,0
201406,371,0
201407,409,1
201408,427,0
201409,373,1
201410,308,0
201411,370,0
201412,385,0
201413,289,0
201414,269,0
201415,288,0
201416,260,0
201417,291,0
201418,280,0
201419,289,0
201420,310,0
201421,247,0
201422,253,0
201423,267,0
201424,196,0
201425,189,1
201426,161,0
201427,118,1
201428,109,0
201429,79,0
201430,78,0
201431,73,0
201432,78,0
201433,84,0
201434,103,0
201435,71,0
201436,70,0
201437,57,0
201438,60,1
201439,66,0
201440,68,0
201441,110,0
201442,76,0
201443,75,0
201444,94,0
201445,94,0
201446,105,0
201447,105,0
201448,116,0
201449,139,0
201450,142,0
201451,145,0
201452,102,0
201453,119,0
201501,159,0
201502,187,0
201503,176,0
201504,206,0
201505,266,0
201506,311,0
201507,295,0
201508,419,0
201509,512,0
201510,629,0
201511,793,0
201512,911,0
201513,664,2
201514,822,0
201515,944,0
201516,685,1
201517,590,1
201518,753,0
201519,741,1
201520,641,1
201521,624,1
201522,528,2
201523,502,1
201524,441,0
201525,413,0
201526,353,0
201527,235,1
201528,226,0
201529,169,0
201530,135,0
201531,162,0
201532,160,1
201533,131,0
201534,101,0
201535,130,0
201536,88,1
201537,97,0
201538,105,0
201539,114,0
201540,93,0
201541,93,0
201542,104,0
201543,97,0
201544,135,0
201545,153,1
201546,204,0
201547,252,1
201548,422,0
201549,531,1
201550,654,0
201551,503,0
201552,552,0
201601,963,0
201602,1014,2
201603,1021,0
201604,1172,1
201605,1324,1
201606,1139,0
201607,1597,1
201608,1376,1
201609,1217,0
201610,976,0
201611,707,0
201612,524,0
201613,629,0
201614,545,0
201615,520,0
201616,409,0
201617,488,0
201618,559,0
201619,449,0
201620,373,0
201621,230,0
201622,259,0
201623,213,0
201624,199,0
201625,132,0
201626,93,0
201627,89,1
201628,85,0
201629,61,0
201630,58,0
201631,70,0
201632,49,1
201633,51,1
201634,51,0
201635,45,0
201636,24,0
201637,43,0
