data,temp_max,temp_min,temp_media,prec,umid_max,umid_min,umid_media,vento_max,vento_media
2010-01-03,35.4,21.1,25.458,80.4,100.0,36.0,84.7,10.7,1.059
2010-01-10,35.3,18.7,25.31,45.486,98.0,38.0,84.846,13.0,1.11
2010-01-17,34.0,20.3,25.0,56.714,99.0,42.0,87.022,14.2,1.055
2010-01-24,35.7,21.5,25.291,67.8,98.0,36.0,85.893,13.1,0.943
2010-01-31,35.4,20.5,25.324,103.514,99.0,39.0,85.963,21.0,0.903
2010-02-07,36.1,19.4,25.606,59.0,99.0,40.0,85.707,13.1,0.88
2010-02-14,34.2,21.0,25.595,46.029,99.0,46.0,86.168,19.7,0.957
2010-02-21,35.1,21.0,25.601,67.514,99.0,39.0,85.281,16.0,1.02
2010-02-28,33.5,20.4,24.91,57.4,99.0,48.0,86.921,12.0,1.044
2010-03-07,35.8,21.3,25.538,38.0,99.0,40.0,84.999,16.8,0.989
2010-03-14,35.1,21.1,25.712,33.657,99.0,42.0,85.336,18.4,1.069
2010-03-21,34.2,20.9,25.334,99.114,99.0,49.0,86.682,10.5,1.009
2010-03-28,34.5,20.3,25.431,48.771,99.0,42.0,85.831,15.8,1.095
2010-04-04,35.7,20.0,25.68,60.057,99.0,41.0,85.396,12.0,1.13
2010-04-11,34.4,19.8,25.441,38.657,99.0,46.0,84.719,14.6,1.037
2010-04-18,34.8,20.2,25.515,41.257,99.0,43.0,85.379,19.0,1.052
2010-04-25,34.5,17.3,25.709,24.029,99.0,31.0,83.368,12.6,0.992
2010-05-02,34.9,17.4,25.465,39.429,99.0,34.0,85.044,14.5,1.014
2010-05-09,34.3,16.2,25.205,42.2,99.0,47.0,85.523,14.7,0.997
2010-05-16,33.6,20.4,25.08,38.714,99.0,49.0,86.812,14.7,0.971
2010-05-23,34.6,18.5,24.816,37.8,99.0,49.0,86.238,10.3,0.925
2010-05-30,33.6,18.0,24.939,54.057,99.0,50.0,85.878,12.9,1.098
